"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"9405","32","text","0","9408","0.0-0.0","","1476650743253","","","","","","","","","","","","","",""
"189684","32","text","1","199401","0.0-1.0","","1476650743253","","","","","","","","","","","","","",""
"3373","32","text","2","203081","0.0-2.0","","1476650743253","","","","","","","","","","","","","",""
"15237","32","text","3","218625","0.0-3.0","","1476650743253","","","","","","","","","","","","","",""
"145313","32","text","4","364245","0.0-4.0","","1476650743253","","","","","","","","","","","","","",""
"20353","32","text","5","384901","0.0-5.0","","1476650743253","","","","","","","","","","","","","",""
"17479","","singlestim-multislider","6","403058","0.0-6.0-0.0","","1476650743253","0","60","40","","","","","","","","","","",""
"22106","","survey-text","7","425474","0.0-7.0","","1476650743253","","","","{""Q0"":""B due to the data found""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"4546","","survey-multi-choice","8","430327","0.0-8.0","","1476650743253","","","","{""Q0"":""agree""}","","","","","","","","","",""
"10581","","singlestim-multislider","9","441219","0.0-9.0-34.0","","1476650743253","0","66","34","","","1","12","9","7","5","NA","NA","NA","1"
