"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"1080","32","text","0","1084","0.0-0.0","","22959","1481154869563","","","","","","","","","","","","","",""
"278","32","text","1","1666","0.0-1.0","","22959","1481154869563","","","","","","","","","","","","","",""
"467","32","text","2","2433","0.0-2.0","","22959","1481154869563","","","","","","","","","","","","","",""
"275","32","text","3","3009","0.0-3.0","","22959","1481154869563","","","","","","","","","","","","","",""
"483","32","text","4","3794","0.0-4.0","","22959","1481154869563","","","","","","","","","","","","","",""
"393","32","text","5","4490","0.0-5.0","","22959","1481154869563","","","","","","","","","","","","","",""
"2734","","singlestim-multislider","6","7536","0.0-6.0-0.0","","22959","1481154869563","0","100","0","","","","","","","","","","",""
"22653","","survey-text","7","30494","0.0-7.0","","22959","1481154869563","","","","{""Q0"":""B because the computer logarithm matches opposite answers constantly. ""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"2161","","survey-multi-choice","8","32959","0.0-8.0","","22959","1481154869563","","","","{""Q0"":""agree""}","","","","","","","","","",""
"4357","","singlestim-multislider","9","37621","0.0-9.0-10.0","","22959","1481154869563","0","100","0","","","0","12","9","7","5","0.6","0.8","0.8","1"
