"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"16927","32","text","0","16934","0.0-0.0","A11P1OS26E6AMO","1517428318502","","","","","",""
"10852","32","text","1","27889","0.0-1.0","A11P1OS26E6AMO","1517428318502","","","","","",""
"3139","32","text","2","31130","0.0-2.0","A11P1OS26E6AMO","1517428318502","","","","","",""
"19327","32","text","3","50559","0.0-3.0","A11P1OS26E6AMO","1517428318502","","","","","",""
"20344","32","mine-text","4","71213","0.0-4.0","A11P1OS26E6AMO","1517428318502","","","","","",""
"31156","32","text","5","102471","0.0-5.0","A11P1OS26E6AMO","1517428318502","","","","","",""
"12706","32","text","6","115277","0.0-6.0","A11P1OS26E6AMO","1517428318502","","","","","",""
"27260","32","mine-text","7","142910","0.0-7.0","A11P1OS26E6AMO","1517428318502","","","","","",""
"13830","","forage01","8","156847","0.0-8.0-0.0","A11P1OS26E6AMO","1517428318502","0","52","dirt","0","no mineshafts yet","0"
"7819","","forage01","9","164770","0.0-8.0-1.0","A11P1OS26E6AMO","1517428318502","0","51","dirt","0","dirt","0"
"1817","","forage01","10","166691","0.0-8.0-2.0","A11P1OS26E6AMO","1517428318502","0","50","gold","0","dirt","0"
"4280","","forage01","11","171082","0.0-8.0-3.0","A11P1OS26E6AMO","1517428318502","1","49","gold","1000","gold","1000"
"4752","","forage01","12","175937","0.0-8.0-4.0","A11P1OS26E6AMO","1517428318502","1","48","gold","1000","gold","2000"
"4905","","forage01","13","180946","0.0-8.0-5.0","A11P1OS26E6AMO","1517428318502","1","47","gold","1000","gold","3000"
"2168","","forage01","14","183218","0.0-8.0-6.0","A11P1OS26E6AMO","1517428318502","1","46","gold","1000","gold","4000"
"1073","","forage01","15","184396","0.0-8.0-7.0","A11P1OS26E6AMO","1517428318502","1","45","gold","1000","gold","5000"
"1094","","forage01","16","185594","0.0-8.0-8.0","A11P1OS26E6AMO","1517428318502","1","44","gold","1000","gold","6000"
"1229","","forage01","17","186929","0.0-8.0-9.0","A11P1OS26E6AMO","1517428318502","1","43","gold","1000","gold","7000"
"1625","","forage01","18","188658","0.0-8.0-10.0","A11P1OS26E6AMO","1517428318502","1","42","gold","1000","gold","8000"
"905","","forage01","19","189666","0.0-8.0-11.0","A11P1OS26E6AMO","1517428318502","1","41","gold","1000","gold","9000"
"702","","forage01","20","190476","0.0-8.0-12.0","A11P1OS26E6AMO","1517428318502","1","40","gold","1000","gold","10000"
"631","","forage01","21","191210","0.0-8.0-13.0","A11P1OS26E6AMO","1517428318502","1","39","gold","1000","gold","11000"
"745","","forage01","22","192058","0.0-8.0-14.0","A11P1OS26E6AMO","1517428318502","1","38","gold","1000","gold","12000"
"763","","forage01","23","192925","0.0-8.0-15.0","A11P1OS26E6AMO","1517428318502","1","37","gold","1000","gold","13000"
"672","","forage01","24","193702","0.0-8.0-16.0","A11P1OS26E6AMO","1517428318502","1","36","gold","1000","gold","14000"
"741","","forage01","25","194545","0.0-8.0-17.0","A11P1OS26E6AMO","1517428318502","1","35","gold","1000","gold","15000"
"571","","forage01","26","195217","0.0-8.0-18.0","A11P1OS26E6AMO","1517428318502","1","34","gold","1000","gold","16000"
"594","","forage01","27","195913","0.0-8.0-19.0","A11P1OS26E6AMO","1517428318502","1","33","gold","1000","gold","17000"
"592","","forage01","28","196609","0.0-8.0-20.0","A11P1OS26E6AMO","1517428318502","1","32","gold","1000","gold","18000"
"681","","forage01","29","197393","0.0-8.0-21.0","A11P1OS26E6AMO","1517428318502","1","31","gold","1000","gold","19000"
"559","","forage01","30","198057","0.0-8.0-22.0","A11P1OS26E6AMO","1517428318502","1","30","gold","1000","gold","20000"
