"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"11566","32","text","0","11571","0.0-0.0","A125KW9P18V5Z1","1516905354628","","","","","",""
"12619","32","text","1","24296","0.0-1.0","A125KW9P18V5Z1","1516905354628","","","","","",""
"4272","32","text","2","28671","0.0-2.0","A125KW9P18V5Z1","1516905354628","","","","","",""
"50683","32","text","3","79457","0.0-3.0","A125KW9P18V5Z1","1516905354628","","","","","",""
"32365","32","mine-text","4","112088","0.0-4.0","A125KW9P18V5Z1","1516905354628","","","","","",""
"81977","32","text","5","194168","0.0-5.0","A125KW9P18V5Z1","1516905354628","","","","","",""
"11098","32","text","6","205368","0.0-6.0","A125KW9P18V5Z1","1516905354628","","","","","",""
"6218","32","mine-text","7","211869","0.0-7.0","A125KW9P18V5Z1","1516905354628","","","","","",""
"7613","","forage01","8","219592","0.0-8.0-0.0","A125KW9P18V5Z1","1516905354628","0","52","dirt","0","no mineshafts yet","0"
"3331","","forage01","9","223028","0.0-8.0-1.0","A125KW9P18V5Z1","1516905354628","0","51","diamond","0","dirt","0"
"1111","","forage01","10","224245","0.0-8.0-2.0","A125KW9P18V5Z1","1516905354628","1","50","diamond","100000","diamond","100000"
"487","","forage01","11","224838","0.0-8.0-3.0","A125KW9P18V5Z1","1516905354628","1","49","diamond","100000","diamond","200000"
"497","","forage01","12","225441","0.0-8.0-4.0","A125KW9P18V5Z1","1516905354628","1","48","diamond","100000","diamond","300000"
"605","","forage01","13","226152","0.0-8.0-5.0","A125KW9P18V5Z1","1516905354628","1","47","diamond","100000","diamond","400000"
"779","","forage01","14","227037","0.0-8.0-6.0","A125KW9P18V5Z1","1516905354628","1","46","diamond","100000","diamond","500000"
"1004","","forage01","15","228147","0.0-8.0-7.0","A125KW9P18V5Z1","1516905354628","1","45","diamond","100000","diamond","600000"
"673","","forage01","16","228927","0.0-8.0-8.0","A125KW9P18V5Z1","1516905354628","1","44","diamond","100000","diamond","700000"
"386","","forage01","17","229420","0.0-8.0-9.0","A125KW9P18V5Z1","1516905354628","1","43","diamond","100000","diamond","800000"
"163","","forage01","18","229689","0.0-8.0-10.0","A125KW9P18V5Z1","1516905354628","1","42","diamond","100000","diamond","900000"
"143","","forage01","19","229938","0.0-8.0-11.0","A125KW9P18V5Z1","1516905354628","1","41","diamond","100000","diamond","1000000"
"137","","forage01","20","230179","0.0-8.0-12.0","A125KW9P18V5Z1","1516905354628","1","40","diamond","100000","diamond","1100000"
"95","","forage01","21","230378","0.0-8.0-13.0","A125KW9P18V5Z1","1516905354628","1","39","diamond","100000","diamond","1200000"
"82","","forage01","22","230566","0.0-8.0-14.0","A125KW9P18V5Z1","1516905354628","1","38","diamond","100000","diamond","1300000"
"265","","forage01","23","230937","0.0-8.0-15.0","A125KW9P18V5Z1","1516905354628","1","37","diamond","100000","diamond","1400000"
"91","","forage01","24","231134","0.0-8.0-16.0","A125KW9P18V5Z1","1516905354628","1","36","diamond","100000","diamond","1500000"
"290","","forage01","25","231530","0.0-8.0-17.0","A125KW9P18V5Z1","1516905354628","1","35","diamond","100000","diamond","1600000"
"282","","forage01","26","231918","0.0-8.0-18.0","A125KW9P18V5Z1","1516905354628","1","34","diamond","100000","diamond","1700000"
"89","","forage01","27","232114","0.0-8.0-19.0","A125KW9P18V5Z1","1516905354628","1","33","diamond","100000","diamond","1800000"
"270","","forage01","28","232489","0.0-8.0-20.0","A125KW9P18V5Z1","1516905354628","1","32","diamond","100000","diamond","1900000"
"90","","forage01","29","232684","0.0-8.0-21.0","A125KW9P18V5Z1","1516905354628","1","31","diamond","100000","diamond","2000000"
"83","","forage01","30","232873","0.0-8.0-22.0","A125KW9P18V5Z1","1516905354628","1","30","diamond","100000","diamond","2100000"
"86","","forage01","31","233065","0.0-8.0-23.0","A125KW9P18V5Z1","1516905354628","1","29","diamond","100000","diamond","2200000"
"84","","forage01","32","233254","0.0-8.0-24.0","A125KW9P18V5Z1","1516905354628","1","28","diamond","100000","diamond","2300000"
"93","","forage01","33","233453","0.0-8.0-25.0","A125KW9P18V5Z1","1516905354628","1","27","diamond","100000","diamond","2400000"
"108","","forage01","34","233667","0.0-8.0-26.0","A125KW9P18V5Z1","1516905354628","1","26","diamond","100000","diamond","2500000"
"112","","forage01","35","233883","0.0-8.0-27.0","A125KW9P18V5Z1","1516905354628","1","25","diamond","100000","diamond","2600000"
"93","","forage01","36","234082","0.0-8.0-28.0","A125KW9P18V5Z1","1516905354628","1","24","diamond","100000","diamond","2700000"
"107","","forage01","37","234295","0.0-8.0-29.0","A125KW9P18V5Z1","1516905354628","1","23","diamond","100000","diamond","2800000"
"104","","forage01","38","234505","0.0-8.0-30.0","A125KW9P18V5Z1","1516905354628","1","22","diamond","100000","diamond","2900000"
"99","","forage01","39","234709","0.0-8.0-31.0","A125KW9P18V5Z1","1516905354628","1","21","diamond","100000","diamond","3000000"
"131","","forage01","40","234947","0.0-8.0-32.0","A125KW9P18V5Z1","1516905354628","1","20","diamond","100000","diamond","3100000"
"282","","forage01","41","235337","0.0-8.0-33.0","A125KW9P18V5Z1","1516905354628","1","19","diamond","100000","diamond","3200000"
"87","","forage01","42","235529","0.0-8.0-34.0","A125KW9P18V5Z1","1516905354628","1","18","diamond","100000","diamond","3300000"
"255","","forage01","43","235889","0.0-8.0-35.0","A125KW9P18V5Z1","1516905354628","1","17","diamond","100000","diamond","3400000"
"97","","forage01","44","236093","0.0-8.0-36.0","A125KW9P18V5Z1","1516905354628","1","16","diamond","100000","diamond","3500000"
"92","","forage01","45","236292","0.0-8.0-37.0","A125KW9P18V5Z1","1516905354628","1","15","diamond","100000","diamond","3600000"
"89","","forage01","46","236486","0.0-8.0-38.0","A125KW9P18V5Z1","1516905354628","1","14","diamond","100000","diamond","3700000"
"290","","forage01","47","236881","0.0-8.0-39.0","A125KW9P18V5Z1","1516905354628","1","13","diamond","100000","diamond","3800000"
"280","","forage01","48","237268","0.0-8.0-40.0","A125KW9P18V5Z1","1516905354628","1","12","diamond","100000","diamond","3900000"
"276","","forage01","49","237649","0.0-8.0-41.0","A125KW9P18V5Z1","1516905354628","1","11","diamond","100000","diamond","4000000"
"269","","forage01","50","238024","0.0-8.0-42.0","A125KW9P18V5Z1","1516905354628","1","10","diamond","100000","diamond","4100000"
"94","","forage01","51","238220","0.0-8.0-43.0","A125KW9P18V5Z1","1516905354628","1","9","diamond","100000","diamond","4200000"
