"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"14991","32","text","0","14995","0.0-0.0","A12SMSQ6D5227J","1516908754417","","","","","",""
"5965","32","text","1","21063","0.0-1.0","A12SMSQ6D5227J","1516908754417","","","","","",""
"1359","32","text","2","22525","0.0-2.0","A12SMSQ6D5227J","1516908754417","","","","","",""
"9675","32","text","3","32305","0.0-3.0","A12SMSQ6D5227J","1516908754417","","","","","",""
"10746","32","mine-text","4","43319","0.0-4.0","A12SMSQ6D5227J","1516908754417","","","","","",""
"14409","32","text","5","57832","0.0-5.0","A12SMSQ6D5227J","1516908754417","","","","","",""
"4976","32","text","6","62908","0.0-6.0","A12SMSQ6D5227J","1516908754417","","","","","",""
"3447","32","mine-text","7","66644","0.0-7.0","A12SMSQ6D5227J","1516908754417","","","","","",""
"2963","","forage01","8","69716","0.0-8.0-0.0","A12SMSQ6D5227J","1516908754417","0","52","dirt","0","no mineshafts yet","0"
"6230","","forage01","9","76051","0.0-8.0-1.0","A12SMSQ6D5227J","1516908754417","0","51","dirt","0","dirt","0"
"3620","","forage01","10","79774","0.0-8.0-2.0","A12SMSQ6D5227J","1516908754417","0","50","dirt","0","dirt","0"
"2109","","forage01","11","81990","0.0-8.0-3.0","A12SMSQ6D5227J","1516908754417","1","49","dirt","0","dirt","0"
"1195","","forage01","12","83289","0.0-8.0-4.0","A12SMSQ6D5227J","1516908754417","0","48","gold","0","dirt","0"
"2287","","forage01","13","85680","0.0-8.0-5.0","A12SMSQ6D5227J","1516908754417","1","47","gold","1000","gold","1000"
"931","","forage01","14","86716","0.0-8.0-6.0","A12SMSQ6D5227J","1516908754417","1","46","gold","1000","gold","2000"
"1680","","forage01","15","88502","0.0-8.0-7.0","A12SMSQ6D5227J","1516908754417","1","45","gold","1000","gold","3000"
"1166","","forage01","16","89777","0.0-8.0-8.0","A12SMSQ6D5227J","1516908754417","1","44","gold","1000","gold","4000"
"812","","forage01","17","90694","0.0-8.0-9.0","A12SMSQ6D5227J","1516908754417","1","43","gold","1000","gold","5000"
"582","","forage01","18","91380","0.0-8.0-10.0","A12SMSQ6D5227J","1516908754417","1","42","gold","1000","gold","6000"
"538","","forage01","19","92020","0.0-8.0-11.0","A12SMSQ6D5227J","1516908754417","1","41","gold","1000","gold","7000"
"551","","forage01","20","92679","0.0-8.0-12.0","A12SMSQ6D5227J","1516908754417","1","40","gold","1000","gold","8000"
"485","","forage01","21","93268","0.0-8.0-13.0","A12SMSQ6D5227J","1516908754417","1","39","gold","1000","gold","9000"
"487","","forage01","22","93864","0.0-8.0-14.0","A12SMSQ6D5227J","1516908754417","1","38","gold","1000","gold","10000"
"462","","forage01","23","94431","0.0-8.0-15.0","A12SMSQ6D5227J","1516908754417","1","37","gold","1000","gold","11000"
"460","","forage01","24","94996","0.0-8.0-16.0","A12SMSQ6D5227J","1516908754417","1","36","gold","1000","gold","12000"
"382","","forage01","25","95482","0.0-8.0-17.0","A12SMSQ6D5227J","1516908754417","1","35","gold","1000","gold","13000"
"403","","forage01","26","95992","0.0-8.0-18.0","A12SMSQ6D5227J","1516908754417","1","34","gold","1000","gold","14000"
"398","","forage01","27","96495","0.0-8.0-19.0","A12SMSQ6D5227J","1516908754417","1","33","gold","1000","gold","15000"
"449","","forage01","28","97053","0.0-8.0-20.0","A12SMSQ6D5227J","1516908754417","1","32","gold","1000","gold","16000"
"362","","forage01","29","97523","0.0-8.0-21.0","A12SMSQ6D5227J","1516908754417","1","31","gold","1000","gold","17000"
"364","","forage01","30","97993","0.0-8.0-22.0","A12SMSQ6D5227J","1516908754417","1","30","gold","1000","gold","18000"
"441","","forage01","31","98542","0.0-8.0-23.0","A12SMSQ6D5227J","1516908754417","1","29","gold","1000","gold","19000"
"349","","forage01","32","98997","0.0-8.0-24.0","A12SMSQ6D5227J","1516908754417","1","28","gold","1000","gold","20000"
"450","","forage01","33","99555","0.0-8.0-25.0","A12SMSQ6D5227J","1516908754417","1","27","gold","1000","gold","21000"
"385","","forage01","34","100044","0.0-8.0-26.0","A12SMSQ6D5227J","1516908754417","1","26","gold","1000","gold","22000"
"638","","forage01","35","100786","0.0-8.0-27.0","A12SMSQ6D5227J","1516908754417","1","25","gold","1000","gold","23000"
"442","","forage01","36","101336","0.0-8.0-28.0","A12SMSQ6D5227J","1516908754417","1","24","gold","1000","gold","24000"
"434","","forage01","37","101878","0.0-8.0-29.0","A12SMSQ6D5227J","1516908754417","1","23","gold","1000","gold","25000"
"420","","forage01","38","102404","0.0-8.0-30.0","A12SMSQ6D5227J","1516908754417","1","22","gold","1000","gold","26000"
"427","","forage01","39","102937","0.0-8.0-31.0","A12SMSQ6D5227J","1516908754417","1","21","gold","1000","gold","27000"
"385","","forage01","40","103432","0.0-8.0-32.0","A12SMSQ6D5227J","1516908754417","1","20","gold","1000","gold","28000"
"427","","forage01","41","103965","0.0-8.0-33.0","A12SMSQ6D5227J","1516908754417","1","19","gold","1000","gold","29000"
"426","","forage01","42","104498","0.0-8.0-34.0","A12SMSQ6D5227J","1516908754417","1","18","gold","1000","gold","30000"
"374","","forage01","43","104978","0.0-8.0-35.0","A12SMSQ6D5227J","1516908754417","1","17","gold","1000","gold","31000"
"405","","forage01","44","105488","0.0-8.0-36.0","A12SMSQ6D5227J","1516908754417","1","16","gold","1000","gold","32000"
"419","","forage01","45","106014","0.0-8.0-37.0","A12SMSQ6D5227J","1516908754417","1","15","gold","1000","gold","33000"
"475","","forage01","46","106596","0.0-8.0-38.0","A12SMSQ6D5227J","1516908754417","1","14","gold","1000","gold","34000"
"594","","forage01","47","107297","0.0-8.0-39.0","A12SMSQ6D5227J","1516908754417","1","13","gold","1000","gold","35000"
"370","","forage01","48","107775","0.0-8.0-40.0","A12SMSQ6D5227J","1516908754417","1","12","gold","1000","gold","36000"
"364","","forage01","49","108245","0.0-8.0-41.0","A12SMSQ6D5227J","1516908754417","1","11","gold","1000","gold","37000"
"412","","forage01","50","108763","0.0-8.0-42.0","A12SMSQ6D5227J","1516908754417","1","10","gold","1000","gold","38000"
"341","","forage01","51","109210","0.0-8.0-43.0","A12SMSQ6D5227J","1516908754417","1","9","gold","1000","gold","39000"
"420","","forage01","52","109735","0.0-8.0-44.0","A12SMSQ6D5227J","1516908754417","1","8","gold","1000","gold","40000"
"449","","forage01","53","110293","0.0-8.0-45.0","A12SMSQ6D5227J","1516908754417","1","7","gold","1000","gold","41000"
"379","","forage01","54","110779","0.0-8.0-46.0","A12SMSQ6D5227J","1516908754417","1","6","gold","1000","gold","42000"
"386","","forage01","55","111274","0.0-8.0-47.0","A12SMSQ6D5227J","1516908754417","1","5","gold","1000","gold","43000"
"370","","forage01","56","111751","0.0-8.0-48.0","A12SMSQ6D5227J","1516908754417","1","4","gold","1000","gold","44000"
"438","","forage01","57","112293","0.0-8.0-49.0","A12SMSQ6D5227J","1516908754417","1","3","gold","1000","gold","45000"
"390","","forage01","58","112788","0.0-8.0-50.0","A12SMSQ6D5227J","1516908754417","1","2","gold","1000","gold","46000"
"418","","forage01","59","113314","0.0-8.0-51.0","A12SMSQ6D5227J","1516908754417","1","1","gold","1000","gold","47000"
"2624","32","mine-text","60","116214","0.0-9.0","A12SMSQ6D5227J","1516908754417","","","","","",""
"1509","","forage01","61","117828","0.0-10.0-0.0","A12SMSQ6D5227J","1516908754417","0","52","dirt","0","no mineshafts yet","0"
"915","","forage01","62","118847","0.0-10.0-1.0","A12SMSQ6D5227J","1516908754417","0","51","dirt","0","dirt","0"
"746","","forage01","63","119701","0.0-10.0-2.0","A12SMSQ6D5227J","1516908754417","0","50","dirt","0","dirt","0"
"762","","forage01","64","120570","0.0-10.0-3.0","A12SMSQ6D5227J","1516908754417","0","49","dirt","0","dirt","0"
"658","","forage01","65","121335","0.0-10.0-4.0","A12SMSQ6D5227J","1516908754417","0","48","dirt","0","dirt","0"
"647","","forage01","66","122091","0.0-10.0-5.0","A12SMSQ6D5227J","1516908754417","0","47","dirt","0","dirt","0"
"613","","forage01","67","122809","0.0-10.0-6.0","A12SMSQ6D5227J","1516908754417","0","46","dirt","0","dirt","0"
"668","","forage01","68","123581","0.0-10.0-7.0","A12SMSQ6D5227J","1516908754417","0","45","dirt","0","dirt","0"
"597","","forage01","69","124282","0.0-10.0-8.0","A12SMSQ6D5227J","1516908754417","0","44","gold","0","dirt","0"
