"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"14756","32","text","0","14759","0.0-0.0","A13PXTFOXDCKBF","1517428588821","","","","","",""
"347024","32","text","1","361885","0.0-1.0","A13PXTFOXDCKBF","1517428588821","","","","","",""
"44778","32","text","2","406765","0.0-2.0","A13PXTFOXDCKBF","1517428588821","","","","","",""
"26560","32","text","3","433429","0.0-3.0","A13PXTFOXDCKBF","1517428588821","","","","","",""
"22323","32","mine-text","4","456053","0.0-4.0","A13PXTFOXDCKBF","1517428588821","","","","","",""
"31817","32","text","5","487973","0.0-5.0","A13PXTFOXDCKBF","1517428588821","","","","","",""
"82635","32","text","6","570709","0.0-6.0","A13PXTFOXDCKBF","1517428588821","","","","","",""
"20313","32","mine-text","7","591301","0.0-7.0","A13PXTFOXDCKBF","1517428588821","","","","","",""
"11956","","forage01","8","603366","0.0-8.0-0.0","A13PXTFOXDCKBF","1517428588821","0","52","dirt","0","no mineshafts yet","0"
"5567","","forage01","9","609037","0.0-8.0-1.0","A13PXTFOXDCKBF","1517428588821","0","51","gold","0","dirt","0"
"6663","","forage01","10","615805","0.0-8.0-2.0","A13PXTFOXDCKBF","1517428588821","0","50","dirt","0","gold","0"
"3648","","forage01","11","619557","0.0-8.0-3.0","A13PXTFOXDCKBF","1517428588821","0","49","dirt","0","gold","0"
"2633","","forage01","12","622293","0.0-8.0-4.0","A13PXTFOXDCKBF","1517428588821","0","48","dirt","0","gold","0"
"1081","","forage01","13","623477","0.0-8.0-5.0","A13PXTFOXDCKBF","1517428588821","1","47","gold","1000","gold","1000"
"2313","","forage01","14","625893","0.0-8.0-6.0","A13PXTFOXDCKBF","1517428588821","1","46","gold","1000","gold","2000"
"2473","","forage01","15","628469","0.0-8.0-7.0","A13PXTFOXDCKBF","1517428588821","1","45","gold","1000","gold","3000"
"3425","","forage01","16","631997","0.0-8.0-8.0","A13PXTFOXDCKBF","1517428588821","1","44","gold","1000","gold","4000"
"2284","","forage01","17","634389","0.0-8.0-9.0","A13PXTFOXDCKBF","1517428588821","1","43","gold","1000","gold","5000"
"2095","","forage01","18","636589","0.0-8.0-10.0","A13PXTFOXDCKBF","1517428588821","1","42","gold","1000","gold","6000"
"2762","","forage01","19","639453","0.0-8.0-11.0","A13PXTFOXDCKBF","1517428588821","0","41","dirt","0","gold","6000"
"2657","","forage01","20","642213","0.0-8.0-12.0","A13PXTFOXDCKBF","1517428588821","0","40","dirt","0","gold","6000"
"2144","","forage01","21","644461","0.0-8.0-13.0","A13PXTFOXDCKBF","1517428588821","0","39","dirt","0","gold","6000"
"1072","","forage01","22","645637","0.0-8.0-14.0","A13PXTFOXDCKBF","1517428588821","1","38","gold","1000","gold","7000"
"1305","","forage01","23","647044","0.0-8.0-15.0","A13PXTFOXDCKBF","1517428588821","1","37","gold","1000","gold","8000"
"987","","forage01","24","648135","0.0-8.0-16.0","A13PXTFOXDCKBF","1517428588821","0","36","dirt","0","gold","8000"
"1355","","forage01","25","649596","0.0-8.0-17.0","A13PXTFOXDCKBF","1517428588821","1","35","gold","1000","gold","9000"
"758","","forage01","26","650461","0.0-8.0-18.0","A13PXTFOXDCKBF","1517428588821","1","34","gold","1000","gold","10000"
"697","","forage01","27","651261","0.0-8.0-19.0","A13PXTFOXDCKBF","1517428588821","1","33","gold","1000","gold","11000"
"528","","forage01","28","651893","0.0-8.0-20.0","A13PXTFOXDCKBF","1517428588821","1","32","gold","1000","gold","12000"
"584","","forage01","29","652580","0.0-8.0-21.0","A13PXTFOXDCKBF","1517428588821","0","31","dirt","0","gold","12000"
"1561","","forage01","30","654245","0.0-8.0-22.0","A13PXTFOXDCKBF","1517428588821","1","30","gold","1000","gold","13000"
"538","","forage01","31","654884","0.0-8.0-23.0","A13PXTFOXDCKBF","1517428588821","1","29","gold","1000","gold","14000"
"569","","forage01","32","655556","0.0-8.0-24.0","A13PXTFOXDCKBF","1517428588821","1","28","gold","1000","gold","15000"
"993","","forage01","33","656652","0.0-8.0-25.0","A13PXTFOXDCKBF","1517428588821","0","27","dirt","0","gold","15000"
"2497","","forage01","34","659252","0.0-8.0-26.0","A13PXTFOXDCKBF","1517428588821","1","26","gold","1000","gold","16000"
"514","","forage01","35","659869","0.0-8.0-27.0","A13PXTFOXDCKBF","1517428588821","0","25","dirt","0","gold","16000"
"680","","forage01","36","660653","0.0-8.0-28.0","A13PXTFOXDCKBF","1517428588821","0","24","dirt","0","gold","16000"
"905","","forage01","37","661660","0.0-8.0-29.0","A13PXTFOXDCKBF","1517428588821","1","23","gold","1000","gold","17000"
"313","","forage01","38","662077","0.0-8.0-30.0","A13PXTFOXDCKBF","1517428588821","1","22","gold","1000","gold","18000"
"1939","","forage01","39","664117","0.0-8.0-31.0","A13PXTFOXDCKBF","1517428588821","0","21","dirt","0","gold","18000"
"1496","","forage01","40","665717","0.0-8.0-32.0","A13PXTFOXDCKBF","1517428588821","0","20","dirt","0","gold","18000"
"1848","","forage01","41","667668","0.0-8.0-33.0","A13PXTFOXDCKBF","1517428588821","1","19","gold","1000","gold","19000"
"2818","","forage01","42","670589","0.0-8.0-34.0","A13PXTFOXDCKBF","1517428588821","1","18","gold","1000","gold","20000"
"89","","forage01","43","670782","0.0-8.0-35.0","A13PXTFOXDCKBF","1517428588821","1","17","gold","1000","gold","21000"
"189","","forage01","44","671077","0.0-8.0-36.0","A13PXTFOXDCKBF","1517428588821","1","16","gold","1000","gold","22000"
"209","","forage01","45","671389","0.0-8.0-37.0","A13PXTFOXDCKBF","1517428588821","1","15","gold","1000","gold","23000"
"176","","forage01","46","671669","0.0-8.0-38.0","A13PXTFOXDCKBF","1517428588821","1","14","gold","1000","gold","24000"
"273","","forage01","47","672044","0.0-8.0-39.0","A13PXTFOXDCKBF","1517428588821","1","13","gold","1000","gold","25000"
"249","","forage01","48","672396","0.0-8.0-40.0","A13PXTFOXDCKBF","1517428588821","1","12","gold","1000","gold","26000"
"378","","forage01","49","672876","0.0-8.0-41.0","A13PXTFOXDCKBF","1517428588821","1","11","gold","1000","gold","27000"
"210","","forage01","50","673188","0.0-8.0-42.0","A13PXTFOXDCKBF","1517428588821","1","10","gold","1000","gold","28000"
"369","","forage01","51","673660","0.0-8.0-43.0","A13PXTFOXDCKBF","1517428588821","1","9","gold","1000","gold","29000"
"258","","forage01","52","674020","0.0-8.0-44.0","A13PXTFOXDCKBF","1517428588821","1","8","gold","1000","gold","30000"
"223","","forage01","53","674348","0.0-8.0-45.0","A13PXTFOXDCKBF","1517428588821","1","7","gold","1000","gold","31000"
"257","","forage01","54","674709","0.0-8.0-46.0","A13PXTFOXDCKBF","1517428588821","1","6","gold","1000","gold","32000"
"233","","forage01","55","675045","0.0-8.0-47.0","A13PXTFOXDCKBF","1517428588821","1","5","gold","1000","gold","33000"
"241","","forage01","56","675388","0.0-8.0-48.0","A13PXTFOXDCKBF","1517428588821","1","4","gold","1000","gold","34000"
"215","","forage01","57","675708","0.0-8.0-49.0","A13PXTFOXDCKBF","1517428588821","1","3","gold","1000","gold","35000"
"241","","forage01","58","676053","0.0-8.0-50.0","A13PXTFOXDCKBF","1517428588821","1","2","gold","1000","gold","36000"
"400","","forage01","59","676557","0.0-8.0-51.0","A13PXTFOXDCKBF","1517428588821","1","1","gold","1000","gold","37000"
"5385","32","mine-text","60","682213","0.0-9.0","A13PXTFOXDCKBF","1517428588821","","","","","",""
"31843","","forage01","61","714159","0.0-10.0-0.0","A13PXTFOXDCKBF","1517428588821","0","52","dirt","0","no mineshafts yet","0"
"1095","","forage01","62","715356","0.0-10.0-1.0","A13PXTFOXDCKBF","1517428588821","0","51","dirt","0","dirt","0"
"1041","","forage01","63","716501","0.0-10.0-2.0","A13PXTFOXDCKBF","1517428588821","0","50","diamond","0","dirt","0"
"2050","","forage01","64","718653","0.0-10.0-3.0","A13PXTFOXDCKBF","1517428588821","1","49","diamond","100000","diamond","100000"
"505","","forage01","65","719260","0.0-10.0-4.0","A13PXTFOXDCKBF","1517428588821","1","48","diamond","100000","diamond","200000"
"473","","forage01","66","719836","0.0-10.0-5.0","A13PXTFOXDCKBF","1517428588821","1","47","diamond","100000","diamond","300000"
"233","","forage01","67","720173","0.0-10.0-6.0","A13PXTFOXDCKBF","1517428588821","1","46","diamond","100000","diamond","400000"
"250","","forage01","68","720525","0.0-10.0-7.0","A13PXTFOXDCKBF","1517428588821","1","45","diamond","100000","diamond","500000"
"208","","forage01","69","720837","0.0-10.0-8.0","A13PXTFOXDCKBF","1517428588821","1","44","diamond","100000","diamond","600000"
"228","","forage01","70","721173","0.0-10.0-9.0","A13PXTFOXDCKBF","1517428588821","1","43","diamond","100000","diamond","700000"
"222","","forage01","71","721501","0.0-10.0-10.0","A13PXTFOXDCKBF","1517428588821","1","42","diamond","100000","diamond","800000"
"266","","forage01","72","721868","0.0-10.0-11.0","A13PXTFOXDCKBF","1517428588821","1","41","diamond","100000","diamond","900000"
"132","","forage01","73","722102","0.0-10.0-12.0","A13PXTFOXDCKBF","1517428588821","1","40","diamond","100000","diamond","1000000"
"216","","forage01","74","722420","0.0-10.0-13.0","A13PXTFOXDCKBF","1517428588821","1","39","diamond","100000","diamond","1100000"
"242","","forage01","75","722764","0.0-10.0-14.0","A13PXTFOXDCKBF","1517428588821","1","38","diamond","100000","diamond","1200000"
"242","","forage01","76","723109","0.0-10.0-15.0","A13PXTFOXDCKBF","1517428588821","1","37","diamond","100000","diamond","1300000"
"234","","forage01","77","723444","0.0-10.0-16.0","A13PXTFOXDCKBF","1517428588821","1","36","diamond","100000","diamond","1400000"
"362","","forage01","78","723908","0.0-10.0-17.0","A13PXTFOXDCKBF","1517428588821","1","35","diamond","100000","diamond","1500000"
"242","","forage01","79","724252","0.0-10.0-18.0","A13PXTFOXDCKBF","1517428588821","1","34","diamond","100000","diamond","1600000"
"250","","forage01","80","724604","0.0-10.0-19.0","A13PXTFOXDCKBF","1517428588821","1","33","diamond","100000","diamond","1700000"
"193","","forage01","81","724901","0.0-10.0-20.0","A13PXTFOXDCKBF","1517428588821","1","32","diamond","100000","diamond","1800000"
"257","","forage01","82","725260","0.0-10.0-21.0","A13PXTFOXDCKBF","1517428588821","1","31","diamond","100000","diamond","1900000"
"266","","forage01","83","725628","0.0-10.0-22.0","A13PXTFOXDCKBF","1517428588821","1","30","diamond","100000","diamond","2000000"
