"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"32466","32","text","0","32499","0.0-0.0","A14CPQKP46VJQK","1516909384415","","","","","",""
"92989","32","text","1","125669","0.0-1.0","A14CPQKP46VJQK","1516909384415","","","","","",""
"8448","32","text","2","134220","0.0-2.0","A14CPQKP46VJQK","1516909384415","","","","","",""
"74645","32","text","3","208976","0.0-3.0","A14CPQKP46VJQK","1516909384415","","","","","",""
"115504","32","mine-text","4","326055","0.0-4.0","A14CPQKP46VJQK","1516909384415","","","","","",""
"66893","32","text","5","393061","0.0-5.0","A14CPQKP46VJQK","1516909384415","","","","","",""
"27357","32","text","6","420520","0.0-6.0","A14CPQKP46VJQK","1516909384415","","","","","",""
"8913","32","mine-text","7","431875","0.0-7.0","A14CPQKP46VJQK","1516909384415","","","","","",""
"13199","","forage01","8","445303","0.0-8.0-0.0","A14CPQKP46VJQK","1516909384415","0","52","gold","0","no mineshafts yet","0"
"11190","","forage01","9","456646","0.0-8.0-1.0","A14CPQKP46VJQK","1516909384415","0","51","dirt","0","gold","0"
"16812","","forage01","10","473571","0.0-8.0-2.0","A14CPQKP46VJQK","1516909384415","0","50","dirt","0","gold","0"
"11679","","forage01","11","485364","0.0-8.0-3.0","A14CPQKP46VJQK","1516909384415","1","49","gold","1000","gold","1000"
"19687","","forage01","12","505168","0.0-8.0-4.0","A14CPQKP46VJQK","1516909384415","1","48","gold","1000","gold","2000"
"8620","","forage01","13","513926","0.0-8.0-5.0","A14CPQKP46VJQK","1516909384415","1","47","gold","1000","gold","3000"
"18193","","forage01","14","532232","0.0-8.0-6.0","A14CPQKP46VJQK","1516909384415","1","46","gold","1000","gold","4000"
"5976","","forage01","15","538321","0.0-8.0-7.0","A14CPQKP46VJQK","1516909384415","1","45","gold","1000","gold","5000"
"6353","","forage01","16","544785","0.0-8.0-8.0","A14CPQKP46VJQK","1516909384415","1","44","gold","1000","gold","6000"
"2370","","forage01","17","547272","0.0-8.0-9.0","A14CPQKP46VJQK","1516909384415","1","43","gold","1000","gold","7000"
"3011","","forage01","18","550406","0.0-8.0-10.0","A14CPQKP46VJQK","1516909384415","1","42","gold","1000","gold","8000"
"2782","","forage01","19","553309","0.0-8.0-11.0","A14CPQKP46VJQK","1516909384415","1","41","gold","1000","gold","9000"
"3885","","forage01","20","557310","0.0-8.0-12.0","A14CPQKP46VJQK","1516909384415","1","40","gold","1000","gold","10000"
"2791","","forage01","21","560214","0.0-8.0-13.0","A14CPQKP46VJQK","1516909384415","1","39","gold","1000","gold","11000"
"2134","","forage01","22","562463","0.0-8.0-14.0","A14CPQKP46VJQK","1516909384415","1","38","gold","1000","gold","12000"
"2040","","forage01","23","564617","0.0-8.0-15.0","A14CPQKP46VJQK","1516909384415","1","37","gold","1000","gold","13000"
"2035","","forage01","24","566766","0.0-8.0-16.0","A14CPQKP46VJQK","1516909384415","1","36","gold","1000","gold","14000"
"1878","","forage01","25","568756","0.0-8.0-17.0","A14CPQKP46VJQK","1516909384415","1","35","gold","1000","gold","15000"
"1939","","forage01","26","570807","0.0-8.0-18.0","A14CPQKP46VJQK","1516909384415","1","34","gold","1000","gold","16000"
"3842","","forage01","27","574767","0.0-8.0-19.0","A14CPQKP46VJQK","1516909384415","1","33","gold","1000","gold","17000"
"1926","","forage01","28","576807","0.0-8.0-20.0","A14CPQKP46VJQK","1516909384415","1","32","gold","1000","gold","18000"
"1801","","forage01","29","578721","0.0-8.0-21.0","A14CPQKP46VJQK","1516909384415","1","31","gold","1000","gold","19000"
"1528","","forage01","30","580365","0.0-8.0-22.0","A14CPQKP46VJQK","1516909384415","1","30","gold","1000","gold","20000"
"2675","","forage01","31","583154","0.0-8.0-23.0","A14CPQKP46VJQK","1516909384415","1","29","gold","1000","gold","21000"
"2955","","forage01","32","586224","0.0-8.0-24.0","A14CPQKP46VJQK","1516909384415","1","28","gold","1000","gold","22000"
