"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"8145","32","text","0","8149","0.0-0.0","A17AMTRIYI2Z2D","1516908957609","","","","","",""
"3023","32","text","1","11284","0.0-1.0","A17AMTRIYI2Z2D","1516908957609","","","","","",""
"7230","32","text","2","18620","0.0-2.0","A17AMTRIYI2Z2D","1516908957609","","","","","",""
"24333","32","text","3","43069","0.0-3.0","A17AMTRIYI2Z2D","1516908957609","","","","","",""
"47214","32","mine-text","4","90715","0.0-4.0","A17AMTRIYI2Z2D","1516908957609","","","","","",""
"34372","32","text","5","125192","0.0-5.0","A17AMTRIYI2Z2D","1516908957609","","","","","",""
"14583","32","text","6","139881","0.0-6.0","A17AMTRIYI2Z2D","1516908957609","","","","","",""
"17327","32","mine-text","7","157618","0.0-7.0","A17AMTRIYI2Z2D","1516908957609","","","","","",""
"12216","","forage01","8","169942","0.0-8.0-0.0","A17AMTRIYI2Z2D","1516908957609","0","52","dirt","0","no mineshafts yet","0"
"4562","","forage01","9","174623","0.0-8.0-1.0","A17AMTRIYI2Z2D","1516908957609","0","51","dirt","0","dirt","0"
"9614","","forage01","10","184359","0.0-8.0-2.0","A17AMTRIYI2Z2D","1516908957609","0","50","gold","0","dirt","0"
"4461","","forage01","11","188944","0.0-8.0-3.0","A17AMTRIYI2Z2D","1516908957609","1","49","gold","1000","gold","1000"
"6119","","forage01","12","195176","0.0-8.0-4.0","A17AMTRIYI2Z2D","1516908957609","1","48","gold","1000","gold","2000"
"4892","","forage01","13","200179","0.0-8.0-5.0","A17AMTRIYI2Z2D","1516908957609","0","47","dirt","0","gold","2000"
"2187","","forage01","14","202480","0.0-8.0-6.0","A17AMTRIYI2Z2D","1516908957609","0","46","dirt","0","gold","2000"
"2309","","forage01","15","204905","0.0-8.0-7.0","A17AMTRIYI2Z2D","1516908957609","0","45","dirt","0","gold","2000"
"1299","","forage01","16","206321","0.0-8.0-8.0","A17AMTRIYI2Z2D","1516908957609","0","44","dirt","0","gold","2000"
"2084","","forage01","17","208521","0.0-8.0-9.0","A17AMTRIYI2Z2D","1516908957609","0","43","dirt","0","gold","2000"
"1196","","forage01","18","209825","0.0-8.0-10.0","A17AMTRIYI2Z2D","1516908957609","0","42","dirt","0","gold","2000"
"1751","","forage01","19","211689","0.0-8.0-11.0","A17AMTRIYI2Z2D","1516908957609","0","41","dirt","0","gold","2000"
"2427","","forage01","20","214235","0.0-8.0-12.0","A17AMTRIYI2Z2D","1516908957609","0","40","dirt","0","gold","2000"
"2229","","forage01","21","216570","0.0-8.0-13.0","A17AMTRIYI2Z2D","1516908957609","0","39","dirt","0","gold","2000"
"3315","","forage01","22","220002","0.0-8.0-14.0","A17AMTRIYI2Z2D","1516908957609","1","38","gold","1000","gold","3000"
"4331","","forage01","23","224439","0.0-8.0-15.0","A17AMTRIYI2Z2D","1516908957609","1","37","gold","1000","gold","4000"
"1219","","forage01","24","225776","0.0-8.0-16.0","A17AMTRIYI2Z2D","1516908957609","1","36","gold","1000","gold","5000"
"2093","","forage01","25","227987","0.0-8.0-17.0","A17AMTRIYI2Z2D","1516908957609","0","35","dirt","0","gold","5000"
"1755","","forage01","26","229860","0.0-8.0-18.0","A17AMTRIYI2Z2D","1516908957609","1","34","gold","1000","gold","6000"
"890","","forage01","27","230859","0.0-8.0-19.0","A17AMTRIYI2Z2D","1516908957609","0","33","dirt","0","gold","6000"
"879","","forage01","28","231843","0.0-8.0-20.0","A17AMTRIYI2Z2D","1516908957609","1","32","gold","1000","gold","7000"
"892","","forage01","29","232851","0.0-8.0-21.0","A17AMTRIYI2Z2D","1516908957609","0","31","dirt","0","gold","7000"
"906","","forage01","30","233876","0.0-8.0-22.0","A17AMTRIYI2Z2D","1516908957609","1","30","gold","1000","gold","8000"
"1431","","forage01","31","235412","0.0-8.0-23.0","A17AMTRIYI2Z2D","1516908957609","1","29","gold","1000","gold","9000"
"395","","forage01","32","235916","0.0-8.0-24.0","A17AMTRIYI2Z2D","1516908957609","1","28","gold","1000","gold","10000"
"1954","","forage01","33","237988","0.0-8.0-25.0","A17AMTRIYI2Z2D","1516908957609","0","27","gold","0","gold","10000"
"5382","","forage01","34","243485","0.0-8.0-26.0","A17AMTRIYI2Z2D","1516908957609","1","26","gold","1000","gold","11000"
"1500","","forage01","35","245093","0.0-8.0-27.0","A17AMTRIYI2Z2D","1516908957609","1","25","gold","1000","gold","12000"
"1931","","forage01","36","247141","0.0-8.0-28.0","A17AMTRIYI2Z2D","1516908957609","1","24","gold","1000","gold","13000"
"1654","","forage01","37","248901","0.0-8.0-29.0","A17AMTRIYI2Z2D","1516908957609","0","23","dirt","0","gold","13000"
"1719","","forage01","38","250742","0.0-8.0-30.0","A17AMTRIYI2Z2D","1516908957609","1","22","gold","1000","gold","14000"
"1310","","forage01","39","252166","0.0-8.0-31.0","A17AMTRIYI2Z2D","1516908957609","0","21","dirt","0","gold","14000"
"1271","","forage01","40","253542","0.0-8.0-32.0","A17AMTRIYI2Z2D","1516908957609","1","20","gold","1000","gold","15000"
"1588","","forage01","41","255238","0.0-8.0-33.0","A17AMTRIYI2Z2D","1516908957609","1","19","gold","1000","gold","16000"
"987","","forage01","42","256334","0.0-8.0-34.0","A17AMTRIYI2Z2D","1516908957609","1","18","gold","1000","gold","17000"
"636","","forage01","43","257086","0.0-8.0-35.0","A17AMTRIYI2Z2D","1516908957609","1","17","gold","1000","gold","18000"
"385","","forage01","44","257582","0.0-8.0-36.0","A17AMTRIYI2Z2D","1516908957609","1","16","gold","1000","gold","19000"
"392","","forage01","45","258086","0.0-8.0-37.0","A17AMTRIYI2Z2D","1516908957609","1","15","gold","1000","gold","20000"
"335","","forage01","46","258526","0.0-8.0-38.0","A17AMTRIYI2Z2D","1516908957609","1","14","gold","1000","gold","21000"
"260","","forage01","47","258902","0.0-8.0-39.0","A17AMTRIYI2Z2D","1516908957609","1","13","gold","1000","gold","22000"
"270","","forage01","48","259287","0.0-8.0-40.0","A17AMTRIYI2Z2D","1516908957609","1","12","gold","1000","gold","23000"
"210","","forage01","49","259614","0.0-8.0-41.0","A17AMTRIYI2Z2D","1516908957609","1","11","gold","1000","gold","24000"
"107","","forage01","50","259838","0.0-8.0-42.0","A17AMTRIYI2Z2D","1516908957609","1","10","gold","1000","gold","25000"
"105","","forage01","51","260054","0.0-8.0-43.0","A17AMTRIYI2Z2D","1516908957609","1","9","gold","1000","gold","26000"
"130","","forage01","52","260302","0.0-8.0-44.0","A17AMTRIYI2Z2D","1516908957609","1","8","gold","1000","gold","27000"
"214","","forage01","53","260630","0.0-8.0-45.0","A17AMTRIYI2Z2D","1516908957609","1","7","gold","1000","gold","28000"
"257","","forage01","54","260998","0.0-8.0-46.0","A17AMTRIYI2Z2D","1516908957609","1","6","gold","1000","gold","29000"
"179","","forage01","55","261294","0.0-8.0-47.0","A17AMTRIYI2Z2D","1516908957609","1","5","gold","1000","gold","30000"
"172","","forage01","56","261582","0.0-8.0-48.0","A17AMTRIYI2Z2D","1516908957609","1","4","gold","1000","gold","31000"
"212","","forage01","57","261902","0.0-8.0-49.0","A17AMTRIYI2Z2D","1516908957609","1","3","gold","1000","gold","32000"
"301","","forage01","58","262319","0.0-8.0-50.0","A17AMTRIYI2Z2D","1516908957609","1","2","gold","1000","gold","33000"
"471","","forage01","59","262911","0.0-8.0-51.0","A17AMTRIYI2Z2D","1516908957609","1","1","gold","1000","gold","34000"
"7088","32","mine-text","60","270399","0.0-9.0","A17AMTRIYI2Z2D","1516908957609","","","","","",""
"2385","","forage01","61","272896","0.0-10.0-0.0","A17AMTRIYI2Z2D","1516908957609","0","52","dirt","0","no mineshafts yet","0"
"1523","","forage01","62","274536","0.0-10.0-1.0","A17AMTRIYI2Z2D","1516908957609","0","51","dirt","0","dirt","0"
"852","","forage01","63","275496","0.0-10.0-2.0","A17AMTRIYI2Z2D","1516908957609","0","50","dirt","0","dirt","0"
"727","","forage01","64","276336","0.0-10.0-3.0","A17AMTRIYI2Z2D","1516908957609","0","49","gold","0","dirt","0"
"2944","","forage01","65","279392","0.0-10.0-4.0","A17AMTRIYI2Z2D","1516908957609","1","48","gold","1000","gold","1000"
"2232","","forage01","66","281729","0.0-10.0-5.0","A17AMTRIYI2Z2D","1516908957609","0","47","dirt","0","gold","1000"
"2075","","forage01","67","283921","0.0-10.0-6.0","A17AMTRIYI2Z2D","1516908957609","1","46","gold","1000","gold","2000"
"2132","","forage01","68","286169","0.0-10.0-7.0","A17AMTRIYI2Z2D","1516908957609","0","45","dirt","0","gold","2000"
"1957","","forage01","69","288235","0.0-10.0-8.0","A17AMTRIYI2Z2D","1516908957609","1","44","gold","1000","gold","3000"
"621","","forage01","70","288969","0.0-10.0-9.0","A17AMTRIYI2Z2D","1516908957609","0","43","dirt","0","gold","3000"
"1064","","forage01","71","290145","0.0-10.0-10.0","A17AMTRIYI2Z2D","1516908957609","1","42","gold","1000","gold","4000"
"951","","forage01","72","291210","0.0-10.0-11.0","A17AMTRIYI2Z2D","1516908957609","0","41","gold","0","gold","4000"
"821","","forage01","73","292138","0.0-10.0-12.0","A17AMTRIYI2Z2D","1516908957609","1","40","gold","1000","gold","5000"
"1041","","forage01","74","293290","0.0-10.0-13.0","A17AMTRIYI2Z2D","1516908957609","0","39","gold","0","gold","5000"
"617","","forage01","75","294018","0.0-10.0-14.0","A17AMTRIYI2Z2D","1516908957609","1","38","gold","1000","gold","6000"
"822","","forage01","76","294954","0.0-10.0-15.0","A17AMTRIYI2Z2D","1516908957609","0","37","dirt","0","gold","6000"
"657","","forage01","77","295722","0.0-10.0-16.0","A17AMTRIYI2Z2D","1516908957609","1","36","gold","1000","gold","7000"
"720","","forage01","78","296546","0.0-10.0-17.0","A17AMTRIYI2Z2D","1516908957609","0","35","dirt","0","gold","7000"
"887","","forage01","79","297538","0.0-10.0-18.0","A17AMTRIYI2Z2D","1516908957609","1","34","gold","1000","gold","8000"
