"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"12972","32","text","0","12975","0.0-0.0","A1BNR1ZAF1QGWG","1517428101161","","","","","",""
"3215","32","text","1","16292","0.0-1.0","A1BNR1ZAF1QGWG","1517428101161","","","","","",""
"2170","32","text","2","18563","0.0-2.0","A1BNR1ZAF1QGWG","1517428101161","","","","","",""
"14104","32","text","3","32769","0.0-3.0","A1BNR1ZAF1QGWG","1517428101161","","","","","",""
"16255","32","mine-text","4","49339","0.0-4.0","A1BNR1ZAF1QGWG","1517428101161","","","","","",""
"8541","32","text","5","57981","0.0-5.0","A1BNR1ZAF1QGWG","1517428101161","","","","","",""
"6780","32","text","6","64862","0.0-6.0","A1BNR1ZAF1QGWG","1517428101161","","","","","",""
"8975","32","mine-text","7","74147","0.0-7.0","A1BNR1ZAF1QGWG","1517428101161","","","","","",""
"8253","","forage01","8","82503","0.0-8.0-0.0","A1BNR1ZAF1QGWG","1517428101161","0","52","gold","0","no mineshafts yet","0"
"9254","","forage01","9","91860","0.0-8.0-1.0","A1BNR1ZAF1QGWG","1517428101161","1","51","gold","1000","gold","1000"
"4180","","forage01","10","96144","0.0-8.0-2.0","A1BNR1ZAF1QGWG","1517428101161","1","50","gold","1000","gold","2000"
"1610","","forage01","11","97859","0.0-8.0-3.0","A1BNR1ZAF1QGWG","1517428101161","1","49","gold","1000","gold","3000"
"1021","","forage01","12","98983","0.0-8.0-4.0","A1BNR1ZAF1QGWG","1517428101161","1","48","gold","1000","gold","4000"
"944","","forage01","13","100031","0.0-8.0-5.0","A1BNR1ZAF1QGWG","1517428101161","1","47","gold","1000","gold","5000"
"1011","","forage01","14","101148","0.0-8.0-6.0","A1BNR1ZAF1QGWG","1517428101161","1","46","gold","1000","gold","6000"
"849","","forage01","15","102099","0.0-8.0-7.0","A1BNR1ZAF1QGWG","1517428101161","1","45","gold","1000","gold","7000"
"630","","forage01","16","102831","0.0-8.0-8.0","A1BNR1ZAF1QGWG","1517428101161","1","44","gold","1000","gold","8000"
"666","","forage01","17","103602","0.0-8.0-9.0","A1BNR1ZAF1QGWG","1517428101161","1","43","gold","1000","gold","9000"
"985","","forage01","18","104690","0.0-8.0-10.0","A1BNR1ZAF1QGWG","1517428101161","1","42","gold","1000","gold","10000"
"1635","","forage01","19","106428","0.0-8.0-11.0","A1BNR1ZAF1QGWG","1517428101161","1","41","gold","1000","gold","11000"
"1674","","forage01","20","108206","0.0-8.0-12.0","A1BNR1ZAF1QGWG","1517428101161","1","40","gold","1000","gold","12000"
"817","","forage01","21","109127","0.0-8.0-13.0","A1BNR1ZAF1QGWG","1517428101161","1","39","gold","1000","gold","13000"
"632","","forage01","22","109863","0.0-8.0-14.0","A1BNR1ZAF1QGWG","1517428101161","1","38","gold","1000","gold","14000"
"757","","forage01","23","110722","0.0-8.0-15.0","A1BNR1ZAF1QGWG","1517428101161","1","37","gold","1000","gold","15000"
"457","","forage01","24","111283","0.0-8.0-16.0","A1BNR1ZAF1QGWG","1517428101161","1","36","gold","1000","gold","16000"
"330","","forage01","25","111719","0.0-8.0-17.0","A1BNR1ZAF1QGWG","1517428101161","1","35","gold","1000","gold","17000"
"320","","forage01","26","112142","0.0-8.0-18.0","A1BNR1ZAF1QGWG","1517428101161","1","34","gold","1000","gold","18000"
"355","","forage01","27","112603","0.0-8.0-19.0","A1BNR1ZAF1QGWG","1517428101161","1","33","gold","1000","gold","19000"
