"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"13950","32","text","0","13953","0.0-0.0","A1F4N58CAX8IMK","1516905439840","","","","","",""
"48595","32","text","1","62653","0.0-1.0","A1F4N58CAX8IMK","1516905439840","","","","","",""
"2393","32","text","2","65150","0.0-2.0","A1F4N58CAX8IMK","1516905439840","","","","","",""
"76238","32","text","3","141491","0.0-3.0","A1F4N58CAX8IMK","1516905439840","","","","","",""
"244816","32","mine-text","4","386541","0.0-4.0","A1F4N58CAX8IMK","1516905439840","","","","","",""
"192163","32","text","5","578807","0.0-5.0","A1F4N58CAX8IMK","1516905439840","","","","","",""
"8537","32","text","6","587445","0.0-6.0","A1F4N58CAX8IMK","1516905439840","","","","","",""
"4721","32","mine-text","7","592397","0.0-7.0","A1F4N58CAX8IMK","1516905439840","","","","","",""
"5195","","forage01","8","597697","0.0-8.0-0.0","A1F4N58CAX8IMK","1516905439840","0","52","dirt","0","no mineshafts yet","0"
"2273","","forage01","9","600071","0.0-8.0-1.0","A1F4N58CAX8IMK","1516905439840","0","51","dirt","0","dirt","0"
"3314","","forage01","10","603487","0.0-8.0-2.0","A1F4N58CAX8IMK","1516905439840","0","50","gold","0","dirt","0"
"1650","","forage01","11","605239","0.0-8.0-3.0","A1F4N58CAX8IMK","1516905439840","1","49","gold","1000","gold","1000"
"1401","","forage01","12","606743","0.0-8.0-4.0","A1F4N58CAX8IMK","1516905439840","1","48","gold","1000","gold","2000"
"2522","","forage01","13","609367","0.0-8.0-5.0","A1F4N58CAX8IMK","1516905439840","1","47","gold","1000","gold","3000"
"1249","","forage01","14","610719","0.0-8.0-6.0","A1F4N58CAX8IMK","1516905439840","1","46","gold","1000","gold","4000"
"1179","","forage01","15","611999","0.0-8.0-7.0","A1F4N58CAX8IMK","1516905439840","1","45","gold","1000","gold","5000"
"1929","","forage01","16","614031","0.0-8.0-8.0","A1F4N58CAX8IMK","1516905439840","1","44","gold","1000","gold","6000"
"1954","","forage01","17","616087","0.0-8.0-9.0","A1F4N58CAX8IMK","1516905439840","1","43","gold","1000","gold","7000"
"1930","","forage01","18","618119","0.0-8.0-10.0","A1F4N58CAX8IMK","1516905439840","0","42","dirt","0","gold","7000"
"577","","forage01","19","618799","0.0-8.0-11.0","A1F4N58CAX8IMK","1516905439840","0","41","dirt","0","gold","7000"
"666","","forage01","20","619567","0.0-8.0-12.0","A1F4N58CAX8IMK","1516905439840","0","40","dirt","0","gold","7000"
"702","","forage01","21","620375","0.0-8.0-13.0","A1F4N58CAX8IMK","1516905439840","0","39","dirt","0","gold","7000"
"626","","forage01","22","621103","0.0-8.0-14.0","A1F4N58CAX8IMK","1516905439840","1","38","gold","1000","gold","8000"
"346","","forage01","23","621551","0.0-8.0-15.0","A1F4N58CAX8IMK","1516905439840","1","37","gold","1000","gold","9000"
"377","","forage01","24","622031","0.0-8.0-16.0","A1F4N58CAX8IMK","1516905439840","1","36","gold","1000","gold","10000"
"401","","forage01","25","622535","0.0-8.0-17.0","A1F4N58CAX8IMK","1516905439840","1","35","gold","1000","gold","11000"
"410","","forage01","26","623047","0.0-8.0-18.0","A1F4N58CAX8IMK","1516905439840","1","34","gold","1000","gold","12000"
"377","","forage01","27","623527","0.0-8.0-19.0","A1F4N58CAX8IMK","1516905439840","1","33","gold","1000","gold","13000"
"345","","forage01","28","623975","0.0-8.0-20.0","A1F4N58CAX8IMK","1516905439840","1","32","gold","1000","gold","14000"
