"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"9613","32","text","0","9615","0.0-0.0","A1GXFMAC759VRM","1516906300585","","","","","",""
"17665","32","text","1","27385","0.0-1.0","A1GXFMAC759VRM","1516906300585","","","","","",""
"1231","32","text","2","28721","0.0-2.0","A1GXFMAC759VRM","1516906300585","","","","","",""
"170585","32","text","3","199410","0.0-3.0","A1GXFMAC759VRM","1516906300585","","","","","",""
"16676","32","mine-text","4","216311","0.0-4.0","A1GXFMAC759VRM","1516906300585","","","","","",""
"20945","32","text","5","237361","0.0-5.0","A1GXFMAC759VRM","1516906300585","","","","","",""
"5934","32","text","6","243401","0.0-6.0","A1GXFMAC759VRM","1516906300585","","","","","",""
"3862","32","mine-text","7","247525","0.0-7.0","A1GXFMAC759VRM","1516906300585","","","","","",""
"5015","","forage01","8","252645","0.0-8.0-0.0","A1GXFMAC759VRM","1516906300585","0","52","diamond","0","no mineshafts yet","0"
"7102","","forage01","9","259856","0.0-8.0-1.0","A1GXFMAC759VRM","1516906300585","1","51","diamond","100000","diamond","100000"
"1117","","forage01","10","261078","0.0-8.0-2.0","A1GXFMAC759VRM","1516906300585","1","50","diamond","100000","diamond","200000"
"448","","forage01","11","261633","0.0-8.0-3.0","A1GXFMAC759VRM","1516906300585","1","49","diamond","100000","diamond","300000"
"389","","forage01","12","262130","0.0-8.0-4.0","A1GXFMAC759VRM","1516906300585","1","48","diamond","100000","diamond","400000"
"289","","forage01","13","262522","0.0-8.0-5.0","A1GXFMAC759VRM","1516906300585","1","47","diamond","100000","diamond","500000"
"87","","forage01","14","262716","0.0-8.0-6.0","A1GXFMAC759VRM","1516906300585","1","46","diamond","100000","diamond","600000"
"74","","forage01","15","262894","0.0-8.0-7.0","A1GXFMAC759VRM","1516906300585","1","45","diamond","100000","diamond","700000"
"83","","forage01","16","263083","0.0-8.0-8.0","A1GXFMAC759VRM","1516906300585","1","44","diamond","100000","diamond","800000"
"253","","forage01","17","263440","0.0-8.0-9.0","A1GXFMAC759VRM","1516906300585","1","43","diamond","100000","diamond","900000"
"245","","forage01","18","263791","0.0-8.0-10.0","A1GXFMAC759VRM","1516906300585","1","42","diamond","100000","diamond","1000000"
"92","","forage01","19","263986","0.0-8.0-11.0","A1GXFMAC759VRM","1516906300585","1","41","diamond","100000","diamond","1100000"
"256","","forage01","20","264346","0.0-8.0-12.0","A1GXFMAC759VRM","1516906300585","1","40","diamond","100000","diamond","1200000"
"90","","forage01","21","264540","0.0-8.0-13.0","A1GXFMAC759VRM","1516906300585","1","39","diamond","100000","diamond","1300000"
"255","","forage01","22","264898","0.0-8.0-14.0","A1GXFMAC759VRM","1516906300585","1","38","diamond","100000","diamond","1400000"
"83","","forage01","23","265086","0.0-8.0-15.0","A1GXFMAC759VRM","1516906300585","1","37","diamond","100000","diamond","1500000"
"106","","forage01","24","265298","0.0-8.0-16.0","A1GXFMAC759VRM","1516906300585","1","36","diamond","100000","diamond","1600000"
"91","","forage01","25","265494","0.0-8.0-17.0","A1GXFMAC759VRM","1516906300585","1","35","diamond","100000","diamond","1700000"
"89","","forage01","26","265690","0.0-8.0-18.0","A1GXFMAC759VRM","1516906300585","1","34","diamond","100000","diamond","1800000"
"80","","forage01","27","265876","0.0-8.0-19.0","A1GXFMAC759VRM","1516906300585","1","33","diamond","100000","diamond","1900000"
"99","","forage01","28","266081","0.0-8.0-20.0","A1GXFMAC759VRM","1516906300585","1","32","diamond","100000","diamond","2000000"
"98","","forage01","29","266285","0.0-8.0-21.0","A1GXFMAC759VRM","1516906300585","1","31","diamond","100000","diamond","2100000"
"271","","forage01","30","266658","0.0-8.0-22.0","A1GXFMAC759VRM","1516906300585","1","30","diamond","100000","diamond","2200000"
"272","","forage01","31","267034","0.0-8.0-23.0","A1GXFMAC759VRM","1516906300585","1","29","diamond","100000","diamond","2300000"
"81","","forage01","32","267222","0.0-8.0-24.0","A1GXFMAC759VRM","1516906300585","1","28","diamond","100000","diamond","2400000"
"92","","forage01","33","267417","0.0-8.0-25.0","A1GXFMAC759VRM","1516906300585","1","27","diamond","100000","diamond","2500000"
"72","","forage01","34","267595","0.0-8.0-26.0","A1GXFMAC759VRM","1516906300585","1","26","diamond","100000","diamond","2600000"
"232","","forage01","35","267930","0.0-8.0-27.0","A1GXFMAC759VRM","1516906300585","1","25","diamond","100000","diamond","2700000"
"272","","forage01","36","268304","0.0-8.0-28.0","A1GXFMAC759VRM","1516906300585","1","24","diamond","100000","diamond","2800000"
"82","","forage01","37","268493","0.0-8.0-29.0","A1GXFMAC759VRM","1516906300585","1","23","diamond","100000","diamond","2900000"
"80","","forage01","38","268681","0.0-8.0-30.0","A1GXFMAC759VRM","1516906300585","1","22","diamond","100000","diamond","3000000"
"90","","forage01","39","268876","0.0-8.0-31.0","A1GXFMAC759VRM","1516906300585","1","21","diamond","100000","diamond","3100000"
"100","","forage01","40","269080","0.0-8.0-32.0","A1GXFMAC759VRM","1516906300585","1","20","diamond","100000","diamond","3200000"
"269","","forage01","41","269455","0.0-8.0-33.0","A1GXFMAC759VRM","1516906300585","1","19","diamond","100000","diamond","3300000"
"83","","forage01","42","269642","0.0-8.0-34.0","A1GXFMAC759VRM","1516906300585","1","18","diamond","100000","diamond","3400000"
"92","","forage01","43","269838","0.0-8.0-35.0","A1GXFMAC759VRM","1516906300585","1","17","diamond","100000","diamond","3500000"
"81","","forage01","44","270024","0.0-8.0-36.0","A1GXFMAC759VRM","1516906300585","1","16","diamond","100000","diamond","3600000"
"256","","forage01","45","270382","0.0-8.0-37.0","A1GXFMAC759VRM","1516906300585","1","15","diamond","100000","diamond","3700000"
"81","","forage01","46","270570","0.0-8.0-38.0","A1GXFMAC759VRM","1516906300585","1","14","diamond","100000","diamond","3800000"
"90","","forage01","47","270766","0.0-8.0-39.0","A1GXFMAC759VRM","1516906300585","1","13","diamond","100000","diamond","3900000"
"263","","forage01","48","271133","0.0-8.0-40.0","A1GXFMAC759VRM","1516906300585","1","12","diamond","100000","diamond","4000000"
"147","","forage01","49","271385","0.0-8.0-41.0","A1GXFMAC759VRM","1516906300585","1","11","diamond","100000","diamond","4100000"
"90","","forage01","50","271581","0.0-8.0-42.0","A1GXFMAC759VRM","1516906300585","1","10","diamond","100000","diamond","4200000"
"82","","forage01","51","271769","0.0-8.0-43.0","A1GXFMAC759VRM","1516906300585","1","9","diamond","100000","diamond","4300000"
"87","","forage01","52","271963","0.0-8.0-44.0","A1GXFMAC759VRM","1516906300585","1","8","diamond","100000","diamond","4400000"
"181","","forage01","53","272249","0.0-8.0-45.0","A1GXFMAC759VRM","1516906300585","1","7","diamond","100000","diamond","4500000"
"90","","forage01","54","272445","0.0-8.0-46.0","A1GXFMAC759VRM","1516906300585","1","6","diamond","100000","diamond","4600000"
"82","","forage01","55","272632","0.0-8.0-47.0","A1GXFMAC759VRM","1516906300585","1","5","diamond","100000","diamond","4700000"
"100","","forage01","56","272836","0.0-8.0-48.0","A1GXFMAC759VRM","1516906300585","1","4","diamond","100000","diamond","4800000"
"105","","forage01","57","273048","0.0-8.0-49.0","A1GXFMAC759VRM","1516906300585","1","3","diamond","100000","diamond","4900000"
"93","","forage01","58","273245","0.0-8.0-50.0","A1GXFMAC759VRM","1516906300585","1","2","diamond","100000","diamond","5000000"
"96","","forage01","59","273446","0.0-8.0-51.0","A1GXFMAC759VRM","1516906300585","1","1","diamond","100000","diamond","5100000"
"1838","32","mine-text","60","275521","0.0-9.0","A1GXFMAC759VRM","1516906300585","","","","","",""
"2067","","forage01","61","277692","0.0-10.0-0.0","A1GXFMAC759VRM","1516906300585","0","52","dirt","0","no mineshafts yet","0"
"3074","","forage01","62","280871","0.0-10.0-1.0","A1GXFMAC759VRM","1516906300585","0","51","gold","0","dirt","0"
"1623","","forage01","63","282599","0.0-10.0-2.0","A1GXFMAC759VRM","1516906300585","0","50","gold","0","gold","0"
"422","","forage01","64","283129","0.0-10.0-3.0","A1GXFMAC759VRM","1516906300585","0","49","dirt","0","gold","0"
"367","","forage01","65","283600","0.0-10.0-4.0","A1GXFMAC759VRM","1516906300585","0","48","gold","0","gold","0"
"358","","forage01","66","284065","0.0-10.0-5.0","A1GXFMAC759VRM","1516906300585","0","47","dirt","0","gold","0"
"343","","forage01","67","284513","0.0-10.0-6.0","A1GXFMAC759VRM","1516906300585","0","46","gold","0","gold","0"
"473","","forage01","68","285092","0.0-10.0-7.0","A1GXFMAC759VRM","1516906300585","0","45","dirt","0","gold","0"
"705","","forage01","69","285900","0.0-10.0-8.0","A1GXFMAC759VRM","1516906300585","1","44","gold","1000","gold","1000"
"256","","forage01","70","286258","0.0-10.0-9.0","A1GXFMAC759VRM","1516906300585","1","43","gold","1000","gold","2000"
"82","","forage01","71","286446","0.0-10.0-10.0","A1GXFMAC759VRM","1516906300585","1","42","gold","1000","gold","3000"
"263","","forage01","72","286811","0.0-10.0-11.0","A1GXFMAC759VRM","1516906300585","1","41","gold","1000","gold","4000"
"81","","forage01","73","286999","0.0-10.0-12.0","A1GXFMAC759VRM","1516906300585","1","40","gold","1000","gold","5000"
"72","","forage01","74","287180","0.0-10.0-13.0","A1GXFMAC759VRM","1516906300585","1","39","gold","1000","gold","6000"
"235","","forage01","75","287520","0.0-10.0-14.0","A1GXFMAC759VRM","1516906300585","1","38","gold","1000","gold","7000"
"220","","forage01","76","287848","0.0-10.0-15.0","A1GXFMAC759VRM","1516906300585","1","37","gold","1000","gold","8000"
"221","","forage01","77","288175","0.0-10.0-16.0","A1GXFMAC759VRM","1516906300585","1","36","gold","1000","gold","9000"
"81","","forage01","78","288360","0.0-10.0-17.0","A1GXFMAC759VRM","1516906300585","1","35","gold","1000","gold","10000"
"76","","forage01","79","288539","0.0-10.0-18.0","A1GXFMAC759VRM","1516906300585","1","34","gold","1000","gold","11000"
"74","","forage01","80","288720","0.0-10.0-19.0","A1GXFMAC759VRM","1516906300585","1","33","gold","1000","gold","12000"
"58","","forage01","81","288883","0.0-10.0-20.0","A1GXFMAC759VRM","1516906300585","1","32","gold","1000","gold","13000"
"262","","forage01","82","289248","0.0-10.0-21.0","A1GXFMAC759VRM","1516906300585","1","31","gold","1000","gold","14000"
"239","","forage01","83","289592","0.0-10.0-22.0","A1GXFMAC759VRM","1516906300585","1","30","gold","1000","gold","15000"
"80","","forage01","84","289780","0.0-10.0-23.0","A1GXFMAC759VRM","1516906300585","1","29","gold","1000","gold","16000"
"252","","forage01","85","290137","0.0-10.0-24.0","A1GXFMAC759VRM","1516906300585","1","28","gold","1000","gold","17000"
"240","","forage01","86","290480","0.0-10.0-25.0","A1GXFMAC759VRM","1516906300585","1","27","gold","1000","gold","18000"
"81","","forage01","87","290669","0.0-10.0-26.0","A1GXFMAC759VRM","1516906300585","1","26","gold","1000","gold","19000"
"98","","forage01","88","290871","0.0-10.0-27.0","A1GXFMAC759VRM","1516906300585","1","25","gold","1000","gold","20000"
"98","","forage01","89","291073","0.0-10.0-28.0","A1GXFMAC759VRM","1516906300585","1","24","gold","1000","gold","21000"
"89","","forage01","90","291271","0.0-10.0-29.0","A1GXFMAC759VRM","1516906300585","1","23","gold","1000","gold","22000"
"65","","forage01","91","291441","0.0-10.0-30.0","A1GXFMAC759VRM","1516906300585","1","22","gold","1000","gold","23000"
"85","","forage01","92","291629","0.0-10.0-31.0","A1GXFMAC759VRM","1516906300585","1","21","gold","1000","gold","24000"
"235","","forage01","93","291970","0.0-10.0-32.0","A1GXFMAC759VRM","1516906300585","1","20","gold","1000","gold","25000"
"85","","forage01","94","292158","0.0-10.0-33.0","A1GXFMAC759VRM","1516906300585","1","19","gold","1000","gold","26000"
"671","","forage01","95","292934","0.0-10.0-34.0","A1GXFMAC759VRM","1516906300585","0","18","dirt","0","gold","26000"
"605","","forage01","96","293642","0.0-10.0-35.0","A1GXFMAC759VRM","1516906300585","0","17","dirt","0","gold","26000"
"345","","forage01","97","294090","0.0-10.0-36.0","A1GXFMAC759VRM","1516906300585","0","16","dirt","0","gold","26000"
"282","","forage01","98","294481","0.0-10.0-37.0","A1GXFMAC759VRM","1516906300585","0","15","dirt","0","gold","26000"
"287","","forage01","99","294873","0.0-10.0-38.0","A1GXFMAC759VRM","1516906300585","0","14","gold","0","gold","26000"
"252","","forage01","100","295231","0.0-10.0-39.0","A1GXFMAC759VRM","1516906300585","0","13","gold","0","gold","26000"
"164","","forage01","101","295501","0.0-10.0-40.0","A1GXFMAC759VRM","1516906300585","0","12","dirt","0","gold","26000"
"111","","forage01","102","295721","0.0-10.0-41.0","A1GXFMAC759VRM","1516906300585","0","11","gold","0","gold","26000"
"324","","forage01","103","296151","0.0-10.0-42.0","A1GXFMAC759VRM","1516906300585","0","10","dirt","0","gold","26000"
