"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"10006","32","text","0","10053","0.0-0.0","A1JLYIQ4HT4KQC","1517431965947","","","","","",""
"161957","32","text","1","172112","0.0-1.0","A1JLYIQ4HT4KQC","1517431965947","","","","","",""
"2168","32","text","2","174380","0.0-2.0","A1JLYIQ4HT4KQC","1517431965947","","","","","",""
"27974","32","text","3","202462","0.0-3.0","A1JLYIQ4HT4KQC","1517431965947","","","","","",""
"23769","32","mine-text","4","226827","0.0-4.0","A1JLYIQ4HT4KQC","1517431965947","","","","","",""
"14924","32","text","5","241852","0.0-5.0","A1JLYIQ4HT4KQC","1517431965947","","","","","",""
"2467","32","text","6","244419","0.0-6.0","A1JLYIQ4HT4KQC","1517431965947","","","","","",""
"24665","32","mine-text","7","269697","0.0-7.0","A1JLYIQ4HT4KQC","1517431965947","","","","","",""
"4745","","forage01","8","274549","0.0-8.0-0.0","A1JLYIQ4HT4KQC","1517431965947","0","52","dirt","0","no mineshafts yet","0"
"4745","","forage01","9","279399","0.0-8.0-1.0","A1JLYIQ4HT4KQC","1517431965947","0","51","dirt","0","dirt","0"
"2533","","forage01","10","282037","0.0-8.0-2.0","A1JLYIQ4HT4KQC","1517431965947","0","50","gold","0","dirt","0"
"3863","","forage01","11","286004","0.0-8.0-3.0","A1JLYIQ4HT4KQC","1517431965947","1","49","gold","1000","gold","1000"
"2656","","forage01","12","288773","0.0-8.0-4.0","A1JLYIQ4HT4KQC","1517431965947","1","48","gold","1000","gold","2000"
"3382","","forage01","13","292259","0.0-8.0-5.0","A1JLYIQ4HT4KQC","1517431965947","1","47","gold","1000","gold","3000"
"1832","","forage01","14","294195","0.0-8.0-6.0","A1JLYIQ4HT4KQC","1517431965947","1","46","gold","1000","gold","4000"
"1430","","forage01","15","295729","0.0-8.0-7.0","A1JLYIQ4HT4KQC","1517431965947","1","45","gold","1000","gold","5000"
"1298","","forage01","16","297131","0.0-8.0-8.0","A1JLYIQ4HT4KQC","1517431965947","1","44","gold","1000","gold","6000"
"942","","forage01","17","298177","0.0-8.0-9.0","A1JLYIQ4HT4KQC","1517431965947","1","43","gold","1000","gold","7000"
"1452","","forage01","18","299733","0.0-8.0-10.0","A1JLYIQ4HT4KQC","1517431965947","1","42","gold","1000","gold","8000"
"739","","forage01","19","300577","0.0-8.0-11.0","A1JLYIQ4HT4KQC","1517431965947","1","41","gold","1000","gold","9000"
"2683","","forage01","20","303364","0.0-8.0-12.0","A1JLYIQ4HT4KQC","1517431965947","1","40","gold","1000","gold","10000"
