"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"1319182","32","text","0","1319186","0.0-0.0","A1Z0O5MC9DAE8C","1517429662074","","","","","",""
"23298","32","text","1","1342587","0.0-1.0","A1Z0O5MC9DAE8C","1517429662074","","","","","",""
"4091","32","text","2","1346781","0.0-2.0","A1Z0O5MC9DAE8C","1517429662074","","","","","",""
"32029","32","text","3","1378912","0.0-3.0","A1Z0O5MC9DAE8C","1517429662074","","","","","",""
"26730","32","mine-text","4","1405876","0.0-4.0","A1Z0O5MC9DAE8C","1517429662074","","","","","",""
"51182","32","text","5","1457160","0.0-5.0","A1Z0O5MC9DAE8C","1517429662074","","","","","",""
"20540","32","text","6","1477800","0.0-6.0","A1Z0O5MC9DAE8C","1517429662074","","","","","",""
"6813","32","mine-text","7","1484867","0.0-7.0","A1Z0O5MC9DAE8C","1517429662074","","","","","",""
"3534","","forage01","8","1488504","0.0-8.0-0.0","A1Z0O5MC9DAE8C","1517429662074","0","52","gold","0","no mineshafts yet","0"
"7722","","forage01","9","1496329","0.0-8.0-1.0","A1Z0O5MC9DAE8C","1517429662074","1","51","gold","1000","gold","1000"
"1676","","forage01","10","1498108","0.0-8.0-2.0","A1Z0O5MC9DAE8C","1517429662074","1","50","gold","1000","gold","2000"
"2036","","forage01","11","1500247","0.0-8.0-3.0","A1Z0O5MC9DAE8C","1517429662074","1","49","gold","1000","gold","3000"
"3820","","forage01","12","1504169","0.0-8.0-4.0","A1Z0O5MC9DAE8C","1517429662074","1","48","gold","1000","gold","4000"
"1406","","forage01","13","1505677","0.0-8.0-5.0","A1Z0O5MC9DAE8C","1517429662074","1","47","gold","1000","gold","5000"
"1225","","forage01","14","1507005","0.0-8.0-6.0","A1Z0O5MC9DAE8C","1517429662074","1","46","gold","1000","gold","6000"
"901","","forage01","15","1508009","0.0-8.0-7.0","A1Z0O5MC9DAE8C","1517429662074","1","45","gold","1000","gold","7000"
"642","","forage01","16","1508753","0.0-8.0-8.0","A1Z0O5MC9DAE8C","1517429662074","1","44","gold","1000","gold","8000"
"2747","","forage01","17","1511603","0.0-8.0-9.0","A1Z0O5MC9DAE8C","1517429662074","0","43","dirt","0","gold","8000"
"1555","","forage01","18","1513261","0.0-8.0-10.0","A1Z0O5MC9DAE8C","1517429662074","0","42","gold","0","gold","8000"
"845","","forage01","19","1514209","0.0-8.0-11.0","A1Z0O5MC9DAE8C","1517429662074","0","41","dirt","0","gold","8000"
"694","","forage01","20","1515005","0.0-8.0-12.0","A1Z0O5MC9DAE8C","1517429662074","0","40","dirt","0","gold","8000"
"633","","forage01","21","1515741","0.0-8.0-13.0","A1Z0O5MC9DAE8C","1517429662074","0","39","dirt","0","gold","8000"
"1212","","forage01","22","1517055","0.0-8.0-14.0","A1Z0O5MC9DAE8C","1517429662074","0","38","dirt","0","gold","8000"
"593","","forage01","23","1517751","0.0-8.0-15.0","A1Z0O5MC9DAE8C","1517429662074","0","37","dirt","0","gold","8000"
"663","","forage01","24","1518517","0.0-8.0-16.0","A1Z0O5MC9DAE8C","1517429662074","0","36","dirt","0","gold","8000"
"551","","forage01","25","1519171","0.0-8.0-17.0","A1Z0O5MC9DAE8C","1517429662074","1","35","gold","1000","gold","9000"
"360","","forage01","26","1519633","0.0-8.0-18.0","A1Z0O5MC9DAE8C","1517429662074","1","34","gold","1000","gold","10000"
