"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"9839","32","text","0","9847","0.0-0.0","A1ZVTAK0GLO959","1516908368946","","","","","",""
"46878","32","text","1","56835","0.0-1.0","A1ZVTAK0GLO959","1516908368946","","","","","",""
"3529","32","text","2","60469","0.0-2.0","A1ZVTAK0GLO959","1516908368946","","","","","",""
"39138","32","text","3","99718","0.0-3.0","A1ZVTAK0GLO959","1516908368946","","","","","",""
"55958","32","mine-text","4","156442","0.0-4.0","A1ZVTAK0GLO959","1516908368946","","","","","",""
"41357","32","text","5","197906","0.0-5.0","A1ZVTAK0GLO959","1516908368946","","","","","",""
"22630","32","text","6","220640","0.0-6.0","A1ZVTAK0GLO959","1516908368946","","","","","",""
"17244","32","mine-text","7","238411","0.0-7.0","A1ZVTAK0GLO959","1516908368946","","","","","",""
"7700","","forage01","8","246229","0.0-8.0-0.0","A1ZVTAK0GLO959","1516908368946","0","52","dirt","0","no mineshafts yet","0"
"8549","","forage01","9","254888","0.0-8.0-1.0","A1ZVTAK0GLO959","1516908368946","0","51","dirt","0","dirt","0"
"4542","","forage01","10","259544","0.0-8.0-2.0","A1ZVTAK0GLO959","1516908368946","0","50","dirt","0","dirt","0"
"3470","","forage01","11","263122","0.0-8.0-3.0","A1ZVTAK0GLO959","1516908368946","0","49","dirt","0","dirt","0"
"3835","","forage01","12","267068","0.0-8.0-4.0","A1ZVTAK0GLO959","1516908368946","0","48","dirt","0","dirt","0"
"2237","","forage01","13","269422","0.0-8.0-5.0","A1ZVTAK0GLO959","1516908368946","0","47","gold","0","dirt","0"
"7058","","forage01","14","276593","0.0-8.0-6.0","A1ZVTAK0GLO959","1516908368946","1","46","gold","1000","gold","1000"
"1665","","forage01","15","278366","0.0-8.0-7.0","A1ZVTAK0GLO959","1516908368946","1","45","gold","1000","gold","2000"
"1724","","forage01","16","280204","0.0-8.0-8.0","A1ZVTAK0GLO959","1516908368946","1","44","gold","1000","gold","3000"
"3226","","forage01","17","283550","0.0-8.0-9.0","A1ZVTAK0GLO959","1516908368946","1","43","gold","1000","gold","4000"
"5636","","forage01","18","289299","0.0-8.0-10.0","A1ZVTAK0GLO959","1516908368946","1","42","gold","1000","gold","5000"
"2651","","forage01","19","292068","0.0-8.0-11.0","A1ZVTAK0GLO959","1516908368946","1","41","gold","1000","gold","6000"
"2461","","forage01","20","294640","0.0-8.0-12.0","A1ZVTAK0GLO959","1516908368946","1","40","gold","1000","gold","7000"
"832","","forage01","21","295583","0.0-8.0-13.0","A1ZVTAK0GLO959","1516908368946","1","39","gold","1000","gold","8000"
"690","","forage01","22","296381","0.0-8.0-14.0","A1ZVTAK0GLO959","1516908368946","1","38","gold","1000","gold","9000"
"651","","forage01","23","297141","0.0-8.0-15.0","A1ZVTAK0GLO959","1516908368946","1","37","gold","1000","gold","10000"
"965","","forage01","24","298219","0.0-8.0-16.0","A1ZVTAK0GLO959","1516908368946","0","36","dirt","0","gold","10000"
"4081","","forage01","25","302412","0.0-8.0-17.0","A1ZVTAK0GLO959","1516908368946","1","35","gold","1000","gold","11000"
"1729","","forage01","26","304251","0.0-8.0-18.0","A1ZVTAK0GLO959","1516908368946","1","34","gold","1000","gold","12000"
"807","","forage01","27","305169","0.0-8.0-19.0","A1ZVTAK0GLO959","1516908368946","1","33","gold","1000","gold","13000"
"1087","","forage01","28","306370","0.0-8.0-20.0","A1ZVTAK0GLO959","1516908368946","1","32","gold","1000","gold","14000"
"632","","forage01","29","307118","0.0-8.0-21.0","A1ZVTAK0GLO959","1516908368946","1","31","gold","1000","gold","15000"
"730","","forage01","30","307964","0.0-8.0-22.0","A1ZVTAK0GLO959","1516908368946","0","30","gold","0","gold","15000"
"3644","","forage01","31","311717","0.0-8.0-23.0","A1ZVTAK0GLO959","1516908368946","0","29","gold","0","gold","15000"
"1494","","forage01","32","313320","0.0-8.0-24.0","A1ZVTAK0GLO959","1516908368946","0","28","dirt","0","gold","15000"
"1688","","forage01","33","315123","0.0-8.0-25.0","A1ZVTAK0GLO959","1516908368946","1","27","gold","1000","gold","16000"
"1346","","forage01","34","316582","0.0-8.0-26.0","A1ZVTAK0GLO959","1516908368946","1","26","gold","1000","gold","17000"
