"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"2065","32","text","0","2068","0.0-0.0","A28FMRMS9TMEOZ","1516904653769","","","","","",""
"1551","32","text","1","3722","0.0-1.0","A28FMRMS9TMEOZ","1516904653769","","","","","",""
"674","32","text","2","4498","0.0-2.0","A28FMRMS9TMEOZ","1516904653769","","","","","",""
"16217","32","text","3","20819","0.0-3.0","A28FMRMS9TMEOZ","1516904653769","","","","","",""
"14530","32","mine-text","4","35721","0.0-4.0","A28FMRMS9TMEOZ","1516904653769","","","","","",""
"6648","32","text","5","42474","0.0-5.0","A28FMRMS9TMEOZ","1516904653769","","","","","",""
"4570","32","text","6","47149","0.0-6.0","A28FMRMS9TMEOZ","1516904653769","","","","","",""
"7956","32","mine-text","7","55525","0.0-7.0","A28FMRMS9TMEOZ","1516904653769","","","","","",""
"5842","","forage01","8","61480","0.0-8.0-0.0","A28FMRMS9TMEOZ","1516904653769","0","52","dirt","0","no mineshafts yet","0"
"1631","","forage01","9","63215","0.0-8.0-1.0","A28FMRMS9TMEOZ","1516904653769","0","51","gold","0","dirt","0"
"998","","forage01","10","64321","0.0-8.0-2.0","A28FMRMS9TMEOZ","1516904653769","0","50","dirt","0","gold","0"
"922","","forage01","11","65349","0.0-8.0-3.0","A28FMRMS9TMEOZ","1516904653769","0","49","dirt","0","gold","0"
"980","","forage01","12","66434","0.0-8.0-4.0","A28FMRMS9TMEOZ","1516904653769","0","48","dirt","0","gold","0"
"1270","","forage01","13","67813","0.0-8.0-5.0","A28FMRMS9TMEOZ","1516904653769","0","47","dirt","0","gold","0"
"494","","forage01","14","68415","0.0-8.0-6.0","A28FMRMS9TMEOZ","1516904653769","0","46","dirt","0","gold","0"
"618","","forage01","15","69138","0.0-8.0-7.0","A28FMRMS9TMEOZ","1516904653769","0","45","dirt","0","gold","0"
"1363","","forage01","16","70607","0.0-8.0-8.0","A28FMRMS9TMEOZ","1516904653769","0","44","dirt","0","gold","0"
"464","","forage01","17","71176","0.0-8.0-9.0","A28FMRMS9TMEOZ","1516904653769","0","43","dirt","0","gold","0"
"477","","forage01","18","71763","0.0-8.0-10.0","A28FMRMS9TMEOZ","1516904653769","0","42","dirt","0","gold","0"
"521","","forage01","19","72389","0.0-8.0-11.0","A28FMRMS9TMEOZ","1516904653769","0","41","gold","0","gold","0"
"485","","forage01","20","72983","0.0-8.0-12.0","A28FMRMS9TMEOZ","1516904653769","0","40","dirt","0","gold","0"
"664","","forage01","21","73757","0.0-8.0-13.0","A28FMRMS9TMEOZ","1516904653769","0","39","dirt","0","gold","0"
"500","","forage01","22","74365","0.0-8.0-14.0","A28FMRMS9TMEOZ","1516904653769","0","38","gold","0","gold","0"
"426","","forage01","23","74901","0.0-8.0-15.0","A28FMRMS9TMEOZ","1516904653769","0","37","dirt","0","gold","0"
"1114","","forage01","24","76124","0.0-8.0-16.0","A28FMRMS9TMEOZ","1516904653769","0","36","dirt","0","gold","0"
"1037","","forage01","25","77270","0.0-8.0-17.0","A28FMRMS9TMEOZ","1516904653769","0","35","dirt","0","gold","0"
"559","","forage01","26","77937","0.0-8.0-18.0","A28FMRMS9TMEOZ","1516904653769","0","34","dirt","0","gold","0"
"652","","forage01","27","78699","0.0-8.0-19.0","A28FMRMS9TMEOZ","1516904653769","0","33","dirt","0","gold","0"
"468","","forage01","28","79277","0.0-8.0-20.0","A28FMRMS9TMEOZ","1516904653769","0","32","dirt","0","gold","0"
"453","","forage01","29","79839","0.0-8.0-21.0","A28FMRMS9TMEOZ","1516904653769","0","31","dirt","0","gold","0"
"879","","forage01","30","80828","0.0-8.0-22.0","A28FMRMS9TMEOZ","1516904653769","0","30","dirt","0","gold","0"
"459","","forage01","31","81395","0.0-8.0-23.0","A28FMRMS9TMEOZ","1516904653769","0","29","dirt","0","gold","0"
"806","","forage01","32","82311","0.0-8.0-24.0","A28FMRMS9TMEOZ","1516904653769","1","28","gold","1000","gold","1000"
"1045","","forage01","33","83467","0.0-8.0-25.0","A28FMRMS9TMEOZ","1516904653769","1","27","gold","1000","gold","2000"
"435","","forage01","34","84013","0.0-8.0-26.0","A28FMRMS9TMEOZ","1516904653769","1","26","gold","1000","gold","3000"
"393","","forage01","35","84515","0.0-8.0-27.0","A28FMRMS9TMEOZ","1516904653769","1","25","gold","1000","gold","4000"
"273","","forage01","36","84894","0.0-8.0-28.0","A28FMRMS9TMEOZ","1516904653769","1","24","gold","1000","gold","5000"
"162","","forage01","37","85165","0.0-8.0-29.0","A28FMRMS9TMEOZ","1516904653769","1","23","gold","1000","gold","6000"
"143","","forage01","38","85415","0.0-8.0-30.0","A28FMRMS9TMEOZ","1516904653769","1","22","gold","1000","gold","7000"
"88","","forage01","39","85615","0.0-8.0-31.0","A28FMRMS9TMEOZ","1516904653769","1","21","gold","1000","gold","8000"
"71","","forage01","40","85802","0.0-8.0-32.0","A28FMRMS9TMEOZ","1516904653769","1","20","gold","1000","gold","9000"
"73","","forage01","41","85985","0.0-8.0-33.0","A28FMRMS9TMEOZ","1516904653769","1","19","gold","1000","gold","10000"
"67","","forage01","42","86162","0.0-8.0-34.0","A28FMRMS9TMEOZ","1516904653769","1","18","gold","1000","gold","11000"
"69","","forage01","43","86338","0.0-8.0-35.0","A28FMRMS9TMEOZ","1516904653769","1","17","gold","1000","gold","12000"
"94","","forage01","44","86539","0.0-8.0-36.0","A28FMRMS9TMEOZ","1516904653769","1","16","gold","1000","gold","13000"
"275","","forage01","45","86923","0.0-8.0-37.0","A28FMRMS9TMEOZ","1516904653769","1","15","gold","1000","gold","14000"
"76","","forage01","46","87109","0.0-8.0-38.0","A28FMRMS9TMEOZ","1516904653769","1","14","gold","1000","gold","15000"
"101","","forage01","47","87318","0.0-8.0-39.0","A28FMRMS9TMEOZ","1516904653769","1","13","gold","1000","gold","16000"
"87","","forage01","48","87512","0.0-8.0-40.0","A28FMRMS9TMEOZ","1516904653769","1","12","gold","1000","gold","17000"
"83","","forage01","49","87704","0.0-8.0-41.0","A28FMRMS9TMEOZ","1516904653769","1","11","gold","1000","gold","18000"
"306","","forage01","50","88116","0.0-8.0-42.0","A28FMRMS9TMEOZ","1516904653769","1","10","gold","1000","gold","19000"
"76","","forage01","51","88306","0.0-8.0-43.0","A28FMRMS9TMEOZ","1516904653769","1","9","gold","1000","gold","20000"
"106","","forage01","52","88522","0.0-8.0-44.0","A28FMRMS9TMEOZ","1516904653769","1","8","gold","1000","gold","21000"
"292","","forage01","53","88923","0.0-8.0-45.0","A28FMRMS9TMEOZ","1516904653769","1","7","gold","1000","gold","22000"
"262","","forage01","54","89296","0.0-8.0-46.0","A28FMRMS9TMEOZ","1516904653769","1","6","gold","1000","gold","23000"
"113","","forage01","55","89518","0.0-8.0-47.0","A28FMRMS9TMEOZ","1516904653769","1","5","gold","1000","gold","24000"
"297","","forage01","56","89919","0.0-8.0-48.0","A28FMRMS9TMEOZ","1516904653769","1","4","gold","1000","gold","25000"
"108","","forage01","57","90131","0.0-8.0-49.0","A28FMRMS9TMEOZ","1516904653769","1","3","gold","1000","gold","26000"
"296","","forage01","58","90533","0.0-8.0-50.0","A28FMRMS9TMEOZ","1516904653769","1","2","gold","1000","gold","27000"
"287","","forage01","59","90926","0.0-8.0-51.0","A28FMRMS9TMEOZ","1516904653769","1","1","gold","1000","gold","28000"
"10889","32","mine-text","60","102147","0.0-9.0","A28FMRMS9TMEOZ","1516904653769","","","","","",""
"1007","","forage01","61","103260","0.0-10.0-0.0","A28FMRMS9TMEOZ","1516904653769","0","52","dirt","0","no mineshafts yet","0"
"545","","forage01","62","103908","0.0-10.0-1.0","A28FMRMS9TMEOZ","1516904653769","0","51","dirt","0","dirt","0"
"369","","forage01","63","104384","0.0-10.0-2.0","A28FMRMS9TMEOZ","1516904653769","0","50","dirt","0","dirt","0"
"264","","forage01","64","104754","0.0-10.0-3.0","A28FMRMS9TMEOZ","1516904653769","0","49","dirt","0","dirt","0"
"132","","forage01","65","104992","0.0-10.0-4.0","A28FMRMS9TMEOZ","1516904653769","0","48","gold","0","dirt","0"
"75","","forage01","66","105176","0.0-10.0-5.0","A28FMRMS9TMEOZ","1516904653769","0","47","dirt","0","gold","0"
"98","","forage01","67","105382","0.0-10.0-6.0","A28FMRMS9TMEOZ","1516904653769","0","46","dirt","0","gold","0"
"449","","forage01","68","105938","0.0-10.0-7.0","A28FMRMS9TMEOZ","1516904653769","0","45","dirt","0","gold","0"
"101","","forage01","69","106145","0.0-10.0-8.0","A28FMRMS9TMEOZ","1516904653769","0","44","gold","0","gold","0"
"384","","forage01","70","106637","0.0-10.0-9.0","A28FMRMS9TMEOZ","1516904653769","0","43","dirt","0","gold","0"
"112","","forage01","71","106857","0.0-10.0-10.0","A28FMRMS9TMEOZ","1516904653769","0","42","gold","0","gold","0"
"112","","forage01","72","107074","0.0-10.0-11.0","A28FMRMS9TMEOZ","1516904653769","0","41","dirt","0","gold","0"
"301","","forage01","73","107481","0.0-10.0-12.0","A28FMRMS9TMEOZ","1516904653769","0","40","dirt","0","gold","0"
"100","","forage01","74","107689","0.0-10.0-13.0","A28FMRMS9TMEOZ","1516904653769","0","39","dirt","0","gold","0"
"103","","forage01","75","107900","0.0-10.0-14.0","A28FMRMS9TMEOZ","1516904653769","0","38","gold","0","gold","0"
"121","","forage01","76","108125","0.0-10.0-15.0","A28FMRMS9TMEOZ","1516904653769","0","37","gold","0","gold","0"
"372","","forage01","77","108603","0.0-10.0-16.0","A28FMRMS9TMEOZ","1516904653769","0","36","dirt","0","gold","0"
"156","","forage01","78","108868","0.0-10.0-17.0","A28FMRMS9TMEOZ","1516904653769","0","35","dirt","0","gold","0"
"128","","forage01","79","109105","0.0-10.0-18.0","A28FMRMS9TMEOZ","1516904653769","0","34","gold","0","gold","0"
"129","","forage01","80","109343","0.0-10.0-19.0","A28FMRMS9TMEOZ","1516904653769","0","33","dirt","0","gold","0"
"425","","forage01","81","109876","0.0-10.0-20.0","A28FMRMS9TMEOZ","1516904653769","0","32","dirt","0","gold","0"
"321","","forage01","82","110314","0.0-10.0-21.0","A28FMRMS9TMEOZ","1516904653769","0","31","dirt","0","gold","0"
"1064","","forage01","83","111488","0.0-10.0-22.0","A28FMRMS9TMEOZ","1516904653769","0","30","dirt","0","gold","0"
"235","","forage01","84","111830","0.0-10.0-23.0","A28FMRMS9TMEOZ","1516904653769","0","29","dirt","0","gold","0"
"137","","forage01","85","112080","0.0-10.0-24.0","A28FMRMS9TMEOZ","1516904653769","0","28","dirt","0","gold","0"
"165","","forage01","86","112352","0.0-10.0-25.0","A28FMRMS9TMEOZ","1516904653769","0","27","dirt","0","gold","0"
