"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"3690","32","text","0","3697","0.0-0.0","A2D773GY0L2LLP","1517428165603","","","","","",""
"6499","32","text","1","10305","0.0-1.0","A2D773GY0L2LLP","1517428165603","","","","","",""
"1030","32","text","2","11445","0.0-2.0","A2D773GY0L2LLP","1517428165603","","","","","",""
"81061","32","text","3","92619","0.0-3.0","A2D773GY0L2LLP","1517428165603","","","","","",""
"8335","32","mine-text","4","101614","0.0-4.0","A2D773GY0L2LLP","1517428165603","","","","","",""
"3713","32","text","5","105435","0.0-5.0","A2D773GY0L2LLP","1517428165603","","","","","",""
"4078","32","text","6","109616","0.0-6.0","A2D773GY0L2LLP","1517428165603","","","","","",""
"4110","32","mine-text","7","114138","0.0-7.0","A2D773GY0L2LLP","1517428165603","","","","","",""
"4920","","forage01","8","119176","0.0-8.0-0.0","A2D773GY0L2LLP","1517428165603","0","52","gold","0","no mineshafts yet","0"
"4839","","forage01","9","124136","0.0-8.0-1.0","A2D773GY0L2LLP","1517428165603","0","51","dirt","0","gold","0"
"981","","forage01","10","125231","0.0-8.0-2.0","A2D773GY0L2LLP","1517428165603","0","50","dirt","0","gold","0"
"573","","forage01","11","125919","0.0-8.0-3.0","A2D773GY0L2LLP","1517428165603","0","49","dirt","0","gold","0"
"548","","forage01","12","126573","0.0-8.0-4.0","A2D773GY0L2LLP","1517428165603","0","48","gold","0","gold","0"
"508","","forage01","13","127200","0.0-8.0-5.0","A2D773GY0L2LLP","1517428165603","0","47","dirt","0","gold","0"
"4480","","forage01","14","131789","0.0-8.0-6.0","A2D773GY0L2LLP","1517428165603","1","46","gold","1000","gold","1000"
"899","","forage01","15","132797","0.0-8.0-7.0","A2D773GY0L2LLP","1517428165603","1","45","gold","1000","gold","2000"
"437","","forage01","16","133355","0.0-8.0-8.0","A2D773GY0L2LLP","1517428165603","1","44","gold","1000","gold","3000"
"245","","forage01","17","133727","0.0-8.0-9.0","A2D773GY0L2LLP","1517428165603","1","43","gold","1000","gold","4000"
"87","","forage01","18","133942","0.0-8.0-10.0","A2D773GY0L2LLP","1517428165603","1","42","gold","1000","gold","5000"
"186","","forage01","19","134243","0.0-8.0-11.0","A2D773GY0L2LLP","1517428165603","1","41","gold","1000","gold","6000"
"133","","forage01","20","134486","0.0-8.0-12.0","A2D773GY0L2LLP","1517428165603","1","40","gold","1000","gold","7000"
"298","","forage01","21","134900","0.0-8.0-13.0","A2D773GY0L2LLP","1517428165603","1","39","gold","1000","gold","8000"
"124","","forage01","22","135143","0.0-8.0-14.0","A2D773GY0L2LLP","1517428165603","1","38","gold","1000","gold","9000"
"191","","forage01","23","135441","0.0-8.0-15.0","A2D773GY0L2LLP","1517428165603","1","37","gold","1000","gold","10000"
