"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"10445","32","text","0","10449","0.0-0.0","A2GZ00IMOT6L3X","1517430151345","","","","","",""
"46147","32","text","1","56698","0.0-1.0","A2GZ00IMOT6L3X","1517430151345","","","","","",""
"3325","32","text","2","60124","0.0-2.0","A2GZ00IMOT6L3X","1517430151345","","","","","",""
"28320","32","text","3","88545","0.0-3.0","A2GZ00IMOT6L3X","1517430151345","","","","","",""
"48116","32","mine-text","4","136951","0.0-4.0","A2GZ00IMOT6L3X","1517430151345","","","","","",""
"29354","32","text","5","166406","0.0-5.0","A2GZ00IMOT6L3X","1517430151345","","","","","",""
"10210","32","text","6","176717","0.0-6.0","A2GZ00IMOT6L3X","1517430151345","","","","","",""
"15798","32","mine-text","7","192819","0.0-7.0","A2GZ00IMOT6L3X","1517430151345","","","","","",""
"4583","","forage01","8","197508","0.0-8.0-0.0","A2GZ00IMOT6L3X","1517430151345","0","52","gold","0","no mineshafts yet","0"
"3040","","forage01","9","200652","0.0-8.0-1.0","A2GZ00IMOT6L3X","1517430151345","0","51","dirt","0","gold","0"
"1145","","forage01","10","201899","0.0-8.0-2.0","A2GZ00IMOT6L3X","1517430151345","0","50","dirt","0","gold","0"
"1113","","forage01","11","203115","0.0-8.0-3.0","A2GZ00IMOT6L3X","1517430151345","0","49","dirt","0","gold","0"
"1001","","forage01","12","204219","0.0-8.0-4.0","A2GZ00IMOT6L3X","1517430151345","0","48","diamond","0","gold","0"
"1993","","forage01","13","206315","0.0-8.0-5.0","A2GZ00IMOT6L3X","1517430151345","1","47","diamond","100000","diamond","100000"
"969","","forage01","14","207387","0.0-8.0-6.0","A2GZ00IMOT6L3X","1517430151345","1","46","diamond","100000","diamond","200000"
"1088","","forage01","15","208579","0.0-8.0-7.0","A2GZ00IMOT6L3X","1517430151345","1","45","diamond","100000","diamond","300000"
"484","","forage01","16","209166","0.0-8.0-8.0","A2GZ00IMOT6L3X","1517430151345","1","44","diamond","100000","diamond","400000"
"326","","forage01","17","209595","0.0-8.0-9.0","A2GZ00IMOT6L3X","1517430151345","1","43","diamond","100000","diamond","500000"
"314","","forage01","18","210011","0.0-8.0-10.0","A2GZ00IMOT6L3X","1517430151345","1","42","diamond","100000","diamond","600000"
"336","","forage01","19","210459","0.0-8.0-11.0","A2GZ00IMOT6L3X","1517430151345","1","41","diamond","100000","diamond","700000"
"273","","forage01","20","210835","0.0-8.0-12.0","A2GZ00IMOT6L3X","1517430151345","1","40","diamond","100000","diamond","800000"
"297","","forage01","21","211235","0.0-8.0-13.0","A2GZ00IMOT6L3X","1517430151345","1","39","diamond","100000","diamond","900000"
"281","","forage01","22","211619","0.0-8.0-14.0","A2GZ00IMOT6L3X","1517430151345","1","38","diamond","100000","diamond","1000000"
"272","","forage01","23","211995","0.0-8.0-15.0","A2GZ00IMOT6L3X","1517430151345","1","37","diamond","100000","diamond","1100000"
"264","","forage01","24","212363","0.0-8.0-16.0","A2GZ00IMOT6L3X","1517430151345","1","36","diamond","100000","diamond","1200000"
