"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"10764","32","text","0","10773","0.0-0.0","A2LU0M63MF4PUU","1516904661504","","","","","",""
"11339","32","text","1","22229","0.0-1.0","A2LU0M63MF4PUU","1516904661504","","","","","",""
"3925","32","text","2","26269","0.0-2.0","A2LU0M63MF4PUU","1516904661504","","","","","",""
"22328","32","text","3","48712","0.0-3.0","A2LU0M63MF4PUU","1516904661504","","","","","",""
"53037","32","mine-text","4","102306","0.0-4.0","A2LU0M63MF4PUU","1516904661504","","","","","",""
"34122","32","text","5","136534","0.0-5.0","A2LU0M63MF4PUU","1516904661504","","","","","",""
"12546","32","text","6","149191","0.0-6.0","A2LU0M63MF4PUU","1516904661504","","","","","",""
"15329","32","mine-text","7","165052","0.0-7.0","A2LU0M63MF4PUU","1516904661504","","","","","",""
"7087","","forage01","8","172261","0.0-8.0-0.0","A2LU0M63MF4PUU","1516904661504","0","52","dirt","0","no mineshafts yet","0"
"7538","","forage01","9","179935","0.0-8.0-1.0","A2LU0M63MF4PUU","1516904661504","1","51","dirt","0","dirt","0"
"2109","","forage01","10","182164","0.0-8.0-2.0","A2LU0M63MF4PUU","1516904661504","1","50","dirt","0","dirt","0"
"1862","","forage01","11","184144","0.0-8.0-3.0","A2LU0M63MF4PUU","1516904661504","0","49","gold","0","dirt","0"
"4546","","forage01","12","188802","0.0-8.0-4.0","A2LU0M63MF4PUU","1516904661504","1","48","gold","1000","gold","1000"
"2167","","forage01","13","191089","0.0-8.0-5.0","A2LU0M63MF4PUU","1516904661504","1","47","gold","1000","gold","2000"
"1930","","forage01","14","193126","0.0-8.0-6.0","A2LU0M63MF4PUU","1516904661504","1","46","gold","1000","gold","3000"
"1277","","forage01","15","194527","0.0-8.0-7.0","A2LU0M63MF4PUU","1516904661504","1","45","gold","1000","gold","4000"
"1329","","forage01","16","195972","0.0-8.0-8.0","A2LU0M63MF4PUU","1516904661504","1","44","gold","1000","gold","5000"
"1772","","forage01","17","197857","0.0-8.0-9.0","A2LU0M63MF4PUU","1516904661504","1","43","gold","1000","gold","6000"
"1125","","forage01","18","199101","0.0-8.0-10.0","A2LU0M63MF4PUU","1516904661504","1","42","gold","1000","gold","7000"
"997","","forage01","19","200211","0.0-8.0-11.0","A2LU0M63MF4PUU","1516904661504","1","41","gold","1000","gold","8000"
"932","","forage01","20","201265","0.0-8.0-12.0","A2LU0M63MF4PUU","1516904661504","1","40","gold","1000","gold","9000"
"910","","forage01","21","202296","0.0-8.0-13.0","A2LU0M63MF4PUU","1516904661504","1","39","gold","1000","gold","10000"
"953","","forage01","22","203362","0.0-8.0-14.0","A2LU0M63MF4PUU","1516904661504","1","38","gold","1000","gold","11000"
"977","","forage01","23","204457","0.0-8.0-15.0","A2LU0M63MF4PUU","1516904661504","1","37","gold","1000","gold","12000"
"951","","forage01","24","205521","0.0-8.0-16.0","A2LU0M63MF4PUU","1516904661504","1","36","gold","1000","gold","13000"
"822","","forage01","25","206461","0.0-8.0-17.0","A2LU0M63MF4PUU","1516904661504","1","35","gold","1000","gold","14000"
"703","","forage01","26","207285","0.0-8.0-18.0","A2LU0M63MF4PUU","1516904661504","1","34","gold","1000","gold","15000"
"864","","forage01","27","208269","0.0-8.0-19.0","A2LU0M63MF4PUU","1516904661504","1","33","gold","1000","gold","16000"
"714","","forage01","28","209096","0.0-8.0-20.0","A2LU0M63MF4PUU","1516904661504","1","32","gold","1000","gold","17000"
"839","","forage01","29","210048","0.0-8.0-21.0","A2LU0M63MF4PUU","1516904661504","1","31","gold","1000","gold","18000"
"897","","forage01","30","211078","0.0-8.0-22.0","A2LU0M63MF4PUU","1516904661504","1","30","gold","1000","gold","19000"
"781","","forage01","31","211983","0.0-8.0-23.0","A2LU0M63MF4PUU","1516904661504","1","29","gold","1000","gold","20000"
"699","","forage01","32","212792","0.0-8.0-24.0","A2LU0M63MF4PUU","1516904661504","1","28","gold","1000","gold","21000"
"644","","forage01","33","213554","0.0-8.0-25.0","A2LU0M63MF4PUU","1516904661504","1","27","gold","1000","gold","22000"
"814","","forage01","34","214491","0.0-8.0-26.0","A2LU0M63MF4PUU","1516904661504","1","26","gold","1000","gold","23000"
"898","","forage01","35","215503","0.0-8.0-27.0","A2LU0M63MF4PUU","1516904661504","1","25","gold","1000","gold","24000"
"764","","forage01","36","216384","0.0-8.0-28.0","A2LU0M63MF4PUU","1516904661504","1","24","gold","1000","gold","25000"
"720","","forage01","37","217212","0.0-8.0-29.0","A2LU0M63MF4PUU","1516904661504","1","23","gold","1000","gold","26000"
"612","","forage01","38","217938","0.0-8.0-30.0","A2LU0M63MF4PUU","1516904661504","1","22","gold","1000","gold","27000"
"624","","forage01","39","218682","0.0-8.0-31.0","A2LU0M63MF4PUU","1516904661504","1","21","gold","1000","gold","28000"
"652","","forage01","40","219455","0.0-8.0-32.0","A2LU0M63MF4PUU","1516904661504","1","20","gold","1000","gold","29000"
"688","","forage01","41","220266","0.0-8.0-33.0","A2LU0M63MF4PUU","1516904661504","1","19","gold","1000","gold","30000"
"948","","forage01","42","221331","0.0-8.0-34.0","A2LU0M63MF4PUU","1516904661504","1","18","gold","1000","gold","31000"
"703","","forage01","43","222142","0.0-8.0-35.0","A2LU0M63MF4PUU","1516904661504","1","17","gold","1000","gold","32000"
"736","","forage01","44","222994","0.0-8.0-36.0","A2LU0M63MF4PUU","1516904661504","1","16","gold","1000","gold","33000"
"843","","forage01","45","223956","0.0-8.0-37.0","A2LU0M63MF4PUU","1516904661504","1","15","gold","1000","gold","34000"
"824","","forage01","46","224900","0.0-8.0-38.0","A2LU0M63MF4PUU","1516904661504","1","14","gold","1000","gold","35000"
"984","","forage01","47","226003","0.0-8.0-39.0","A2LU0M63MF4PUU","1516904661504","1","13","gold","1000","gold","36000"
"614","","forage01","48","226733","0.0-8.0-40.0","A2LU0M63MF4PUU","1516904661504","1","12","gold","1000","gold","37000"
"838","","forage01","49","227686","0.0-8.0-41.0","A2LU0M63MF4PUU","1516904661504","1","11","gold","1000","gold","38000"
"707","","forage01","50","228516","0.0-8.0-42.0","A2LU0M63MF4PUU","1516904661504","1","10","gold","1000","gold","39000"
"729","","forage01","51","229360","0.0-8.0-43.0","A2LU0M63MF4PUU","1516904661504","1","9","gold","1000","gold","40000"
"670","","forage01","52","230138","0.0-8.0-44.0","A2LU0M63MF4PUU","1516904661504","1","8","gold","1000","gold","41000"
"677","","forage01","53","230935","0.0-8.0-45.0","A2LU0M63MF4PUU","1516904661504","1","7","gold","1000","gold","42000"
"654","","forage01","54","231701","0.0-8.0-46.0","A2LU0M63MF4PUU","1516904661504","1","6","gold","1000","gold","43000"
"672","","forage01","55","232476","0.0-8.0-47.0","A2LU0M63MF4PUU","1516904661504","1","5","gold","1000","gold","44000"
"614","","forage01","56","233198","0.0-8.0-48.0","A2LU0M63MF4PUU","1516904661504","1","4","gold","1000","gold","45000"
"627","","forage01","57","233940","0.0-8.0-49.0","A2LU0M63MF4PUU","1516904661504","1","3","gold","1000","gold","46000"
"646","","forage01","58","234701","0.0-8.0-50.0","A2LU0M63MF4PUU","1516904661504","1","2","gold","1000","gold","47000"
"614","","forage01","59","235430","0.0-8.0-51.0","A2LU0M63MF4PUU","1516904661504","1","1","gold","1000","gold","48000"
"4996","32","mine-text","60","240938","0.0-9.0","A2LU0M63MF4PUU","1516904661504","","","","","",""
"2004","","forage01","61","243059","0.0-10.0-0.0","A2LU0M63MF4PUU","1516904661504","0","52","dirt","0","no mineshafts yet","0"
"1524","","forage01","62","244693","0.0-10.0-1.0","A2LU0M63MF4PUU","1516904661504","0","51","dirt","0","dirt","0"
"1037","","forage01","63","245847","0.0-10.0-2.0","A2LU0M63MF4PUU","1516904661504","0","50","dirt","0","dirt","0"
"1150","","forage01","64","247109","0.0-10.0-3.0","A2LU0M63MF4PUU","1516904661504","1","49","dirt","0","dirt","0"
"734","","forage01","65","247963","0.0-10.0-4.0","A2LU0M63MF4PUU","1516904661504","1","48","dirt","0","dirt","0"
"615","","forage01","66","248697","0.0-10.0-5.0","A2LU0M63MF4PUU","1516904661504","1","47","dirt","0","dirt","0"
"1320","","forage01","67","250131","0.0-10.0-6.0","A2LU0M63MF4PUU","1516904661504","0","46","dirt","0","dirt","0"
"823","","forage01","68","251083","0.0-10.0-7.0","A2LU0M63MF4PUU","1516904661504","1","45","dirt","0","dirt","0"
"996","","forage01","69","252192","0.0-10.0-8.0","A2LU0M63MF4PUU","1516904661504","1","44","dirt","0","dirt","0"
"517","","forage01","70","252833","0.0-10.0-9.0","A2LU0M63MF4PUU","1516904661504","1","43","dirt","0","dirt","0"
"440","","forage01","71","253395","0.0-10.0-10.0","A2LU0M63MF4PUU","1516904661504","1","42","dirt","0","dirt","0"
"528","","forage01","72","254041","0.0-10.0-11.0","A2LU0M63MF4PUU","1516904661504","1","41","dirt","0","dirt","0"
"672","","forage01","73","254829","0.0-10.0-12.0","A2LU0M63MF4PUU","1516904661504","0","40","dirt","0","dirt","0"
"979","","forage01","74","255919","0.0-10.0-13.0","A2LU0M63MF4PUU","1516904661504","0","39","dirt","0","dirt","0"
"1045","","forage01","75","257087","0.0-10.0-14.0","A2LU0M63MF4PUU","1516904661504","0","38","dirt","0","dirt","0"
"647","","forage01","76","257852","0.0-10.0-15.0","A2LU0M63MF4PUU","1516904661504","0","37","gold","0","dirt","0"
"2661","","forage01","77","260630","0.0-10.0-16.0","A2LU0M63MF4PUU","1516904661504","1","36","gold","1000","gold","1000"
"519","","forage01","78","261259","0.0-10.0-17.0","A2LU0M63MF4PUU","1516904661504","1","35","gold","1000","gold","2000"
"551","","forage01","79","261929","0.0-10.0-18.0","A2LU0M63MF4PUU","1516904661504","1","34","gold","1000","gold","3000"
"454","","forage01","80","262493","0.0-10.0-19.0","A2LU0M63MF4PUU","1516904661504","1","33","gold","1000","gold","4000"
"440","","forage01","81","263055","0.0-10.0-20.0","A2LU0M63MF4PUU","1516904661504","1","32","gold","1000","gold","5000"
"406","","forage01","82","263580","0.0-10.0-21.0","A2LU0M63MF4PUU","1516904661504","1","31","gold","1000","gold","6000"
"397","","forage01","83","264092","0.0-10.0-22.0","A2LU0M63MF4PUU","1516904661504","1","30","gold","1000","gold","7000"
"394","","forage01","84","264607","0.0-10.0-23.0","A2LU0M63MF4PUU","1516904661504","1","29","gold","1000","gold","8000"
"506","","forage01","85","265231","0.0-10.0-24.0","A2LU0M63MF4PUU","1516904661504","1","28","gold","1000","gold","9000"
"522","","forage01","86","265860","0.0-10.0-25.0","A2LU0M63MF4PUU","1516904661504","1","27","gold","1000","gold","10000"
"473","","forage01","87","266452","0.0-10.0-26.0","A2LU0M63MF4PUU","1516904661504","1","26","gold","1000","gold","11000"
"472","","forage01","88","267083","0.0-10.0-27.0","A2LU0M63MF4PUU","1516904661504","1","25","gold","1000","gold","12000"
"488","","forage01","89","267692","0.0-10.0-28.0","A2LU0M63MF4PUU","1516904661504","1","24","gold","1000","gold","13000"
"507","","forage01","90","268317","0.0-10.0-29.0","A2LU0M63MF4PUU","1516904661504","1","23","gold","1000","gold","14000"
"453","","forage01","91","268881","0.0-10.0-30.0","A2LU0M63MF4PUU","1516904661504","1","22","gold","1000","gold","15000"
"447","","forage01","92","269466","0.0-10.0-31.0","A2LU0M63MF4PUU","1516904661504","1","21","gold","1000","gold","16000"
"453","","forage01","93","270031","0.0-10.0-32.0","A2LU0M63MF4PUU","1516904661504","1","20","gold","1000","gold","17000"
"636","","forage01","94","270788","0.0-10.0-33.0","A2LU0M63MF4PUU","1516904661504","1","19","gold","1000","gold","18000"
"493","","forage01","95","271402","0.0-10.0-34.0","A2LU0M63MF4PUU","1516904661504","1","18","gold","1000","gold","19000"
"466","","forage01","96","271981","0.0-10.0-35.0","A2LU0M63MF4PUU","1516904661504","1","17","gold","1000","gold","20000"
"438","","forage01","97","272544","0.0-10.0-36.0","A2LU0M63MF4PUU","1516904661504","1","16","gold","1000","gold","21000"
"379","","forage01","98","273047","0.0-10.0-37.0","A2LU0M63MF4PUU","1516904661504","1","15","gold","1000","gold","22000"
"358","","forage01","99","273535","0.0-10.0-38.0","A2LU0M63MF4PUU","1516904661504","1","14","gold","1000","gold","23000"
"325","","forage01","100","273982","0.0-10.0-39.0","A2LU0M63MF4PUU","1516904661504","1","13","gold","1000","gold","24000"
"394","","forage01","101","274498","0.0-10.0-40.0","A2LU0M63MF4PUU","1516904661504","1","12","gold","1000","gold","25000"
"543","","forage01","102","275157","0.0-10.0-41.0","A2LU0M63MF4PUU","1516904661504","1","11","gold","1000","gold","26000"
"310","","forage01","103","275590","0.0-10.0-42.0","A2LU0M63MF4PUU","1516904661504","1","10","gold","1000","gold","27000"
"225","","forage01","104","275944","0.0-10.0-43.0","A2LU0M63MF4PUU","1516904661504","1","9","gold","1000","gold","28000"
"345","","forage01","105","276403","0.0-10.0-44.0","A2LU0M63MF4PUU","1516904661504","1","8","gold","1000","gold","29000"
"279","","forage01","106","276802","0.0-10.0-45.0","A2LU0M63MF4PUU","1516904661504","1","7","gold","1000","gold","30000"
"318","","forage01","107","277242","0.0-10.0-46.0","A2LU0M63MF4PUU","1516904661504","1","6","gold","1000","gold","31000"
"300","","forage01","108","277657","0.0-10.0-47.0","A2LU0M63MF4PUU","1516904661504","1","5","gold","1000","gold","32000"
"252","","forage01","109","278028","0.0-10.0-48.0","A2LU0M63MF4PUU","1516904661504","1","4","gold","1000","gold","33000"
"425","","forage01","110","278578","0.0-10.0-49.0","A2LU0M63MF4PUU","1516904661504","1","3","gold","1000","gold","34000"
"391","","forage01","111","279082","0.0-10.0-50.0","A2LU0M63MF4PUU","1516904661504","1","2","gold","1000","gold","35000"
"630","","forage01","112","279834","0.0-10.0-51.0","A2LU0M63MF4PUU","1516904661504","1","1","gold","1000","gold","36000"
"2299","32","mine-text","113","282581","0.0-11.0","A2LU0M63MF4PUU","1516904661504","","","","","",""
"1422","","forage01","114","284106","0.0-12.0-0.0","A2LU0M63MF4PUU","1516904661504","0","52","dirt","0","no mineshafts yet","0"
"662","","forage01","115","284883","0.0-12.0-1.0","A2LU0M63MF4PUU","1516904661504","0","51","dirt","0","dirt","0"
"642","","forage01","116","285639","0.0-12.0-2.0","A2LU0M63MF4PUU","1516904661504","0","50","dirt","0","dirt","0"
"549","","forage01","117","286295","0.0-12.0-3.0","A2LU0M63MF4PUU","1516904661504","0","49","dirt","0","dirt","0"
