"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"3461","32","text","0","3464","0.0-0.0","A2PZG5F8RIESH9","1516909108660","","","","","",""
"2152","32","text","1","5718","0.0-1.0","A2PZG5F8RIESH9","1516909108660","","","","","",""
"1285","32","text","2","7104","0.0-2.0","A2PZG5F8RIESH9","1516909108660","","","","","",""
"10965","32","text","3","18175","0.0-3.0","A2PZG5F8RIESH9","1516909108660","","","","","",""
"15355","32","mine-text","4","33783","0.0-4.0","A2PZG5F8RIESH9","1516909108660","","","","","",""
"15459","32","text","5","49344","0.0-5.0","A2PZG5F8RIESH9","1516909108660","","","","","",""
"4426","32","text","6","53872","0.0-6.0","A2PZG5F8RIESH9","1516909108660","","","","","",""
"4860","32","mine-text","7","59032","0.0-7.0","A2PZG5F8RIESH9","1516909108660","","","","","",""
"11682","","forage01","8","70818","0.0-8.0-0.0","A2PZG5F8RIESH9","1516909108660","0","52","diamond","0","no mineshafts yet","0"
"9552","","forage01","9","80473","0.0-8.0-1.0","A2PZG5F8RIESH9","1516909108660","1","51","diamond","100000","diamond","100000"
"989","","forage01","10","81569","0.0-8.0-2.0","A2PZG5F8RIESH9","1516909108660","1","50","diamond","100000","diamond","200000"
"888","","forage01","11","82561","0.0-8.0-3.0","A2PZG5F8RIESH9","1516909108660","1","49","diamond","100000","diamond","300000"
"460","","forage01","12","83124","0.0-8.0-4.0","A2PZG5F8RIESH9","1516909108660","1","48","diamond","100000","diamond","400000"
"444","","forage01","13","83673","0.0-8.0-5.0","A2PZG5F8RIESH9","1516909108660","1","47","diamond","100000","diamond","500000"
"447","","forage01","14","84225","0.0-8.0-6.0","A2PZG5F8RIESH9","1516909108660","1","46","diamond","100000","diamond","600000"
"473","","forage01","15","84800","0.0-8.0-7.0","A2PZG5F8RIESH9","1516909108660","1","45","diamond","100000","diamond","700000"
"400","","forage01","16","85305","0.0-8.0-8.0","A2PZG5F8RIESH9","1516909108660","1","44","diamond","100000","diamond","800000"
"394","","forage01","17","85801","0.0-8.0-9.0","A2PZG5F8RIESH9","1516909108660","1","43","diamond","100000","diamond","900000"
"391","","forage01","18","86297","0.0-8.0-10.0","A2PZG5F8RIESH9","1516909108660","1","42","diamond","100000","diamond","1000000"
"431","","forage01","19","86833","0.0-8.0-11.0","A2PZG5F8RIESH9","1516909108660","1","41","diamond","100000","diamond","1100000"
"373","","forage01","20","87313","0.0-8.0-12.0","A2PZG5F8RIESH9","1516909108660","1","40","diamond","100000","diamond","1200000"
