"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"6426","32","text","0","6446","0.0-0.0","A2RBF3IIJP15IH","1517430590463","","","","","",""
"2198","32","text","1","8800","0.0-1.0","A2RBF3IIJP15IH","1517430590463","","","","","",""
"2703","32","text","2","11645","0.0-2.0","A2RBF3IIJP15IH","1517430590463","","","","","",""
"2130198","32","text","3","2141952","0.0-3.0","A2RBF3IIJP15IH","1517430590463","","","","","",""
"30805","32","mine-text","4","2173745","0.0-4.0","A2RBF3IIJP15IH","1517430590463","","","","","",""
"23839","32","text","5","2197705","0.0-5.0","A2RBF3IIJP15IH","1517430590463","","","","","",""
"10246","32","text","6","2208064","0.0-6.0","A2RBF3IIJP15IH","1517430590463","","","","","",""
"16914","32","mine-text","7","2226189","0.0-7.0","A2RBF3IIJP15IH","1517430590463","","","","","",""
"5913","","forage01","8","2232260","0.0-8.0-0.0","A2RBF3IIJP15IH","1517430590463","0","52","dirt","0","no mineshafts yet","0"
"7859","","forage01","9","2240236","0.0-8.0-1.0","A2RBF3IIJP15IH","1517430590463","0","51","gold","0","dirt","0"
"4484","","forage01","10","2244836","0.0-8.0-2.0","A2RBF3IIJP15IH","1517430590463","1","50","gold","1000","gold","1000"
"757","","forage01","11","2245707","0.0-8.0-3.0","A2RBF3IIJP15IH","1517430590463","1","49","gold","1000","gold","2000"
"456","","forage01","12","2246358","0.0-8.0-4.0","A2RBF3IIJP15IH","1517430590463","1","48","gold","1000","gold","3000"
"459","","forage01","13","2246924","0.0-8.0-5.0","A2RBF3IIJP15IH","1517430590463","1","47","gold","1000","gold","4000"
"380","","forage01","14","2247410","0.0-8.0-6.0","A2RBF3IIJP15IH","1517430590463","1","46","gold","1000","gold","5000"
"305","","forage01","15","2247835","0.0-8.0-7.0","A2RBF3IIJP15IH","1517430590463","1","45","gold","1000","gold","6000"
"321","","forage01","16","2248272","0.0-8.0-8.0","A2RBF3IIJP15IH","1517430590463","1","44","gold","1000","gold","7000"
"302","","forage01","17","2248680","0.0-8.0-9.0","A2RBF3IIJP15IH","1517430590463","1","43","gold","1000","gold","8000"
"283","","forage01","18","2249073","0.0-8.0-10.0","A2RBF3IIJP15IH","1517430590463","1","42","gold","1000","gold","9000"
"326","","forage01","19","2249550","0.0-8.0-11.0","A2RBF3IIJP15IH","1517430590463","1","41","gold","1000","gold","10000"
"242","","forage01","20","2249923","0.0-8.0-12.0","A2RBF3IIJP15IH","1517430590463","1","40","gold","1000","gold","11000"
"521","","forage01","21","2250588","0.0-8.0-13.0","A2RBF3IIJP15IH","1517430590463","1","39","gold","1000","gold","12000"
"287","","forage01","22","2250986","0.0-8.0-14.0","A2RBF3IIJP15IH","1517430590463","1","38","gold","1000","gold","13000"
"330","","forage01","23","2251422","0.0-8.0-15.0","A2RBF3IIJP15IH","1517430590463","1","37","gold","1000","gold","14000"
"280","","forage01","24","2251826","0.0-8.0-16.0","A2RBF3IIJP15IH","1517430590463","1","36","gold","1000","gold","15000"
"285","","forage01","25","2252242","0.0-8.0-17.0","A2RBF3IIJP15IH","1517430590463","1","35","gold","1000","gold","16000"
"279","","forage01","26","2252627","0.0-8.0-18.0","A2RBF3IIJP15IH","1517430590463","1","34","gold","1000","gold","17000"
"273","","forage01","27","2253043","0.0-8.0-19.0","A2RBF3IIJP15IH","1517430590463","1","33","gold","1000","gold","18000"
