"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"88889","32","text","0","88892","0.0-0.0","A2SJC9VRBGNC58","1516903442744","","","","","",""
"10409","32","text","1","99403","0.0-1.0","A2SJC9VRBGNC58","1516903442744","","","","","",""
"2088","32","text","2","101593","0.0-2.0","A2SJC9VRBGNC58","1516903442744","","","","","",""
"22311","32","text","3","124016","0.0-3.0","A2SJC9VRBGNC58","1516903442744","","","","","",""
"24503","32","mine-text","4","148891","0.0-4.0","A2SJC9VRBGNC58","1516903442744","","","","","",""
"40800","32","text","5","189796","0.0-5.0","A2SJC9VRBGNC58","1516903442744","","","","","",""
"13361","32","text","6","203259","0.0-6.0","A2SJC9VRBGNC58","1516903442744","","","","","",""
"14190","32","mine-text","7","217827","0.0-7.0","A2SJC9VRBGNC58","1516903442744","","","","","",""
"9661","","forage01","8","227595","0.0-8.0-0.0","A2SJC9VRBGNC58","1516903442744","0","52","gold","0","no mineshafts yet","0"
"44979","","forage01","9","272683","0.0-8.0-1.0","A2SJC9VRBGNC58","1516903442744","0","51","dirt","0","gold","0"
"4381","","forage01","10","277170","0.0-8.0-2.0","A2SJC9VRBGNC58","1516903442744","0","50","dirt","0","gold","0"
"3983","","forage01","11","281258","0.0-8.0-3.0","A2SJC9VRBGNC58","1516903442744","0","49","gold","0","gold","0"
"4573","","forage01","12","285938","0.0-8.0-4.0","A2SJC9VRBGNC58","1516903442744","0","48","dirt","0","gold","0"
"1192","","forage01","13","287234","0.0-8.0-5.0","A2SJC9VRBGNC58","1516903442744","0","47","gold","0","gold","0"
"4080","","forage01","14","291418","0.0-8.0-6.0","A2SJC9VRBGNC58","1516903442744","1","46","gold","1000","gold","1000"
"6617","","forage01","15","298146","0.0-8.0-7.0","A2SJC9VRBGNC58","1516903442744","1","45","gold","1000","gold","2000"
"1734","","forage01","16","299986","0.0-8.0-8.0","A2SJC9VRBGNC58","1516903442744","1","44","gold","1000","gold","3000"
"1843","","forage01","17","301938","0.0-8.0-9.0","A2SJC9VRBGNC58","1516903442744","1","43","gold","1000","gold","4000"
"1292","","forage01","18","303338","0.0-8.0-10.0","A2SJC9VRBGNC58","1516903442744","1","42","gold","1000","gold","5000"
"1224","","forage01","19","304674","0.0-8.0-11.0","A2SJC9VRBGNC58","1516903442744","1","41","gold","1000","gold","6000"
"1104","","forage01","20","305890","0.0-8.0-12.0","A2SJC9VRBGNC58","1516903442744","1","40","gold","1000","gold","7000"
"1229","","forage01","21","307226","0.0-8.0-13.0","A2SJC9VRBGNC58","1516903442744","1","39","gold","1000","gold","8000"
"980","","forage01","22","308314","0.0-8.0-14.0","A2SJC9VRBGNC58","1516903442744","1","38","gold","1000","gold","9000"
"1040","","forage01","23","309466","0.0-8.0-15.0","A2SJC9VRBGNC58","1516903442744","1","37","gold","1000","gold","10000"
"1409","","forage01","24","310986","0.0-8.0-16.0","A2SJC9VRBGNC58","1516903442744","1","36","gold","1000","gold","11000"
"863","","forage01","25","311954","0.0-8.0-17.0","A2SJC9VRBGNC58","1516903442744","1","35","gold","1000","gold","12000"
"1363","","forage01","26","313426","0.0-8.0-18.0","A2SJC9VRBGNC58","1516903442744","1","34","gold","1000","gold","13000"
"969","","forage01","27","314507","0.0-8.0-19.0","A2SJC9VRBGNC58","1516903442744","1","33","gold","1000","gold","14000"
"1371","","forage01","28","315986","0.0-8.0-20.0","A2SJC9VRBGNC58","1516903442744","1","32","gold","1000","gold","15000"
"1404","","forage01","29","317498","0.0-8.0-21.0","A2SJC9VRBGNC58","1516903442744","1","31","gold","1000","gold","16000"
"1341","","forage01","30","318946","0.0-8.0-22.0","A2SJC9VRBGNC58","1516903442744","1","30","gold","1000","gold","17000"
"1610","","forage01","31","320666","0.0-8.0-23.0","A2SJC9VRBGNC58","1516903442744","1","29","gold","1000","gold","18000"
"1065","","forage01","32","321842","0.0-8.0-24.0","A2SJC9VRBGNC58","1516903442744","1","28","gold","1000","gold","19000"
"1143","","forage01","33","323090","0.0-8.0-25.0","A2SJC9VRBGNC58","1516903442744","1","27","gold","1000","gold","20000"
"1504","","forage01","34","324698","0.0-8.0-26.0","A2SJC9VRBGNC58","1516903442744","1","26","gold","1000","gold","21000"
"1049","","forage01","35","325858","0.0-8.0-27.0","A2SJC9VRBGNC58","1516903442744","0","25","gold","0","gold","21000"
"2869","","forage01","36","328834","0.0-8.0-28.0","A2SJC9VRBGNC58","1516903442744","0","24","dirt","0","gold","21000"
"1189","","forage01","37","330131","0.0-8.0-29.0","A2SJC9VRBGNC58","1516903442744","0","23","dirt","0","gold","21000"
"1125","","forage01","38","331362","0.0-8.0-30.0","A2SJC9VRBGNC58","1516903442744","1","22","gold","1000","gold","22000"
"839","","forage01","39","332314","0.0-8.0-31.0","A2SJC9VRBGNC58","1516903442744","1","21","gold","1000","gold","23000"
"1163","","forage01","40","333586","0.0-8.0-32.0","A2SJC9VRBGNC58","1516903442744","1","20","gold","1000","gold","24000"
"950","","forage01","41","334642","0.0-8.0-33.0","A2SJC9VRBGNC58","1516903442744","1","19","gold","1000","gold","25000"
"833","","forage01","42","335586","0.0-8.0-34.0","A2SJC9VRBGNC58","1516903442744","1","18","gold","1000","gold","26000"
"975","","forage01","43","336666","0.0-8.0-35.0","A2SJC9VRBGNC58","1516903442744","1","17","gold","1000","gold","27000"
"1571","","forage01","44","338346","0.0-8.0-36.0","A2SJC9VRBGNC58","1516903442744","1","16","gold","1000","gold","28000"
"1041","","forage01","45","339499","0.0-8.0-37.0","A2SJC9VRBGNC58","1516903442744","1","15","gold","1000","gold","29000"
"1092","","forage01","46","340697","0.0-8.0-38.0","A2SJC9VRBGNC58","1516903442744","1","14","gold","1000","gold","30000"
"1049","","forage01","47","341850","0.0-8.0-39.0","A2SJC9VRBGNC58","1516903442744","1","13","gold","1000","gold","31000"
"894","","forage01","48","342850","0.0-8.0-40.0","A2SJC9VRBGNC58","1516903442744","1","12","gold","1000","gold","32000"
"1311","","forage01","49","344265","0.0-8.0-41.0","A2SJC9VRBGNC58","1516903442744","1","11","gold","1000","gold","33000"
"1162","","forage01","50","345537","0.0-8.0-42.0","A2SJC9VRBGNC58","1516903442744","1","10","gold","1000","gold","34000"
"858","","forage01","51","346506","0.0-8.0-43.0","A2SJC9VRBGNC58","1516903442744","0","9","gold","0","gold","34000"
"1157","","forage01","52","347777","0.0-8.0-44.0","A2SJC9VRBGNC58","1516903442744","0","8","dirt","0","gold","34000"
