"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"11400","32","text","0","11415","0.0-0.0","A2SOHTPWH4VGP5","1517429626943","","","","","",""
"23237","32","text","1","34769","0.0-1.0","A2SOHTPWH4VGP5","1517429626943","","","","","",""
"1881","32","text","2","36751","0.0-2.0","A2SOHTPWH4VGP5","1517429626943","","","","","",""
"21546","32","text","3","58400","0.0-3.0","A2SOHTPWH4VGP5","1517429626943","","","","","",""
"40692","32","mine-text","4","99612","0.0-4.0","A2SOHTPWH4VGP5","1517429626943","","","","","",""
"66130","32","text","5","165842","0.0-5.0","A2SOHTPWH4VGP5","1517429626943","","","","","",""
"24653","32","text","6","190596","0.0-6.0","A2SOHTPWH4VGP5","1517429626943","","","","","",""
"29025","32","mine-text","7","220171","0.0-7.0","A2SOHTPWH4VGP5","1517429626943","","","","","",""
"3577","","forage01","8","223857","0.0-8.0-0.0","A2SOHTPWH4VGP5","1517429626943","0","52","dirt","0","no mineshafts yet","0"
"6247","","forage01","9","230209","0.0-8.0-1.0","A2SOHTPWH4VGP5","1517429626943","0","51","dirt","0","dirt","0"
"1125","","forage01","10","231439","0.0-8.0-2.0","A2SOHTPWH4VGP5","1517429626943","0","50","dirt","0","dirt","0"
"3915","","forage01","11","235458","0.0-8.0-3.0","A2SOHTPWH4VGP5","1517429626943","0","49","dirt","0","dirt","0"
"3660","","forage01","12","239223","0.0-8.0-4.0","A2SOHTPWH4VGP5","1517429626943","0","48","dirt","0","dirt","0"
"993","","forage01","13","240322","0.0-8.0-5.0","A2SOHTPWH4VGP5","1517429626943","0","47","dirt","0","dirt","0"
"810","","forage01","14","241237","0.0-8.0-6.0","A2SOHTPWH4VGP5","1517429626943","0","46","dirt","0","dirt","0"
"738","","forage01","15","242081","0.0-8.0-7.0","A2SOHTPWH4VGP5","1517429626943","0","45","dirt","0","dirt","0"
"940","","forage01","16","243127","0.0-8.0-8.0","A2SOHTPWH4VGP5","1517429626943","0","44","dirt","0","dirt","0"
"1778","","forage01","17","245011","0.0-8.0-9.0","A2SOHTPWH4VGP5","1517429626943","0","43","gold","0","dirt","0"
"1505","","forage01","18","246623","0.0-8.0-10.0","A2SOHTPWH4VGP5","1517429626943","1","42","gold","1000","gold","1000"
"2588","","forage01","19","249318","0.0-8.0-11.0","A2SOHTPWH4VGP5","1517429626943","1","41","gold","1000","gold","2000"
"1124","","forage01","20","250549","0.0-8.0-12.0","A2SOHTPWH4VGP5","1517429626943","1","40","gold","1000","gold","3000"
"778","","forage01","21","251435","0.0-8.0-13.0","A2SOHTPWH4VGP5","1517429626943","1","39","gold","1000","gold","4000"
"757","","forage01","22","252300","0.0-8.0-14.0","A2SOHTPWH4VGP5","1517429626943","1","38","gold","1000","gold","5000"
