"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"2788","32","text","0","2792","0.0-0.0","A2TVJTQ4VXATE6","1516905135611","","","","","",""
"2145","32","text","1","5038","0.0-1.0","A2TVJTQ4VXATE6","1516905135611","","","","","",""
"834","32","text","2","5974","0.0-2.0","A2TVJTQ4VXATE6","1516905135611","","","","","",""
"88034","32","text","3","94111","0.0-3.0","A2TVJTQ4VXATE6","1516905135611","","","","","",""
"8320","32","mine-text","4","102654","0.0-4.0","A2TVJTQ4VXATE6","1516905135611","","","","","",""
"5483","32","text","5","108238","0.0-5.0","A2TVJTQ4VXATE6","1516905135611","","","","","",""
"1124","32","text","6","109462","0.0-6.0","A2TVJTQ4VXATE6","1516905135611","","","","","",""
"9779","32","mine-text","7","119486","0.0-7.0","A2TVJTQ4VXATE6","1516905135611","","","","","",""
"3658","","forage01","8","123248","0.0-8.0-0.0","A2TVJTQ4VXATE6","1516905135611","0","52","gold","0","no mineshafts yet","0"
"1855","","forage01","9","125205","0.0-8.0-1.0","A2TVJTQ4VXATE6","1516905135611","1","51","gold","1000","gold","1000"
"6657","","forage01","10","131964","0.0-8.0-2.0","A2TVJTQ4VXATE6","1516905135611","1","50","gold","1000","gold","2000"
"1447","","forage01","11","133513","0.0-8.0-3.0","A2TVJTQ4VXATE6","1516905135611","1","49","gold","1000","gold","3000"
"540","","forage01","12","134155","0.0-8.0-4.0","A2TVJTQ4VXATE6","1516905135611","1","48","gold","1000","gold","4000"
"471","","forage01","13","134729","0.0-8.0-5.0","A2TVJTQ4VXATE6","1516905135611","1","47","gold","1000","gold","5000"
"359","","forage01","14","135189","0.0-8.0-6.0","A2TVJTQ4VXATE6","1516905135611","1","46","gold","1000","gold","6000"
"353","","forage01","15","135645","0.0-8.0-7.0","A2TVJTQ4VXATE6","1516905135611","1","45","gold","1000","gold","7000"
"320","","forage01","16","136067","0.0-8.0-8.0","A2TVJTQ4VXATE6","1516905135611","1","44","gold","1000","gold","8000"
"585","","forage01","17","136753","0.0-8.0-9.0","A2TVJTQ4VXATE6","1516905135611","1","43","gold","1000","gold","9000"
"333","","forage01","18","137187","0.0-8.0-10.0","A2TVJTQ4VXATE6","1516905135611","1","42","gold","1000","gold","10000"
"424","","forage01","19","137713","0.0-8.0-11.0","A2TVJTQ4VXATE6","1516905135611","0","41","dirt","0","gold","10000"
"1188","","forage01","20","139003","0.0-8.0-12.0","A2TVJTQ4VXATE6","1516905135611","0","40","gold","0","gold","10000"
"735","","forage01","21","139839","0.0-8.0-13.0","A2TVJTQ4VXATE6","1516905135611","1","39","gold","1000","gold","11000"
"506","","forage01","22","140447","0.0-8.0-14.0","A2TVJTQ4VXATE6","1516905135611","1","38","gold","1000","gold","12000"
"646","","forage01","23","141195","0.0-8.0-15.0","A2TVJTQ4VXATE6","1516905135611","0","37","gold","0","gold","12000"
"1246","","forage01","24","142543","0.0-8.0-16.0","A2TVJTQ4VXATE6","1516905135611","1","36","gold","1000","gold","13000"
"467","","forage01","25","143113","0.0-8.0-17.0","A2TVJTQ4VXATE6","1516905135611","1","35","gold","1000","gold","14000"
"252","","forage01","26","143468","0.0-8.0-18.0","A2TVJTQ4VXATE6","1516905135611","1","34","gold","1000","gold","15000"
"164","","forage01","27","143735","0.0-8.0-19.0","A2TVJTQ4VXATE6","1516905135611","1","33","gold","1000","gold","16000"
"243","","forage01","28","144081","0.0-8.0-20.0","A2TVJTQ4VXATE6","1516905135611","1","32","gold","1000","gold","17000"
"555","","forage01","29","144737","0.0-8.0-21.0","A2TVJTQ4VXATE6","1516905135611","1","31","gold","1000","gold","18000"
"493","","forage01","30","145333","0.0-8.0-22.0","A2TVJTQ4VXATE6","1516905135611","0","30","gold","0","gold","18000"
"914","","forage01","31","146349","0.0-8.0-23.0","A2TVJTQ4VXATE6","1516905135611","1","29","gold","1000","gold","19000"
"244","","forage01","32","146695","0.0-8.0-24.0","A2TVJTQ4VXATE6","1516905135611","1","28","gold","1000","gold","20000"
"288","","forage01","33","147086","0.0-8.0-25.0","A2TVJTQ4VXATE6","1516905135611","1","27","gold","1000","gold","21000"
"241","","forage01","34","147429","0.0-8.0-26.0","A2TVJTQ4VXATE6","1516905135611","1","26","gold","1000","gold","22000"
"270","","forage01","35","147803","0.0-8.0-27.0","A2TVJTQ4VXATE6","1516905135611","1","25","gold","1000","gold","23000"
"333","","forage01","36","148237","0.0-8.0-28.0","A2TVJTQ4VXATE6","1516905135611","0","24","gold","0","gold","23000"
"818","","forage01","37","149157","0.0-8.0-29.0","A2TVJTQ4VXATE6","1516905135611","1","23","gold","1000","gold","24000"
"200","","forage01","38","149459","0.0-8.0-30.0","A2TVJTQ4VXATE6","1516905135611","1","22","gold","1000","gold","25000"
"180","","forage01","39","149742","0.0-8.0-31.0","A2TVJTQ4VXATE6","1516905135611","1","21","gold","1000","gold","26000"
"301","","forage01","40","150145","0.0-8.0-32.0","A2TVJTQ4VXATE6","1516905135611","0","20","dirt","0","gold","26000"
"1101","","forage01","41","151349","0.0-8.0-33.0","A2TVJTQ4VXATE6","1516905135611","0","19","gold","0","gold","26000"
"770","","forage01","42","152221","0.0-8.0-34.0","A2TVJTQ4VXATE6","1516905135611","1","18","gold","1000","gold","27000"
"397","","forage01","43","152723","0.0-8.0-35.0","A2TVJTQ4VXATE6","1516905135611","1","17","gold","1000","gold","28000"
"434","","forage01","44","153259","0.0-8.0-36.0","A2TVJTQ4VXATE6","1516905135611","1","16","gold","1000","gold","29000"
"430","","forage01","45","153791","0.0-8.0-37.0","A2TVJTQ4VXATE6","1516905135611","1","15","gold","1000","gold","30000"
"394","","forage01","46","154287","0.0-8.0-38.0","A2TVJTQ4VXATE6","1516905135611","1","14","gold","1000","gold","31000"
"201","","forage01","47","154591","0.0-8.0-39.0","A2TVJTQ4VXATE6","1516905135611","1","13","gold","1000","gold","32000"
"218","","forage01","48","154912","0.0-8.0-40.0","A2TVJTQ4VXATE6","1516905135611","1","12","gold","1000","gold","33000"
"199","","forage01","49","155213","0.0-8.0-41.0","A2TVJTQ4VXATE6","1516905135611","1","11","gold","1000","gold","34000"
"229","","forage01","50","155545","0.0-8.0-42.0","A2TVJTQ4VXATE6","1516905135611","1","10","gold","1000","gold","35000"
"224","","forage01","51","155871","0.0-8.0-43.0","A2TVJTQ4VXATE6","1516905135611","1","9","gold","1000","gold","36000"
"227","","forage01","52","156201","0.0-8.0-44.0","A2TVJTQ4VXATE6","1516905135611","1","8","gold","1000","gold","37000"
"243","","forage01","53","156546","0.0-8.0-45.0","A2TVJTQ4VXATE6","1516905135611","1","7","gold","1000","gold","38000"
"20711","","forage01","54","177360","0.0-8.0-46.0","A2TVJTQ4VXATE6","1516905135611","0","6","diamond","0","gold","38000"
"538","","forage01","55","178000","0.0-8.0-47.0","A2TVJTQ4VXATE6","1516905135611","1","5","diamond","100000","diamond","138000"
"298","","forage01","56","178402","0.0-8.0-48.0","A2TVJTQ4VXATE6","1516905135611","1","4","diamond","100000","diamond","238000"
"331","","forage01","57","178838","0.0-8.0-49.0","A2TVJTQ4VXATE6","1516905135611","1","3","diamond","100000","diamond","338000"
"304","","forage01","58","179246","0.0-8.0-50.0","A2TVJTQ4VXATE6","1516905135611","1","2","diamond","100000","diamond","438000"
"552","","forage01","59","179900","0.0-8.0-51.0","A2TVJTQ4VXATE6","1516905135611","1","1","diamond","100000","diamond","538000"
"2175","32","mine-text","60","182286","0.0-9.0","A2TVJTQ4VXATE6","1516905135611","","","","","",""
"1061","","forage01","61","183448","0.0-10.0-0.0","A2TVJTQ4VXATE6","1516905135611","0","52","dirt","0","no mineshafts yet","0"
"554","","forage01","62","184104","0.0-10.0-1.0","A2TVJTQ4VXATE6","1516905135611","0","51","dirt","0","dirt","0"
"423","","forage01","63","184630","0.0-10.0-2.0","A2TVJTQ4VXATE6","1516905135611","0","50","dirt","0","dirt","0"
"389","","forage01","64","185120","0.0-10.0-3.0","A2TVJTQ4VXATE6","1516905135611","0","49","dirt","0","dirt","0"
"467","","forage01","65","185690","0.0-10.0-4.0","A2TVJTQ4VXATE6","1516905135611","0","48","gold","0","dirt","0"
"504","","forage01","66","186296","0.0-10.0-5.0","A2TVJTQ4VXATE6","1516905135611","0","47","gold","0","gold","0"
"367","","forage01","67","186765","0.0-10.0-6.0","A2TVJTQ4VXATE6","1516905135611","0","46","dirt","0","gold","0"
"4545","","forage01","68","191412","0.0-10.0-7.0","A2TVJTQ4VXATE6","1516905135611","0","45","dirt","0","gold","0"
"957","","forage01","69","192472","0.0-10.0-8.0","A2TVJTQ4VXATE6","1516905135611","0","44","gold","0","gold","0"
"571","","forage01","70","193146","0.0-10.0-9.0","A2TVJTQ4VXATE6","1516905135611","0","43","gold","0","gold","0"
"425","","forage01","71","193674","0.0-10.0-10.0","A2TVJTQ4VXATE6","1516905135611","0","42","dirt","0","gold","0"
"467","","forage01","72","194244","0.0-10.0-11.0","A2TVJTQ4VXATE6","1516905135611","0","41","dirt","0","gold","0"
"369","","forage01","73","194716","0.0-10.0-12.0","A2TVJTQ4VXATE6","1516905135611","0","40","dirt","0","gold","0"
"485","","forage01","74","195304","0.0-10.0-13.0","A2TVJTQ4VXATE6","1516905135611","0","39","dirt","0","gold","0"
"393","","forage01","75","195800","0.0-10.0-14.0","A2TVJTQ4VXATE6","1516905135611","0","38","dirt","0","gold","0"
"396","","forage01","76","196300","0.0-10.0-15.0","A2TVJTQ4VXATE6","1516905135611","0","37","gold","0","gold","0"
"828","","forage01","77","197232","0.0-10.0-16.0","A2TVJTQ4VXATE6","1516905135611","0","36","gold","0","gold","0"
"514","","forage01","78","197852","0.0-10.0-17.0","A2TVJTQ4VXATE6","1516905135611","0","35","dirt","0","gold","0"
"417","","forage01","79","198372","0.0-10.0-18.0","A2TVJTQ4VXATE6","1516905135611","0","34","dirt","0","gold","0"
"433","","forage01","80","198914","0.0-10.0-19.0","A2TVJTQ4VXATE6","1516905135611","0","33","gold","0","gold","0"
"411","","forage01","81","199429","0.0-10.0-20.0","A2TVJTQ4VXATE6","1516905135611","0","32","dirt","0","gold","0"
"396","","forage01","82","199928","0.0-10.0-21.0","A2TVJTQ4VXATE6","1516905135611","0","31","dirt","0","gold","0"
"439","","forage01","83","200470","0.0-10.0-22.0","A2TVJTQ4VXATE6","1516905135611","0","30","dirt","0","gold","0"
"699","","forage01","84","201272","0.0-10.0-23.0","A2TVJTQ4VXATE6","1516905135611","0","29","dirt","0","gold","0"
"386","","forage01","85","201762","0.0-10.0-24.0","A2TVJTQ4VXATE6","1516905135611","0","28","dirt","0","gold","0"
"326","","forage01","86","202192","0.0-10.0-25.0","A2TVJTQ4VXATE6","1516905135611","0","27","dirt","0","gold","0"
"515","","forage01","87","202812","0.0-10.0-26.0","A2TVJTQ4VXATE6","1516905135611","0","26","dirt","0","gold","0"
"318","","forage01","88","203234","0.0-10.0-27.0","A2TVJTQ4VXATE6","1516905135611","0","25","dirt","0","gold","0"
