"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"14790","32","text","0","14805","0.0-0.0","A2V3ECGQQYNO85","1517428787570","","","","","",""
"17951","32","text","1","32874","0.0-1.0","A2V3ECGQQYNO85","1517428787570","","","","","",""
"2295","32","text","2","35284","0.0-2.0","A2V3ECGQQYNO85","1517428787570","","","","","",""
"43463","32","text","3","78866","0.0-3.0","A2V3ECGQQYNO85","1517428787570","","","","","",""
"68376","32","mine-text","4","149169","0.0-4.0","A2V3ECGQQYNO85","1517428787570","","","","","",""
"23293","32","text","5","172567","0.0-5.0","A2V3ECGQQYNO85","1517428787570","","","","","",""
"9021","32","text","6","181698","0.0-6.0","A2V3ECGQQYNO85","1517428787570","","","","","",""
"13055","32","mine-text","7","196012","0.0-7.0","A2V3ECGQQYNO85","1517428787570","","","","","",""
"7873","","forage01","8","204016","0.0-8.0-0.0","A2V3ECGQQYNO85","1517428787570","0","52","gold","0","no mineshafts yet","0"
"14435","","forage01","9","218563","0.0-8.0-1.0","A2V3ECGQQYNO85","1517428787570","0","51","gold","0","gold","0"
"15165","","forage01","10","233838","0.0-8.0-2.0","A2V3ECGQQYNO85","1517428787570","0","50","diamond","0","gold","0"
"3011","","forage01","11","236971","0.0-8.0-3.0","A2V3ECGQQYNO85","1517428787570","1","49","diamond","100000","diamond","100000"
"2317","","forage01","12","239411","0.0-8.0-4.0","A2V3ECGQQYNO85","1517428787570","1","48","diamond","100000","diamond","200000"
"4214","","forage01","13","243804","0.0-8.0-5.0","A2V3ECGQQYNO85","1517428787570","1","47","diamond","100000","diamond","300000"
"1777","","forage01","14","245698","0.0-8.0-6.0","A2V3ECGQQYNO85","1517428787570","1","46","diamond","100000","diamond","400000"
"11367","","forage01","15","257179","0.0-8.0-7.0","A2V3ECGQQYNO85","1517428787570","1","45","diamond","100000","diamond","500000"
"1087","","forage01","16","258388","0.0-8.0-8.0","A2V3ECGQQYNO85","1517428787570","1","44","diamond","100000","diamond","600000"
"842","","forage01","17","259364","0.0-8.0-9.0","A2V3ECGQQYNO85","1517428787570","1","43","diamond","100000","diamond","700000"
"595","","forage01","18","260085","0.0-8.0-10.0","A2V3ECGQQYNO85","1517428787570","1","42","diamond","100000","diamond","800000"
"514","","forage01","19","260723","0.0-8.0-11.0","A2V3ECGQQYNO85","1517428787570","1","41","diamond","100000","diamond","900000"
"504","","forage01","20","261347","0.0-8.0-12.0","A2V3ECGQQYNO85","1517428787570","1","40","diamond","100000","diamond","1000000"
"462","","forage01","21","261923","0.0-8.0-13.0","A2V3ECGQQYNO85","1517428787570","1","39","diamond","100000","diamond","1100000"
"423","","forage01","22","262459","0.0-8.0-14.0","A2V3ECGQQYNO85","1517428787570","1","38","diamond","100000","diamond","1200000"
"570","","forage01","23","263163","0.0-8.0-15.0","A2V3ECGQQYNO85","1517428787570","1","37","diamond","100000","diamond","1300000"
"379","","forage01","24","263659","0.0-8.0-16.0","A2V3ECGQQYNO85","1517428787570","1","36","diamond","100000","diamond","1400000"
"500","","forage01","25","264274","0.0-8.0-17.0","A2V3ECGQQYNO85","1517428787570","1","35","diamond","100000","diamond","1500000"
"480","","forage01","26","264874","0.0-8.0-18.0","A2V3ECGQQYNO85","1517428787570","1","34","diamond","100000","diamond","1600000"
"472","","forage01","27","265459","0.0-8.0-19.0","A2V3ECGQQYNO85","1517428787570","1","33","diamond","100000","diamond","1700000"
"424","","forage01","28","266060","0.0-8.0-20.0","A2V3ECGQQYNO85","1517428787570","1","32","diamond","100000","diamond","1800000"
"450","","forage01","29","266634","0.0-8.0-21.0","A2V3ECGQQYNO85","1517428787570","1","31","diamond","100000","diamond","1900000"
"430","","forage01","30","267194","0.0-8.0-22.0","A2V3ECGQQYNO85","1517428787570","1","30","diamond","100000","diamond","2000000"
"475","","forage01","31","267818","0.0-8.0-23.0","A2V3ECGQQYNO85","1517428787570","1","29","diamond","100000","diamond","2100000"
"421","","forage01","32","268355","0.0-8.0-24.0","A2V3ECGQQYNO85","1517428787570","1","28","diamond","100000","diamond","2200000"
"443","","forage01","33","268922","0.0-8.0-25.0","A2V3ECGQQYNO85","1517428787570","1","27","diamond","100000","diamond","2300000"
"437","","forage01","34","269474","0.0-8.0-26.0","A2V3ECGQQYNO85","1517428787570","1","26","diamond","100000","diamond","2400000"
"426","","forage01","35","270019","0.0-8.0-27.0","A2V3ECGQQYNO85","1517428787570","1","25","diamond","100000","diamond","2500000"
"425","","forage01","36","270562","0.0-8.0-28.0","A2V3ECGQQYNO85","1517428787570","1","24","diamond","100000","diamond","2600000"
"428","","forage01","37","271108","0.0-8.0-29.0","A2V3ECGQQYNO85","1517428787570","1","23","diamond","100000","diamond","2700000"
"374","","forage01","38","271598","0.0-8.0-30.0","A2V3ECGQQYNO85","1517428787570","1","22","diamond","100000","diamond","2800000"
"384","","forage01","39","272140","0.0-8.0-31.0","A2V3ECGQQYNO85","1517428787570","1","21","diamond","100000","diamond","2900000"
"459","","forage01","40","272706","0.0-8.0-32.0","A2V3ECGQQYNO85","1517428787570","1","20","diamond","100000","diamond","3000000"
"392","","forage01","41","273220","0.0-8.0-33.0","A2V3ECGQQYNO85","1517428787570","1","19","diamond","100000","diamond","3100000"
"404","","forage01","42","273741","0.0-8.0-34.0","A2V3ECGQQYNO85","1517428787570","1","18","diamond","100000","diamond","3200000"
"409","","forage01","43","274258","0.0-8.0-35.0","A2V3ECGQQYNO85","1517428787570","1","17","diamond","100000","diamond","3300000"
"369","","forage01","44","274746","0.0-8.0-36.0","A2V3ECGQQYNO85","1517428787570","1","16","diamond","100000","diamond","3400000"
"352","","forage01","45","275210","0.0-8.0-37.0","A2V3ECGQQYNO85","1517428787570","1","15","diamond","100000","diamond","3500000"
"414","","forage01","46","275772","0.0-8.0-38.0","A2V3ECGQQYNO85","1517428787570","1","14","diamond","100000","diamond","3600000"
"410","","forage01","47","276290","0.0-8.0-39.0","A2V3ECGQQYNO85","1517428787570","1","13","diamond","100000","diamond","3700000"
"367","","forage01","48","276779","0.0-8.0-40.0","A2V3ECGQQYNO85","1517428787570","1","12","diamond","100000","diamond","3800000"
"385","","forage01","49","277275","0.0-8.0-41.0","A2V3ECGQQYNO85","1517428787570","1","11","diamond","100000","diamond","3900000"
"404","","forage01","50","277794","0.0-8.0-42.0","A2V3ECGQQYNO85","1517428787570","1","10","diamond","100000","diamond","4000000"
"435","","forage01","51","278354","0.0-8.0-43.0","A2V3ECGQQYNO85","1517428787570","1","9","diamond","100000","diamond","4100000"
"376","","forage01","52","278851","0.0-8.0-44.0","A2V3ECGQQYNO85","1517428787570","1","8","diamond","100000","diamond","4200000"
