"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"89733","32","text","0","89743","0.0-0.0","A2W3I2GBGDB637","1516905240484","","","","","",""
"72281","32","text","1","162140","0.0-1.0","A2W3I2GBGDB637","1516905240484","","","","","",""
"6650","32","text","2","168896","0.0-2.0","A2W3I2GBGDB637","1516905240484","","","","","",""
"29415","32","text","3","198420","0.0-3.0","A2W3I2GBGDB637","1516905240484","","","","","",""
"67995","32","mine-text","4","266806","0.0-4.0","A2W3I2GBGDB637","1516905240484","","","","","",""
"86337","32","text","5","353250","0.0-5.0","A2W3I2GBGDB637","1516905240484","","","","","",""
"10175","32","text","6","363531","0.0-6.0","A2W3I2GBGDB637","1516905240484","","","","","",""
"26108","32","mine-text","7","390142","0.0-7.0","A2W3I2GBGDB637","1516905240484","","","","","",""
"10149","","forage01","8","400408","0.0-8.0-0.0","A2W3I2GBGDB637","1516905240484","0","52","dirt","0","no mineshafts yet","0"
"16481","","forage01","9","416998","0.0-8.0-1.0","A2W3I2GBGDB637","1516905240484","0","51","dirt","0","dirt","0"
"3759","","forage01","10","420865","0.0-8.0-2.0","A2W3I2GBGDB637","1516905240484","0","50","dirt","0","dirt","0"
"2462","","forage01","11","423431","0.0-8.0-3.0","A2W3I2GBGDB637","1516905240484","0","49","gold","0","dirt","0"
"9440","","forage01","12","432978","0.0-8.0-4.0","A2W3I2GBGDB637","1516905240484","0","48","dirt","0","gold","0"
"1677","","forage01","13","434763","0.0-8.0-5.0","A2W3I2GBGDB637","1516905240484","0","47","gold","0","gold","0"
"5734","","forage01","14","440602","0.0-8.0-6.0","A2W3I2GBGDB637","1516905240484","0","46","dirt","0","gold","0"
"1099","","forage01","15","441811","0.0-8.0-7.0","A2W3I2GBGDB637","1516905240484","0","45","gold","0","gold","0"
"1878","","forage01","16","443798","0.0-8.0-8.0","A2W3I2GBGDB637","1516905240484","0","44","gold","0","gold","0"
"2025","","forage01","17","445935","0.0-8.0-9.0","A2W3I2GBGDB637","1516905240484","0","43","gold","0","gold","0"
"1882","","forage01","18","447930","0.0-8.0-10.0","A2W3I2GBGDB637","1516905240484","0","42","dirt","0","gold","0"
"1104","","forage01","19","449148","0.0-8.0-11.0","A2W3I2GBGDB637","1516905240484","0","41","dirt","0","gold","0"
