"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"10550","32","text","0","10586","0.0-0.0","A2YO837C0O1E91","1517431215556","","","","","",""
"12373","32","text","1","23065","0.0-1.0","A2YO837C0O1E91","1517431215556","","","","","",""
"2069","32","text","2","25240","0.0-2.0","A2YO837C0O1E91","1517431215556","","","","","",""
"17405","32","text","3","42761","0.0-3.0","A2YO837C0O1E91","1517431215556","","","","","",""
"27243","32","mine-text","4","71338","0.0-4.0","A2YO837C0O1E91","1517431215556","","","","","",""
"19402","32","text","5","90853","0.0-5.0","A2YO837C0O1E91","1517431215556","","","","","",""
"4711","32","text","6","95678","0.0-6.0","A2YO837C0O1E91","1517431215556","","","","","",""
"3964","32","mine-text","7","100655","0.0-7.0","A2YO837C0O1E91","1517431215556","","","","","",""
"5343","","forage01","8","106130","0.0-8.0-0.0","A2YO837C0O1E91","1517431215556","0","52","dirt","0","no mineshafts yet","0"
"4122","","forage01","9","110372","0.0-8.0-1.0","A2YO837C0O1E91","1517431215556","0","51","dirt","0","dirt","0"
"1441","","forage01","10","111929","0.0-8.0-2.0","A2YO837C0O1E91","1517431215556","0","50","dirt","0","dirt","0"
"733","","forage01","11","112781","0.0-8.0-3.0","A2YO837C0O1E91","1517431215556","1","49","dirt","0","dirt","0"
"1886","","forage01","12","114782","0.0-8.0-4.0","A2YO837C0O1E91","1517431215556","0","48","gold","0","dirt","0"
"819","","forage01","13","115721","0.0-8.0-5.0","A2YO837C0O1E91","1517431215556","0","47","dirt","0","gold","0"
"1664","","forage01","14","117504","0.0-8.0-6.0","A2YO837C0O1E91","1517431215556","0","46","dirt","0","gold","0"
"444","","forage01","15","118058","0.0-8.0-7.0","A2YO837C0O1E91","1517431215556","0","45","dirt","0","gold","0"
"1158","","forage01","16","119330","0.0-8.0-8.0","A2YO837C0O1E91","1517431215556","0","44","gold","0","gold","0"
"1125","","forage01","17","120587","0.0-8.0-9.0","A2YO837C0O1E91","1517431215556","1","43","gold","1000","gold","1000"
"446","","forage01","18","121151","0.0-8.0-10.0","A2YO837C0O1E91","1517431215556","1","42","gold","1000","gold","2000"
"421","","forage01","19","121690","0.0-8.0-11.0","A2YO837C0O1E91","1517431215556","1","41","gold","1000","gold","3000"
"411","","forage01","20","122222","0.0-8.0-12.0","A2YO837C0O1E91","1517431215556","1","40","gold","1000","gold","4000"
"450","","forage01","21","122787","0.0-8.0-13.0","A2YO837C0O1E91","1517431215556","1","39","gold","1000","gold","5000"
"435","","forage01","22","123339","0.0-8.0-14.0","A2YO837C0O1E91","1517431215556","1","38","gold","1000","gold","6000"
"829","","forage01","23","124289","0.0-8.0-15.0","A2YO837C0O1E91","1517431215556","1","37","gold","1000","gold","7000"
