"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"15357","32","text","0","15366","0.0-0.0","A31FD3QCYZ28Q2","1516909359492","","","","","",""
"20319","32","text","1","35791","0.0-1.0","A31FD3QCYZ28Q2","1516909359492","","","","","",""
"2985","32","text","2","38879","0.0-2.0","A31FD3QCYZ28Q2","1516909359492","","","","","",""
"17123","32","text","3","56107","0.0-3.0","A31FD3QCYZ28Q2","1516909359492","","","","","",""
"39207","32","mine-text","4","95972","0.0-4.0","A31FD3QCYZ28Q2","1516909359492","","","","","",""
"33995","32","text","5","130069","0.0-5.0","A31FD3QCYZ28Q2","1516909359492","","","","","",""
"15861","32","text","6","146033","0.0-6.0","A31FD3QCYZ28Q2","1516909359492","","","","","",""
"13235","32","mine-text","7","159965","0.0-7.0","A31FD3QCYZ28Q2","1516909359492","","","","","",""
"10145","","forage01","8","170221","0.0-8.0-0.0","A31FD3QCYZ28Q2","1516909359492","0","52","dirt","0","no mineshafts yet","0"
"9720","","forage01","9","180048","0.0-8.0-1.0","A31FD3QCYZ28Q2","1516909359492","1","51","dirt","0","dirt","0"
"2205","","forage01","10","182360","0.0-8.0-2.0","A31FD3QCYZ28Q2","1516909359492","1","50","dirt","0","dirt","0"
"1688","","forage01","11","184153","0.0-8.0-3.0","A31FD3QCYZ28Q2","1516909359492","1","49","dirt","0","dirt","0"
"1483","","forage01","12","185743","0.0-8.0-4.0","A31FD3QCYZ28Q2","1516909359492","1","48","dirt","0","dirt","0"
"1278","","forage01","13","187127","0.0-8.0-5.0","A31FD3QCYZ28Q2","1516909359492","1","47","dirt","0","dirt","0"
"1125","","forage01","14","188360","0.0-8.0-6.0","A31FD3QCYZ28Q2","1516909359492","1","46","dirt","0","dirt","0"
"1280","","forage01","15","189746","0.0-8.0-7.0","A31FD3QCYZ28Q2","1516909359492","1","45","dirt","0","dirt","0"
"3636","","forage01","16","193488","0.0-8.0-8.0","A31FD3QCYZ28Q2","1516909359492","1","44","dirt","0","dirt","0"
"1769","","forage01","17","195368","0.0-8.0-9.0","A31FD3QCYZ28Q2","1516909359492","1","43","dirt","0","dirt","0"
"1397","","forage01","18","196873","0.0-8.0-10.0","A31FD3QCYZ28Q2","1516909359492","1","42","dirt","0","dirt","0"
"2693","","forage01","19","199674","0.0-8.0-11.0","A31FD3QCYZ28Q2","1516909359492","1","41","dirt","0","dirt","0"
"2029","","forage01","20","201809","0.0-8.0-12.0","A31FD3QCYZ28Q2","1516909359492","0","40","dirt","0","dirt","0"
"5224","","forage01","21","207140","0.0-8.0-13.0","A31FD3QCYZ28Q2","1516909359492","1","39","dirt","0","dirt","0"
"1014","","forage01","22","208268","0.0-8.0-14.0","A31FD3QCYZ28Q2","1516909359492","1","38","dirt","0","dirt","0"
"469","","forage01","23","208842","0.0-8.0-15.0","A31FD3QCYZ28Q2","1516909359492","1","37","dirt","0","dirt","0"
"512","","forage01","24","209462","0.0-8.0-16.0","A31FD3QCYZ28Q2","1516909359492","1","36","dirt","0","dirt","0"
"475","","forage01","25","210044","0.0-8.0-17.0","A31FD3QCYZ28Q2","1516909359492","1","35","dirt","0","dirt","0"
"1133","","forage01","26","211285","0.0-8.0-18.0","A31FD3QCYZ28Q2","1516909359492","0","34","dirt","0","dirt","0"
"1428","","forage01","27","212820","0.0-8.0-19.0","A31FD3QCYZ28Q2","1516909359492","1","33","dirt","0","dirt","0"
"365","","forage01","28","213292","0.0-8.0-20.0","A31FD3QCYZ28Q2","1516909359492","1","32","dirt","0","dirt","0"
"416","","forage01","29","213816","0.0-8.0-21.0","A31FD3QCYZ28Q2","1516909359492","1","31","dirt","0","dirt","0"
"669","","forage01","30","214592","0.0-8.0-22.0","A31FD3QCYZ28Q2","1516909359492","1","30","dirt","0","dirt","0"
"493","","forage01","31","215192","0.0-8.0-23.0","A31FD3QCYZ28Q2","1516909359492","1","29","dirt","0","dirt","0"
"2049","","forage01","32","217348","0.0-8.0-24.0","A31FD3QCYZ28Q2","1516909359492","0","28","gold","0","dirt","0"
"1556","","forage01","33","219012","0.0-8.0-25.0","A31FD3QCYZ28Q2","1516909359492","1","27","gold","1000","gold","1000"
"3243","","forage01","34","222362","0.0-8.0-26.0","A31FD3QCYZ28Q2","1516909359492","1","26","gold","1000","gold","2000"
"734","","forage01","35","223202","0.0-8.0-27.0","A31FD3QCYZ28Q2","1516909359492","1","25","gold","1000","gold","3000"
"619","","forage01","36","223928","0.0-8.0-28.0","A31FD3QCYZ28Q2","1516909359492","1","24","gold","1000","gold","4000"
"706","","forage01","37","224743","0.0-8.0-29.0","A31FD3QCYZ28Q2","1516909359492","1","23","gold","1000","gold","5000"
"3968","","forage01","38","228819","0.0-8.0-30.0","A31FD3QCYZ28Q2","1516909359492","1","22","gold","1000","gold","6000"
"1719","","forage01","39","230645","0.0-8.0-31.0","A31FD3QCYZ28Q2","1516909359492","1","21","gold","1000","gold","7000"
"963","","forage01","40","231714","0.0-8.0-32.0","A31FD3QCYZ28Q2","1516909359492","1","20","gold","1000","gold","8000"
"1867","","forage01","41","233690","0.0-8.0-33.0","A31FD3QCYZ28Q2","1516909359492","1","19","gold","1000","gold","9000"
"860","","forage01","42","234659","0.0-8.0-34.0","A31FD3QCYZ28Q2","1516909359492","1","18","gold","1000","gold","10000"
"1913","","forage01","43","236683","0.0-8.0-35.0","A31FD3QCYZ28Q2","1516909359492","1","17","gold","1000","gold","11000"
"859","","forage01","44","237648","0.0-8.0-36.0","A31FD3QCYZ28Q2","1516909359492","1","16","gold","1000","gold","12000"
"708","","forage01","45","238464","0.0-8.0-37.0","A31FD3QCYZ28Q2","1516909359492","1","15","gold","1000","gold","13000"
"725","","forage01","46","239297","0.0-8.0-38.0","A31FD3QCYZ28Q2","1516909359492","1","14","gold","1000","gold","14000"
"695","","forage01","47","240099","0.0-8.0-39.0","A31FD3QCYZ28Q2","1516909359492","1","13","gold","1000","gold","15000"
"1821","","forage01","48","242027","0.0-8.0-40.0","A31FD3QCYZ28Q2","1516909359492","1","12","gold","1000","gold","16000"
"651","","forage01","49","242786","0.0-8.0-41.0","A31FD3QCYZ28Q2","1516909359492","1","11","gold","1000","gold","17000"
