"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"80773","32","text","0","80777","0.0-0.0","A32QWM7BWCSPTS","1516910342761","","","","","",""
"13152","32","text","1","94031","0.0-1.0","A32QWM7BWCSPTS","1516910342761","","","","","",""
"4186","32","text","2","98319","0.0-2.0","A32QWM7BWCSPTS","1516910342761","","","","","",""
"33202","32","text","3","131623","0.0-3.0","A32QWM7BWCSPTS","1516910342761","","","","","",""
"36825","32","mine-text","4","168790","0.0-4.0","A32QWM7BWCSPTS","1516910342761","","","","","",""
"39163","32","text","5","208055","0.0-5.0","A32QWM7BWCSPTS","1516910342761","","","","","",""
"13378","32","text","6","221534","0.0-6.0","A32QWM7BWCSPTS","1516910342761","","","","","",""
"19974","32","mine-text","7","241878","0.0-7.0","A32QWM7BWCSPTS","1516910342761","","","","","",""
"7286","","forage01","8","249269","0.0-8.0-0.0","A32QWM7BWCSPTS","1516910342761","0","52","dirt","0","no mineshafts yet","0"
"5945","","forage01","9","255318","0.0-8.0-1.0","A32QWM7BWCSPTS","1516910342761","0","51","dirt","0","dirt","0"
"3519","","forage01","10","258940","0.0-8.0-2.0","A32QWM7BWCSPTS","1516910342761","0","50","dirt","0","dirt","0"
"2325","","forage01","11","261367","0.0-8.0-3.0","A32QWM7BWCSPTS","1516910342761","0","49","dirt","0","dirt","0"
"2396","","forage01","12","263867","0.0-8.0-4.0","A32QWM7BWCSPTS","1516910342761","0","48","dirt","0","dirt","0"
"2131","","forage01","13","266101","0.0-8.0-5.0","A32QWM7BWCSPTS","1516910342761","0","47","dirt","0","dirt","0"
"1864","","forage01","14","268068","0.0-8.0-6.0","A32QWM7BWCSPTS","1516910342761","0","46","dirt","0","dirt","0"
"1825","","forage01","15","269996","0.0-8.0-7.0","A32QWM7BWCSPTS","1516910342761","0","45","dirt","0","dirt","0"
"1722","","forage01","16","271822","0.0-8.0-8.0","A32QWM7BWCSPTS","1516910342761","0","44","dirt","0","dirt","0"
"1526","","forage01","17","273452","0.0-8.0-9.0","A32QWM7BWCSPTS","1516910342761","0","43","dirt","0","dirt","0"
"1518","","forage01","18","275074","0.0-8.0-10.0","A32QWM7BWCSPTS","1516910342761","0","42","gold","0","dirt","0"
"11070","","forage01","19","286248","0.0-8.0-11.0","A32QWM7BWCSPTS","1516910342761","0","41","dirt","0","gold","0"
"3863","","forage01","20","290216","0.0-8.0-12.0","A32QWM7BWCSPTS","1516910342761","0","40","dirt","0","gold","0"
"4743","","forage01","21","295064","0.0-8.0-13.0","A32QWM7BWCSPTS","1516910342761","1","39","gold","1000","gold","1000"
"2355","","forage01","22","297524","0.0-8.0-14.0","A32QWM7BWCSPTS","1516910342761","1","38","gold","1000","gold","2000"
"961","","forage01","23","298590","0.0-8.0-15.0","A32QWM7BWCSPTS","1516910342761","1","37","gold","1000","gold","3000"
"390","","forage01","24","299084","0.0-8.0-16.0","A32QWM7BWCSPTS","1516910342761","1","36","gold","1000","gold","4000"
"516","","forage01","25","299704","0.0-8.0-17.0","A32QWM7BWCSPTS","1516910342761","1","35","gold","1000","gold","5000"
"382","","forage01","26","300190","0.0-8.0-18.0","A32QWM7BWCSPTS","1516910342761","1","34","gold","1000","gold","6000"
"327","","forage01","27","300621","0.0-8.0-19.0","A32QWM7BWCSPTS","1516910342761","1","33","gold","1000","gold","7000"
"294","","forage01","28","301020","0.0-8.0-20.0","A32QWM7BWCSPTS","1516910342761","1","32","gold","1000","gold","8000"
"137","","forage01","29","301262","0.0-8.0-21.0","A32QWM7BWCSPTS","1516910342761","1","31","gold","1000","gold","9000"
"108","","forage01","30","301474","0.0-8.0-22.0","A32QWM7BWCSPTS","1516910342761","1","30","gold","1000","gold","10000"
"98","","forage01","31","301678","0.0-8.0-23.0","A32QWM7BWCSPTS","1516910342761","1","29","gold","1000","gold","11000"
"122","","forage01","32","301904","0.0-8.0-24.0","A32QWM7BWCSPTS","1516910342761","1","28","gold","1000","gold","12000"
"124","","forage01","33","302132","0.0-8.0-25.0","A32QWM7BWCSPTS","1516910342761","1","27","gold","1000","gold","13000"
"178","","forage01","34","302414","0.0-8.0-26.0","A32QWM7BWCSPTS","1516910342761","1","26","gold","1000","gold","14000"
"411","","forage01","35","302930","0.0-8.0-27.0","A32QWM7BWCSPTS","1516910342761","1","25","gold","1000","gold","15000"
"295","","forage01","36","303330","0.0-8.0-28.0","A32QWM7BWCSPTS","1516910342761","1","24","gold","1000","gold","16000"
"225","","forage01","37","303660","0.0-8.0-29.0","A32QWM7BWCSPTS","1516910342761","1","23","gold","1000","gold","17000"
"107","","forage01","38","303872","0.0-8.0-30.0","A32QWM7BWCSPTS","1516910342761","1","22","gold","1000","gold","18000"
"154","","forage01","39","304130","0.0-8.0-31.0","A32QWM7BWCSPTS","1516910342761","1","21","gold","1000","gold","19000"
"137","","forage01","40","304372","0.0-8.0-32.0","A32QWM7BWCSPTS","1516910342761","1","20","gold","1000","gold","20000"
"91","","forage01","41","304568","0.0-8.0-33.0","A32QWM7BWCSPTS","1516910342761","1","19","gold","1000","gold","21000"
"335","","forage01","42","305008","0.0-8.0-34.0","A32QWM7BWCSPTS","1516910342761","1","18","gold","1000","gold","22000"
"152","","forage01","43","305266","0.0-8.0-35.0","A32QWM7BWCSPTS","1516910342761","1","17","gold","1000","gold","23000"
"115","","forage01","44","305486","0.0-8.0-36.0","A32QWM7BWCSPTS","1516910342761","1","16","gold","1000","gold","24000"
"111","","forage01","45","305704","0.0-8.0-37.0","A32QWM7BWCSPTS","1516910342761","1","15","gold","1000","gold","25000"
"132","","forage01","46","305940","0.0-8.0-38.0","A32QWM7BWCSPTS","1516910342761","1","14","gold","1000","gold","26000"
"132","","forage01","47","306176","0.0-8.0-39.0","A32QWM7BWCSPTS","1516910342761","1","13","gold","1000","gold","27000"
"350","","forage01","48","306630","0.0-8.0-40.0","A32QWM7BWCSPTS","1516910342761","1","12","gold","1000","gold","28000"
"106","","forage01","49","306840","0.0-8.0-41.0","A32QWM7BWCSPTS","1516910342761","1","11","gold","1000","gold","29000"
"328","","forage01","50","307272","0.0-8.0-42.0","A32QWM7BWCSPTS","1516910342761","1","10","gold","1000","gold","30000"
"554","","forage01","51","307930","0.0-8.0-43.0","A32QWM7BWCSPTS","1516910342761","1","9","gold","1000","gold","31000"
"421","","forage01","52","308456","0.0-8.0-44.0","A32QWM7BWCSPTS","1516910342761","1","8","gold","1000","gold","32000"
"309","","forage01","53","308870","0.0-8.0-45.0","A32QWM7BWCSPTS","1516910342761","1","7","gold","1000","gold","33000"
"279","","forage01","54","309254","0.0-8.0-46.0","A32QWM7BWCSPTS","1516910342761","1","6","gold","1000","gold","34000"
"302","","forage01","55","309662","0.0-8.0-47.0","A32QWM7BWCSPTS","1516910342761","1","5","gold","1000","gold","35000"
"303","","forage01","56","310070","0.0-8.0-48.0","A32QWM7BWCSPTS","1516910342761","1","4","gold","1000","gold","36000"
"287","","forage01","57","310462","0.0-8.0-49.0","A32QWM7BWCSPTS","1516910342761","1","3","gold","1000","gold","37000"
"325","","forage01","58","310892","0.0-8.0-50.0","A32QWM7BWCSPTS","1516910342761","1","2","gold","1000","gold","38000"
"405","","forage01","59","311402","0.0-8.0-51.0","A32QWM7BWCSPTS","1516910342761","1","1","gold","1000","gold","39000"
"3208","32","mine-text","60","314958","0.0-9.0","A32QWM7BWCSPTS","1516910342761","","","","","",""
"1628","","forage01","61","316690","0.0-10.0-0.0","A32QWM7BWCSPTS","1516910342761","0","52","dirt","0","no mineshafts yet","0"
"1245","","forage01","62","318038","0.0-10.0-1.0","A32QWM7BWCSPTS","1516910342761","0","51","dirt","0","dirt","0"
"1299","","forage01","63","319440","0.0-10.0-2.0","A32QWM7BWCSPTS","1516910342761","0","50","dirt","0","dirt","0"
"1143","","forage01","64","320686","0.0-10.0-3.0","A32QWM7BWCSPTS","1516910342761","0","49","dirt","0","dirt","0"
"1009","","forage01","65","321798","0.0-10.0-4.0","A32QWM7BWCSPTS","1516910342761","0","48","dirt","0","dirt","0"
"1089","","forage01","66","322990","0.0-10.0-5.0","A32QWM7BWCSPTS","1516910342761","0","47","dirt","0","dirt","0"
"1135","","forage01","67","324228","0.0-10.0-6.0","A32QWM7BWCSPTS","1516910342761","0","46","dirt","0","dirt","0"
"845","","forage01","68","325175","0.0-10.0-7.0","A32QWM7BWCSPTS","1516910342761","0","45","dirt","0","dirt","0"
"1016","","forage01","69","326296","0.0-10.0-8.0","A32QWM7BWCSPTS","1516910342761","0","44","dirt","0","dirt","0"
"1222","","forage01","70","327622","0.0-10.0-9.0","A32QWM7BWCSPTS","1516910342761","0","43","dirt","0","dirt","0"
"970","","forage01","71","328695","0.0-10.0-10.0","A32QWM7BWCSPTS","1516910342761","0","42","dirt","0","dirt","0"
"1016","","forage01","72","329815","0.0-10.0-11.0","A32QWM7BWCSPTS","1516910342761","0","41","dirt","0","dirt","0"
"1542","","forage01","73","331461","0.0-10.0-12.0","A32QWM7BWCSPTS","1516910342761","0","40","dirt","0","dirt","0"
"930","","forage01","74","332495","0.0-10.0-13.0","A32QWM7BWCSPTS","1516910342761","0","39","gold","0","dirt","0"
"5696","","forage01","75","338295","0.0-10.0-14.0","A32QWM7BWCSPTS","1516910342761","1","38","gold","1000","gold","1000"
"92","","forage01","76","338491","0.0-10.0-15.0","A32QWM7BWCSPTS","1516910342761","1","37","gold","1000","gold","2000"
"272","","forage01","77","338867","0.0-10.0-16.0","A32QWM7BWCSPTS","1516910342761","1","36","gold","1000","gold","3000"
"97","","forage01","78","339069","0.0-10.0-17.0","A32QWM7BWCSPTS","1516910342761","1","35","gold","1000","gold","4000"
"123","","forage01","79","339297","0.0-10.0-18.0","A32QWM7BWCSPTS","1516910342761","1","34","gold","1000","gold","5000"
"99","","forage01","80","339501","0.0-10.0-19.0","A32QWM7BWCSPTS","1516910342761","1","33","gold","1000","gold","6000"
