"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"3092","32","text","0","3095","0.0-0.0","A35C12CR628WKD","1517431640067","","","","","",""
"1961","32","text","1","5157","0.0-1.0","A35C12CR628WKD","1517431640067","","","","","",""
"2339","32","text","2","7597","0.0-2.0","A35C12CR628WKD","1517431640067","","","","","",""
"30651","32","text","3","38349","0.0-3.0","A35C12CR628WKD","1517431640067","","","","","",""
"32613","32","mine-text","4","71205","0.0-4.0","A35C12CR628WKD","1517431640067","","","","","",""
"20075","32","text","5","91381","0.0-5.0","A35C12CR628WKD","1517431640067","","","","","",""
"14003","32","text","6","105485","0.0-6.0","A35C12CR628WKD","1517431640067","","","","","",""
"2262","32","mine-text","7","108012","0.0-7.0","A35C12CR628WKD","1517431640067","","","","","",""
"7701","","forage01","8","115818","0.0-8.0-0.0","A35C12CR628WKD","1517431640067","0","52","dirt","0","no mineshafts yet","0"
"2707","","forage01","9","118627","0.0-8.0-1.0","A35C12CR628WKD","1517431640067","0","51","gold","0","dirt","0"
"2927","","forage01","10","121657","0.0-8.0-2.0","A35C12CR628WKD","1517431640067","0","50","gold","0","gold","0"
"4092","","forage01","11","125851","0.0-8.0-3.0","A35C12CR628WKD","1517431640067","0","49","dirt","0","gold","0"
"1069","","forage01","12","127023","0.0-8.0-4.0","A35C12CR628WKD","1517431640067","0","48","dirt","0","gold","0"
"1123","","forage01","13","128249","0.0-8.0-5.0","A35C12CR628WKD","1517431640067","0","47","dirt","0","gold","0"
"1012","","forage01","14","129365","0.0-8.0-6.0","A35C12CR628WKD","1517431640067","0","46","dirt","0","gold","0"
"655","","forage01","15","130123","0.0-8.0-7.0","A35C12CR628WKD","1517431640067","0","45","dirt","0","gold","0"
"537","","forage01","16","130763","0.0-8.0-8.0","A35C12CR628WKD","1517431640067","0","44","dirt","0","gold","0"
"1098","","forage01","17","131965","0.0-8.0-9.0","A35C12CR628WKD","1517431640067","1","43","gold","1000","gold","1000"
"1857","","forage01","18","133925","0.0-8.0-10.0","A35C12CR628WKD","1517431640067","1","42","gold","1000","gold","2000"
"445","","forage01","19","134473","0.0-8.0-11.0","A35C12CR628WKD","1517431640067","1","41","gold","1000","gold","3000"
"2184","","forage01","20","136761","0.0-8.0-12.0","A35C12CR628WKD","1517431640067","1","40","gold","1000","gold","4000"
"372","","forage01","21","137237","0.0-8.0-13.0","A35C12CR628WKD","1517431640067","1","39","gold","1000","gold","5000"
"169","","forage01","22","137511","0.0-8.0-14.0","A35C12CR628WKD","1517431640067","1","38","gold","1000","gold","6000"
"295","","forage01","23","137909","0.0-8.0-15.0","A35C12CR628WKD","1517431640067","1","37","gold","1000","gold","7000"
"91","","forage01","24","138103","0.0-8.0-16.0","A35C12CR628WKD","1517431640067","1","36","gold","1000","gold","8000"
"311","","forage01","25","138517","0.0-8.0-17.0","A35C12CR628WKD","1517431640067","1","35","gold","1000","gold","9000"
"133","","forage01","26","138753","0.0-8.0-18.0","A35C12CR628WKD","1517431640067","1","34","gold","1000","gold","10000"
"115","","forage01","27","138971","0.0-8.0-19.0","A35C12CR628WKD","1517431640067","1","33","gold","1000","gold","11000"
"93","","forage01","28","139168","0.0-8.0-20.0","A35C12CR628WKD","1517431640067","1","32","gold","1000","gold","12000"
"106","","forage01","29","139377","0.0-8.0-21.0","A35C12CR628WKD","1517431640067","1","31","gold","1000","gold","13000"
"139","","forage01","30","139619","0.0-8.0-22.0","A35C12CR628WKD","1517431640067","1","30","gold","1000","gold","14000"
"110","","forage01","31","139831","0.0-8.0-23.0","A35C12CR628WKD","1517431640067","1","29","gold","1000","gold","15000"
"403","","forage01","32","140337","0.0-8.0-24.0","A35C12CR628WKD","1517431640067","0","28","gold","0","gold","15000"
"342","","forage01","33","140783","0.0-8.0-25.0","A35C12CR628WKD","1517431640067","0","27","dirt","0","gold","15000"
"311","","forage01","34","141197","0.0-8.0-26.0","A35C12CR628WKD","1517431640067","0","26","dirt","0","gold","15000"
"295","","forage01","35","141595","0.0-8.0-27.0","A35C12CR628WKD","1517431640067","0","25","dirt","0","gold","15000"
"270","","forage01","36","141969","0.0-8.0-28.0","A35C12CR628WKD","1517431640067","0","24","dirt","0","gold","15000"
"281","","forage01","37","142353","0.0-8.0-29.0","A35C12CR628WKD","1517431640067","0","23","gold","0","gold","15000"
"292","","forage01","38","142751","0.0-8.0-30.0","A35C12CR628WKD","1517431640067","0","22","dirt","0","gold","15000"
"498","","forage01","39","143353","0.0-8.0-31.0","A35C12CR628WKD","1517431640067","0","21","gold","0","gold","15000"
"386","","forage01","40","143843","0.0-8.0-32.0","A35C12CR628WKD","1517431640067","0","20","dirt","0","gold","15000"
"441","","forage01","41","144388","0.0-8.0-33.0","A35C12CR628WKD","1517431640067","1","19","gold","1000","gold","16000"
"314","","forage01","42","144805","0.0-8.0-34.0","A35C12CR628WKD","1517431640067","1","18","gold","1000","gold","17000"
"286","","forage01","43","145195","0.0-8.0-35.0","A35C12CR628WKD","1517431640067","1","17","gold","1000","gold","18000"
