"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"4558","32","text","0","4563","0.0-0.0","A3963FCT1PKKOH","1517430406400","","","","","",""
"701","32","text","1","5367","0.0-1.0","A3963FCT1PKKOH","1517430406400","","","","","",""
"970","32","text","2","6440","0.0-2.0","A3963FCT1PKKOH","1517430406400","","","","","",""
"22","32","text","3","6692","0.0-3.0","A3963FCT1PKKOH","1517430406400","","","","","",""
"1","32","mine-text","4","7766","0.0-4.0","A3963FCT1PKKOH","1517430406400","","","","","",""
"505","32","text","5","8526","0.0-5.0","A3963FCT1PKKOH","1517430406400","","","","","",""
"94","32","text","6","8721","0.0-6.0","A3963FCT1PKKOH","1517430406400","","","","","",""
"348","32","mine-text","7","9855","0.0-7.0","A3963FCT1PKKOH","1517430406400","","","","","",""
"2700","","forage01","8","12688","0.0-8.0-0.0","A3963FCT1PKKOH","1517430406400","0","52","diamond","0","no mineshafts yet","0"
"932","","forage01","9","13733","0.0-8.0-1.0","A3963FCT1PKKOH","1517430406400","1","51","diamond","100000","diamond","100000"
"952","","forage01","10","14979","0.0-8.0-2.0","A3963FCT1PKKOH","1517430406400","1","50","diamond","100000","diamond","200000"
"1482","","forage01","11","16574","0.0-8.0-3.0","A3963FCT1PKKOH","1517430406400","1","49","diamond","100000","diamond","300000"
"461","","forage01","12","17186","0.0-8.0-4.0","A3963FCT1PKKOH","1517430406400","1","48","diamond","100000","diamond","400000"
"393","","forage01","13","17688","0.0-8.0-5.0","A3963FCT1PKKOH","1517430406400","1","47","diamond","100000","diamond","500000"
"462","","forage01","14","18258","0.0-8.0-6.0","A3963FCT1PKKOH","1517430406400","1","46","diamond","100000","diamond","600000"
"469","","forage01","15","18834","0.0-8.0-7.0","A3963FCT1PKKOH","1517430406400","1","45","diamond","100000","diamond","700000"
"526","","forage01","16","19466","0.0-8.0-8.0","A3963FCT1PKKOH","1517430406400","1","44","diamond","100000","diamond","800000"
"441","","forage01","17","20013","0.0-8.0-9.0","A3963FCT1PKKOH","1517430406400","1","43","diamond","100000","diamond","900000"
"2281","","forage01","18","22401","0.0-8.0-10.0","A3963FCT1PKKOH","1517430406400","1","42","diamond","100000","diamond","1000000"
"694","","forage01","19","23208","0.0-8.0-11.0","A3963FCT1PKKOH","1517430406400","1","41","diamond","100000","diamond","1100000"
"351","","forage01","20","23672","0.0-8.0-12.0","A3963FCT1PKKOH","1517430406400","1","40","diamond","100000","diamond","1200000"
"304","","forage01","21","24108","0.0-8.0-13.0","A3963FCT1PKKOH","1517430406400","1","39","diamond","100000","diamond","1300000"
"364","","forage01","22","24578","0.0-8.0-14.0","A3963FCT1PKKOH","1517430406400","1","38","diamond","100000","diamond","1400000"
"334","","forage01","23","25020","0.0-8.0-15.0","A3963FCT1PKKOH","1517430406400","1","37","diamond","100000","diamond","1500000"
"368","","forage01","24","25495","0.0-8.0-16.0","A3963FCT1PKKOH","1517430406400","1","36","diamond","100000","diamond","1600000"
"410","","forage01","25","26013","0.0-8.0-17.0","A3963FCT1PKKOH","1517430406400","1","35","diamond","100000","diamond","1700000"
"281","","forage01","26","26538","0.0-8.0-18.0","A3963FCT1PKKOH","1517430406400","1","34","diamond","100000","diamond","1800000"
"429","","forage01","27","27200","0.0-8.0-19.0","A3963FCT1PKKOH","1517430406400","1","33","diamond","100000","diamond","1900000"
"370","","forage01","28","27678","0.0-8.0-20.0","A3963FCT1PKKOH","1517430406400","1","32","diamond","100000","diamond","2000000"
"295","","forage01","29","28080","0.0-8.0-21.0","A3963FCT1PKKOH","1517430406400","1","31","diamond","100000","diamond","2100000"
"363","","forage01","30","28552","0.0-8.0-22.0","A3963FCT1PKKOH","1517430406400","1","30","diamond","100000","diamond","2200000"
"233","","forage01","31","28894","0.0-8.0-23.0","A3963FCT1PKKOH","1517430406400","1","29","diamond","100000","diamond","2300000"
"231","","forage01","32","29242","0.0-8.0-24.0","A3963FCT1PKKOH","1517430406400","1","28","diamond","100000","diamond","2400000"
"204","","forage01","33","29554","0.0-8.0-25.0","A3963FCT1PKKOH","1517430406400","1","27","diamond","100000","diamond","2500000"
"230","","forage01","34","29895","0.0-8.0-26.0","A3963FCT1PKKOH","1517430406400","1","26","diamond","100000","diamond","2600000"
"1233","","forage01","35","31237","0.0-8.0-27.0","A3963FCT1PKKOH","1517430406400","1","25","diamond","100000","diamond","2700000"
"266","","forage01","36","31616","0.0-8.0-28.0","A3963FCT1PKKOH","1517430406400","1","24","diamond","100000","diamond","2800000"
"76","","forage01","37","31800","0.0-8.0-29.0","A3963FCT1PKKOH","1517430406400","1","23","diamond","100000","diamond","2900000"
"269","","forage01","38","32177","0.0-8.0-30.0","A3963FCT1PKKOH","1517430406400","1","22","diamond","100000","diamond","3000000"
"229","","forage01","39","32512","0.0-8.0-31.0","A3963FCT1PKKOH","1517430406400","1","21","diamond","100000","diamond","3100000"
"239","","forage01","40","32857","0.0-8.0-32.0","A3963FCT1PKKOH","1517430406400","1","20","diamond","100000","diamond","3200000"
"235","","forage01","41","33200","0.0-8.0-33.0","A3963FCT1PKKOH","1517430406400","1","19","diamond","100000","diamond","3300000"
"232","","forage01","42","33537","0.0-8.0-34.0","A3963FCT1PKKOH","1517430406400","1","18","diamond","100000","diamond","3400000"
"14","","forage01","43","33658","0.0-8.0-35.0","A3963FCT1PKKOH","1517430406400","1","17","diamond","100000","diamond","3500000"
"201","","forage01","44","33999","0.0-8.0-36.0","A3963FCT1PKKOH","1517430406400","1","16","diamond","100000","diamond","3600000"
"324","","forage01","45","34430","0.0-8.0-37.0","A3963FCT1PKKOH","1517430406400","1","15","diamond","100000","diamond","3700000"
"247","","forage01","46","34783","0.0-8.0-38.0","A3963FCT1PKKOH","1517430406400","1","14","diamond","100000","diamond","3800000"
"291","","forage01","47","35186","0.0-8.0-39.0","A3963FCT1PKKOH","1517430406400","1","13","diamond","100000","diamond","3900000"
"320","","forage01","48","35612","0.0-8.0-40.0","A3963FCT1PKKOH","1517430406400","1","12","diamond","100000","diamond","4000000"
