"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"3864","32","text","0","3867","0.0-0.0","A39GADIK8RLMVC","1516904810466","","","","","",""
"2503","32","text","1","6473","0.0-1.0","A39GADIK8RLMVC","1516904810466","","","","","",""
"3041","32","text","2","9616","0.0-2.0","A39GADIK8RLMVC","1516904810466","","","","","",""
"7822","32","text","3","17541","0.0-3.0","A39GADIK8RLMVC","1516904810466","","","","","",""
"9830","32","mine-text","4","27693","0.0-4.0","A39GADIK8RLMVC","1516904810466","","","","","",""
"10623","32","text","5","38419","0.0-5.0","A39GADIK8RLMVC","1516904810466","","","","","",""
"2224","32","text","6","40744","0.0-6.0","A39GADIK8RLMVC","1516904810466","","","","","",""
"5369","32","mine-text","7","46472","0.0-7.0","A39GADIK8RLMVC","1516904810466","","","","","",""
"2768","","forage01","8","49344","0.0-8.0-0.0","A39GADIK8RLMVC","1516904810466","0","52","dirt","0","no mineshafts yet","0"
"1488","","forage01","9","50936","0.0-8.0-1.0","A39GADIK8RLMVC","1516904810466","0","51","gold","0","dirt","0"
"1069","","forage01","10","52113","0.0-8.0-2.0","A39GADIK8RLMVC","1516904810466","1","50","gold","1000","gold","1000"
"420","","forage01","11","52641","0.0-8.0-3.0","A39GADIK8RLMVC","1516904810466","1","49","gold","1000","gold","2000"
"370","","forage01","12","53121","0.0-8.0-4.0","A39GADIK8RLMVC","1516904810466","1","48","gold","1000","gold","3000"
"360","","forage01","13","53586","0.0-8.0-5.0","A39GADIK8RLMVC","1516904810466","1","47","gold","1000","gold","4000"
"384","","forage01","14","54079","0.0-8.0-6.0","A39GADIK8RLMVC","1516904810466","1","46","gold","1000","gold","5000"
"341","","forage01","15","54527","0.0-8.0-7.0","A39GADIK8RLMVC","1516904810466","1","45","gold","1000","gold","6000"
"357","","forage01","16","54993","0.0-8.0-8.0","A39GADIK8RLMVC","1516904810466","1","44","gold","1000","gold","7000"
"355","","forage01","17","55455","0.0-8.0-9.0","A39GADIK8RLMVC","1516904810466","1","43","gold","1000","gold","8000"
"341","","forage01","18","55903","0.0-8.0-10.0","A39GADIK8RLMVC","1516904810466","1","42","gold","1000","gold","9000"
"354","","forage01","19","56369","0.0-8.0-11.0","A39GADIK8RLMVC","1516904810466","1","41","gold","1000","gold","10000"
"861","","forage01","20","57337","0.0-8.0-12.0","A39GADIK8RLMVC","1516904810466","1","40","gold","1000","gold","11000"
"727","","forage01","21","58169","0.0-8.0-13.0","A39GADIK8RLMVC","1516904810466","1","39","gold","1000","gold","12000"
"595","","forage01","22","58873","0.0-8.0-14.0","A39GADIK8RLMVC","1516904810466","1","38","gold","1000","gold","13000"
"376","","forage01","23","59353","0.0-8.0-15.0","A39GADIK8RLMVC","1516904810466","1","37","gold","1000","gold","14000"
"385","","forage01","24","59846","0.0-8.0-16.0","A39GADIK8RLMVC","1516904810466","1","36","gold","1000","gold","15000"
"421","","forage01","25","60377","0.0-8.0-17.0","A39GADIK8RLMVC","1516904810466","1","35","gold","1000","gold","16000"
"348","","forage01","26","60833","0.0-8.0-18.0","A39GADIK8RLMVC","1516904810466","1","34","gold","1000","gold","17000"
"342","","forage01","27","61281","0.0-8.0-19.0","A39GADIK8RLMVC","1516904810466","1","33","gold","1000","gold","18000"
"319","","forage01","28","61706","0.0-8.0-20.0","A39GADIK8RLMVC","1516904810466","1","32","gold","1000","gold","19000"
"314","","forage01","29","62130","0.0-8.0-21.0","A39GADIK8RLMVC","1516904810466","1","31","gold","1000","gold","20000"
"497","","forage01","30","62736","0.0-8.0-22.0","A39GADIK8RLMVC","1516904810466","0","30","gold","0","gold","20000"
"947","","forage01","31","63792","0.0-8.0-23.0","A39GADIK8RLMVC","1516904810466","1","29","gold","1000","gold","21000"
"327","","forage01","32","64226","0.0-8.0-24.0","A39GADIK8RLMVC","1516904810466","1","28","gold","1000","gold","22000"
"259","","forage01","33","64594","0.0-8.0-25.0","A39GADIK8RLMVC","1516904810466","1","27","gold","1000","gold","23000"
"244","","forage01","34","64945","0.0-8.0-26.0","A39GADIK8RLMVC","1516904810466","1","26","gold","1000","gold","24000"
"237","","forage01","35","65290","0.0-8.0-27.0","A39GADIK8RLMVC","1516904810466","1","25","gold","1000","gold","25000"
"203","","forage01","36","65599","0.0-8.0-28.0","A39GADIK8RLMVC","1516904810466","1","24","gold","1000","gold","26000"
"181","","forage01","37","65890","0.0-8.0-29.0","A39GADIK8RLMVC","1516904810466","1","23","gold","1000","gold","27000"
"212","","forage01","38","66211","0.0-8.0-30.0","A39GADIK8RLMVC","1516904810466","1","22","gold","1000","gold","28000"
"217","","forage01","39","66536","0.0-8.0-31.0","A39GADIK8RLMVC","1516904810466","1","21","gold","1000","gold","29000"
"517","","forage01","40","67161","0.0-8.0-32.0","A39GADIK8RLMVC","1516904810466","0","20","gold","0","gold","29000"
"622","","forage01","41","67890","0.0-8.0-33.0","A39GADIK8RLMVC","1516904810466","1","19","gold","1000","gold","30000"
"149","","forage01","42","68147","0.0-8.0-34.0","A39GADIK8RLMVC","1516904810466","1","18","gold","1000","gold","31000"
"73","","forage01","43","68334","0.0-8.0-35.0","A39GADIK8RLMVC","1516904810466","1","17","gold","1000","gold","32000"
"93","","forage01","44","68538","0.0-8.0-36.0","A39GADIK8RLMVC","1516904810466","1","16","gold","1000","gold","33000"
"83","","forage01","45","68730","0.0-8.0-37.0","A39GADIK8RLMVC","1516904810466","1","15","gold","1000","gold","34000"
"66","","forage01","46","68906","0.0-8.0-38.0","A39GADIK8RLMVC","1516904810466","1","14","gold","1000","gold","35000"
"71","","forage01","47","69088","0.0-8.0-39.0","A39GADIK8RLMVC","1516904810466","1","13","gold","1000","gold","36000"
"91","","forage01","48","69290","0.0-8.0-40.0","A39GADIK8RLMVC","1516904810466","1","12","gold","1000","gold","37000"
"228","","forage01","49","69625","0.0-8.0-41.0","A39GADIK8RLMVC","1516904810466","1","11","gold","1000","gold","38000"
"577","","forage01","50","70307","0.0-8.0-42.0","A39GADIK8RLMVC","1516904810466","0","10","gold","0","gold","38000"
"521","","forage01","51","70939","0.0-8.0-43.0","A39GADIK8RLMVC","1516904810466","1","9","gold","1000","gold","39000"
