"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"82247","32","text","0","82252","0.0-0.0","A39Q4SNT7SRK94","1517428098917","","","","","",""
"946","32","text","1","83300","0.0-1.0","A39Q4SNT7SRK94","1517428098917","","","","","",""
"1379","32","text","2","84779","0.0-2.0","A39Q4SNT7SRK94","1517428098917","","","","","",""
"1996","32","text","3","86875","0.0-3.0","A39Q4SNT7SRK94","1517428098917","","","","","",""
"1555","32","mine-text","4","88691","0.0-4.0","A39Q4SNT7SRK94","1517428098917","","","","","",""
"604","32","text","5","89395","0.0-5.0","A39Q4SNT7SRK94","1517428098917","","","","","",""
"1108","32","text","6","90603","0.0-6.0","A39Q4SNT7SRK94","1517428098917","","","","","",""
"1234","32","mine-text","7","92115","0.0-7.0","A39Q4SNT7SRK94","1517428098917","","","","","",""
"1841","","forage01","8","94060","0.0-8.0-0.0","A39Q4SNT7SRK94","1517428098917","0","52","dirt","0","no mineshafts yet","0"
"864","","forage01","9","95025","0.0-8.0-1.0","A39Q4SNT7SRK94","1517428098917","0","51","gold","0","dirt","0"
"2271","","forage01","10","97398","0.0-8.0-2.0","A39Q4SNT7SRK94","1517428098917","1","50","gold","1000","gold","1000"
"355","","forage01","11","97855","0.0-8.0-3.0","A39Q4SNT7SRK94","1517428098917","1","49","gold","1000","gold","2000"
"292","","forage01","12","98248","0.0-8.0-4.0","A39Q4SNT7SRK94","1517428098917","1","48","gold","1000","gold","3000"
"188","","forage01","13","98538","0.0-8.0-5.0","A39Q4SNT7SRK94","1517428098917","1","47","gold","1000","gold","4000"
"228","","forage01","14","98867","0.0-8.0-6.0","A39Q4SNT7SRK94","1517428098917","1","46","gold","1000","gold","5000"
"354","","forage01","15","99322","0.0-8.0-7.0","A39Q4SNT7SRK94","1517428098917","1","45","gold","1000","gold","6000"
"266","","forage01","16","99690","0.0-8.0-8.0","A39Q4SNT7SRK94","1517428098917","1","44","gold","1000","gold","7000"
"157","","forage01","17","99948","0.0-8.0-9.0","A39Q4SNT7SRK94","1517428098917","1","43","gold","1000","gold","8000"
"192","","forage01","18","100242","0.0-8.0-10.0","A39Q4SNT7SRK94","1517428098917","1","42","gold","1000","gold","9000"
"167","","forage01","19","100511","0.0-8.0-11.0","A39Q4SNT7SRK94","1517428098917","1","41","gold","1000","gold","10000"
"186","","forage01","20","100798","0.0-8.0-12.0","A39Q4SNT7SRK94","1517428098917","1","40","gold","1000","gold","11000"
"180","","forage01","21","101080","0.0-8.0-13.0","A39Q4SNT7SRK94","1517428098917","1","39","gold","1000","gold","12000"
"163","","forage01","22","101345","0.0-8.0-14.0","A39Q4SNT7SRK94","1517428098917","1","38","gold","1000","gold","13000"
"142","","forage01","23","101588","0.0-8.0-15.0","A39Q4SNT7SRK94","1517428098917","1","37","gold","1000","gold","14000"
"144","","forage01","24","101834","0.0-8.0-16.0","A39Q4SNT7SRK94","1517428098917","1","36","gold","1000","gold","15000"
"167","","forage01","25","102103","0.0-8.0-17.0","A39Q4SNT7SRK94","1517428098917","1","35","gold","1000","gold","16000"
"137","","forage01","26","102342","0.0-8.0-18.0","A39Q4SNT7SRK94","1517428098917","1","34","gold","1000","gold","17000"
"155","","forage01","27","102598","0.0-8.0-19.0","A39Q4SNT7SRK94","1517428098917","1","33","gold","1000","gold","18000"
"147","","forage01","28","102847","0.0-8.0-20.0","A39Q4SNT7SRK94","1517428098917","1","32","gold","1000","gold","19000"
"133","","forage01","29","103082","0.0-8.0-21.0","A39Q4SNT7SRK94","1517428098917","1","31","gold","1000","gold","20000"
"158","","forage01","30","103341","0.0-8.0-22.0","A39Q4SNT7SRK94","1517428098917","1","30","gold","1000","gold","21000"
"141","","forage01","31","103583","0.0-8.0-23.0","A39Q4SNT7SRK94","1517428098917","1","29","gold","1000","gold","22000"
"139","","forage01","32","103824","0.0-8.0-24.0","A39Q4SNT7SRK94","1517428098917","1","28","gold","1000","gold","23000"
"149","","forage01","33","104075","0.0-8.0-25.0","A39Q4SNT7SRK94","1517428098917","1","27","gold","1000","gold","24000"
"116","","forage01","34","104293","0.0-8.0-26.0","A39Q4SNT7SRK94","1517428098917","1","26","gold","1000","gold","25000"
"140","","forage01","35","104534","0.0-8.0-27.0","A39Q4SNT7SRK94","1517428098917","1","25","gold","1000","gold","26000"
"142","","forage01","36","104778","0.0-8.0-28.0","A39Q4SNT7SRK94","1517428098917","1","24","gold","1000","gold","27000"
"141","","forage01","37","105021","0.0-8.0-29.0","A39Q4SNT7SRK94","1517428098917","1","23","gold","1000","gold","28000"
"117","","forage01","38","105241","0.0-8.0-30.0","A39Q4SNT7SRK94","1517428098917","1","22","gold","1000","gold","29000"
"133","","forage01","39","105475","0.0-8.0-31.0","A39Q4SNT7SRK94","1517428098917","1","21","gold","1000","gold","30000"
"135","","forage01","40","105712","0.0-8.0-32.0","A39Q4SNT7SRK94","1517428098917","1","20","gold","1000","gold","31000"
"122","","forage01","41","105935","0.0-8.0-33.0","A39Q4SNT7SRK94","1517428098917","1","19","gold","1000","gold","32000"
"130","","forage01","42","106168","0.0-8.0-34.0","A39Q4SNT7SRK94","1517428098917","1","18","gold","1000","gold","33000"
"133","","forage01","43","106402","0.0-8.0-35.0","A39Q4SNT7SRK94","1517428098917","1","17","gold","1000","gold","34000"
"123","","forage01","44","106626","0.0-8.0-36.0","A39Q4SNT7SRK94","1517428098917","1","16","gold","1000","gold","35000"
"143","","forage01","45","106872","0.0-8.0-37.0","A39Q4SNT7SRK94","1517428098917","1","15","gold","1000","gold","36000"
"120","","forage01","46","107094","0.0-8.0-38.0","A39Q4SNT7SRK94","1517428098917","1","14","gold","1000","gold","37000"
"130","","forage01","47","107325","0.0-8.0-39.0","A39Q4SNT7SRK94","1517428098917","1","13","gold","1000","gold","38000"
"136","","forage01","48","107563","0.0-8.0-40.0","A39Q4SNT7SRK94","1517428098917","1","12","gold","1000","gold","39000"
"162","","forage01","49","107826","0.0-8.0-41.0","A39Q4SNT7SRK94","1517428098917","1","11","gold","1000","gold","40000"
"104","","forage01","50","108031","0.0-8.0-42.0","A39Q4SNT7SRK94","1517428098917","1","10","gold","1000","gold","41000"
"148","","forage01","51","108280","0.0-8.0-43.0","A39Q4SNT7SRK94","1517428098917","1","9","gold","1000","gold","42000"
"135","","forage01","52","108517","0.0-8.0-44.0","A39Q4SNT7SRK94","1517428098917","1","8","gold","1000","gold","43000"
"134","","forage01","53","108753","0.0-8.0-45.0","A39Q4SNT7SRK94","1517428098917","1","7","gold","1000","gold","44000"
"144","","forage01","54","108998","0.0-8.0-46.0","A39Q4SNT7SRK94","1517428098917","1","6","gold","1000","gold","45000"
"338","","forage01","55","109437","0.0-8.0-47.0","A39Q4SNT7SRK94","1517428098917","1","5","gold","1000","gold","46000"
"119","","forage01","56","109658","0.0-8.0-48.0","A39Q4SNT7SRK94","1517428098917","1","4","gold","1000","gold","47000"
"174","","forage01","57","109934","0.0-8.0-49.0","A39Q4SNT7SRK94","1517428098917","1","3","gold","1000","gold","48000"
