"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"9374","32","text","0","9403","0.0-0.0","A3AV8KOZW78IEW","1517429362349","","","","","",""
"4702","32","text","1","14213","0.0-1.0","A3AV8KOZW78IEW","1517429362349","","","","","",""
"3255","32","text","2","17571","0.0-2.0","A3AV8KOZW78IEW","1517429362349","","","","","",""
"15512","32","text","3","33189","0.0-3.0","A3AV8KOZW78IEW","1517429362349","","","","","",""
"28238","32","mine-text","4","62666","0.0-4.0","A3AV8KOZW78IEW","1517429362349","","","","","",""
"25053","32","text","5","87889","0.0-5.0","A3AV8KOZW78IEW","1517429362349","","","","","",""
"12000","32","text","6","100029","0.0-6.0","A3AV8KOZW78IEW","1517429362349","","","","","",""
"9629","32","mine-text","7","112214","0.0-7.0","A3AV8KOZW78IEW","1517429362349","","","","","",""
"8582","","forage01","8","120964","0.0-8.0-0.0","A3AV8KOZW78IEW","1517429362349","0","52","dirt","0","no mineshafts yet","0"
"8227","","forage01","9","129326","0.0-8.0-1.0","A3AV8KOZW78IEW","1517429362349","1","51","dirt","0","dirt","0"
"3961","","forage01","10","133399","0.0-8.0-2.0","A3AV8KOZW78IEW","1517429362349","1","50","dirt","0","dirt","0"
"3818","","forage01","11","137334","0.0-8.0-3.0","A3AV8KOZW78IEW","1517429362349","1","49","dirt","0","dirt","0"
"3631","","forage01","12","141115","0.0-8.0-4.0","A3AV8KOZW78IEW","1517429362349","1","48","dirt","0","dirt","0"
"1721","","forage01","13","142956","0.0-8.0-5.0","A3AV8KOZW78IEW","1517429362349","0","47","dirt","0","dirt","0"
"3989","","forage01","14","147063","0.0-8.0-6.0","A3AV8KOZW78IEW","1517429362349","0","46","dirt","0","dirt","0"
"3131","","forage01","15","150310","0.0-8.0-7.0","A3AV8KOZW78IEW","1517429362349","0","45","gold","0","dirt","0"
"4610","","forage01","16","155062","0.0-8.0-8.0","A3AV8KOZW78IEW","1517429362349","0","44","dirt","0","gold","0"
"1413","","forage01","17","156624","0.0-8.0-9.0","A3AV8KOZW78IEW","1517429362349","0","43","dirt","0","gold","0"
"2478","","forage01","18","159273","0.0-8.0-10.0","A3AV8KOZW78IEW","1517429362349","1","42","gold","1000","gold","1000"
"2643","","forage01","19","162032","0.0-8.0-11.0","A3AV8KOZW78IEW","1517429362349","1","41","gold","1000","gold","2000"
"3047","","forage01","20","165196","0.0-8.0-12.0","A3AV8KOZW78IEW","1517429362349","1","40","gold","1000","gold","3000"
"1608","","forage01","21","166923","0.0-8.0-13.0","A3AV8KOZW78IEW","1517429362349","1","39","gold","1000","gold","4000"
"1792","","forage01","22","168830","0.0-8.0-14.0","A3AV8KOZW78IEW","1517429362349","1","38","gold","1000","gold","5000"
"1288","","forage01","23","170238","0.0-8.0-15.0","A3AV8KOZW78IEW","1517429362349","1","37","gold","1000","gold","6000"
"1113","","forage01","24","171483","0.0-8.0-16.0","A3AV8KOZW78IEW","1517429362349","1","36","gold","1000","gold","7000"
"1962","","forage01","25","173574","0.0-8.0-17.0","A3AV8KOZW78IEW","1517429362349","1","35","gold","1000","gold","8000"
"857","","forage01","26","174568","0.0-8.0-18.0","A3AV8KOZW78IEW","1517429362349","1","34","gold","1000","gold","9000"
"979","","forage01","27","175662","0.0-8.0-19.0","A3AV8KOZW78IEW","1517429362349","1","33","gold","1000","gold","10000"
"694","","forage01","28","176477","0.0-8.0-20.0","A3AV8KOZW78IEW","1517429362349","1","32","gold","1000","gold","11000"
"713","","forage01","29","177306","0.0-8.0-21.0","A3AV8KOZW78IEW","1517429362349","1","31","gold","1000","gold","12000"
"906","","forage01","30","178324","0.0-8.0-22.0","A3AV8KOZW78IEW","1517429362349","1","30","gold","1000","gold","13000"
"695","","forage01","31","179149","0.0-8.0-23.0","A3AV8KOZW78IEW","1517429362349","1","29","gold","1000","gold","14000"
"692","","forage01","32","179970","0.0-8.0-24.0","A3AV8KOZW78IEW","1517429362349","1","28","gold","1000","gold","15000"
"701","","forage01","33","180786","0.0-8.0-25.0","A3AV8KOZW78IEW","1517429362349","1","27","gold","1000","gold","16000"
"721","","forage01","34","181634","0.0-8.0-26.0","A3AV8KOZW78IEW","1517429362349","1","26","gold","1000","gold","17000"
"772","","forage01","35","182521","0.0-8.0-27.0","A3AV8KOZW78IEW","1517429362349","1","25","gold","1000","gold","18000"
"1010","","forage01","36","183645","0.0-8.0-28.0","A3AV8KOZW78IEW","1517429362349","1","24","gold","1000","gold","19000"
"2030","","forage01","37","185796","0.0-8.0-29.0","A3AV8KOZW78IEW","1517429362349","1","23","gold","1000","gold","20000"
"703","","forage01","38","186630","0.0-8.0-30.0","A3AV8KOZW78IEW","1517429362349","1","22","gold","1000","gold","21000"
"756","","forage01","39","187503","0.0-8.0-31.0","A3AV8KOZW78IEW","1517429362349","1","21","gold","1000","gold","22000"
"1924","","forage01","40","189543","0.0-8.0-32.0","A3AV8KOZW78IEW","1517429362349","0","20","dirt","0","gold","22000"
"1120","","forage01","41","190775","0.0-8.0-33.0","A3AV8KOZW78IEW","1517429362349","1","19","gold","1000","gold","23000"
"692","","forage01","42","191592","0.0-8.0-34.0","A3AV8KOZW78IEW","1517429362349","1","18","gold","1000","gold","24000"
"656","","forage01","43","192365","0.0-8.0-35.0","A3AV8KOZW78IEW","1517429362349","1","17","gold","1000","gold","25000"
"772","","forage01","44","193256","0.0-8.0-36.0","A3AV8KOZW78IEW","1517429362349","1","16","gold","1000","gold","26000"
"699","","forage01","45","194070","0.0-8.0-37.0","A3AV8KOZW78IEW","1517429362349","1","15","gold","1000","gold","27000"
"549","","forage01","46","194741","0.0-8.0-38.0","A3AV8KOZW78IEW","1517429362349","1","14","gold","1000","gold","28000"
