"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"8327","32","text","0","8331","0.0-0.0","A3E8SXH0BAYG85","1517428287567","","","","","",""
"17353","32","text","1","25793","0.0-1.0","A3E8SXH0BAYG85","1517428287567","","","","","",""
"2779","32","text","2","28678","0.0-2.0","A3E8SXH0BAYG85","1517428287567","","","","","",""
"18605","32","text","3","47397","0.0-3.0","A3E8SXH0BAYG85","1517428287567","","","","","",""
"34677","32","mine-text","4","82591","0.0-4.0","A3E8SXH0BAYG85","1517428287567","","","","","",""
"28142","32","text","5","110840","0.0-5.0","A3E8SXH0BAYG85","1517428287567","","","","","",""
"11753","32","text","6","122699","0.0-6.0","A3E8SXH0BAYG85","1517428287567","","","","","",""
"10429","32","mine-text","7","133580","0.0-7.0","A3E8SXH0BAYG85","1517428287567","","","","","",""
"11889","","forage01","8","145581","0.0-8.0-0.0","A3E8SXH0BAYG85","1517428287567","0","52","gold","0","no mineshafts yet","0"
"7991","","forage01","9","153683","0.0-8.0-1.0","A3E8SXH0BAYG85","1517428287567","0","51","dirt","0","gold","0"
"9907","","forage01","10","163705","0.0-8.0-2.0","A3E8SXH0BAYG85","1517428287567","0","50","diamond","0","gold","0"
"7453","","forage01","11","171270","0.0-8.0-3.0","A3E8SXH0BAYG85","1517428287567","1","49","diamond","100000","diamond","100000"
"5653","","forage01","12","177028","0.0-8.0-4.0","A3E8SXH0BAYG85","1517428287567","1","48","diamond","100000","diamond","200000"
"1425","","forage01","13","178560","0.0-8.0-5.0","A3E8SXH0BAYG85","1517428287567","1","47","diamond","100000","diamond","300000"
"2080","","forage01","14","180745","0.0-8.0-6.0","A3E8SXH0BAYG85","1517428287567","1","46","diamond","100000","diamond","400000"
"1522","","forage01","15","182375","0.0-8.0-7.0","A3E8SXH0BAYG85","1517428287567","1","45","diamond","100000","diamond","500000"
"2581","","forage01","16","185067","0.0-8.0-8.0","A3E8SXH0BAYG85","1517428287567","1","44","diamond","100000","diamond","600000"
"1153","","forage01","17","186327","0.0-8.0-9.0","A3E8SXH0BAYG85","1517428287567","1","43","diamond","100000","diamond","700000"
"958","","forage01","18","187394","0.0-8.0-10.0","A3E8SXH0BAYG85","1517428287567","1","42","diamond","100000","diamond","800000"
"1413","","forage01","19","188923","0.0-8.0-11.0","A3E8SXH0BAYG85","1517428287567","1","41","diamond","100000","diamond","900000"
"918","","forage01","20","189952","0.0-8.0-12.0","A3E8SXH0BAYG85","1517428287567","1","40","diamond","100000","diamond","1000000"
"846","","forage01","21","190909","0.0-8.0-13.0","A3E8SXH0BAYG85","1517428287567","1","39","diamond","100000","diamond","1100000"
"694","","forage01","22","191709","0.0-8.0-14.0","A3E8SXH0BAYG85","1517428287567","1","38","diamond","100000","diamond","1200000"
"754","","forage01","23","192568","0.0-8.0-15.0","A3E8SXH0BAYG85","1517428287567","1","37","diamond","100000","diamond","1300000"
"742","","forage01","24","193416","0.0-8.0-16.0","A3E8SXH0BAYG85","1517428287567","1","36","diamond","100000","diamond","1400000"
"571","","forage01","25","194094","0.0-8.0-17.0","A3E8SXH0BAYG85","1517428287567","1","35","diamond","100000","diamond","1500000"
"533","","forage01","26","194736","0.0-8.0-18.0","A3E8SXH0BAYG85","1517428287567","1","34","diamond","100000","diamond","1600000"
"838","","forage01","27","195681","0.0-8.0-19.0","A3E8SXH0BAYG85","1517428287567","1","33","diamond","100000","diamond","1700000"
"529","","forage01","28","196323","0.0-8.0-20.0","A3E8SXH0BAYG85","1517428287567","1","32","diamond","100000","diamond","1800000"
"768","","forage01","29","197206","0.0-8.0-21.0","A3E8SXH0BAYG85","1517428287567","1","31","diamond","100000","diamond","1900000"
"508","","forage01","30","197823","0.0-8.0-22.0","A3E8SXH0BAYG85","1517428287567","1","30","diamond","100000","diamond","2000000"
"666","","forage01","31","198598","0.0-8.0-23.0","A3E8SXH0BAYG85","1517428287567","1","29","diamond","100000","diamond","2100000"
"527","","forage01","32","199230","0.0-8.0-24.0","A3E8SXH0BAYG85","1517428287567","1","28","diamond","100000","diamond","2200000"
"487","","forage01","33","199822","0.0-8.0-25.0","A3E8SXH0BAYG85","1517428287567","1","27","diamond","100000","diamond","2300000"
"469","","forage01","34","200403","0.0-8.0-26.0","A3E8SXH0BAYG85","1517428287567","1","26","diamond","100000","diamond","2400000"
"471","","forage01","35","200985","0.0-8.0-27.0","A3E8SXH0BAYG85","1517428287567","1","25","diamond","100000","diamond","2500000"
"484","","forage01","36","201578","0.0-8.0-28.0","A3E8SXH0BAYG85","1517428287567","1","24","diamond","100000","diamond","2600000"
"548","","forage01","37","202231","0.0-8.0-29.0","A3E8SXH0BAYG85","1517428287567","1","23","diamond","100000","diamond","2700000"
"495","","forage01","38","202837","0.0-8.0-30.0","A3E8SXH0BAYG85","1517428287567","1","22","diamond","100000","diamond","2800000"
"462","","forage01","39","203406","0.0-8.0-31.0","A3E8SXH0BAYG85","1517428287567","1","21","diamond","100000","diamond","2900000"
"778","","forage01","40","204290","0.0-8.0-32.0","A3E8SXH0BAYG85","1517428287567","1","20","diamond","100000","diamond","3000000"
"454","","forage01","41","204847","0.0-8.0-33.0","A3E8SXH0BAYG85","1517428287567","1","19","diamond","100000","diamond","3100000"
"427","","forage01","42","205380","0.0-8.0-34.0","A3E8SXH0BAYG85","1517428287567","1","18","diamond","100000","diamond","3200000"
"466","","forage01","43","205949","0.0-8.0-35.0","A3E8SXH0BAYG85","1517428287567","1","17","diamond","100000","diamond","3300000"
"502","","forage01","44","206555","0.0-8.0-36.0","A3E8SXH0BAYG85","1517428287567","1","16","diamond","100000","diamond","3400000"
"464","","forage01","45","207137","0.0-8.0-37.0","A3E8SXH0BAYG85","1517428287567","1","15","diamond","100000","diamond","3500000"
"523","","forage01","46","207766","0.0-8.0-38.0","A3E8SXH0BAYG85","1517428287567","1","14","diamond","100000","diamond","3600000"
"473","","forage01","47","208346","0.0-8.0-39.0","A3E8SXH0BAYG85","1517428287567","1","13","diamond","100000","diamond","3700000"
"524","","forage01","48","208977","0.0-8.0-40.0","A3E8SXH0BAYG85","1517428287567","1","12","diamond","100000","diamond","3800000"
"548","","forage01","49","209633","0.0-8.0-41.0","A3E8SXH0BAYG85","1517428287567","1","11","diamond","100000","diamond","3900000"
"524","","forage01","50","210274","0.0-8.0-42.0","A3E8SXH0BAYG85","1517428287567","1","10","diamond","100000","diamond","4000000"
"471","","forage01","51","210856","0.0-8.0-43.0","A3E8SXH0BAYG85","1517428287567","1","9","diamond","100000","diamond","4100000"
"494","","forage01","52","211460","0.0-8.0-44.0","A3E8SXH0BAYG85","1517428287567","1","8","diamond","100000","diamond","4200000"
"472","","forage01","53","212042","0.0-8.0-45.0","A3E8SXH0BAYG85","1517428287567","1","7","diamond","100000","diamond","4300000"
