"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"5301","32","text","0","5303","0.0-0.0","A3FABY0Q6234WK","1516904635186","","","","","",""
"3266","32","text","1","8671","0.0-1.0","A3FABY0Q6234WK","1516904635186","","","","","",""
"1909","32","text","2","10682","0.0-2.0","A3FABY0Q6234WK","1516904635186","","","","","",""
"14623","32","text","3","25406","0.0-3.0","A3FABY0Q6234WK","1516904635186","","","","","",""
"35654","32","mine-text","4","61311","0.0-4.0","A3FABY0Q6234WK","1516904635186","","","","","",""
"19850","32","text","5","81262","0.0-5.0","A3FABY0Q6234WK","1516904635186","","","","","",""
"9257","32","text","6","90621","0.0-6.0","A3FABY0Q6234WK","1516904635186","","","","","",""
"8579","32","mine-text","7","99469","0.0-7.0","A3FABY0Q6234WK","1516904635186","","","","","",""
"3904","","forage01","8","103477","0.0-8.0-0.0","A3FABY0Q6234WK","1516904635186","0","52","dirt","0","no mineshafts yet","0"
"2715","","forage01","9","106294","0.0-8.0-1.0","A3FABY0Q6234WK","1516904635186","0","51","dirt","0","dirt","0"
"1009","","forage01","10","107406","0.0-8.0-2.0","A3FABY0Q6234WK","1516904635186","0","50","dirt","0","dirt","0"
"615","","forage01","11","108122","0.0-8.0-3.0","A3FABY0Q6234WK","1516904635186","0","49","dirt","0","dirt","0"
"525","","forage01","12","108750","0.0-8.0-4.0","A3FABY0Q6234WK","1516904635186","0","48","gold","0","dirt","0"
"3174","","forage01","13","112027","0.0-8.0-5.0","A3FABY0Q6234WK","1516904635186","0","47","dirt","0","gold","0"
"767","","forage01","14","112897","0.0-8.0-6.0","A3FABY0Q6234WK","1516904635186","0","46","dirt","0","gold","0"
"428","","forage01","15","113428","0.0-8.0-7.0","A3FABY0Q6234WK","1516904635186","0","45","dirt","0","gold","0"
"507","","forage01","16","114037","0.0-8.0-8.0","A3FABY0Q6234WK","1516904635186","0","44","dirt","0","gold","0"
"520","","forage01","17","114659","0.0-8.0-9.0","A3FABY0Q6234WK","1516904635186","0","43","gold","0","gold","0"
"420","","forage01","18","115182","0.0-8.0-10.0","A3FABY0Q6234WK","1516904635186","0","42","dirt","0","gold","0"
"472","","forage01","19","115756","0.0-8.0-11.0","A3FABY0Q6234WK","1516904635186","0","41","dirt","0","gold","0"
"391","","forage01","20","116250","0.0-8.0-12.0","A3FABY0Q6234WK","1516904635186","0","40","dirt","0","gold","0"
"613","","forage01","21","116966","0.0-8.0-13.0","A3FABY0Q6234WK","1516904635186","0","39","dirt","0","gold","0"
"557","","forage01","22","117626","0.0-8.0-14.0","A3FABY0Q6234WK","1516904635186","0","38","gold","0","gold","0"
"528","","forage01","23","118257","0.0-8.0-15.0","A3FABY0Q6234WK","1516904635186","0","37","dirt","0","gold","0"
"4961","","forage01","24","123322","0.0-8.0-16.0","A3FABY0Q6234WK","1516904635186","0","36","dirt","0","gold","0"
"458","","forage01","25","123883","0.0-8.0-17.0","A3FABY0Q6234WK","1516904635186","0","35","dirt","0","gold","0"
"370","","forage01","26","124356","0.0-8.0-18.0","A3FABY0Q6234WK","1516904635186","0","34","dirt","0","gold","0"
"501","","forage01","27","124960","0.0-8.0-19.0","A3FABY0Q6234WK","1516904635186","0","33","dirt","0","gold","0"
"962","","forage01","28","126025","0.0-8.0-20.0","A3FABY0Q6234WK","1516904635186","0","32","dirt","0","gold","0"
"632","","forage01","29","126761","0.0-8.0-21.0","A3FABY0Q6234WK","1516904635186","0","31","dirt","0","gold","0"
"445","","forage01","30","127310","0.0-8.0-22.0","A3FABY0Q6234WK","1516904635186","0","30","dirt","0","gold","0"
"1401","","forage01","31","128815","0.0-8.0-23.0","A3FABY0Q6234WK","1516904635186","0","29","dirt","0","gold","0"
"664","","forage01","32","129582","0.0-8.0-24.0","A3FABY0Q6234WK","1516904635186","0","28","dirt","0","gold","0"
"471","","forage01","33","130157","0.0-8.0-25.0","A3FABY0Q6234WK","1516904635186","0","27","gold","0","gold","0"
"513","","forage01","34","130774","0.0-8.0-26.0","A3FABY0Q6234WK","1516904635186","0","26","dirt","0","gold","0"
"461","","forage01","35","131339","0.0-8.0-27.0","A3FABY0Q6234WK","1516904635186","0","25","dirt","0","gold","0"
"388","","forage01","36","131834","0.0-8.0-28.0","A3FABY0Q6234WK","1516904635186","0","24","dirt","0","gold","0"
"402","","forage01","37","132339","0.0-8.0-29.0","A3FABY0Q6234WK","1516904635186","0","23","dirt","0","gold","0"
"357","","forage01","38","132801","0.0-8.0-30.0","A3FABY0Q6234WK","1516904635186","0","22","dirt","0","gold","0"
"424","","forage01","39","133328","0.0-8.0-31.0","A3FABY0Q6234WK","1516904635186","0","21","dirt","0","gold","0"
"1142","","forage01","40","134573","0.0-8.0-32.0","A3FABY0Q6234WK","1516904635186","0","20","dirt","0","gold","0"
"702","","forage01","41","135380","0.0-8.0-33.0","A3FABY0Q6234WK","1516904635186","0","19","gold","0","gold","0"
"794","","forage01","42","136277","0.0-8.0-34.0","A3FABY0Q6234WK","1516904635186","1","18","gold","1000","gold","1000"
"396","","forage01","43","136777","0.0-8.0-35.0","A3FABY0Q6234WK","1516904635186","1","17","gold","1000","gold","2000"
"255","","forage01","44","137136","0.0-8.0-36.0","A3FABY0Q6234WK","1516904635186","1","16","gold","1000","gold","3000"
"227","","forage01","45","137469","0.0-8.0-37.0","A3FABY0Q6234WK","1516904635186","1","15","gold","1000","gold","4000"
"293","","forage01","46","137866","0.0-8.0-38.0","A3FABY0Q6234WK","1516904635186","1","14","gold","1000","gold","5000"
"371","","forage01","47","138342","0.0-8.0-39.0","A3FABY0Q6234WK","1516904635186","1","13","gold","1000","gold","6000"
"291","","forage01","48","138736","0.0-8.0-40.0","A3FABY0Q6234WK","1516904635186","1","12","gold","1000","gold","7000"
"180","","forage01","49","139021","0.0-8.0-41.0","A3FABY0Q6234WK","1516904635186","1","11","gold","1000","gold","8000"
"184","","forage01","50","139309","0.0-8.0-42.0","A3FABY0Q6234WK","1516904635186","1","10","gold","1000","gold","9000"
"195","","forage01","51","139608","0.0-8.0-43.0","A3FABY0Q6234WK","1516904635186","1","9","gold","1000","gold","10000"
"296","","forage01","52","140009","0.0-8.0-44.0","A3FABY0Q6234WK","1516904635186","1","8","gold","1000","gold","11000"
"242","","forage01","53","140357","0.0-8.0-45.0","A3FABY0Q6234WK","1516904635186","1","7","gold","1000","gold","12000"
"223","","forage01","54","140684","0.0-8.0-46.0","A3FABY0Q6234WK","1516904635186","1","6","gold","1000","gold","13000"
"221","","forage01","55","141009","0.0-8.0-47.0","A3FABY0Q6234WK","1516904635186","1","5","gold","1000","gold","14000"
"226","","forage01","56","141341","0.0-8.0-48.0","A3FABY0Q6234WK","1516904635186","1","4","gold","1000","gold","15000"
"218","","forage01","57","141662","0.0-8.0-49.0","A3FABY0Q6234WK","1516904635186","1","3","gold","1000","gold","16000"
"214","","forage01","58","141980","0.0-8.0-50.0","A3FABY0Q6234WK","1516904635186","1","2","gold","1000","gold","17000"
"225","","forage01","59","142309","0.0-8.0-51.0","A3FABY0Q6234WK","1516904635186","1","1","gold","1000","gold","18000"
"2898","32","mine-text","60","145450","0.0-9.0","A3FABY0Q6234WK","1516904635186","","","","","",""
"1449","","forage01","61","147001","0.0-10.0-0.0","A3FABY0Q6234WK","1516904635186","0","52","dirt","0","no mineshafts yet","0"
"505","","forage01","62","147609","0.0-10.0-1.0","A3FABY0Q6234WK","1516904635186","0","51","dirt","0","dirt","0"
"491","","forage01","63","148201","0.0-10.0-2.0","A3FABY0Q6234WK","1516904635186","0","50","dirt","0","dirt","0"
"553","","forage01","64","148856","0.0-10.0-3.0","A3FABY0Q6234WK","1516904635186","0","49","dirt","0","dirt","0"
"522","","forage01","65","149480","0.0-10.0-4.0","A3FABY0Q6234WK","1516904635186","0","48","dirt","0","dirt","0"
"540","","forage01","66","150123","0.0-10.0-5.0","A3FABY0Q6234WK","1516904635186","0","47","dirt","0","dirt","0"
"470","","forage01","67","150694","0.0-10.0-6.0","A3FABY0Q6234WK","1516904635186","0","46","dirt","0","dirt","0"
"455","","forage01","68","151251","0.0-10.0-7.0","A3FABY0Q6234WK","1516904635186","0","45","dirt","0","dirt","0"
"454","","forage01","69","151808","0.0-10.0-8.0","A3FABY0Q6234WK","1516904635186","0","44","dirt","0","dirt","0"
"451","","forage01","70","152362","0.0-10.0-9.0","A3FABY0Q6234WK","1516904635186","0","43","dirt","0","dirt","0"
"471","","forage01","71","152935","0.0-10.0-10.0","A3FABY0Q6234WK","1516904635186","0","42","gold","0","dirt","0"
"675","","forage01","72","153713","0.0-10.0-11.0","A3FABY0Q6234WK","1516904635186","0","41","dirt","0","gold","0"
"466","","forage01","73","154280","0.0-10.0-12.0","A3FABY0Q6234WK","1516904635186","0","40","dirt","0","gold","0"
"513","","forage01","74","154896","0.0-10.0-13.0","A3FABY0Q6234WK","1516904635186","0","39","dirt","0","gold","0"
"421","","forage01","75","155420","0.0-10.0-14.0","A3FABY0Q6234WK","1516904635186","0","38","dirt","0","gold","0"
"510","","forage01","76","156034","0.0-10.0-15.0","A3FABY0Q6234WK","1516904635186","0","37","dirt","0","gold","0"
"416","","forage01","77","156552","0.0-10.0-16.0","A3FABY0Q6234WK","1516904635186","0","36","dirt","0","gold","0"
"495","","forage01","78","157150","0.0-10.0-17.0","A3FABY0Q6234WK","1516904635186","0","35","gold","0","gold","0"
"625","","forage01","79","157878","0.0-10.0-18.0","A3FABY0Q6234WK","1516904635186","0","34","dirt","0","gold","0"
"757","","forage01","80","158738","0.0-10.0-19.0","A3FABY0Q6234WK","1516904635186","1","33","gold","1000","gold","1000"
