"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"2990","32","text","0","3001","0.0-0.0","A3LRSX7ECYPSF4","1516911258701","","","","","",""
"1325","32","text","1","4446","0.0-1.0","A3LRSX7ECYPSF4","1516911258701","","","","","",""
"1854","32","text","2","6407","0.0-2.0","A3LRSX7ECYPSF4","1516911258701","","","","","",""
"14661","32","text","3","21184","0.0-3.0","A3LRSX7ECYPSF4","1516911258701","","","","","",""
"14112","32","mine-text","4","36019","0.0-4.0","A3LRSX7ECYPSF4","1516911258701","","","","","",""
"10787","32","text","5","47047","0.0-5.0","A3LRSX7ECYPSF4","1516911258701","","","","","",""
"5787","32","text","6","52941","0.0-6.0","A3LRSX7ECYPSF4","1516911258701","","","","","",""
"7143","32","mine-text","7","60918","0.0-7.0","A3LRSX7ECYPSF4","1516911258701","","","","","",""
"6207","","forage01","8","67464","0.0-8.0-0.0","A3LRSX7ECYPSF4","1516911258701","0","52","gold","0","no mineshafts yet","0"
"12261","","forage01","9","79851","0.0-8.0-1.0","A3LRSX7ECYPSF4","1516911258701","0","51","dirt","0","gold","0"
"2532","","forage01","10","82507","0.0-8.0-2.0","A3LRSX7ECYPSF4","1516911258701","0","50","dirt","0","gold","0"
"1813","","forage01","11","84448","0.0-8.0-3.0","A3LRSX7ECYPSF4","1516911258701","0","49","dirt","0","gold","0"
"3308","","forage01","12","87882","0.0-8.0-4.0","A3LRSX7ECYPSF4","1516911258701","0","48","dirt","0","gold","0"
"5756","","forage01","13","93762","0.0-8.0-5.0","A3LRSX7ECYPSF4","1516911258701","1","47","gold","1000","gold","1000"
"2531","","forage01","14","96419","0.0-8.0-6.0","A3LRSX7ECYPSF4","1516911258701","1","46","gold","1000","gold","2000"
"2203","","forage01","15","98746","0.0-8.0-7.0","A3LRSX7ECYPSF4","1516911258701","1","45","gold","1000","gold","3000"
"2421","","forage01","16","101299","0.0-8.0-8.0","A3LRSX7ECYPSF4","1516911258701","1","44","gold","1000","gold","4000"
"1953","","forage01","17","103379","0.0-8.0-9.0","A3LRSX7ECYPSF4","1516911258701","1","43","gold","1000","gold","5000"
"1835","","forage01","18","105339","0.0-8.0-10.0","A3LRSX7ECYPSF4","1516911258701","1","42","gold","1000","gold","6000"
"2330","","forage01","19","107794","0.0-8.0-11.0","A3LRSX7ECYPSF4","1516911258701","1","41","gold","1000","gold","7000"
"2051","","forage01","20","109971","0.0-8.0-12.0","A3LRSX7ECYPSF4","1516911258701","1","40","gold","1000","gold","8000"
"1979","","forage01","21","112075","0.0-8.0-13.0","A3LRSX7ECYPSF4","1516911258701","1","39","gold","1000","gold","9000"
"1554","","forage01","22","113758","0.0-8.0-14.0","A3LRSX7ECYPSF4","1516911258701","1","38","gold","1000","gold","10000"
"1521","","forage01","23","115403","0.0-8.0-15.0","A3LRSX7ECYPSF4","1516911258701","1","37","gold","1000","gold","11000"
"1283","","forage01","24","116811","0.0-8.0-16.0","A3LRSX7ECYPSF4","1516911258701","1","36","gold","1000","gold","12000"
"1076","","forage01","25","118011","0.0-8.0-17.0","A3LRSX7ECYPSF4","1516911258701","1","35","gold","1000","gold","13000"
"1203","","forage01","26","119339","0.0-8.0-18.0","A3LRSX7ECYPSF4","1516911258701","1","34","gold","1000","gold","14000"
"1283","","forage01","27","120747","0.0-8.0-19.0","A3LRSX7ECYPSF4","1516911258701","1","33","gold","1000","gold","15000"
"1279","","forage01","28","122148","0.0-8.0-20.0","A3LRSX7ECYPSF4","1516911258701","1","32","gold","1000","gold","16000"
"1916","","forage01","29","124179","0.0-8.0-21.0","A3LRSX7ECYPSF4","1516911258701","1","31","gold","1000","gold","17000"
"868","","forage01","30","125171","0.0-8.0-22.0","A3LRSX7ECYPSF4","1516911258701","1","30","gold","1000","gold","18000"
"1272","","forage01","31","126556","0.0-8.0-23.0","A3LRSX7ECYPSF4","1516911258701","1","29","gold","1000","gold","19000"
"1150","","forage01","32","127831","0.0-8.0-24.0","A3LRSX7ECYPSF4","1516911258701","1","28","gold","1000","gold","20000"
"1136","","forage01","33","129091","0.0-8.0-25.0","A3LRSX7ECYPSF4","1516911258701","1","27","gold","1000","gold","21000"
"1083","","forage01","34","130299","0.0-8.0-26.0","A3LRSX7ECYPSF4","1516911258701","1","26","gold","1000","gold","22000"
"1115","","forage01","35","131547","0.0-8.0-27.0","A3LRSX7ECYPSF4","1516911258701","1","25","gold","1000","gold","23000"
"1178","","forage01","36","132852","0.0-8.0-28.0","A3LRSX7ECYPSF4","1516911258701","1","24","gold","1000","gold","24000"
"1330","","forage01","37","134307","0.0-8.0-29.0","A3LRSX7ECYPSF4","1516911258701","0","23","dirt","0","gold","24000"
"1026","","forage01","38","135460","0.0-8.0-30.0","A3LRSX7ECYPSF4","1516911258701","0","22","gold","0","gold","24000"
"1119","","forage01","39","136707","0.0-8.0-31.0","A3LRSX7ECYPSF4","1516911258701","0","21","dirt","0","gold","24000"
"1001","","forage01","40","137835","0.0-8.0-32.0","A3LRSX7ECYPSF4","1516911258701","0","20","dirt","0","gold","24000"
"998","","forage01","41","138964","0.0-8.0-33.0","A3LRSX7ECYPSF4","1516911258701","0","19","gold","0","gold","24000"
"1212","","forage01","42","140307","0.0-8.0-34.0","A3LRSX7ECYPSF4","1516911258701","0","18","dirt","0","gold","24000"
"916","","forage01","43","141356","0.0-8.0-35.0","A3LRSX7ECYPSF4","1516911258701","0","17","dirt","0","gold","24000"
"946","","forage01","44","142435","0.0-8.0-36.0","A3LRSX7ECYPSF4","1516911258701","0","16","dirt","0","gold","24000"
"961","","forage01","45","143532","0.0-8.0-37.0","A3LRSX7ECYPSF4","1516911258701","0","15","gold","0","gold","24000"
"921","","forage01","46","144588","0.0-8.0-38.0","A3LRSX7ECYPSF4","1516911258701","0","14","dirt","0","gold","24000"
