"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"13152","32","text","0","13157","0.0-0.0","A3S3NLZV7A06QN","1516911817492","","","","","",""
"4632","32","text","1","17891","0.0-1.0","A3S3NLZV7A06QN","1516911817492","","","","","",""
"24716","32","text","2","42708","0.0-2.0","A3S3NLZV7A06QN","1516911817492","","","","","",""
"21979","32","text","3","64789","0.0-3.0","A3S3NLZV7A06QN","1516911817492","","","","","",""
"64391","32","mine-text","4","129492","0.0-4.0","A3S3NLZV7A06QN","1516911817492","","","","","",""
"27531","32","text","5","157124","0.0-5.0","A3S3NLZV7A06QN","1516911817492","","","","","",""
"62987","32","text","6","220212","0.0-6.0","A3S3NLZV7A06QN","1516911817492","","","","","",""
"7229","32","mine-text","7","227730","0.0-7.0","A3S3NLZV7A06QN","1516911817492","","","","","",""
"3520","","forage01","8","231356","0.0-8.0-0.0","A3S3NLZV7A06QN","1516911817492","0","52","dirt","0","no mineshafts yet","0"
"3151","","forage01","9","234610","0.0-8.0-1.0","A3S3NLZV7A06QN","1516911817492","0","51","gold","0","dirt","0"
"3162","","forage01","10","237876","0.0-8.0-2.0","A3S3NLZV7A06QN","1516911817492","1","50","gold","1000","gold","1000"
"882","","forage01","11","238861","0.0-8.0-3.0","A3S3NLZV7A06QN","1516911817492","1","49","gold","1000","gold","2000"
"862","","forage01","12","239828","0.0-8.0-4.0","A3S3NLZV7A06QN","1516911817492","0","48","diamond","0","gold","2000"
"894","","forage01","13","240825","0.0-8.0-5.0","A3S3NLZV7A06QN","1516911817492","1","47","diamond","100000","diamond","102000"
"670","","forage01","14","241597","0.0-8.0-6.0","A3S3NLZV7A06QN","1516911817492","1","46","diamond","100000","diamond","202000"
"590","","forage01","15","242295","0.0-8.0-7.0","A3S3NLZV7A06QN","1516911817492","1","45","diamond","100000","diamond","302000"
"577","","forage01","16","242975","0.0-8.0-8.0","A3S3NLZV7A06QN","1516911817492","1","44","diamond","100000","diamond","402000"
"617","","forage01","17","243697","0.0-8.0-9.0","A3S3NLZV7A06QN","1516911817492","1","43","diamond","100000","diamond","502000"
"656","","forage01","18","244457","0.0-8.0-10.0","A3S3NLZV7A06QN","1516911817492","1","42","diamond","100000","diamond","602000"
"4300","","forage01","19","248860","0.0-8.0-11.0","A3S3NLZV7A06QN","1516911817492","1","41","diamond","100000","diamond","702000"
"679","","forage01","20","249642","0.0-8.0-12.0","A3S3NLZV7A06QN","1516911817492","1","40","diamond","100000","diamond","802000"
"615","","forage01","21","250360","0.0-8.0-13.0","A3S3NLZV7A06QN","1516911817492","1","39","diamond","100000","diamond","902000"
"557","","forage01","22","251021","0.0-8.0-14.0","A3S3NLZV7A06QN","1516911817492","1","38","diamond","100000","diamond","1002000"
"318","","forage01","23","251443","0.0-8.0-15.0","A3S3NLZV7A06QN","1516911817492","1","37","diamond","100000","diamond","1102000"
"196","","forage01","24","251743","0.0-8.0-16.0","A3S3NLZV7A06QN","1516911817492","1","36","diamond","100000","diamond","1202000"
"261","","forage01","25","252106","0.0-8.0-17.0","A3S3NLZV7A06QN","1516911817492","1","35","diamond","100000","diamond","1302000"
"239","","forage01","26","252448","0.0-8.0-18.0","A3S3NLZV7A06QN","1516911817492","1","34","diamond","100000","diamond","1402000"
"233","","forage01","27","252783","0.0-8.0-19.0","A3S3NLZV7A06QN","1516911817492","1","33","diamond","100000","diamond","1502000"
"264","","forage01","28","253150","0.0-8.0-20.0","A3S3NLZV7A06QN","1516911817492","1","32","diamond","100000","diamond","1602000"
"322","","forage01","29","253575","0.0-8.0-21.0","A3S3NLZV7A06QN","1516911817492","1","31","diamond","100000","diamond","1702000"
"317","","forage01","30","253995","0.0-8.0-22.0","A3S3NLZV7A06QN","1516911817492","1","30","diamond","100000","diamond","1802000"
"303","","forage01","31","254402","0.0-8.0-23.0","A3S3NLZV7A06QN","1516911817492","1","29","diamond","100000","diamond","1902000"
"387","","forage01","32","254891","0.0-8.0-24.0","A3S3NLZV7A06QN","1516911817492","1","28","diamond","100000","diamond","2002000"
"331","","forage01","33","255324","0.0-8.0-25.0","A3S3NLZV7A06QN","1516911817492","1","27","diamond","100000","diamond","2102000"
"362","","forage01","34","255789","0.0-8.0-26.0","A3S3NLZV7A06QN","1516911817492","1","26","diamond","100000","diamond","2202000"
"311","","forage01","35","256205","0.0-8.0-27.0","A3S3NLZV7A06QN","1516911817492","1","25","diamond","100000","diamond","2302000"
"278","","forage01","36","256586","0.0-8.0-28.0","A3S3NLZV7A06QN","1516911817492","1","24","diamond","100000","diamond","2402000"
"276","","forage01","37","256965","0.0-8.0-29.0","A3S3NLZV7A06QN","1516911817492","1","23","diamond","100000","diamond","2502000"
"286","","forage01","38","257354","0.0-8.0-30.0","A3S3NLZV7A06QN","1516911817492","1","22","diamond","100000","diamond","2602000"
"293","","forage01","39","257750","0.0-8.0-31.0","A3S3NLZV7A06QN","1516911817492","1","21","diamond","100000","diamond","2702000"
"286","","forage01","40","258138","0.0-8.0-32.0","A3S3NLZV7A06QN","1516911817492","1","20","diamond","100000","diamond","2802000"
"316","","forage01","41","258556","0.0-8.0-33.0","A3S3NLZV7A06QN","1516911817492","1","19","diamond","100000","diamond","2902000"
"286","","forage01","42","258945","0.0-8.0-34.0","A3S3NLZV7A06QN","1516911817492","1","18","diamond","100000","diamond","3002000"
"302","","forage01","43","259349","0.0-8.0-35.0","A3S3NLZV7A06QN","1516911817492","1","17","diamond","100000","diamond","3102000"
"282","","forage01","44","259735","0.0-8.0-36.0","A3S3NLZV7A06QN","1516911817492","1","16","diamond","100000","diamond","3202000"
"283","","forage01","45","260124","0.0-8.0-37.0","A3S3NLZV7A06QN","1516911817492","1","15","diamond","100000","diamond","3302000"
"328","","forage01","46","260555","0.0-8.0-38.0","A3S3NLZV7A06QN","1516911817492","1","14","diamond","100000","diamond","3402000"
"341","","forage01","47","260999","0.0-8.0-39.0","A3S3NLZV7A06QN","1516911817492","1","13","diamond","100000","diamond","3502000"
"331","","forage01","48","261433","0.0-8.0-40.0","A3S3NLZV7A06QN","1516911817492","1","12","diamond","100000","diamond","3602000"
"348","","forage01","49","261884","0.0-8.0-41.0","A3S3NLZV7A06QN","1516911817492","1","11","diamond","100000","diamond","3702000"
"284","","forage01","50","262273","0.0-8.0-42.0","A3S3NLZV7A06QN","1516911817492","1","10","diamond","100000","diamond","3802000"
"300","","forage01","51","262676","0.0-8.0-43.0","A3S3NLZV7A06QN","1516911817492","1","9","diamond","100000","diamond","3902000"
"265","","forage01","52","263044","0.0-8.0-44.0","A3S3NLZV7A06QN","1516911817492","1","8","diamond","100000","diamond","4002000"
"298","","forage01","53","263445","0.0-8.0-45.0","A3S3NLZV7A06QN","1516911817492","1","7","diamond","100000","diamond","4102000"
"325","","forage01","54","263872","0.0-8.0-46.0","A3S3NLZV7A06QN","1516911817492","1","6","diamond","100000","diamond","4202000"
"315","","forage01","55","264293","0.0-8.0-47.0","A3S3NLZV7A06QN","1516911817492","1","5","diamond","100000","diamond","4302000"
"312","","forage01","56","264707","0.0-8.0-48.0","A3S3NLZV7A06QN","1516911817492","1","4","diamond","100000","diamond","4402000"
"313","","forage01","57","265123","0.0-8.0-49.0","A3S3NLZV7A06QN","1516911817492","1","3","diamond","100000","diamond","4502000"
"387","","forage01","58","265613","0.0-8.0-50.0","A3S3NLZV7A06QN","1516911817492","1","2","diamond","100000","diamond","4602000"
"535","","forage01","59","266251","0.0-8.0-51.0","A3S3NLZV7A06QN","1516911817492","1","1","diamond","100000","diamond","4702000"
"2459","32","mine-text","60","268995","0.0-9.0","A3S3NLZV7A06QN","1516911817492","","","","","",""
"3214","","forage01","61","272312","0.0-10.0-0.0","A3S3NLZV7A06QN","1516911817492","0","52","dirt","0","no mineshafts yet","0"
"982","","forage01","62","273397","0.0-10.0-1.0","A3S3NLZV7A06QN","1516911817492","0","51","dirt","0","dirt","0"
"739","","forage01","63","274238","0.0-10.0-2.0","A3S3NLZV7A06QN","1516911817492","0","50","dirt","0","dirt","0"
"723","","forage01","64","275064","0.0-10.0-3.0","A3S3NLZV7A06QN","1516911817492","0","49","dirt","0","dirt","0"
"586","","forage01","65","275752","0.0-10.0-4.0","A3S3NLZV7A06QN","1516911817492","0","48","dirt","0","dirt","0"
"565","","forage01","66","276420","0.0-10.0-5.0","A3S3NLZV7A06QN","1516911817492","0","47","gold","0","dirt","0"
"2148","","forage01","67","278673","0.0-10.0-6.0","A3S3NLZV7A06QN","1516911817492","1","46","gold","1000","gold","1000"
"510","","forage01","68","279286","0.0-10.0-7.0","A3S3NLZV7A06QN","1516911817492","1","45","gold","1000","gold","2000"
"260","","forage01","69","279648","0.0-10.0-8.0","A3S3NLZV7A06QN","1516911817492","1","44","gold","1000","gold","3000"
"227","","forage01","70","279979","0.0-10.0-9.0","A3S3NLZV7A06QN","1516911817492","1","43","gold","1000","gold","4000"
"235","","forage01","71","280316","0.0-10.0-10.0","A3S3NLZV7A06QN","1516911817492","1","42","gold","1000","gold","5000"
"302","","forage01","72","280721","0.0-10.0-11.0","A3S3NLZV7A06QN","1516911817492","1","41","gold","1000","gold","6000"
"304","","forage01","73","281127","0.0-10.0-12.0","A3S3NLZV7A06QN","1516911817492","1","40","gold","1000","gold","7000"
"279","","forage01","74","281509","0.0-10.0-13.0","A3S3NLZV7A06QN","1516911817492","1","39","gold","1000","gold","8000"
"278","","forage01","75","281890","0.0-10.0-14.0","A3S3NLZV7A06QN","1516911817492","1","38","gold","1000","gold","9000"
"567","","forage01","76","282560","0.0-10.0-15.0","A3S3NLZV7A06QN","1516911817492","0","37","gold","0","gold","9000"
