"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"17108","32","text","0","17123","0.0-0.0","A3U74S280Z4B0","1516906439463","","","","","",""
"30069","32","text","1","47294","0.0-1.0","A3U74S280Z4B0","1516906439463","","","","","",""
"3165","32","text","2","50559","0.0-2.0","A3U74S280Z4B0","1516906439463","","","","","",""
"20955","32","text","3","71614","0.0-3.0","A3U74S280Z4B0","1516906439463","","","","","",""
"56027","32","mine-text","4","128156","0.0-4.0","A3U74S280Z4B0","1516906439463","","","","","",""
"134170","32","text","5","262426","0.0-5.0","A3U74S280Z4B0","1516906439463","","","","","",""
"21952","32","text","6","284481","0.0-6.0","A3U74S280Z4B0","1516906439463","","","","","",""
"10672","32","mine-text","7","295768","0.0-7.0","A3U74S280Z4B0","1516906439463","","","","","",""
"22220","","forage01","8","318096","0.0-8.0-0.0","A3U74S280Z4B0","1516906439463","0","52","gold","0","no mineshafts yet","0"
"11039","","forage01","9","329242","0.0-8.0-1.0","A3U74S280Z4B0","1516906439463","0","51","dirt","0","gold","0"
"15297","","forage01","10","344654","0.0-8.0-2.0","A3U74S280Z4B0","1516906439463","0","50","dirt","0","gold","0"
"23418","","forage01","11","368177","0.0-8.0-3.0","A3U74S280Z4B0","1516906439463","0","49","gold","0","gold","0"
"6048","","forage01","12","374336","0.0-8.0-4.0","A3U74S280Z4B0","1516906439463","0","48","gold","0","gold","0"
"6108","","forage01","13","380546","0.0-8.0-5.0","A3U74S280Z4B0","1516906439463","0","47","gold","0","gold","0"
"4767","","forage01","14","385416","0.0-8.0-6.0","A3U74S280Z4B0","1516906439463","0","46","dirt","0","gold","0"
"3263","","forage01","15","388782","0.0-8.0-7.0","A3U74S280Z4B0","1516906439463","0","45","dirt","0","gold","0"
"2550","","forage01","16","391437","0.0-8.0-8.0","A3U74S280Z4B0","1516906439463","0","44","diamond","0","gold","0"
"6578","","forage01","17","398119","0.0-8.0-9.0","A3U74S280Z4B0","1516906439463","1","43","diamond","100000","diamond","100000"
"2428","","forage01","18","400658","0.0-8.0-10.0","A3U74S280Z4B0","1516906439463","1","42","diamond","100000","diamond","200000"
"2702","","forage01","19","403474","0.0-8.0-11.0","A3U74S280Z4B0","1516906439463","1","41","diamond","100000","diamond","300000"
"2533","","forage01","20","406111","0.0-8.0-12.0","A3U74S280Z4B0","1516906439463","1","40","diamond","100000","diamond","400000"
"2468","","forage01","21","408683","0.0-8.0-13.0","A3U74S280Z4B0","1516906439463","1","39","diamond","100000","diamond","500000"
"1999","","forage01","22","410786","0.0-8.0-14.0","A3U74S280Z4B0","1516906439463","1","38","diamond","100000","diamond","600000"
"1929","","forage01","23","412819","0.0-8.0-15.0","A3U74S280Z4B0","1516906439463","1","37","diamond","100000","diamond","700000"
