"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"1103","32","text","0","1108","0.0-0.0","A4J4GGMKJ68L0","1517430961977","","","","","",""
"2041","32","text","1","3252","0.0-1.0","A4J4GGMKJ68L0","1517430961977","","","","","",""
"1450","32","text","2","4803","0.0-2.0","A4J4GGMKJ68L0","1517430961977","","","","","",""
"3454","32","text","3","8359","0.0-3.0","A4J4GGMKJ68L0","1517430961977","","","","","",""
"2493","32","mine-text","4","11191","0.0-4.0","A4J4GGMKJ68L0","1517430961977","","","","","",""
"2361","32","text","5","13654","0.0-5.0","A4J4GGMKJ68L0","1517430961977","","","","","",""
"1211","32","text","6","14966","0.0-6.0","A4J4GGMKJ68L0","1517430961977","","","","","",""
"12609","32","mine-text","7","27959","0.0-7.0","A4J4GGMKJ68L0","1517430961977","","","","","",""
"2058","","forage01","8","30123","0.0-8.0-0.0","A4J4GGMKJ68L0","1517430961977","0","52","dirt","0","no mineshafts yet","0"
"105","","forage01","9","30332","0.0-8.0-1.0","A4J4GGMKJ68L0","1517430961977","0","51","dirt","0","dirt","0"
"399","","forage01","10","30834","0.0-8.0-2.0","A4J4GGMKJ68L0","1517430961977","0","50","gold","0","dirt","0"
"31","","forage01","11","30968","0.0-8.0-3.0","A4J4GGMKJ68L0","1517430961977","0","49","gold","0","gold","0"
"532","","forage01","12","31604","0.0-8.0-4.0","A4J4GGMKJ68L0","1517430961977","0","48","dirt","0","gold","0"
"399","","forage01","13","32106","0.0-8.0-5.0","A4J4GGMKJ68L0","1517430961977","0","47","gold","0","gold","0"
"20","","forage01","14","32230","0.0-8.0-6.0","A4J4GGMKJ68L0","1517430961977","0","46","gold","0","gold","0"
"2","","forage01","15","32336","0.0-8.0-7.0","A4J4GGMKJ68L0","1517430961977","0","45","dirt","0","gold","0"
"877","","forage01","16","33318","0.0-8.0-8.0","A4J4GGMKJ68L0","1517430961977","1","44","gold","1000","gold","1000"
"398","","forage01","17","33819","0.0-8.0-9.0","A4J4GGMKJ68L0","1517430961977","1","43","gold","1000","gold","2000"
"20","","forage01","18","33943","0.0-8.0-10.0","A4J4GGMKJ68L0","1517430961977","1","42","gold","1000","gold","3000"
"1942","","forage01","19","35988","0.0-8.0-11.0","A4J4GGMKJ68L0","1517430961977","0","41","dirt","0","gold","3000"
"386","","forage01","20","36480","0.0-8.0-12.0","A4J4GGMKJ68L0","1517430961977","0","40","gold","0","gold","3000"
"2","","forage01","21","36587","0.0-8.0-13.0","A4J4GGMKJ68L0","1517430961977","0","39","diamond","0","gold","3000"
"17","","forage01","22","36709","0.0-8.0-14.0","A4J4GGMKJ68L0","1517430961977","0","38","dirt","0","diamond","3000"
