"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"5850","32","text","0","5860","0.0-0.0","A55CXM7QR7R0N","1517428351089","","","","","",""
"7044","32","text","1","13007","0.0-1.0","A55CXM7QR7R0N","1517428351089","","","","","",""
"3993","32","text","2","17102","0.0-2.0","A55CXM7QR7R0N","1517428351089","","","","","",""
"34600","32","text","3","51803","0.0-3.0","A55CXM7QR7R0N","1517428351089","","","","","",""
"58470","32","mine-text","4","110599","0.0-4.0","A55CXM7QR7R0N","1517428351089","","","","","",""
"56079","32","text","5","166779","0.0-5.0","A55CXM7QR7R0N","1517428351089","","","","","",""
"23802","32","text","6","190684","0.0-6.0","A55CXM7QR7R0N","1517428351089","","","","","",""
"13436","32","mine-text","7","204452","0.0-7.0","A55CXM7QR7R0N","1517428351089","","","","","",""
"5461","","forage01","8","210019","0.0-8.0-0.0","A55CXM7QR7R0N","1517428351089","0","52","dirt","0","no mineshafts yet","0"
"5733","","forage01","9","215855","0.0-8.0-1.0","A55CXM7QR7R0N","1517428351089","0","51","dirt","0","dirt","0"
"3489","","forage01","10","219448","0.0-8.0-2.0","A55CXM7QR7R0N","1517428351089","1","50","dirt","0","dirt","0"
"1543","","forage01","11","221095","0.0-8.0-3.0","A55CXM7QR7R0N","1517428351089","0","49","dirt","0","dirt","0"
"2118","","forage01","12","223318","0.0-8.0-4.0","A55CXM7QR7R0N","1517428351089","0","48","gold","0","dirt","0"
"4504","","forage01","13","227925","0.0-8.0-5.0","A55CXM7QR7R0N","1517428351089","1","47","gold","1000","gold","1000"
"1866","","forage01","14","229895","0.0-8.0-6.0","A55CXM7QR7R0N","1517428351089","1","46","gold","1000","gold","2000"
"1758","","forage01","15","231757","0.0-8.0-7.0","A55CXM7QR7R0N","1517428351089","1","45","gold","1000","gold","3000"
"824","","forage01","16","232685","0.0-8.0-8.0","A55CXM7QR7R0N","1517428351089","1","44","gold","1000","gold","4000"
"751","","forage01","17","233539","0.0-8.0-9.0","A55CXM7QR7R0N","1517428351089","1","43","gold","1000","gold","5000"
"707","","forage01","18","234349","0.0-8.0-10.0","A55CXM7QR7R0N","1517428351089","1","42","gold","1000","gold","6000"
"619","","forage01","19","235071","0.0-8.0-11.0","A55CXM7QR7R0N","1517428351089","1","41","gold","1000","gold","7000"
"546","","forage01","20","235721","0.0-8.0-12.0","A55CXM7QR7R0N","1517428351089","1","40","gold","1000","gold","8000"
"530","","forage01","21","236355","0.0-8.0-13.0","A55CXM7QR7R0N","1517428351089","1","39","gold","1000","gold","9000"
"503","","forage01","22","236963","0.0-8.0-14.0","A55CXM7QR7R0N","1517428351089","1","38","gold","1000","gold","10000"
"531","","forage01","23","237597","0.0-8.0-15.0","A55CXM7QR7R0N","1517428351089","1","37","gold","1000","gold","11000"
"514","","forage01","24","238214","0.0-8.0-16.0","A55CXM7QR7R0N","1517428351089","1","36","gold","1000","gold","12000"
"1115","","forage01","25","239433","0.0-8.0-17.0","A55CXM7QR7R0N","1517428351089","1","35","gold","1000","gold","13000"
"989","","forage01","26","240525","0.0-8.0-18.0","A55CXM7QR7R0N","1517428351089","1","34","gold","1000","gold","14000"
"479","","forage01","27","241107","0.0-8.0-19.0","A55CXM7QR7R0N","1517428351089","1","33","gold","1000","gold","15000"
"426","","forage01","28","241637","0.0-8.0-20.0","A55CXM7QR7R0N","1517428351089","1","32","gold","1000","gold","16000"
"465","","forage01","29","242207","0.0-8.0-21.0","A55CXM7QR7R0N","1517428351089","1","31","gold","1000","gold","17000"
"404","","forage01","30","242715","0.0-8.0-22.0","A55CXM7QR7R0N","1517428351089","1","30","gold","1000","gold","18000"
"424","","forage01","31","243243","0.0-8.0-23.0","A55CXM7QR7R0N","1517428351089","1","29","gold","1000","gold","19000"
"407","","forage01","32","243753","0.0-8.0-24.0","A55CXM7QR7R0N","1517428351089","1","28","gold","1000","gold","20000"
"434","","forage01","33","244291","0.0-8.0-25.0","A55CXM7QR7R0N","1517428351089","1","27","gold","1000","gold","21000"
"428","","forage01","34","244823","0.0-8.0-26.0","A55CXM7QR7R0N","1517428351089","1","26","gold","1000","gold","22000"
"454","","forage01","35","245381","0.0-8.0-27.0","A55CXM7QR7R0N","1517428351089","1","25","gold","1000","gold","23000"
"542","","forage01","36","246027","0.0-8.0-28.0","A55CXM7QR7R0N","1517428351089","1","24","gold","1000","gold","24000"
"1066","","forage01","37","247199","0.0-8.0-29.0","A55CXM7QR7R0N","1517428351089","1","23","gold","1000","gold","25000"
"783","","forage01","38","248085","0.0-8.0-30.0","A55CXM7QR7R0N","1517428351089","1","22","gold","1000","gold","26000"
"533","","forage01","39","248722","0.0-8.0-31.0","A55CXM7QR7R0N","1517428351089","1","21","gold","1000","gold","27000"
"501","","forage01","40","249327","0.0-8.0-32.0","A55CXM7QR7R0N","1517428351089","1","20","gold","1000","gold","28000"
"507","","forage01","41","249937","0.0-8.0-33.0","A55CXM7QR7R0N","1517428351089","1","19","gold","1000","gold","29000"
"2234","","forage01","42","252275","0.0-8.0-34.0","A55CXM7QR7R0N","1517428351089","1","18","gold","1000","gold","30000"
"426","","forage01","43","252805","0.0-8.0-35.0","A55CXM7QR7R0N","1517428351089","1","17","gold","1000","gold","31000"
"398","","forage01","44","253309","0.0-8.0-36.0","A55CXM7QR7R0N","1517428351089","1","16","gold","1000","gold","32000"
"328","","forage01","45","253741","0.0-8.0-37.0","A55CXM7QR7R0N","1517428351089","1","15","gold","1000","gold","33000"
"279","","forage01","46","254125","0.0-8.0-38.0","A55CXM7QR7R0N","1517428351089","1","14","gold","1000","gold","34000"
"421","","forage01","47","254649","0.0-8.0-39.0","A55CXM7QR7R0N","1517428351089","1","13","gold","1000","gold","35000"
"399","","forage01","48","255151","0.0-8.0-40.0","A55CXM7QR7R0N","1517428351089","1","12","gold","1000","gold","36000"
"370","","forage01","49","255625","0.0-8.0-41.0","A55CXM7QR7R0N","1517428351089","1","11","gold","1000","gold","37000"
"333","","forage01","50","256061","0.0-8.0-42.0","A55CXM7QR7R0N","1517428351089","1","10","gold","1000","gold","38000"
"269","","forage01","51","256433","0.0-8.0-43.0","A55CXM7QR7R0N","1517428351089","1","9","gold","1000","gold","39000"
"417","","forage01","52","256953","0.0-8.0-44.0","A55CXM7QR7R0N","1517428351089","1","8","gold","1000","gold","40000"
"306","","forage01","53","257361","0.0-8.0-45.0","A55CXM7QR7R0N","1517428351089","1","7","gold","1000","gold","41000"
"469","","forage01","54","257933","0.0-8.0-46.0","A55CXM7QR7R0N","1517428351089","1","6","gold","1000","gold","42000"
"363","","forage01","55","258399","0.0-8.0-47.0","A55CXM7QR7R0N","1517428351089","1","5","gold","1000","gold","43000"
"559","","forage01","56","259061","0.0-8.0-48.0","A55CXM7QR7R0N","1517428351089","1","4","gold","1000","gold","44000"
"554","","forage01","57","259719","0.0-8.0-49.0","A55CXM7QR7R0N","1517428351089","1","3","gold","1000","gold","45000"
"1038","","forage01","58","260863","0.0-8.0-50.0","A55CXM7QR7R0N","1517428351089","1","2","gold","1000","gold","46000"
"621","","forage01","59","261587","0.0-8.0-51.0","A55CXM7QR7R0N","1517428351089","1","1","gold","1000","gold","47000"
"7490","32","mine-text","60","269410","0.0-9.0","A55CXM7QR7R0N","1517428351089","","","","","",""
"6198","","forage01","61","275711","0.0-10.0-0.0","A55CXM7QR7R0N","1517428351089","0","52","gold","0","no mineshafts yet","0"
"1905","","forage01","62","277721","0.0-10.0-1.0","A55CXM7QR7R0N","1517428351089","1","51","gold","1000","gold","1000"
"889","","forage01","63","278712","0.0-10.0-2.0","A55CXM7QR7R0N","1517428351089","1","50","gold","1000","gold","2000"
"740","","forage01","64","279555","0.0-10.0-3.0","A55CXM7QR7R0N","1517428351089","1","49","gold","1000","gold","3000"
"567","","forage01","65","280225","0.0-10.0-4.0","A55CXM7QR7R0N","1517428351089","1","48","gold","1000","gold","4000"
"687","","forage01","66","281015","0.0-10.0-5.0","A55CXM7QR7R0N","1517428351089","1","47","gold","1000","gold","5000"
"800","","forage01","67","281918","0.0-10.0-6.0","A55CXM7QR7R0N","1517428351089","0","46","dirt","0","gold","5000"
"1086","","forage01","68","283107","0.0-10.0-7.0","A55CXM7QR7R0N","1517428351089","0","45","dirt","0","gold","5000"
"756","","forage01","69","283965","0.0-10.0-8.0","A55CXM7QR7R0N","1517428351089","0","44","dirt","0","gold","5000"
"548","","forage01","70","284615","0.0-10.0-9.0","A55CXM7QR7R0N","1517428351089","0","43","dirt","0","gold","5000"
"474","","forage01","71","285191","0.0-10.0-10.0","A55CXM7QR7R0N","1517428351089","0","42","gold","0","gold","5000"
"421","","forage01","72","285717","0.0-10.0-11.0","A55CXM7QR7R0N","1517428351089","0","41","dirt","0","gold","5000"
"585","","forage01","73","286405","0.0-10.0-12.0","A55CXM7QR7R0N","1517428351089","0","40","dirt","0","gold","5000"
"447","","forage01","74","286955","0.0-10.0-13.0","A55CXM7QR7R0N","1517428351089","0","39","dirt","0","gold","5000"
"521","","forage01","75","287581","0.0-10.0-14.0","A55CXM7QR7R0N","1517428351089","0","38","dirt","0","gold","5000"
"1116","","forage01","76","288801","0.0-10.0-15.0","A55CXM7QR7R0N","1517428351089","0","37","dirt","0","gold","5000"
"1123","","forage01","77","290027","0.0-10.0-16.0","A55CXM7QR7R0N","1517428351089","0","36","dirt","0","gold","5000"
"510","","forage01","78","290642","0.0-10.0-17.0","A55CXM7QR7R0N","1517428351089","0","35","gold","0","gold","5000"
"1694","","forage01","79","292441","0.0-10.0-18.0","A55CXM7QR7R0N","1517428351089","1","34","gold","1000","gold","6000"
"598","","forage01","80","293143","0.0-10.0-19.0","A55CXM7QR7R0N","1517428351089","1","33","gold","1000","gold","7000"
"511","","forage01","81","293761","0.0-10.0-20.0","A55CXM7QR7R0N","1517428351089","1","32","gold","1000","gold","8000"
"398","","forage01","82","294263","0.0-10.0-21.0","A55CXM7QR7R0N","1517428351089","1","31","gold","1000","gold","9000"
"276","","forage01","83","294643","0.0-10.0-22.0","A55CXM7QR7R0N","1517428351089","1","30","gold","1000","gold","10000"
"370","","forage01","84","295116","0.0-10.0-23.0","A55CXM7QR7R0N","1517428351089","1","29","gold","1000","gold","11000"
"379","","forage01","85","295599","0.0-10.0-24.0","A55CXM7QR7R0N","1517428351089","1","28","gold","1000","gold","12000"
"218","","forage01","86","295921","0.0-10.0-25.0","A55CXM7QR7R0N","1517428351089","1","27","gold","1000","gold","13000"
