"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"39318","32","text","0","39323","0.0-0.0","AU2NVT51E749C","1517428700195","","","","","",""
"111433","32","text","1","150859","0.0-1.0","AU2NVT51E749C","1517428700195","","","","","",""
"2634","32","text","2","153594","0.0-2.0","AU2NVT51E749C","1517428700195","","","","","",""
"71787","32","text","3","225482","0.0-3.0","AU2NVT51E749C","1517428700195","","","","","",""
"37966","32","mine-text","4","263761","0.0-4.0","AU2NVT51E749C","1517428700195","","","","","",""
"18645","32","text","5","282509","0.0-5.0","AU2NVT51E749C","1517428700195","","","","","",""
"6324","32","text","6","288932","0.0-6.0","AU2NVT51E749C","1517428700195","","","","","",""
"4230","32","mine-text","7","293489","0.0-7.0","AU2NVT51E749C","1517428700195","","","","","",""
"9498","","forage01","8","303092","0.0-8.0-0.0","AU2NVT51E749C","1517428700195","0","52","dirt","0","no mineshafts yet","0"
"5304","","forage01","9","308500","0.0-8.0-1.0","AU2NVT51E749C","1517428700195","0","51","dirt","0","dirt","0"
"5440","","forage01","10","314044","0.0-8.0-2.0","AU2NVT51E749C","1517428700195","0","50","dirt","0","dirt","0"
"2129","","forage01","11","316276","0.0-8.0-3.0","AU2NVT51E749C","1517428700195","0","49","dirt","0","dirt","0"
"1383","","forage01","12","317762","0.0-8.0-4.0","AU2NVT51E749C","1517428700195","0","48","dirt","0","dirt","0"
"1697","","forage01","13","319562","0.0-8.0-5.0","AU2NVT51E749C","1517428700195","0","47","dirt","0","dirt","0"
"4421","","forage01","14","324087","0.0-8.0-6.0","AU2NVT51E749C","1517428700195","0","46","dirt","0","dirt","0"
"1046","","forage01","15","325238","0.0-8.0-7.0","AU2NVT51E749C","1517428700195","0","45","dirt","0","dirt","0"
"496","","forage01","16","325838","0.0-8.0-8.0","AU2NVT51E749C","1517428700195","0","44","gold","0","dirt","0"
"6130","","forage01","17","332071","0.0-8.0-9.0","AU2NVT51E749C","1517428700195","0","43","dirt","0","gold","0"
"1082","","forage01","18","333256","0.0-8.0-10.0","AU2NVT51E749C","1517428700195","0","42","dirt","0","gold","0"
"694","","forage01","19","334055","0.0-8.0-11.0","AU2NVT51E749C","1517428700195","0","41","dirt","0","gold","0"
"638","","forage01","20","334797","0.0-8.0-12.0","AU2NVT51E749C","1517428700195","0","40","dirt","0","gold","0"
"607","","forage01","21","335509","0.0-8.0-13.0","AU2NVT51E749C","1517428700195","0","39","dirt","0","gold","0"
"618","","forage01","22","336231","0.0-8.0-14.0","AU2NVT51E749C","1517428700195","0","38","dirt","0","gold","0"
"541","","forage01","23","336876","0.0-8.0-15.0","AU2NVT51E749C","1517428700195","0","37","dirt","0","gold","0"
"764","","forage01","24","337745","0.0-8.0-16.0","AU2NVT51E749C","1517428700195","0","36","dirt","0","gold","0"
"920","","forage01","25","338769","0.0-8.0-17.0","AU2NVT51E749C","1517428700195","0","35","dirt","0","gold","0"
"679","","forage01","26","339554","0.0-8.0-18.0","AU2NVT51E749C","1517428700195","0","34","dirt","0","gold","0"
"803","","forage01","27","340462","0.0-8.0-19.0","AU2NVT51E749C","1517428700195","0","33","gold","0","gold","0"
"891","","forage01","28","341458","0.0-8.0-20.0","AU2NVT51E749C","1517428700195","0","32","dirt","0","gold","0"
"2093","","forage01","29","343656","0.0-8.0-21.0","AU2NVT51E749C","1517428700195","1","31","gold","1000","gold","1000"
"945","","forage01","30","344705","0.0-8.0-22.0","AU2NVT51E749C","1517428700195","1","30","gold","1000","gold","2000"
"790","","forage01","31","345601","0.0-8.0-23.0","AU2NVT51E749C","1517428700195","1","29","gold","1000","gold","3000"
"494","","forage01","32","346199","0.0-8.0-24.0","AU2NVT51E749C","1517428700195","1","28","gold","1000","gold","4000"
"581","","forage01","33","346886","0.0-8.0-25.0","AU2NVT51E749C","1517428700195","1","27","gold","1000","gold","5000"
"552","","forage01","34","347543","0.0-8.0-26.0","AU2NVT51E749C","1517428700195","1","26","gold","1000","gold","6000"
"601","","forage01","35","348250","0.0-8.0-27.0","AU2NVT51E749C","1517428700195","1","25","gold","1000","gold","7000"
"2093","","forage01","36","350447","0.0-8.0-28.0","AU2NVT51E749C","1517428700195","1","24","gold","1000","gold","8000"
"625","","forage01","37","351176","0.0-8.0-29.0","AU2NVT51E749C","1517428700195","1","23","gold","1000","gold","9000"
"2014","","forage01","38","353295","0.0-8.0-30.0","AU2NVT51E749C","1517428700195","1","22","gold","1000","gold","10000"
"380","","forage01","39","353783","0.0-8.0-31.0","AU2NVT51E749C","1517428700195","1","21","gold","1000","gold","11000"
"359","","forage01","40","354249","0.0-8.0-32.0","AU2NVT51E749C","1517428700195","1","20","gold","1000","gold","12000"
"389","","forage01","41","354743","0.0-8.0-33.0","AU2NVT51E749C","1517428700195","1","19","gold","1000","gold","13000"
"415","","forage01","42","355262","0.0-8.0-34.0","AU2NVT51E749C","1517428700195","1","18","gold","1000","gold","14000"
"528","","forage01","43","355895","0.0-8.0-35.0","AU2NVT51E749C","1517428700195","1","17","gold","1000","gold","15000"
"757","","forage01","44","356757","0.0-8.0-36.0","AU2NVT51E749C","1517428700195","1","16","gold","1000","gold","16000"
"445","","forage01","45","357308","0.0-8.0-37.0","AU2NVT51E749C","1517428700195","1","15","gold","1000","gold","17000"
"250","","forage01","46","357664","0.0-8.0-38.0","AU2NVT51E749C","1517428700195","1","14","gold","1000","gold","18000"
"288","","forage01","47","358056","0.0-8.0-39.0","AU2NVT51E749C","1517428700195","1","13","gold","1000","gold","19000"
"244","","forage01","48","358405","0.0-8.0-40.0","AU2NVT51E749C","1517428700195","1","12","gold","1000","gold","20000"
"271","","forage01","49","358782","0.0-8.0-41.0","AU2NVT51E749C","1517428700195","1","11","gold","1000","gold","21000"
"294","","forage01","50","359182","0.0-8.0-42.0","AU2NVT51E749C","1517428700195","1","10","gold","1000","gold","22000"
"135","","forage01","51","359422","0.0-8.0-43.0","AU2NVT51E749C","1517428700195","1","9","gold","1000","gold","23000"
"357","","forage01","52","359884","0.0-8.0-44.0","AU2NVT51E749C","1517428700195","1","8","gold","1000","gold","24000"
"296","","forage01","53","360284","0.0-8.0-45.0","AU2NVT51E749C","1517428700195","1","7","gold","1000","gold","25000"
"254","","forage01","54","360643","0.0-8.0-46.0","AU2NVT51E749C","1517428700195","1","6","gold","1000","gold","26000"
"196","","forage01","55","360944","0.0-8.0-47.0","AU2NVT51E749C","1517428700195","1","5","gold","1000","gold","27000"
"927","","forage01","56","361976","0.0-8.0-48.0","AU2NVT51E749C","1517428700195","1","4","gold","1000","gold","28000"
"441","","forage01","57","362522","0.0-8.0-49.0","AU2NVT51E749C","1517428700195","1","3","gold","1000","gold","29000"
"576","","forage01","58","363203","0.0-8.0-50.0","AU2NVT51E749C","1517428700195","1","2","gold","1000","gold","30000"
"1174","","forage01","59","364480","0.0-8.0-51.0","AU2NVT51E749C","1517428700195","1","1","gold","1000","gold","31000"
"8591","32","mine-text","60","373378","0.0-9.0","AU2NVT51E749C","1517428700195","","","","","",""
"1693","","forage01","61","375174","0.0-10.0-0.0","AU2NVT51E749C","1517428700195","0","52","gold","0","no mineshafts yet","0"
"7550","","forage01","62","382825","0.0-10.0-1.0","AU2NVT51E749C","1517428700195","1","51","gold","1000","gold","1000"
"2369","","forage01","63","385297","0.0-10.0-2.0","AU2NVT51E749C","1517428700195","1","50","gold","1000","gold","2000"
"366","","forage01","64","385765","0.0-10.0-3.0","AU2NVT51E749C","1517428700195","1","49","gold","1000","gold","3000"
"349","","forage01","65","386215","0.0-10.0-4.0","AU2NVT51E749C","1517428700195","1","48","gold","1000","gold","4000"
"306","","forage01","66","386622","0.0-10.0-5.0","AU2NVT51E749C","1517428700195","1","47","gold","1000","gold","5000"
"314","","forage01","67","387037","0.0-10.0-6.0","AU2NVT51E749C","1517428700195","1","46","gold","1000","gold","6000"
"284","","forage01","68","387423","0.0-10.0-7.0","AU2NVT51E749C","1517428700195","1","45","gold","1000","gold","7000"
"264","","forage01","69","387789","0.0-10.0-8.0","AU2NVT51E749C","1517428700195","1","44","gold","1000","gold","8000"
"247","","forage01","70","388137","0.0-10.0-9.0","AU2NVT51E749C","1517428700195","1","43","gold","1000","gold","9000"
"272","","forage01","71","388513","0.0-10.0-10.0","AU2NVT51E749C","1517428700195","1","42","gold","1000","gold","10000"
"206","","forage01","72","388821","0.0-10.0-11.0","AU2NVT51E749C","1517428700195","1","41","gold","1000","gold","11000"
"244","","forage01","73","389167","0.0-10.0-12.0","AU2NVT51E749C","1517428700195","1","40","gold","1000","gold","12000"
"476","","forage01","74","389745","0.0-10.0-13.0","AU2NVT51E749C","1517428700195","1","39","gold","1000","gold","13000"
"356","","forage01","75","390204","0.0-10.0-14.0","AU2NVT51E749C","1517428700195","1","38","gold","1000","gold","14000"
"438","","forage01","76","390742","0.0-10.0-15.0","AU2NVT51E749C","1517428700195","1","37","gold","1000","gold","15000"
"693","","forage01","77","391538","0.0-10.0-16.0","AU2NVT51E749C","1517428700195","0","36","dirt","0","gold","15000"
