"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"2532","32","text","0","2537","0.0-0.0","","1517430834748","","","","","",""
"533","32","text","1","3173","0.0-1.0","","1517430834748","","","","","",""
"225","32","text","2","3499","0.0-2.0","","1517430834748","","","","","",""
"74","32","text","3","3675","0.0-3.0","","1517430834748","","","","","",""
"37","32","mine-text","4","4045","0.0-4.0","","1517430834748","","","","","",""
"109","32","text","5","4266","0.0-5.0","","1517430834748","","","","","",""
"74","32","text","6","4449","0.0-6.0","","1517430834748","","","","","",""
"183","32","mine-text","7","4987","0.0-7.0","","1517430834748","","","","","",""
"1131","","forage01","8","6223","0.0-8.0-0.0","","1517430834748","0","52","gold","0","no mineshafts yet","0"
"511","","forage01","9","6838","0.0-8.0-1.0","","1517430834748","0","51","gold","0","gold","0"
"10431","","forage01","10","17373","0.0-8.0-2.0","","1517430834748","1","50","gold","1000","gold","1000"
"384","","forage01","11","17861","0.0-8.0-3.0","","1517430834748","1","49","gold","1000","gold","2000"
"21","","forage01","12","17985","0.0-8.0-4.0","","1517430834748","1","48","gold","1000","gold","3000"
"2","","forage01","13","18090","0.0-8.0-5.0","","1517430834748","1","47","gold","1000","gold","4000"
"19","","forage01","14","18212","0.0-8.0-6.0","","1517430834748","1","46","gold","1000","gold","5000"
"22","","forage01","15","18337","0.0-8.0-7.0","","1517430834748","1","45","gold","1000","gold","6000"
"2","","forage01","16","18442","0.0-8.0-8.0","","1517430834748","1","44","gold","1000","gold","7000"
"21","","forage01","17","18566","0.0-8.0-9.0","","1517430834748","1","43","gold","1000","gold","8000"
"22","","forage01","18","18691","0.0-8.0-10.0","","1517430834748","1","42","gold","1000","gold","9000"
"21","","forage01","19","18815","0.0-8.0-11.0","","1517430834748","1","41","gold","1000","gold","10000"
"2","","forage01","20","18919","0.0-8.0-12.0","","1517430834748","1","40","gold","1000","gold","11000"
"19","","forage01","21","19042","0.0-8.0-13.0","","1517430834748","1","39","gold","1000","gold","12000"
"21","","forage01","22","19166","0.0-8.0-14.0","","1517430834748","1","38","gold","1000","gold","13000"
"1","","forage01","23","19271","0.0-8.0-15.0","","1517430834748","1","37","gold","1000","gold","14000"
"19","","forage01","24","19393","0.0-8.0-16.0","","1517430834748","1","36","gold","1000","gold","15000"
"21","","forage01","25","19518","0.0-8.0-17.0","","1517430834748","1","35","gold","1000","gold","16000"
"2","","forage01","26","19622","0.0-8.0-18.0","","1517430834748","1","34","gold","1000","gold","17000"
"19","","forage01","27","19745","0.0-8.0-19.0","","1517430834748","1","33","gold","1000","gold","18000"
"21","","forage01","28","19869","0.0-8.0-20.0","","1517430834748","1","32","gold","1000","gold","19000"
"790","","forage01","29","20762","0.0-8.0-21.0","","1517430834748","1","31","gold","1000","gold","20000"
"399","","forage01","30","21264","0.0-8.0-22.0","","1517430834748","1","30","gold","1000","gold","21000"
"584","","forage01","31","21951","0.0-8.0-23.0","","1517430834748","0","29","gold","0","gold","21000"
"398","","forage01","32","22453","0.0-8.0-24.0","","1517430834748","0","28","gold","0","gold","21000"
"367","","forage01","33","22923","0.0-8.0-25.0","","1517430834748","1","27","gold","1000","gold","22000"
"257","","forage01","34","23283","0.0-8.0-26.0","","1517430834748","1","26","gold","1000","gold","23000"
"398","","forage01","35","23785","0.0-8.0-27.0","","1517430834748","1","25","gold","1000","gold","24000"
"31","","forage01","36","23919","0.0-8.0-28.0","","1517430834748","1","24","gold","1000","gold","25000"
"20","","forage01","37","24043","0.0-8.0-29.0","","1517430834748","1","23","gold","1000","gold","26000"
"20","","forage01","38","24167","0.0-8.0-30.0","","1517430834748","1","22","gold","1000","gold","27000"
"1","","forage01","39","24272","0.0-8.0-31.0","","1517430834748","1","21","gold","1000","gold","28000"
"20","","forage01","40","24396","0.0-8.0-32.0","","1517430834748","1","20","gold","1000","gold","29000"
"20","","forage01","41","24520","0.0-8.0-33.0","","1517430834748","1","19","gold","1000","gold","30000"
"26","","forage01","42","24648","0.0-8.0-34.0","","1517430834748","1","18","gold","1000","gold","31000"
"21","","forage01","43","24774","0.0-8.0-35.0","","1517430834748","1","17","gold","1000","gold","32000"
"31","","forage01","44","24909","0.0-8.0-36.0","","1517430834748","1","16","gold","1000","gold","33000"
"23","","forage01","45","25035","0.0-8.0-37.0","","1517430834748","1","15","gold","1000","gold","34000"
"21","","forage01","46","25161","0.0-8.0-38.0","","1517430834748","1","14","gold","1000","gold","35000"
"20","","forage01","47","25285","0.0-8.0-39.0","","1517430834748","1","13","gold","1000","gold","36000"
"32","","forage01","48","25421","0.0-8.0-40.0","","1517430834748","1","12","gold","1000","gold","37000"
"21","","forage01","49","25545","0.0-8.0-41.0","","1517430834748","1","11","gold","1000","gold","38000"
"21","","forage01","50","25670","0.0-8.0-42.0","","1517430834748","1","10","gold","1000","gold","39000"
"31","","forage01","51","25804","0.0-8.0-43.0","","1517430834748","1","9","gold","1000","gold","40000"
"19","","forage01","52","25928","0.0-8.0-44.0","","1517430834748","1","8","gold","1000","gold","41000"
"20","","forage01","53","26052","0.0-8.0-45.0","","1517430834748","1","7","gold","1000","gold","42000"
"1","","forage01","54","26157","0.0-8.0-46.0","","1517430834748","1","6","gold","1000","gold","43000"
"18","","forage01","55","26279","0.0-8.0-47.0","","1517430834748","1","5","gold","1000","gold","44000"
"20","","forage01","56","26403","0.0-8.0-48.0","","1517430834748","1","4","gold","1000","gold","45000"
"1","","forage01","57","26508","0.0-8.0-49.0","","1517430834748","1","3","gold","1000","gold","46000"
"18","","forage01","58","26630","0.0-8.0-50.0","","1517430834748","1","2","gold","1000","gold","47000"
"20","","forage01","59","26754","0.0-8.0-51.0","","1517430834748","1","1","gold","1000","gold","48000"
"2452","32","mine-text","60","29585","0.0-9.0","","1517430834748","","","","","",""
"752","","forage01","61","30440","0.0-10.0-0.0","","1517430834748","0","52","dirt","0","no mineshafts yet","0"
"442","","forage01","62","30984","0.0-10.0-1.0","","1517430834748","0","51","dirt","0","dirt","0"
"379","","forage01","63","31467","0.0-10.0-2.0","","1517430834748","1","50","dirt","0","dirt","0"
"128","","forage01","64","31698","0.0-10.0-3.0","","1517430834748","1","49","dirt","0","dirt","0"
"680","","forage01","65","32480","0.0-10.0-4.0","","1517430834748","0","48","gold","0","dirt","0"
"389","","forage01","66","32972","0.0-10.0-5.0","","1517430834748","0","47","dirt","0","gold","0"
"31","","forage01","67","33106","0.0-10.0-6.0","","1517430834748","0","46","dirt","0","gold","0"
"19","","forage01","68","33231","0.0-10.0-7.0","","1517430834748","0","45","dirt","0","gold","0"
"21","","forage01","69","33354","0.0-10.0-8.0","","1517430834748","0","44","dirt","0","gold","0"
"2","","forage01","70","33459","0.0-10.0-9.0","","1517430834748","0","43","dirt","0","gold","0"
"862","","forage01","71","34424","0.0-10.0-10.0","","1517430834748","1","42","gold","1000","gold","1000"
"399","","forage01","72","34926","0.0-10.0-11.0","","1517430834748","1","41","gold","1000","gold","2000"
"21","","forage01","73","35050","0.0-10.0-12.0","","1517430834748","1","40","gold","1000","gold","3000"
"21","","forage01","74","35175","0.0-10.0-13.0","","1517430834748","1","39","gold","1000","gold","4000"
"1","","forage01","75","35280","0.0-10.0-14.0","","1517430834748","1","38","gold","1000","gold","5000"
"19","","forage01","76","35402","0.0-10.0-15.0","","1517430834748","1","37","gold","1000","gold","6000"
"21","","forage01","77","35526","0.0-10.0-16.0","","1517430834748","1","36","gold","1000","gold","7000"
"1","","forage01","78","35632","0.0-10.0-17.0","","1517430834748","1","35","gold","1000","gold","8000"
"30","","forage01","79","35765","0.0-10.0-18.0","","1517430834748","1","34","gold","1000","gold","9000"
"10","","forage01","80","35879","0.0-10.0-19.0","","1517430834748","1","33","gold","1000","gold","10000"
"2","","forage01","81","35984","0.0-10.0-20.0","","1517430834748","1","32","gold","1000","gold","11000"
"18","","forage01","82","36105","0.0-10.0-21.0","","1517430834748","1","31","gold","1000","gold","12000"
"21","","forage01","83","36231","0.0-10.0-22.0","","1517430834748","1","30","gold","1000","gold","13000"
"30","","forage01","84","36364","0.0-10.0-23.0","","1517430834748","1","29","gold","1000","gold","14000"
"23","","forage01","85","36490","0.0-10.0-24.0","","1517430834748","1","28","gold","1000","gold","15000"
"21","","forage01","86","36614","0.0-10.0-25.0","","1517430834748","1","27","gold","1000","gold","16000"
"21","","forage01","87","36739","0.0-10.0-26.0","","1517430834748","1","26","gold","1000","gold","17000"
"1","","forage01","88","36845","0.0-10.0-27.0","","1517430834748","1","25","gold","1000","gold","18000"
"19","","forage01","89","36967","0.0-10.0-28.0","","1517430834748","1","24","gold","1000","gold","19000"
