"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"7017","32","text","0","7021","0.0-0.0","A0017268R9SKD8U2Y3F","1516910915725","","","","","",""
"3079","32","text","1","10203","0.0-1.0","A0017268R9SKD8U2Y3F","1516910915725","","","","","",""
"1843","32","text","2","12162","0.0-2.0","A0017268R9SKD8U2Y3F","1516910915725","","","","","",""
"64202","32","text","3","76467","0.0-3.0","A0017268R9SKD8U2Y3F","1516910915725","","","","","",""
"23330","32","mine-text","4","100091","0.0-4.0","A0017268R9SKD8U2Y3F","1516910915725","","","","","",""
"4650","32","text","5","104842","0.0-5.0","A0017268R9SKD8U2Y3F","1516910915725","","","","","",""
"9402","32","text","6","114345","0.0-6.0","A0017268R9SKD8U2Y3F","1516910915725","","","","","",""
"49559","32","mine-text","7","164195","0.0-7.0","A0017268R9SKD8U2Y3F","1516910915725","","","","","",""
"13122","","forage01","8","177424","0.0-8.0-0.0","A0017268R9SKD8U2Y3F","1516910915725","0","52","gold","0","no mineshafts yet","0"
"3696","","forage01","9","181226","0.0-8.0-1.0","A0017268R9SKD8U2Y3F","1516910915725","0","51","gold","0","gold","0"
"2371","","forage01","10","183700","0.0-8.0-2.0","A0017268R9SKD8U2Y3F","1516910915725","0","50","gold","0","gold","0"
"948","","forage01","11","184752","0.0-8.0-3.0","A0017268R9SKD8U2Y3F","1516910915725","1","49","gold","1000","gold","1000"
"1120","","forage01","12","185977","0.0-8.0-4.0","A0017268R9SKD8U2Y3F","1516910915725","1","48","gold","1000","gold","2000"
"843","","forage01","13","186922","0.0-8.0-5.0","A0017268R9SKD8U2Y3F","1516910915725","0","47","dirt","0","gold","2000"
"1934","","forage01","14","188958","0.0-8.0-6.0","A0017268R9SKD8U2Y3F","1516910915725","1","46","gold","1000","gold","3000"
"2043","","forage01","15","191104","0.0-8.0-7.0","A0017268R9SKD8U2Y3F","1516910915725","1","45","gold","1000","gold","4000"
"960","","forage01","16","192168","0.0-8.0-8.0","A0017268R9SKD8U2Y3F","1516910915725","1","44","gold","1000","gold","5000"
"842","","forage01","17","193114","0.0-8.0-9.0","A0017268R9SKD8U2Y3F","1516910915725","1","43","gold","1000","gold","6000"
"2020","","forage01","18","195238","0.0-8.0-10.0","A0017268R9SKD8U2Y3F","1516910915725","1","42","gold","1000","gold","7000"
"401","","forage01","19","195744","0.0-8.0-11.0","A0017268R9SKD8U2Y3F","1516910915725","1","41","gold","1000","gold","8000"
"782","","forage01","20","196633","0.0-8.0-12.0","A0017268R9SKD8U2Y3F","1516910915725","1","40","gold","1000","gold","9000"
"370","","forage01","21","197107","0.0-8.0-13.0","A0017268R9SKD8U2Y3F","1516910915725","1","39","gold","1000","gold","10000"
"521","","forage01","22","197732","0.0-8.0-14.0","A0017268R9SKD8U2Y3F","1516910915725","1","38","gold","1000","gold","11000"
"2829","","forage01","23","200664","0.0-8.0-15.0","A0017268R9SKD8U2Y3F","1516910915725","1","37","gold","1000","gold","12000"
"587","","forage01","24","201355","0.0-8.0-16.0","A0017268R9SKD8U2Y3F","1516910915725","1","36","gold","1000","gold","13000"
"654","","forage01","25","202114","0.0-8.0-17.0","A0017268R9SKD8U2Y3F","1516910915725","1","35","gold","1000","gold","14000"
"51","","forage01","26","202269","0.0-8.0-18.0","A0017268R9SKD8U2Y3F","1516910915725","1","34","gold","1000","gold","15000"
"170","","forage01","27","202543","0.0-8.0-19.0","A0017268R9SKD8U2Y3F","1516910915725","1","33","gold","1000","gold","16000"
"318","","forage01","28","202965","0.0-8.0-20.0","A0017268R9SKD8U2Y3F","1516910915725","1","32","gold","1000","gold","17000"
"193","","forage01","29","203263","0.0-8.0-21.0","A0017268R9SKD8U2Y3F","1516910915725","1","31","gold","1000","gold","18000"
"94","","forage01","30","203462","0.0-8.0-22.0","A0017268R9SKD8U2Y3F","1516910915725","1","30","gold","1000","gold","19000"
"190","","forage01","31","203756","0.0-8.0-23.0","A0017268R9SKD8U2Y3F","1516910915725","1","29","gold","1000","gold","20000"
"498","","forage01","32","204359","0.0-8.0-24.0","A0017268R9SKD8U2Y3F","1516910915725","1","28","gold","1000","gold","21000"
"216","","forage01","33","204681","0.0-8.0-25.0","A0017268R9SKD8U2Y3F","1516910915725","1","27","gold","1000","gold","22000"
"366","","forage01","34","205149","0.0-8.0-26.0","A0017268R9SKD8U2Y3F","1516910915725","1","26","gold","1000","gold","23000"
"495","","forage01","35","205748","0.0-8.0-27.0","A0017268R9SKD8U2Y3F","1516910915725","1","25","gold","1000","gold","24000"
"352","","forage01","36","206204","0.0-8.0-28.0","A0017268R9SKD8U2Y3F","1516910915725","1","24","gold","1000","gold","25000"
"334","","forage01","37","206645","0.0-8.0-29.0","A0017268R9SKD8U2Y3F","1516910915725","1","23","gold","1000","gold","26000"
"276","","forage01","38","207024","0.0-8.0-30.0","A0017268R9SKD8U2Y3F","1516910915725","1","22","gold","1000","gold","27000"
"753","","forage01","39","207881","0.0-8.0-31.0","A0017268R9SKD8U2Y3F","1516910915725","1","21","gold","1000","gold","28000"
"488","","forage01","40","208473","0.0-8.0-32.0","A0017268R9SKD8U2Y3F","1516910915725","1","20","gold","1000","gold","29000"
"766","","forage01","41","209344","0.0-8.0-33.0","A0017268R9SKD8U2Y3F","1516910915725","1","19","gold","1000","gold","30000"
"300","","forage01","42","209748","0.0-8.0-34.0","A0017268R9SKD8U2Y3F","1516910915725","1","18","gold","1000","gold","31000"
"275","","forage01","43","210128","0.0-8.0-35.0","A0017268R9SKD8U2Y3F","1516910915725","1","17","gold","1000","gold","32000"
"127","","forage01","44","210359","0.0-8.0-36.0","A0017268R9SKD8U2Y3F","1516910915725","1","16","gold","1000","gold","33000"
"305","","forage01","45","210768","0.0-8.0-37.0","A0017268R9SKD8U2Y3F","1516910915725","1","15","gold","1000","gold","34000"
"302","","forage01","46","211172","0.0-8.0-38.0","A0017268R9SKD8U2Y3F","1516910915725","1","14","gold","1000","gold","35000"
"212","","forage01","47","211489","0.0-8.0-39.0","A0017268R9SKD8U2Y3F","1516910915725","1","13","gold","1000","gold","36000"
"290","","forage01","48","211883","0.0-8.0-40.0","A0017268R9SKD8U2Y3F","1516910915725","1","12","gold","1000","gold","37000"
"285","","forage01","49","212272","0.0-8.0-41.0","A0017268R9SKD8U2Y3F","1516910915725","1","11","gold","1000","gold","38000"
"317","","forage01","50","212694","0.0-8.0-42.0","A0017268R9SKD8U2Y3F","1516910915725","1","10","gold","1000","gold","39000"
"353","","forage01","51","213150","0.0-8.0-43.0","A0017268R9SKD8U2Y3F","1516910915725","1","9","gold","1000","gold","40000"
"694","","forage01","52","213948","0.0-8.0-44.0","A0017268R9SKD8U2Y3F","1516910915725","1","8","gold","1000","gold","41000"
"620","","forage01","53","214672","0.0-8.0-45.0","A0017268R9SKD8U2Y3F","1516910915725","1","7","gold","1000","gold","42000"
"634","","forage01","54","215408","0.0-8.0-46.0","A0017268R9SKD8U2Y3F","1516910915725","0","6","dirt","0","gold","42000"
"757","","forage01","55","216269","0.0-8.0-47.0","A0017268R9SKD8U2Y3F","1516910915725","1","5","gold","1000","gold","43000"
"378","","forage01","56","216752","0.0-8.0-48.0","A0017268R9SKD8U2Y3F","1516910915725","1","4","gold","1000","gold","44000"
"1602","","forage01","57","218456","0.0-8.0-49.0","A0017268R9SKD8U2Y3F","1516910915725","0","3","dirt","0","gold","44000"
"884","","forage01","58","219444","0.0-8.0-50.0","A0017268R9SKD8U2Y3F","1516910915725","0","2","diamond","0","gold","44000"
"671","","forage01","59","220224","0.0-8.0-51.0","A0017268R9SKD8U2Y3F","1516910915725","0","1","dirt","0","diamond","44000"
"5772","32","mine-text","60","226274","0.0-9.0","A0017268R9SKD8U2Y3F","1516910915725","","","","","",""
"175354","","forage01","61","401733","0.0-10.0-0.0","A0017268R9SKD8U2Y3F","1516910915725","0","52","dirt","0","no mineshafts yet","0"
"816","","forage01","62","402653","0.0-10.0-1.0","A0017268R9SKD8U2Y3F","1516910915725","0","51","gold","0","dirt","0"
"427","","forage01","63","403183","0.0-10.0-2.0","A0017268R9SKD8U2Y3F","1516910915725","0","50","dirt","0","gold","0"
"319","","forage01","64","403606","0.0-10.0-3.0","A0017268R9SKD8U2Y3F","1516910915725","0","49","dirt","0","gold","0"
"300","","forage01","65","404010","0.0-10.0-4.0","A0017268R9SKD8U2Y3F","1516910915725","0","48","dirt","0","gold","0"
"777","","forage01","66","404892","0.0-10.0-5.0","A0017268R9SKD8U2Y3F","1516910915725","1","47","gold","1000","gold","1000"
"2635","","forage01","67","407630","0.0-10.0-6.0","A0017268R9SKD8U2Y3F","1516910915725","1","46","gold","1000","gold","2000"
"637","","forage01","68","408371","0.0-10.0-7.0","A0017268R9SKD8U2Y3F","1516910915725","1","45","gold","1000","gold","3000"
