"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"177048","32","text","0","177052","0.0-0.0","A100Y89FZO4J0B","1516909694381","","","","","",""
"12995","32","text","1","190149","0.0-1.0","A100Y89FZO4J0B","1516909694381","","","","","",""
"1898","32","text","2","192149","0.0-2.0","A100Y89FZO4J0B","1516909694381","","","","","",""
"49033","32","text","3","241285","0.0-3.0","A100Y89FZO4J0B","1516909694381","","","","","",""
"52456","32","mine-text","4","294004","0.0-4.0","A100Y89FZO4J0B","1516909694381","","","","","",""
"48666","32","text","5","342773","0.0-5.0","A100Y89FZO4J0B","1516909694381","","","","","",""
"52041","32","text","6","394916","0.0-6.0","A100Y89FZO4J0B","1516909694381","","","","","",""
"8165","32","mine-text","7","403347","0.0-7.0","A100Y89FZO4J0B","1516909694381","","","","","",""
"4085","","forage01","8","407535","0.0-8.0-0.0","A100Y89FZO4J0B","1516909694381","0","52","gold","0","no mineshafts yet","0"
"4430","","forage01","9","412066","0.0-8.0-1.0","A100Y89FZO4J0B","1516909694381","1","51","gold","1000","gold","1000"
"1625","","forage01","10","413796","0.0-8.0-2.0","A100Y89FZO4J0B","1516909694381","1","50","gold","1000","gold","2000"
"1944","","forage01","11","415845","0.0-8.0-3.0","A100Y89FZO4J0B","1516909694381","1","49","gold","1000","gold","3000"
"2464","","forage01","12","418414","0.0-8.0-4.0","A100Y89FZO4J0B","1516909694381","1","48","gold","1000","gold","4000"
"1274","","forage01","13","419792","0.0-8.0-5.0","A100Y89FZO4J0B","1516909694381","1","47","gold","1000","gold","5000"
"1430","","forage01","14","421326","0.0-8.0-6.0","A100Y89FZO4J0B","1516909694381","1","46","gold","1000","gold","6000"
"1351","","forage01","15","422782","0.0-8.0-7.0","A100Y89FZO4J0B","1516909694381","1","45","gold","1000","gold","7000"
"924","","forage01","16","423809","0.0-8.0-8.0","A100Y89FZO4J0B","1516909694381","1","44","gold","1000","gold","8000"
"916","","forage01","17","424829","0.0-8.0-9.0","A100Y89FZO4J0B","1516909694381","1","43","gold","1000","gold","9000"
"676","","forage01","18","425610","0.0-8.0-10.0","A100Y89FZO4J0B","1516909694381","1","42","gold","1000","gold","10000"
"511","","forage01","19","426225","0.0-8.0-11.0","A100Y89FZO4J0B","1516909694381","1","41","gold","1000","gold","11000"
"519","","forage01","20","426848","0.0-8.0-12.0","A100Y89FZO4J0B","1516909694381","1","40","gold","1000","gold","12000"
"488","","forage01","21","427440","0.0-8.0-13.0","A100Y89FZO4J0B","1516909694381","1","39","gold","1000","gold","13000"
"448","","forage01","22","427992","0.0-8.0-14.0","A100Y89FZO4J0B","1516909694381","1","38","gold","1000","gold","14000"
"488","","forage01","23","428584","0.0-8.0-15.0","A100Y89FZO4J0B","1516909694381","1","37","gold","1000","gold","15000"
"598","","forage01","24","429286","0.0-8.0-16.0","A100Y89FZO4J0B","1516909694381","1","36","gold","1000","gold","16000"
"574","","forage01","25","429964","0.0-8.0-17.0","A100Y89FZO4J0B","1516909694381","1","35","gold","1000","gold","17000"
"706","","forage01","26","430774","0.0-8.0-18.0","A100Y89FZO4J0B","1516909694381","1","34","gold","1000","gold","18000"
"612","","forage01","27","431489","0.0-8.0-19.0","A100Y89FZO4J0B","1516909694381","1","33","gold","1000","gold","19000"
"511","","forage01","28","432104","0.0-8.0-20.0","A100Y89FZO4J0B","1516909694381","1","32","gold","1000","gold","20000"
"451","","forage01","29","432657","0.0-8.0-21.0","A100Y89FZO4J0B","1516909694381","1","31","gold","1000","gold","21000"
"426","","forage01","30","433187","0.0-8.0-22.0","A100Y89FZO4J0B","1516909694381","1","30","gold","1000","gold","22000"
"440","","forage01","31","433731","0.0-8.0-23.0","A100Y89FZO4J0B","1516909694381","1","29","gold","1000","gold","23000"
"326","","forage01","32","434162","0.0-8.0-24.0","A100Y89FZO4J0B","1516909694381","1","28","gold","1000","gold","24000"
"354","","forage01","33","434619","0.0-8.0-25.0","A100Y89FZO4J0B","1516909694381","1","27","gold","1000","gold","25000"
"355","","forage01","34","435080","0.0-8.0-26.0","A100Y89FZO4J0B","1516909694381","1","26","gold","1000","gold","26000"
"357","","forage01","35","435540","0.0-8.0-27.0","A100Y89FZO4J0B","1516909694381","1","25","gold","1000","gold","27000"
"377","","forage01","36","436021","0.0-8.0-28.0","A100Y89FZO4J0B","1516909694381","1","24","gold","1000","gold","28000"
"418","","forage01","37","436543","0.0-8.0-29.0","A100Y89FZO4J0B","1516909694381","1","23","gold","1000","gold","29000"
"451","","forage01","38","437097","0.0-8.0-30.0","A100Y89FZO4J0B","1516909694381","1","22","gold","1000","gold","30000"
"1624","","forage01","39","438825","0.0-8.0-31.0","A100Y89FZO4J0B","1516909694381","1","21","gold","1000","gold","31000"
"964","","forage01","40","439893","0.0-8.0-32.0","A100Y89FZO4J0B","1516909694381","1","20","gold","1000","gold","32000"
"456","","forage01","41","440453","0.0-8.0-33.0","A100Y89FZO4J0B","1516909694381","1","19","gold","1000","gold","33000"
"425","","forage01","42","440984","0.0-8.0-34.0","A100Y89FZO4J0B","1516909694381","1","18","gold","1000","gold","34000"
"401","","forage01","43","441489","0.0-8.0-35.0","A100Y89FZO4J0B","1516909694381","1","17","gold","1000","gold","35000"
"464","","forage01","44","442057","0.0-8.0-36.0","A100Y89FZO4J0B","1516909694381","1","16","gold","1000","gold","36000"
"451","","forage01","45","442612","0.0-8.0-37.0","A100Y89FZO4J0B","1516909694381","1","15","gold","1000","gold","37000"
"433","","forage01","46","443149","0.0-8.0-38.0","A100Y89FZO4J0B","1516909694381","1","14","gold","1000","gold","38000"
"628","","forage01","47","443881","0.0-8.0-39.0","A100Y89FZO4J0B","1516909694381","1","13","gold","1000","gold","39000"
"17371","","forage01","48","461355","0.0-8.0-40.0","A100Y89FZO4J0B","1516909694381","1","12","gold","1000","gold","40000"
"466","","forage01","49","461925","0.0-8.0-41.0","A100Y89FZO4J0B","1516909694381","1","11","gold","1000","gold","41000"
"409","","forage01","50","462439","0.0-8.0-42.0","A100Y89FZO4J0B","1516909694381","1","10","gold","1000","gold","42000"
"370","","forage01","51","462913","0.0-8.0-43.0","A100Y89FZO4J0B","1516909694381","1","9","gold","1000","gold","43000"
"391","","forage01","52","463407","0.0-8.0-44.0","A100Y89FZO4J0B","1516909694381","1","8","gold","1000","gold","44000"
"346","","forage01","53","463857","0.0-8.0-45.0","A100Y89FZO4J0B","1516909694381","1","7","gold","1000","gold","45000"
"339","","forage01","54","464301","0.0-8.0-46.0","A100Y89FZO4J0B","1516909694381","1","6","gold","1000","gold","46000"
"332","","forage01","55","464737","0.0-8.0-47.0","A100Y89FZO4J0B","1516909694381","1","5","gold","1000","gold","47000"
"471","","forage01","56","465313","0.0-8.0-48.0","A100Y89FZO4J0B","1516909694381","1","4","gold","1000","gold","48000"
"292","","forage01","57","465709","0.0-8.0-49.0","A100Y89FZO4J0B","1516909694381","1","3","gold","1000","gold","49000"
"426","","forage01","58","466239","0.0-8.0-50.0","A100Y89FZO4J0B","1516909694381","1","2","gold","1000","gold","50000"
"441","","forage01","59","466785","0.0-8.0-51.0","A100Y89FZO4J0B","1516909694381","1","1","gold","1000","gold","51000"
"6222","32","mine-text","60","473266","0.0-9.0","A100Y89FZO4J0B","1516909694381","","","","","",""
"1973","","forage01","61","475343","0.0-10.0-0.0","A100Y89FZO4J0B","1516909694381","0","52","gold","0","no mineshafts yet","0"
"1118","","forage01","62","476565","0.0-10.0-1.0","A100Y89FZO4J0B","1516909694381","0","51","gold","0","gold","0"
"1359","","forage01","63","478029","0.0-10.0-2.0","A100Y89FZO4J0B","1516909694381","0","50","dirt","0","gold","0"
"1079","","forage01","64","479213","0.0-10.0-3.0","A100Y89FZO4J0B","1516909694381","0","49","dirt","0","gold","0"
"1166","","forage01","65","480482","0.0-10.0-4.0","A100Y89FZO4J0B","1516909694381","0","48","gold","0","gold","0"
"985","","forage01","66","481573","0.0-10.0-5.0","A100Y89FZO4J0B","1516909694381","0","47","dirt","0","gold","0"
"783","","forage01","67","482461","0.0-10.0-6.0","A100Y89FZO4J0B","1516909694381","0","46","dirt","0","gold","0"
"603","","forage01","68","483169","0.0-10.0-7.0","A100Y89FZO4J0B","1516909694381","0","45","gold","0","gold","0"
"666","","forage01","69","483941","0.0-10.0-8.0","A100Y89FZO4J0B","1516909694381","0","44","dirt","0","gold","0"
"532","","forage01","70","484579","0.0-10.0-9.0","A100Y89FZO4J0B","1516909694381","0","43","dirt","0","gold","0"
"594","","forage01","71","485279","0.0-10.0-10.0","A100Y89FZO4J0B","1516909694381","0","42","dirt","0","gold","0"
"583","","forage01","72","485965","0.0-10.0-11.0","A100Y89FZO4J0B","1516909694381","0","41","dirt","0","gold","0"
"618","","forage01","73","486688","0.0-10.0-12.0","A100Y89FZO4J0B","1516909694381","0","40","dirt","0","gold","0"
"1050","","forage01","74","487843","0.0-10.0-13.0","A100Y89FZO4J0B","1516909694381","0","39","dirt","0","gold","0"
"820","","forage01","75","488769","0.0-10.0-14.0","A100Y89FZO4J0B","1516909694381","0","38","dirt","0","gold","0"
"665","","forage01","76","489541","0.0-10.0-15.0","A100Y89FZO4J0B","1516909694381","0","37","dirt","0","gold","0"
"810","","forage01","77","490459","0.0-10.0-16.0","A100Y89FZO4J0B","1516909694381","0","36","dirt","0","gold","0"
"601","","forage01","78","491167","0.0-10.0-17.0","A100Y89FZO4J0B","1516909694381","0","35","dirt","0","gold","0"
"695","","forage01","79","491969","0.0-10.0-18.0","A100Y89FZO4J0B","1516909694381","0","34","dirt","0","gold","0"
"779","","forage01","80","492857","0.0-10.0-19.0","A100Y89FZO4J0B","1516909694381","0","33","dirt","0","gold","0"
"780","","forage01","81","493745","0.0-10.0-20.0","A100Y89FZO4J0B","1516909694381","0","32","dirt","0","gold","0"
"796","","forage01","82","494649","0.0-10.0-21.0","A100Y89FZO4J0B","1516909694381","0","31","dirt","0","gold","0"
"1106","","forage01","83","495863","0.0-10.0-22.0","A100Y89FZO4J0B","1516909694381","0","30","dirt","0","gold","0"
"780","","forage01","84","496751","0.0-10.0-23.0","A100Y89FZO4J0B","1516909694381","0","29","gold","0","gold","0"
"1299","","forage01","85","498161","0.0-10.0-24.0","A100Y89FZO4J0B","1516909694381","1","28","gold","1000","gold","1000"
"476","","forage01","86","498745","0.0-10.0-25.0","A100Y89FZO4J0B","1516909694381","1","27","gold","1000","gold","2000"
"297","","forage01","87","499151","0.0-10.0-26.0","A100Y89FZO4J0B","1516909694381","1","26","gold","1000","gold","3000"
"257","","forage01","88","499517","0.0-10.0-27.0","A100Y89FZO4J0B","1516909694381","1","25","gold","1000","gold","4000"
"234","","forage01","89","499859","0.0-10.0-28.0","A100Y89FZO4J0B","1516909694381","1","24","gold","1000","gold","5000"
"180","","forage01","90","500147","0.0-10.0-29.0","A100Y89FZO4J0B","1516909694381","1","23","gold","1000","gold","6000"
"249","","forage01","91","500505","0.0-10.0-30.0","A100Y89FZO4J0B","1516909694381","1","22","gold","1000","gold","7000"
"203","","forage01","92","500817","0.0-10.0-31.0","A100Y89FZO4J0B","1516909694381","1","21","gold","1000","gold","8000"
"204","","forage01","93","501129","0.0-10.0-32.0","A100Y89FZO4J0B","1516909694381","1","20","gold","1000","gold","9000"
"205","","forage01","94","501439","0.0-10.0-33.0","A100Y89FZO4J0B","1516909694381","1","19","gold","1000","gold","10000"
"236","","forage01","95","501783","0.0-10.0-34.0","A100Y89FZO4J0B","1516909694381","1","18","gold","1000","gold","11000"
"211","","forage01","96","502103","0.0-10.0-35.0","A100Y89FZO4J0B","1516909694381","1","17","gold","1000","gold","12000"
"201","","forage01","97","502413","0.0-10.0-36.0","A100Y89FZO4J0B","1516909694381","1","16","gold","1000","gold","13000"
"204","","forage01","98","502725","0.0-10.0-37.0","A100Y89FZO4J0B","1516909694381","1","15","gold","1000","gold","14000"
"212","","forage01","99","503045","0.0-10.0-38.0","A100Y89FZO4J0B","1516909694381","1","14","gold","1000","gold","15000"
"241","","forage01","100","503395","0.0-10.0-39.0","A100Y89FZO4J0B","1516909694381","1","13","gold","1000","gold","16000"
"203","","forage01","101","503707","0.0-10.0-40.0","A100Y89FZO4J0B","1516909694381","1","12","gold","1000","gold","17000"
"242","","forage01","102","504057","0.0-10.0-41.0","A100Y89FZO4J0B","1516909694381","1","11","gold","1000","gold","18000"
"234","","forage01","103","504399","0.0-10.0-42.0","A100Y89FZO4J0B","1516909694381","1","10","gold","1000","gold","19000"
"187","","forage01","104","504695","0.0-10.0-43.0","A100Y89FZO4J0B","1516909694381","1","9","gold","1000","gold","20000"
"228","","forage01","105","505031","0.0-10.0-44.0","A100Y89FZO4J0B","1516909694381","1","8","gold","1000","gold","21000"
"304","","forage01","106","505443","0.0-10.0-45.0","A100Y89FZO4J0B","1516909694381","1","7","gold","1000","gold","22000"
"242","","forage01","107","505793","0.0-10.0-46.0","A100Y89FZO4J0B","1516909694381","1","6","gold","1000","gold","23000"
"322","","forage01","108","506223","0.0-10.0-47.0","A100Y89FZO4J0B","1516909694381","1","5","gold","1000","gold","24000"
"642","","forage01","109","506973","0.0-10.0-48.0","A100Y89FZO4J0B","1516909694381","1","4","gold","1000","gold","25000"
"340","","forage01","110","507421","0.0-10.0-49.0","A100Y89FZO4J0B","1516909694381","1","3","gold","1000","gold","26000"
"476","","forage01","111","508005","0.0-10.0-50.0","A100Y89FZO4J0B","1516909694381","1","2","gold","1000","gold","27000"
"454","","forage01","112","508567","0.0-10.0-51.0","A100Y89FZO4J0B","1516909694381","1","1","gold","1000","gold","28000"
"4291","32","mine-text","113","513121","0.0-11.0","A100Y89FZO4J0B","1516909694381","","","","","",""
"3645","","forage01","114","516869","0.0-12.0-0.0","A100Y89FZO4J0B","1516909694381","0","52","gold","0","no mineshafts yet","0"
"5964","","forage01","115","522936","0.0-12.0-1.0","A100Y89FZO4J0B","1516909694381","1","51","gold","1000","gold","1000"
"465","","forage01","116","523504","0.0-12.0-2.0","A100Y89FZO4J0B","1516909694381","1","50","gold","1000","gold","2000"
"287","","forage01","117","523895","0.0-12.0-3.0","A100Y89FZO4J0B","1516909694381","1","49","gold","1000","gold","3000"
"255","","forage01","118","524252","0.0-12.0-4.0","A100Y89FZO4J0B","1516909694381","1","48","gold","1000","gold","4000"
"177","","forage01","119","524532","0.0-12.0-5.0","A100Y89FZO4J0B","1516909694381","1","47","gold","1000","gold","5000"
"208","","forage01","120","524844","0.0-12.0-6.0","A100Y89FZO4J0B","1516909694381","1","46","gold","1000","gold","6000"
"169","","forage01","121","525117","0.0-12.0-7.0","A100Y89FZO4J0B","1516909694381","1","45","gold","1000","gold","7000"
"162","","forage01","122","525382","0.0-12.0-8.0","A100Y89FZO4J0B","1516909694381","1","44","gold","1000","gold","8000"
"365","","forage01","123","525850","0.0-12.0-9.0","A100Y89FZO4J0B","1516909694381","1","43","gold","1000","gold","9000"
"544","","forage01","124","526496","0.0-12.0-10.0","A100Y89FZO4J0B","1516909694381","1","42","gold","1000","gold","10000"
"176","","forage01","125","526776","0.0-12.0-11.0","A100Y89FZO4J0B","1516909694381","1","41","gold","1000","gold","11000"
"152","","forage01","126","527032","0.0-12.0-12.0","A100Y89FZO4J0B","1516909694381","1","40","gold","1000","gold","12000"
"381","","forage01","127","527516","0.0-12.0-13.0","A100Y89FZO4J0B","1516909694381","1","39","gold","1000","gold","13000"
"372","","forage01","128","527992","0.0-12.0-14.0","A100Y89FZO4J0B","1516909694381","1","38","gold","1000","gold","14000"
"193","","forage01","129","528288","0.0-12.0-15.0","A100Y89FZO4J0B","1516909694381","1","37","gold","1000","gold","15000"
"371","","forage01","130","528762","0.0-12.0-16.0","A100Y89FZO4J0B","1516909694381","1","36","gold","1000","gold","16000"
"403","","forage01","131","529268","0.0-12.0-17.0","A100Y89FZO4J0B","1516909694381","1","35","gold","1000","gold","17000"
"162","","forage01","132","529534","0.0-12.0-18.0","A100Y89FZO4J0B","1516909694381","1","34","gold","1000","gold","18000"
"169","","forage01","133","529808","0.0-12.0-19.0","A100Y89FZO4J0B","1516909694381","1","33","gold","1000","gold","19000"
"168","","forage01","134","530078","0.0-12.0-20.0","A100Y89FZO4J0B","1516909694381","1","32","gold","1000","gold","20000"
"170","","forage01","135","530352","0.0-12.0-21.0","A100Y89FZO4J0B","1516909694381","1","31","gold","1000","gold","21000"
"169","","forage01","136","530624","0.0-12.0-22.0","A100Y89FZO4J0B","1516909694381","1","30","gold","1000","gold","22000"
"153","","forage01","137","530880","0.0-12.0-23.0","A100Y89FZO4J0B","1516909694381","1","29","gold","1000","gold","23000"
"163","","forage01","138","531146","0.0-12.0-24.0","A100Y89FZO4J0B","1516909694381","1","28","gold","1000","gold","24000"
"176","","forage01","139","531426","0.0-12.0-25.0","A100Y89FZO4J0B","1516909694381","1","27","gold","1000","gold","25000"
"153","","forage01","140","531682","0.0-12.0-26.0","A100Y89FZO4J0B","1516909694381","1","26","gold","1000","gold","26000"
"163","","forage01","141","531948","0.0-12.0-27.0","A100Y89FZO4J0B","1516909694381","1","25","gold","1000","gold","27000"
"151","","forage01","142","532204","0.0-12.0-28.0","A100Y89FZO4J0B","1516909694381","1","24","gold","1000","gold","28000"
"162","","forage01","143","532470","0.0-12.0-29.0","A100Y89FZO4J0B","1516909694381","1","23","gold","1000","gold","29000"
"154","","forage01","144","532727","0.0-12.0-30.0","A100Y89FZO4J0B","1516909694381","1","22","gold","1000","gold","30000"
"162","","forage01","145","532992","0.0-12.0-31.0","A100Y89FZO4J0B","1516909694381","1","21","gold","1000","gold","31000"
"169","","forage01","146","533264","0.0-12.0-32.0","A100Y89FZO4J0B","1516909694381","1","20","gold","1000","gold","32000"
"161","","forage01","147","533529","0.0-12.0-33.0","A100Y89FZO4J0B","1516909694381","1","19","gold","1000","gold","33000"
"170","","forage01","148","533802","0.0-12.0-34.0","A100Y89FZO4J0B","1516909694381","1","18","gold","1000","gold","34000"
"161","","forage01","149","534066","0.0-12.0-35.0","A100Y89FZO4J0B","1516909694381","1","17","gold","1000","gold","35000"
"169","","forage01","150","534338","0.0-12.0-36.0","A100Y89FZO4J0B","1516909694381","1","16","gold","1000","gold","36000"
"169","","forage01","151","534612","0.0-12.0-37.0","A100Y89FZO4J0B","1516909694381","1","15","gold","1000","gold","37000"
"207","","forage01","152","534922","0.0-12.0-38.0","A100Y89FZO4J0B","1516909694381","1","14","gold","1000","gold","38000"
"163","","forage01","153","535188","0.0-12.0-39.0","A100Y89FZO4J0B","1516909694381","1","13","gold","1000","gold","39000"
"201","","forage01","154","535492","0.0-12.0-40.0","A100Y89FZO4J0B","1516909694381","1","12","gold","1000","gold","40000"
"192","","forage01","155","535788","0.0-12.0-41.0","A100Y89FZO4J0B","1516909694381","1","11","gold","1000","gold","41000"
"198","","forage01","156","536090","0.0-12.0-42.0","A100Y89FZO4J0B","1516909694381","1","10","gold","1000","gold","42000"
"241","","forage01","157","536434","0.0-12.0-43.0","A100Y89FZO4J0B","1516909694381","1","9","gold","1000","gold","43000"
"230","","forage01","158","536768","0.0-12.0-44.0","A100Y89FZO4J0B","1516909694381","1","8","gold","1000","gold","44000"
"185","","forage01","159","537056","0.0-12.0-45.0","A100Y89FZO4J0B","1516909694381","1","7","gold","1000","gold","45000"
"191","","forage01","160","537352","0.0-12.0-46.0","A100Y89FZO4J0B","1516909694381","1","6","gold","1000","gold","46000"
"208","","forage01","161","537664","0.0-12.0-47.0","A100Y89FZO4J0B","1516909694381","1","5","gold","1000","gold","47000"
"185","","forage01","162","537952","0.0-12.0-48.0","A100Y89FZO4J0B","1516909694381","1","4","gold","1000","gold","48000"
"177","","forage01","163","538232","0.0-12.0-49.0","A100Y89FZO4J0B","1516909694381","1","3","gold","1000","gold","49000"
