"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"8455","32","text","0","8461","0.0-0.0","A1689SP9SJBJDA","1517432226123","","","","","",""
"3591","32","text","1","12158","0.0-1.0","A1689SP9SJBJDA","1517432226123","","","","","",""
"4510","32","text","2","16772","0.0-2.0","A1689SP9SJBJDA","1517432226123","","","","","",""
"24165","32","text","3","41040","0.0-3.0","A1689SP9SJBJDA","1517432226123","","","","","",""
"73710","32","mine-text","4","115052","0.0-4.0","A1689SP9SJBJDA","1517432226123","","","","","",""
"50378","32","text","5","165532","0.0-5.0","A1689SP9SJBJDA","1517432226123","","","","","",""
"35503","32","text","6","201138","0.0-6.0","A1689SP9SJBJDA","1517432226123","","","","","",""
"16314","32","mine-text","7","217776","0.0-7.0","A1689SP9SJBJDA","1517432226123","","","","","",""
"23348","","forage01","8","241230","0.0-8.0-0.0","A1689SP9SJBJDA","1517432226123","0","52","dirt","0","no mineshafts yet","0"
"3043","","forage01","9","244378","0.0-8.0-1.0","A1689SP9SJBJDA","1517432226123","0","51","dirt","0","dirt","0"
"1832","","forage01","10","246313","0.0-8.0-2.0","A1689SP9SJBJDA","1517432226123","0","50","dirt","0","dirt","0"
"1448","","forage01","11","247865","0.0-8.0-3.0","A1689SP9SJBJDA","1517432226123","0","49","dirt","0","dirt","0"
"1291","","forage01","12","249260","0.0-8.0-4.0","A1689SP9SJBJDA","1517432226123","0","48","dirt","0","dirt","0"
"1090","","forage01","13","250454","0.0-8.0-5.0","A1689SP9SJBJDA","1517432226123","0","47","gold","0","dirt","0"
"1997","","forage01","14","252557","0.0-8.0-6.0","A1689SP9SJBJDA","1517432226123","1","46","gold","1000","gold","1000"
"896","","forage01","15","253558","0.0-8.0-7.0","A1689SP9SJBJDA","1517432226123","1","45","gold","1000","gold","2000"
"640","","forage01","16","254302","0.0-8.0-8.0","A1689SP9SJBJDA","1517432226123","1","44","gold","1000","gold","3000"
"736","","forage01","17","255145","0.0-8.0-9.0","A1689SP9SJBJDA","1517432226123","1","43","gold","1000","gold","4000"
"776","","forage01","18","256025","0.0-8.0-10.0","A1689SP9SJBJDA","1517432226123","0","42","dirt","0","gold","4000"
"713","","forage01","19","256843","0.0-8.0-11.0","A1689SP9SJBJDA","1517432226123","0","41","dirt","0","gold","4000"
"840","","forage01","20","257788","0.0-8.0-12.0","A1689SP9SJBJDA","1517432226123","0","40","gold","0","gold","4000"
"1211","","forage01","21","259105","0.0-8.0-13.0","A1689SP9SJBJDA","1517432226123","0","39","dirt","0","gold","4000"
"504","","forage01","22","259715","0.0-8.0-14.0","A1689SP9SJBJDA","1517432226123","0","38","gold","0","gold","4000"
"692","","forage01","23","260511","0.0-8.0-15.0","A1689SP9SJBJDA","1517432226123","0","37","dirt","0","gold","4000"
"614","","forage01","24","261231","0.0-8.0-16.0","A1689SP9SJBJDA","1517432226123","0","36","dirt","0","gold","4000"
"481","","forage01","25","261818","0.0-8.0-17.0","A1689SP9SJBJDA","1517432226123","0","35","dirt","0","gold","4000"
"533","","forage01","26","262457","0.0-8.0-18.0","A1689SP9SJBJDA","1517432226123","0","34","dirt","0","gold","4000"
"592","","forage01","27","263155","0.0-8.0-19.0","A1689SP9SJBJDA","1517432226123","0","33","dirt","0","gold","4000"
"467","","forage01","28","263728","0.0-8.0-20.0","A1689SP9SJBJDA","1517432226123","0","32","dirt","0","gold","4000"
"458","","forage01","29","264292","0.0-8.0-21.0","A1689SP9SJBJDA","1517432226123","0","31","gold","0","gold","4000"
"412","","forage01","30","264809","0.0-8.0-22.0","A1689SP9SJBJDA","1517432226123","0","30","dirt","0","gold","4000"
"523","","forage01","31","265440","0.0-8.0-23.0","A1689SP9SJBJDA","1517432226123","0","29","dirt","0","gold","4000"
"454","","forage01","32","266003","0.0-8.0-24.0","A1689SP9SJBJDA","1517432226123","0","28","dirt","0","gold","4000"
"443","","forage01","33","266551","0.0-8.0-25.0","A1689SP9SJBJDA","1517432226123","0","27","dirt","0","gold","4000"
"1031","","forage01","34","267689","0.0-8.0-26.0","A1689SP9SJBJDA","1517432226123","0","26","dirt","0","gold","4000"
"748","","forage01","35","268546","0.0-8.0-27.0","A1689SP9SJBJDA","1517432226123","1","25","gold","1000","gold","5000"
"171","","forage01","36","268824","0.0-8.0-28.0","A1689SP9SJBJDA","1517432226123","1","24","gold","1000","gold","6000"
"95","","forage01","37","269027","0.0-8.0-29.0","A1689SP9SJBJDA","1517432226123","1","23","gold","1000","gold","7000"
"84","","forage01","38","269218","0.0-8.0-30.0","A1689SP9SJBJDA","1517432226123","1","22","gold","1000","gold","8000"
"95","","forage01","39","269420","0.0-8.0-31.0","A1689SP9SJBJDA","1517432226123","1","21","gold","1000","gold","9000"
"83","","forage01","40","269612","0.0-8.0-32.0","A1689SP9SJBJDA","1517432226123","1","20","gold","1000","gold","10000"
"95","","forage01","41","269814","0.0-8.0-33.0","A1689SP9SJBJDA","1517432226123","1","19","gold","1000","gold","11000"
"82","","forage01","42","270006","0.0-8.0-34.0","A1689SP9SJBJDA","1517432226123","1","18","gold","1000","gold","12000"
