"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"9747","32","text","0","9752","0.0-0.0","A16G6PPH1INQL8","1517428487560","","","","","",""
"3194","32","text","1","13050","0.0-1.0","A16G6PPH1INQL8","1517428487560","","","","","",""
"2376","32","text","2","15530","0.0-2.0","A16G6PPH1INQL8","1517428487560","","","","","",""
"13077","32","text","3","28710","0.0-3.0","A16G6PPH1INQL8","1517428487560","","","","","",""
"34226","32","mine-text","4","63208","0.0-4.0","A16G6PPH1INQL8","1517428487560","","","","","",""
"40498","32","text","5","103809","0.0-5.0","A16G6PPH1INQL8","1517428487560","","","","","",""
"8423","32","text","6","112334","0.0-6.0","A16G6PPH1INQL8","1517428487560","","","","","",""
"15194","32","mine-text","7","127848","0.0-7.0","A16G6PPH1INQL8","1517428487560","","","","","",""
"6382","","forage01","8","134335","0.0-8.0-0.0","A16G6PPH1INQL8","1517428487560","0","52","dirt","0","no mineshafts yet","0"
"7891","","forage01","9","142333","0.0-8.0-1.0","A16G6PPH1INQL8","1517428487560","0","51","gold","0","dirt","0"
"25832","","forage01","10","168270","0.0-8.0-2.0","A16G6PPH1INQL8","1517428487560","1","50","gold","1000","gold","1000"
"2893","","forage01","11","171269","0.0-8.0-3.0","A16G6PPH1INQL8","1517428487560","1","49","gold","1000","gold","2000"
"1998","","forage01","12","173371","0.0-8.0-4.0","A16G6PPH1INQL8","1517428487560","1","48","gold","1000","gold","3000"
"2290","","forage01","13","175768","0.0-8.0-5.0","A16G6PPH1INQL8","1517428487560","1","47","gold","1000","gold","4000"
"1053","","forage01","14","176927","0.0-8.0-6.0","A16G6PPH1INQL8","1517428487560","1","46","gold","1000","gold","5000"
"758","","forage01","15","177791","0.0-8.0-7.0","A16G6PPH1INQL8","1517428487560","1","45","gold","1000","gold","6000"
"821","","forage01","16","178719","0.0-8.0-8.0","A16G6PPH1INQL8","1517428487560","1","44","gold","1000","gold","7000"
"1179","","forage01","17","180003","0.0-8.0-9.0","A16G6PPH1INQL8","1517428487560","1","43","gold","1000","gold","8000"
"815","","forage01","18","180923","0.0-8.0-10.0","A16G6PPH1INQL8","1517428487560","1","42","gold","1000","gold","9000"
"945","","forage01","19","181973","0.0-8.0-11.0","A16G6PPH1INQL8","1517428487560","1","41","gold","1000","gold","10000"
"706","","forage01","20","182785","0.0-8.0-12.0","A16G6PPH1INQL8","1517428487560","1","40","gold","1000","gold","11000"
"636","","forage01","21","183527","0.0-8.0-13.0","A16G6PPH1INQL8","1517428487560","1","39","gold","1000","gold","12000"
"2027","","forage01","22","185661","0.0-8.0-14.0","A16G6PPH1INQL8","1517428487560","1","38","gold","1000","gold","13000"
"571","","forage01","23","186341","0.0-8.0-15.0","A16G6PPH1INQL8","1517428487560","1","37","gold","1000","gold","14000"
"536","","forage01","24","186983","0.0-8.0-16.0","A16G6PPH1INQL8","1517428487560","1","36","gold","1000","gold","15000"
"2677","","forage01","25","189765","0.0-8.0-17.0","A16G6PPH1INQL8","1517428487560","1","35","gold","1000","gold","16000"
"527","","forage01","26","190399","0.0-8.0-18.0","A16G6PPH1INQL8","1517428487560","1","34","gold","1000","gold","17000"
"257","","forage01","27","190761","0.0-8.0-19.0","A16G6PPH1INQL8","1517428487560","1","33","gold","1000","gold","18000"
"295","","forage01","28","191163","0.0-8.0-20.0","A16G6PPH1INQL8","1517428487560","1","32","gold","1000","gold","19000"
"250","","forage01","29","191519","0.0-8.0-21.0","A16G6PPH1INQL8","1517428487560","1","31","gold","1000","gold","20000"
"281","","forage01","30","191905","0.0-8.0-22.0","A16G6PPH1INQL8","1517428487560","1","30","gold","1000","gold","21000"
"253","","forage01","31","192261","0.0-8.0-23.0","A16G6PPH1INQL8","1517428487560","1","29","gold","1000","gold","22000"
"267","","forage01","32","192633","0.0-8.0-24.0","A16G6PPH1INQL8","1517428487560","1","28","gold","1000","gold","23000"
"249","","forage01","33","192987","0.0-8.0-25.0","A16G6PPH1INQL8","1517428487560","1","27","gold","1000","gold","24000"
"259","","forage01","34","193351","0.0-8.0-26.0","A16G6PPH1INQL8","1517428487560","1","26","gold","1000","gold","25000"
"307","","forage01","35","193761","0.0-8.0-27.0","A16G6PPH1INQL8","1517428487560","1","25","gold","1000","gold","26000"
"249","","forage01","36","194117","0.0-8.0-28.0","A16G6PPH1INQL8","1517428487560","1","24","gold","1000","gold","27000"
"12769","","forage01","37","206991","0.0-8.0-29.0","A16G6PPH1INQL8","1517428487560","1","23","gold","1000","gold","28000"
"918","","forage01","38","208013","0.0-8.0-30.0","A16G6PPH1INQL8","1517428487560","1","22","gold","1000","gold","29000"
"171","","forage01","39","208290","0.0-8.0-31.0","A16G6PPH1INQL8","1517428487560","1","21","gold","1000","gold","30000"
"523","","forage01","40","208916","0.0-8.0-32.0","A16G6PPH1INQL8","1517428487560","1","20","gold","1000","gold","31000"
"468","","forage01","41","209489","0.0-8.0-33.0","A16G6PPH1INQL8","1517428487560","1","19","gold","1000","gold","32000"
"361","","forage01","42","209952","0.0-8.0-34.0","A16G6PPH1INQL8","1517428487560","1","18","gold","1000","gold","33000"
"415","","forage01","43","210471","0.0-8.0-35.0","A16G6PPH1INQL8","1517428487560","1","17","gold","1000","gold","34000"
"429","","forage01","44","211003","0.0-8.0-36.0","A16G6PPH1INQL8","1517428487560","1","16","gold","1000","gold","35000"
"531","","forage01","45","211637","0.0-8.0-37.0","A16G6PPH1INQL8","1517428487560","1","15","gold","1000","gold","36000"
"514","","forage01","46","212254","0.0-8.0-38.0","A16G6PPH1INQL8","1517428487560","1","14","gold","1000","gold","37000"
"501","","forage01","47","212859","0.0-8.0-39.0","A16G6PPH1INQL8","1517428487560","1","13","gold","1000","gold","38000"
"443","","forage01","48","213407","0.0-8.0-40.0","A16G6PPH1INQL8","1517428487560","1","12","gold","1000","gold","39000"
"269","","forage01","49","213779","0.0-8.0-41.0","A16G6PPH1INQL8","1517428487560","1","11","gold","1000","gold","40000"
"248","","forage01","50","214133","0.0-8.0-42.0","A16G6PPH1INQL8","1517428487560","1","10","gold","1000","gold","41000"
"238","","forage01","51","214475","0.0-8.0-43.0","A16G6PPH1INQL8","1517428487560","1","9","gold","1000","gold","42000"
"437","","forage01","52","215015","0.0-8.0-44.0","A16G6PPH1INQL8","1517428487560","1","8","gold","1000","gold","43000"
"467","","forage01","53","215587","0.0-8.0-45.0","A16G6PPH1INQL8","1517428487560","1","7","gold","1000","gold","44000"
"523","","forage01","54","216213","0.0-8.0-46.0","A16G6PPH1INQL8","1517428487560","1","6","gold","1000","gold","45000"
"474","","forage01","55","216793","0.0-8.0-47.0","A16G6PPH1INQL8","1517428487560","1","5","gold","1000","gold","46000"
"460","","forage01","56","217357","0.0-8.0-48.0","A16G6PPH1INQL8","1517428487560","1","4","gold","1000","gold","47000"
"507","","forage01","57","217967","0.0-8.0-49.0","A16G6PPH1INQL8","1517428487560","1","3","gold","1000","gold","48000"
"462","","forage01","58","218533","0.0-8.0-50.0","A16G6PPH1INQL8","1517428487560","1","2","gold","1000","gold","49000"
"498","","forage01","59","219135","0.0-8.0-51.0","A16G6PPH1INQL8","1517428487560","1","1","gold","1000","gold","50000"
"8961","32","mine-text","60","228429","0.0-9.0","A16G6PPH1INQL8","1517428487560","","","","","",""
"2494","","forage01","61","231028","0.0-10.0-0.0","A16G6PPH1INQL8","1517428487560","0","52","dirt","0","no mineshafts yet","0"
"2620","","forage01","62","233750","0.0-10.0-1.0","A16G6PPH1INQL8","1517428487560","0","51","gold","0","dirt","0"
"3473","","forage01","63","237328","0.0-10.0-2.0","A16G6PPH1INQL8","1517428487560","0","50","dirt","0","gold","0"
"2468","","forage01","64","239902","0.0-10.0-3.0","A16G6PPH1INQL8","1517428487560","0","49","gold","0","gold","0"
"1541","","forage01","65","241548","0.0-10.0-4.0","A16G6PPH1INQL8","1517428487560","1","48","gold","1000","gold","1000"
"535","","forage01","66","242188","0.0-10.0-5.0","A16G6PPH1INQL8","1517428487560","1","47","gold","1000","gold","2000"
