"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"7118","32","text","0","7123","0.0-0.0","A1DL3NEZFY4V4E","1516908373384","","","","","",""
"21823","32","text","1","29049","0.0-1.0","A1DL3NEZFY4V4E","1516908373384","","","","","",""
"2628","32","text","2","31778","0.0-2.0","A1DL3NEZFY4V4E","1516908373384","","","","","",""
"51919","32","text","3","83800","0.0-3.0","A1DL3NEZFY4V4E","1516908373384","","","","","",""
"40965","32","mine-text","4","125166","0.0-4.0","A1DL3NEZFY4V4E","1516908373384","","","","","",""
"50943","32","text","5","176210","0.0-5.0","A1DL3NEZFY4V4E","1516908373384","","","","","",""
"19443","32","text","6","195755","0.0-6.0","A1DL3NEZFY4V4E","1516908373384","","","","","",""
"14384","32","mine-text","7","210584","0.0-7.0","A1DL3NEZFY4V4E","1516908373384","","","","","",""
"8065","","forage01","8","218755","0.0-8.0-0.0","A1DL3NEZFY4V4E","1516908373384","0","52","dirt","0","no mineshafts yet","0"
"21284","","forage01","9","240144","0.0-8.0-1.0","A1DL3NEZFY4V4E","1516908373384","0","51","diamond","0","dirt","0"
"1782","","forage01","10","242029","0.0-8.0-2.0","A1DL3NEZFY4V4E","1516908373384","1","50","diamond","100000","diamond","100000"
"11789","","forage01","11","253923","0.0-8.0-3.0","A1DL3NEZFY4V4E","1516908373384","0","49","gold","0","diamond","100000"
"5726","","forage01","12","259755","0.0-8.0-4.0","A1DL3NEZFY4V4E","1516908373384","1","48","diamond","100000","diamond","200000"
"2913","","forage01","13","262771","0.0-8.0-5.0","A1DL3NEZFY4V4E","1516908373384","0","47","gold","0","diamond","200000"
"4602","","forage01","14","267478","0.0-8.0-6.0","A1DL3NEZFY4V4E","1516908373384","1","46","diamond","100000","diamond","300000"
"1465","","forage01","15","269048","0.0-8.0-7.0","A1DL3NEZFY4V4E","1516908373384","0","45","gold","0","diamond","300000"
"2026","","forage01","16","271178","0.0-8.0-8.0","A1DL3NEZFY4V4E","1516908373384","1","44","diamond","100000","diamond","400000"
"2420","","forage01","17","273701","0.0-8.0-9.0","A1DL3NEZFY4V4E","1516908373384","0","43","gold","0","diamond","400000"
"3457","","forage01","18","277263","0.0-8.0-10.0","A1DL3NEZFY4V4E","1516908373384","0","42","gold","0","diamond","400000"
"1045","","forage01","19","278412","0.0-8.0-11.0","A1DL3NEZFY4V4E","1516908373384","0","41","dirt","0","diamond","400000"
"3581","","forage01","20","282097","0.0-8.0-12.0","A1DL3NEZFY4V4E","1516908373384","0","40","gold","0","diamond","400000"
"2747","","forage01","21","284949","0.0-8.0-13.0","A1DL3NEZFY4V4E","1516908373384","1","39","diamond","100000","diamond","500000"
