"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"5048","32","text","0","5055","0.0-0.0","A1F9KLZGHE9DTA","1516903676920","","","","","",""
"2620","32","text","1","7779","0.0-1.0","A1F9KLZGHE9DTA","1516903676920","","","","","",""
"1782","32","text","2","9661","0.0-2.0","A1F9KLZGHE9DTA","1516903676920","","","","","",""
"17668","32","text","3","27432","0.0-3.0","A1F9KLZGHE9DTA","1516903676920","","","","","",""
"48086","32","mine-text","4","75906","0.0-4.0","A1F9KLZGHE9DTA","1516903676920","","","","","",""
"30684","32","text","5","106694","0.0-5.0","A1F9KLZGHE9DTA","1516903676920","","","","","",""
"17762","32","text","6","124557","0.0-6.0","A1F9KLZGHE9DTA","1516903676920","","","","","",""
"14611","32","mine-text","7","139590","0.0-7.0","A1F9KLZGHE9DTA","1516903676920","","","","","",""
"9292","","forage01","8","148989","0.0-8.0-0.0","A1F9KLZGHE9DTA","1516903676920","0","52","dirt","0","no mineshafts yet","0"
"6509","","forage01","9","155605","0.0-8.0-1.0","A1F9KLZGHE9DTA","1516903676920","0","51","gold","0","dirt","0"
"2395","","forage01","10","158112","0.0-8.0-2.0","A1F9KLZGHE9DTA","1516903676920","1","50","gold","1000","gold","1000"
"1777","","forage01","11","159995","0.0-8.0-3.0","A1F9KLZGHE9DTA","1516903676920","1","49","gold","1000","gold","2000"
"1702","","forage01","12","161806","0.0-8.0-4.0","A1F9KLZGHE9DTA","1516903676920","1","48","gold","1000","gold","3000"
"1089","","forage01","13","163002","0.0-8.0-5.0","A1F9KLZGHE9DTA","1516903676920","1","47","gold","1000","gold","4000"
"433","","forage01","14","163539","0.0-8.0-6.0","A1F9KLZGHE9DTA","1516903676920","1","46","gold","1000","gold","5000"
"344","","forage01","15","163995","0.0-8.0-7.0","A1F9KLZGHE9DTA","1516903676920","1","45","gold","1000","gold","6000"
"332","","forage01","16","164438","0.0-8.0-8.0","A1F9KLZGHE9DTA","1516903676920","1","44","gold","1000","gold","7000"
