"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"11000","32","text","0","11003","0.0-0.0","A1GRPIBHW72HDU","1517428840415","","","","","",""
"6024","32","text","1","17139","0.0-1.0","A1GRPIBHW72HDU","1517428840415","","","","","",""
"2162","32","text","2","19409","0.0-2.0","A1GRPIBHW72HDU","1517428840415","","","","","",""
"18014","32","text","3","37530","0.0-3.0","A1GRPIBHW72HDU","1517428840415","","","","","",""
"17426","32","mine-text","4","55279","0.0-4.0","A1GRPIBHW72HDU","1517428840415","","","","","",""
"29337","32","text","5","84721","0.0-5.0","A1GRPIBHW72HDU","1517428840415","","","","","",""
"10353","32","text","6","95191","0.0-6.0","A1GRPIBHW72HDU","1517428840415","","","","","",""
"10256","32","mine-text","7","105718","0.0-7.0","A1GRPIBHW72HDU","1517428840415","","","","","",""
"6184","","forage01","8","112032","0.0-8.0-0.0","A1GRPIBHW72HDU","1517428840415","0","52","gold","0","no mineshafts yet","0"
"7659","","forage01","9","119796","0.0-8.0-1.0","A1GRPIBHW72HDU","1517428840415","0","51","dirt","0","gold","0"
"1053","","forage01","10","120964","0.0-8.0-2.0","A1GRPIBHW72HDU","1517428840415","0","50","dirt","0","gold","0"
"1005","","forage01","11","122087","0.0-8.0-3.0","A1GRPIBHW72HDU","1517428840415","0","49","dirt","0","gold","0"
"1812","","forage01","12","124020","0.0-8.0-4.0","A1GRPIBHW72HDU","1517428840415","0","48","dirt","0","gold","0"
"1227","","forage01","13","125364","0.0-8.0-5.0","A1GRPIBHW72HDU","1517428840415","0","47","dirt","0","gold","0"
"526","","forage01","14","126003","0.0-8.0-6.0","A1GRPIBHW72HDU","1517428840415","0","46","dirt","0","gold","0"
"339","","forage01","15","126455","0.0-8.0-7.0","A1GRPIBHW72HDU","1517428840415","0","45","dirt","0","gold","0"
"291","","forage01","16","126856","0.0-8.0-8.0","A1GRPIBHW72HDU","1517428840415","0","44","dirt","0","gold","0"
"515","","forage01","17","127503","0.0-8.0-9.0","A1GRPIBHW72HDU","1517428840415","0","43","dirt","0","gold","0"
"663","","forage01","18","128288","0.0-8.0-10.0","A1GRPIBHW72HDU","1517428840415","1","42","gold","1000","gold","1000"
"1160","","forage01","19","129555","0.0-8.0-11.0","A1GRPIBHW72HDU","1517428840415","1","41","gold","1000","gold","2000"
"586","","forage01","20","130251","0.0-8.0-12.0","A1GRPIBHW72HDU","1517428840415","1","40","gold","1000","gold","3000"
"573","","forage01","21","130938","0.0-8.0-13.0","A1GRPIBHW72HDU","1517428840415","1","39","gold","1000","gold","4000"
