"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"3402","32","text","0","3406","0.0-0.0","A1I9ZBV75AVWUS","1517430626834","","","","","",""
"5175","32","text","1","8684","0.0-1.0","A1I9ZBV75AVWUS","1517430626834","","","","","",""
"1903","32","text","2","10689","0.0-2.0","A1I9ZBV75AVWUS","1517430626834","","","","","",""
"10185","32","text","3","20977","0.0-3.0","A1I9ZBV75AVWUS","1517430626834","","","","","",""
"7043","32","mine-text","4","28337","0.0-4.0","A1I9ZBV75AVWUS","1517430626834","","","","","",""
"18371","32","text","5","46810","0.0-5.0","A1I9ZBV75AVWUS","1517430626834","","","","","",""
"6354","32","text","6","53265","0.0-6.0","A1I9ZBV75AVWUS","1517430626834","","","","","",""
"5561","32","mine-text","7","59169","0.0-7.0","A1I9ZBV75AVWUS","1517430626834","","","","","",""
"6358","","forage01","8","65635","0.0-8.0-0.0","A1I9ZBV75AVWUS","1517430626834","0","52","gold","0","no mineshafts yet","0"
"2778","","forage01","9","68516","0.0-8.0-1.0","A1I9ZBV75AVWUS","1517430626834","0","51","gold","0","gold","0"
"2598","","forage01","10","71218","0.0-8.0-2.0","A1I9ZBV75AVWUS","1517430626834","0","50","gold","0","gold","0"
"802","","forage01","11","72124","0.0-8.0-3.0","A1I9ZBV75AVWUS","1517430626834","0","49","gold","0","gold","0"
"1465","","forage01","12","73694","0.0-8.0-4.0","A1I9ZBV75AVWUS","1517430626834","0","48","gold","0","gold","0"
"1366","","forage01","13","75164","0.0-8.0-5.0","A1I9ZBV75AVWUS","1517430626834","0","47","gold","0","gold","0"
"740","","forage01","14","76008","0.0-8.0-6.0","A1I9ZBV75AVWUS","1517430626834","0","46","gold","0","gold","0"
"558","","forage01","15","76670","0.0-8.0-7.0","A1I9ZBV75AVWUS","1517430626834","0","45","gold","0","gold","0"
"381","","forage01","16","77156","0.0-8.0-8.0","A1I9ZBV75AVWUS","1517430626834","0","44","dirt","0","gold","0"
"338","","forage01","17","77600","0.0-8.0-9.0","A1I9ZBV75AVWUS","1517430626834","0","43","dirt","0","gold","0"
"514","","forage01","18","78218","0.0-8.0-10.0","A1I9ZBV75AVWUS","1517430626834","0","42","dirt","0","gold","0"
"839","","forage01","19","79162","0.0-8.0-11.0","A1I9ZBV75AVWUS","1517430626834","1","41","gold","1000","gold","1000"
"3871","","forage01","20","83140","0.0-8.0-12.0","A1I9ZBV75AVWUS","1517430626834","1","40","gold","1000","gold","2000"
"542","","forage01","21","83788","0.0-8.0-13.0","A1I9ZBV75AVWUS","1517430626834","1","39","gold","1000","gold","3000"
"719","","forage01","22","84612","0.0-8.0-14.0","A1I9ZBV75AVWUS","1517430626834","1","38","gold","1000","gold","4000"
"921","","forage01","23","85640","0.0-8.0-15.0","A1I9ZBV75AVWUS","1517430626834","1","37","gold","1000","gold","5000"
"653","","forage01","24","86398","0.0-8.0-16.0","A1I9ZBV75AVWUS","1517430626834","0","36","dirt","0","gold","5000"
"1449","","forage01","25","87952","0.0-8.0-17.0","A1I9ZBV75AVWUS","1517430626834","1","35","gold","1000","gold","6000"
"957","","forage01","26","89014","0.0-8.0-18.0","A1I9ZBV75AVWUS","1517430626834","1","34","gold","1000","gold","7000"
"394","","forage01","27","89514","0.0-8.0-19.0","A1I9ZBV75AVWUS","1517430626834","1","33","gold","1000","gold","8000"
"294","","forage01","28","89912","0.0-8.0-20.0","A1I9ZBV75AVWUS","1517430626834","1","32","gold","1000","gold","9000"
"257","","forage01","29","90273","0.0-8.0-21.0","A1I9ZBV75AVWUS","1517430626834","1","31","gold","1000","gold","10000"
"277","","forage01","30","90654","0.0-8.0-22.0","A1I9ZBV75AVWUS","1517430626834","1","30","gold","1000","gold","11000"
"278","","forage01","31","91038","0.0-8.0-23.0","A1I9ZBV75AVWUS","1517430626834","1","29","gold","1000","gold","12000"
"329","","forage01","32","91474","0.0-8.0-24.0","A1I9ZBV75AVWUS","1517430626834","1","28","gold","1000","gold","13000"
"240","","forage01","33","91818","0.0-8.0-25.0","A1I9ZBV75AVWUS","1517430626834","1","27","gold","1000","gold","14000"
"309","","forage01","34","92232","0.0-8.0-26.0","A1I9ZBV75AVWUS","1517430626834","1","26","gold","1000","gold","15000"
"99","","forage01","35","92436","0.0-8.0-27.0","A1I9ZBV75AVWUS","1517430626834","1","25","gold","1000","gold","16000"
"224","","forage01","36","92764","0.0-8.0-28.0","A1I9ZBV75AVWUS","1517430626834","1","24","gold","1000","gold","17000"
"202","","forage01","37","93070","0.0-8.0-29.0","A1I9ZBV75AVWUS","1517430626834","1","23","gold","1000","gold","18000"
"202","","forage01","38","93378","0.0-8.0-30.0","A1I9ZBV75AVWUS","1517430626834","1","22","gold","1000","gold","19000"
"211","","forage01","39","93694","0.0-8.0-31.0","A1I9ZBV75AVWUS","1517430626834","1","21","gold","1000","gold","20000"
"692","","forage01","40","94490","0.0-8.0-32.0","A1I9ZBV75AVWUS","1517430626834","1","20","gold","1000","gold","21000"
"332","","forage01","41","94928","0.0-8.0-33.0","A1I9ZBV75AVWUS","1517430626834","1","19","gold","1000","gold","22000"
"96","","forage01","42","95130","0.0-8.0-34.0","A1I9ZBV75AVWUS","1517430626834","1","18","gold","1000","gold","23000"
"65","","forage01","43","95302","0.0-8.0-35.0","A1I9ZBV75AVWUS","1517430626834","1","17","gold","1000","gold","24000"
"70","","forage01","44","95482","0.0-8.0-36.0","A1I9ZBV75AVWUS","1517430626834","1","16","gold","1000","gold","25000"
"232","","forage01","45","95818","0.0-8.0-37.0","A1I9ZBV75AVWUS","1517430626834","1","15","gold","1000","gold","26000"
"216","","forage01","46","96138","0.0-8.0-38.0","A1I9ZBV75AVWUS","1517430626834","1","14","gold","1000","gold","27000"
"193","","forage01","47","96435","0.0-8.0-39.0","A1I9ZBV75AVWUS","1517430626834","1","13","gold","1000","gold","28000"
"208","","forage01","48","96748","0.0-8.0-40.0","A1I9ZBV75AVWUS","1517430626834","1","12","gold","1000","gold","29000"
"215","","forage01","49","97068","0.0-8.0-41.0","A1I9ZBV75AVWUS","1517430626834","1","11","gold","1000","gold","30000"
"214","","forage01","50","97388","0.0-8.0-42.0","A1I9ZBV75AVWUS","1517430626834","1","10","gold","1000","gold","31000"
"51","","forage01","51","97544","0.0-8.0-43.0","A1I9ZBV75AVWUS","1517430626834","1","9","gold","1000","gold","32000"
"59","","forage01","52","97708","0.0-8.0-44.0","A1I9ZBV75AVWUS","1517430626834","1","8","gold","1000","gold","33000"
"217","","forage01","53","98030","0.0-8.0-45.0","A1I9ZBV75AVWUS","1517430626834","1","7","gold","1000","gold","34000"
"206","","forage01","54","98342","0.0-8.0-46.0","A1I9ZBV75AVWUS","1517430626834","1","6","gold","1000","gold","35000"
"1198","","forage01","55","99646","0.0-8.0-47.0","A1I9ZBV75AVWUS","1517430626834","0","5","dirt","0","gold","35000"
