"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"6954","32","text","0","6960","0.0-0.0","A1IP7MXZ9M7KOF","1516904918481","","","","","",""
"14218","32","text","1","21285","0.0-1.0","A1IP7MXZ9M7KOF","1516904918481","","","","","",""
"1731","32","text","2","23118","0.0-2.0","A1IP7MXZ9M7KOF","1516904918481","","","","","",""
"32023","32","text","3","55246","0.0-3.0","A1IP7MXZ9M7KOF","1516904918481","","","","","",""
"14031","32","mine-text","4","69625","0.0-4.0","A1IP7MXZ9M7KOF","1516904918481","","","","","",""
"127444","32","text","5","197173","0.0-5.0","A1IP7MXZ9M7KOF","1516904918481","","","","","",""
"12852","32","text","6","210127","0.0-6.0","A1IP7MXZ9M7KOF","1516904918481","","","","","",""
"22398","32","mine-text","7","232900","0.0-7.0","A1IP7MXZ9M7KOF","1516904918481","","","","","",""
"160448","","forage01","8","393455","0.0-8.0-0.0","A1IP7MXZ9M7KOF","1516904918481","0","52","dirt","0","no mineshafts yet","0"
"13702","","forage01","9","407272","0.0-8.0-1.0","A1IP7MXZ9M7KOF","1516904918481","0","51","gold","0","dirt","0"
"4439","","forage01","10","411816","0.0-8.0-2.0","A1IP7MXZ9M7KOF","1516904918481","0","50","dirt","0","gold","0"
"1822","","forage01","11","413746","0.0-8.0-3.0","A1IP7MXZ9M7KOF","1516904918481","0","49","gold","0","gold","0"
"5468","","forage01","12","419322","0.0-8.0-4.0","A1IP7MXZ9M7KOF","1516904918481","1","48","gold","1000","gold","1000"
"5260","","forage01","13","424695","0.0-8.0-5.0","A1IP7MXZ9M7KOF","1516904918481","1","47","gold","1000","gold","2000"
"1548","","forage01","14","426347","0.0-8.0-6.0","A1IP7MXZ9M7KOF","1516904918481","1","46","gold","1000","gold","3000"
"1750","","forage01","15","428202","0.0-8.0-7.0","A1IP7MXZ9M7KOF","1516904918481","1","45","gold","1000","gold","4000"
"1191","","forage01","16","429497","0.0-8.0-8.0","A1IP7MXZ9M7KOF","1516904918481","1","44","gold","1000","gold","5000"
"1019","","forage01","17","430620","0.0-8.0-9.0","A1IP7MXZ9M7KOF","1516904918481","1","43","gold","1000","gold","6000"
"1174","","forage01","18","431900","0.0-8.0-10.0","A1IP7MXZ9M7KOF","1516904918481","1","42","gold","1000","gold","7000"
"1415","","forage01","19","433420","0.0-8.0-11.0","A1IP7MXZ9M7KOF","1516904918481","1","41","gold","1000","gold","8000"
"2305","","forage01","20","435832","0.0-8.0-12.0","A1IP7MXZ9M7KOF","1516904918481","1","40","gold","1000","gold","9000"
"1160","","forage01","21","437097","0.0-8.0-13.0","A1IP7MXZ9M7KOF","1516904918481","1","39","gold","1000","gold","10000"
"1506","","forage01","22","438709","0.0-8.0-14.0","A1IP7MXZ9M7KOF","1516904918481","1","38","gold","1000","gold","11000"
"609","","forage01","23","439425","0.0-8.0-15.0","A1IP7MXZ9M7KOF","1516904918481","1","37","gold","1000","gold","12000"
"527","","forage01","24","440060","0.0-8.0-16.0","A1IP7MXZ9M7KOF","1516904918481","1","36","gold","1000","gold","13000"
"685","","forage01","25","440850","0.0-8.0-17.0","A1IP7MXZ9M7KOF","1516904918481","1","35","gold","1000","gold","14000"
"315","","forage01","26","441270","0.0-8.0-18.0","A1IP7MXZ9M7KOF","1516904918481","1","34","gold","1000","gold","15000"
"174","","forage01","27","441548","0.0-8.0-19.0","A1IP7MXZ9M7KOF","1516904918481","1","33","gold","1000","gold","16000"
"355","","forage01","28","442007","0.0-8.0-20.0","A1IP7MXZ9M7KOF","1516904918481","1","32","gold","1000","gold","17000"
"285","","forage01","29","442395","0.0-8.0-21.0","A1IP7MXZ9M7KOF","1516904918481","1","31","gold","1000","gold","18000"
"257","","forage01","30","442760","0.0-8.0-22.0","A1IP7MXZ9M7KOF","1516904918481","1","30","gold","1000","gold","19000"
"367","","forage01","31","443240","0.0-8.0-23.0","A1IP7MXZ9M7KOF","1516904918481","1","29","gold","1000","gold","20000"
"281","","forage01","32","443626","0.0-8.0-24.0","A1IP7MXZ9M7KOF","1516904918481","1","28","gold","1000","gold","21000"
"433","","forage01","33","444170","0.0-8.0-25.0","A1IP7MXZ9M7KOF","1516904918481","1","27","gold","1000","gold","22000"
"392","","forage01","34","444666","0.0-8.0-26.0","A1IP7MXZ9M7KOF","1516904918481","1","26","gold","1000","gold","23000"
"1090","","forage01","35","445860","0.0-8.0-27.0","A1IP7MXZ9M7KOF","1516904918481","1","25","gold","1000","gold","24000"
"300","","forage01","36","446263","0.0-8.0-28.0","A1IP7MXZ9M7KOF","1516904918481","1","24","gold","1000","gold","25000"
"530","","forage01","37","446900","0.0-8.0-29.0","A1IP7MXZ9M7KOF","1516904918481","1","23","gold","1000","gold","26000"
"330","","forage01","38","447334","0.0-8.0-30.0","A1IP7MXZ9M7KOF","1516904918481","1","22","gold","1000","gold","27000"
"290","","forage01","39","447731","0.0-8.0-31.0","A1IP7MXZ9M7KOF","1516904918481","1","21","gold","1000","gold","28000"
"412","","forage01","40","448256","0.0-8.0-32.0","A1IP7MXZ9M7KOF","1516904918481","1","20","gold","1000","gold","29000"
"493","","forage01","41","448855","0.0-8.0-33.0","A1IP7MXZ9M7KOF","1516904918481","1","19","gold","1000","gold","30000"
"274","","forage01","42","449235","0.0-8.0-34.0","A1IP7MXZ9M7KOF","1516904918481","1","18","gold","1000","gold","31000"
"313","","forage01","43","449652","0.0-8.0-35.0","A1IP7MXZ9M7KOF","1516904918481","1","17","gold","1000","gold","32000"
"283","","forage01","44","450040","0.0-8.0-36.0","A1IP7MXZ9M7KOF","1516904918481","1","16","gold","1000","gold","33000"
"348","","forage01","45","450506","0.0-8.0-37.0","A1IP7MXZ9M7KOF","1516904918481","1","15","gold","1000","gold","34000"
"355","","forage01","46","450970","0.0-8.0-38.0","A1IP7MXZ9M7KOF","1516904918481","1","14","gold","1000","gold","35000"
"347","","forage01","47","451422","0.0-8.0-39.0","A1IP7MXZ9M7KOF","1516904918481","1","13","gold","1000","gold","36000"
"349","","forage01","48","451894","0.0-8.0-40.0","A1IP7MXZ9M7KOF","1516904918481","1","12","gold","1000","gold","37000"
"461","","forage01","49","452460","0.0-8.0-41.0","A1IP7MXZ9M7KOF","1516904918481","1","11","gold","1000","gold","38000"
"496","","forage01","50","453064","0.0-8.0-42.0","A1IP7MXZ9M7KOF","1516904918481","1","10","gold","1000","gold","39000"
"443","","forage01","51","453617","0.0-8.0-43.0","A1IP7MXZ9M7KOF","1516904918481","1","9","gold","1000","gold","40000"
"739","","forage01","52","454463","0.0-8.0-44.0","A1IP7MXZ9M7KOF","1516904918481","1","8","gold","1000","gold","41000"
"491","","forage01","53","455059","0.0-8.0-45.0","A1IP7MXZ9M7KOF","1516904918481","1","7","gold","1000","gold","42000"
"511","","forage01","54","455678","0.0-8.0-46.0","A1IP7MXZ9M7KOF","1516904918481","1","6","gold","1000","gold","43000"
"347","","forage01","55","456129","0.0-8.0-47.0","A1IP7MXZ9M7KOF","1516904918481","1","5","gold","1000","gold","44000"
"329","","forage01","56","456562","0.0-8.0-48.0","A1IP7MXZ9M7KOF","1516904918481","1","4","gold","1000","gold","45000"
"467","","forage01","57","457137","0.0-8.0-49.0","A1IP7MXZ9M7KOF","1516904918481","1","3","gold","1000","gold","46000"
"351","","forage01","58","457595","0.0-8.0-50.0","A1IP7MXZ9M7KOF","1516904918481","1","2","gold","1000","gold","47000"
"390","","forage01","59","458092","0.0-8.0-51.0","A1IP7MXZ9M7KOF","1516904918481","1","1","gold","1000","gold","48000"
"29139","32","mine-text","60","487703","0.0-9.0","A1IP7MXZ9M7KOF","1516904918481","","","","","",""
"1561","","forage01","61","489371","0.0-10.0-0.0","A1IP7MXZ9M7KOF","1516904918481","0","52","gold","0","no mineshafts yet","0"
"6424","","forage01","62","495901","0.0-10.0-1.0","A1IP7MXZ9M7KOF","1516904918481","0","51","dirt","0","gold","0"
"757","","forage01","63","496763","0.0-10.0-2.0","A1IP7MXZ9M7KOF","1516904918481","0","50","dirt","0","gold","0"
"586","","forage01","64","497453","0.0-10.0-3.0","A1IP7MXZ9M7KOF","1516904918481","0","49","gold","0","gold","0"
"3779","","forage01","65","501345","0.0-10.0-4.0","A1IP7MXZ9M7KOF","1516904918481","1","48","gold","1000","gold","1000"
"793","","forage01","66","502245","0.0-10.0-5.0","A1IP7MXZ9M7KOF","1516904918481","1","47","gold","1000","gold","2000"
"420","","forage01","67","502773","0.0-10.0-6.0","A1IP7MXZ9M7KOF","1516904918481","1","46","gold","1000","gold","3000"
"384","","forage01","68","503262","0.0-10.0-7.0","A1IP7MXZ9M7KOF","1516904918481","1","45","gold","1000","gold","4000"
"396","","forage01","69","503765","0.0-10.0-8.0","A1IP7MXZ9M7KOF","1516904918481","1","44","gold","1000","gold","5000"
"353","","forage01","70","504223","0.0-10.0-9.0","A1IP7MXZ9M7KOF","1516904918481","1","43","gold","1000","gold","6000"
"312","","forage01","71","504646","0.0-10.0-10.0","A1IP7MXZ9M7KOF","1516904918481","1","42","gold","1000","gold","7000"
"254","","forage01","72","505007","0.0-10.0-11.0","A1IP7MXZ9M7KOF","1516904918481","1","41","gold","1000","gold","8000"
"272","","forage01","73","505386","0.0-10.0-12.0","A1IP7MXZ9M7KOF","1516904918481","1","40","gold","1000","gold","9000"
"261","","forage01","74","505751","0.0-10.0-13.0","A1IP7MXZ9M7KOF","1516904918481","1","39","gold","1000","gold","10000"
"274","","forage01","75","506131","0.0-10.0-14.0","A1IP7MXZ9M7KOF","1516904918481","1","38","gold","1000","gold","11000"
"221","","forage01","76","506457","0.0-10.0-15.0","A1IP7MXZ9M7KOF","1516904918481","1","37","gold","1000","gold","12000"
"221","","forage01","77","506789","0.0-10.0-16.0","A1IP7MXZ9M7KOF","1516904918481","1","36","gold","1000","gold","13000"
"511","","forage01","78","507408","0.0-10.0-17.0","A1IP7MXZ9M7KOF","1516904918481","1","35","gold","1000","gold","14000"
"210","","forage01","79","507727","0.0-10.0-18.0","A1IP7MXZ9M7KOF","1516904918481","1","34","gold","1000","gold","15000"
"138","","forage01","80","507969","0.0-10.0-19.0","A1IP7MXZ9M7KOF","1516904918481","1","33","gold","1000","gold","16000"
"258","","forage01","81","508333","0.0-10.0-20.0","A1IP7MXZ9M7KOF","1516904918481","1","32","gold","1000","gold","17000"
"250","","forage01","82","508690","0.0-10.0-21.0","A1IP7MXZ9M7KOF","1516904918481","1","31","gold","1000","gold","18000"
"234","","forage01","83","509031","0.0-10.0-22.0","A1IP7MXZ9M7KOF","1516904918481","1","30","gold","1000","gold","19000"
"253","","forage01","84","509387","0.0-10.0-23.0","A1IP7MXZ9M7KOF","1516904918481","1","29","gold","1000","gold","20000"
