"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"7017","32","text","0","7022","0.0-0.0","A1KQWBK5WHCNYQ","1517429794994","","","","","",""
"2175","32","text","1","9300","0.0-1.0","A1KQWBK5WHCNYQ","1517429794994","","","","","",""
"2871","32","text","2","12272","0.0-2.0","A1KQWBK5WHCNYQ","1517429794994","","","","","",""
"17152","32","text","3","29528","0.0-3.0","A1KQWBK5WHCNYQ","1517429794994","","","","","",""
"32508","32","mine-text","4","62333","0.0-4.0","A1KQWBK5WHCNYQ","1517429794994","","","","","",""
"23284","32","text","5","85718","0.0-5.0","A1KQWBK5WHCNYQ","1517429794994","","","","","",""
"10728","32","text","6","96548","0.0-6.0","A1KQWBK5WHCNYQ","1517429794994","","","","","",""
"8293","32","mine-text","7","105132","0.0-7.0","A1KQWBK5WHCNYQ","1517429794994","","","","","",""
"5612","","forage01","8","110850","0.0-8.0-0.0","A1KQWBK5WHCNYQ","1517429794994","0","52","dirt","0","no mineshafts yet","0"
"12304","","forage01","9","123257","0.0-8.0-1.0","A1KQWBK5WHCNYQ","1517429794994","1","51","dirt","0","dirt","0"
"963","","forage01","10","124323","0.0-8.0-2.0","A1KQWBK5WHCNYQ","1517429794994","0","50","gold","0","dirt","0"
"3409","","forage01","11","127834","0.0-8.0-3.0","A1KQWBK5WHCNYQ","1517429794994","1","49","gold","1000","gold","1000"
"1496","","forage01","12","129435","0.0-8.0-4.0","A1KQWBK5WHCNYQ","1517429794994","1","48","gold","1000","gold","2000"
"968","","forage01","13","130506","0.0-8.0-5.0","A1KQWBK5WHCNYQ","1517429794994","1","47","gold","1000","gold","3000"
"618","","forage01","14","131226","0.0-8.0-6.0","A1KQWBK5WHCNYQ","1517429794994","1","46","gold","1000","gold","4000"
"672","","forage01","15","132002","0.0-8.0-7.0","A1KQWBK5WHCNYQ","1517429794994","1","45","gold","1000","gold","5000"
"561","","forage01","16","132666","0.0-8.0-8.0","A1KQWBK5WHCNYQ","1517429794994","1","44","gold","1000","gold","6000"
"409","","forage01","17","133179","0.0-8.0-9.0","A1KQWBK5WHCNYQ","1517429794994","1","43","gold","1000","gold","7000"
"393","","forage01","18","133675","0.0-8.0-10.0","A1KQWBK5WHCNYQ","1517429794994","1","42","gold","1000","gold","8000"
"385","","forage01","19","134163","0.0-8.0-11.0","A1KQWBK5WHCNYQ","1517429794994","1","41","gold","1000","gold","9000"
"376","","forage01","20","134643","0.0-8.0-12.0","A1KQWBK5WHCNYQ","1517429794994","1","40","gold","1000","gold","10000"
"415","","forage01","21","135162","0.0-8.0-13.0","A1KQWBK5WHCNYQ","1517429794994","1","39","gold","1000","gold","11000"
"410","","forage01","22","135675","0.0-8.0-14.0","A1KQWBK5WHCNYQ","1517429794994","1","38","gold","1000","gold","12000"
"401","","forage01","23","136180","0.0-8.0-15.0","A1KQWBK5WHCNYQ","1517429794994","1","37","gold","1000","gold","13000"
"2920","","forage01","24","139203","0.0-8.0-16.0","A1KQWBK5WHCNYQ","1517429794994","1","36","gold","1000","gold","14000"
"1680","","forage01","25","140988","0.0-8.0-17.0","A1KQWBK5WHCNYQ","1517429794994","1","35","gold","1000","gold","15000"
"487","","forage01","26","141579","0.0-8.0-18.0","A1KQWBK5WHCNYQ","1517429794994","1","34","gold","1000","gold","16000"
"753","","forage01","27","142436","0.0-8.0-19.0","A1KQWBK5WHCNYQ","1517429794994","1","33","gold","1000","gold","17000"
"1050","","forage01","28","143588","0.0-8.0-20.0","A1KQWBK5WHCNYQ","1517429794994","1","32","gold","1000","gold","18000"
"633","","forage01","29","144324","0.0-8.0-21.0","A1KQWBK5WHCNYQ","1517429794994","1","31","gold","1000","gold","19000"
