"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"9424","32","text","0","9443","0.0-0.0","A1LRVMS6IUA63","1516910735607","","","","","",""
"6804","32","text","1","16356","0.0-1.0","A1LRVMS6IUA63","1516910735607","","","","","",""
"2696","32","text","2","19156","0.0-2.0","A1LRVMS6IUA63","1516910735607","","","","","",""
"56515","32","text","3","75790","0.0-3.0","A1LRVMS6IUA63","1516910735607","","","","","",""
"39113","32","mine-text","4","115957","0.0-4.0","A1LRVMS6IUA63","1516910735607","","","","","",""
"27884","32","text","5","144003","0.0-5.0","A1LRVMS6IUA63","1516910735607","","","","","",""
"17484","32","text","6","161589","0.0-6.0","A1LRVMS6IUA63","1516910735607","","","","","",""
"20136","32","mine-text","7","182840","0.0-7.0","A1LRVMS6IUA63","1516910735607","","","","","",""
"8417","","forage01","8","191423","0.0-8.0-0.0","A1LRVMS6IUA63","1516910735607","0","52","gold","0","no mineshafts yet","0"
"22997","","forage01","9","214538","0.0-8.0-1.0","A1LRVMS6IUA63","1516910735607","0","51","gold","0","gold","0"
"4278","","forage01","10","218933","0.0-8.0-2.0","A1LRVMS6IUA63","1516910735607","0","50","dirt","0","gold","0"
"4403","","forage01","11","223445","0.0-8.0-3.0","A1LRVMS6IUA63","1516910735607","0","49","dirt","0","gold","0"
"2408","","forage01","12","225960","0.0-8.0-4.0","A1LRVMS6IUA63","1516910735607","0","48","dirt","0","gold","0"
"2731","","forage01","13","228802","0.0-8.0-5.0","A1LRVMS6IUA63","1516910735607","0","47","gold","0","gold","0"
"3759","","forage01","14","232668","0.0-8.0-6.0","A1LRVMS6IUA63","1516910735607","1","46","gold","1000","gold","1000"
"4261","","forage01","15","237040","0.0-8.0-7.0","A1LRVMS6IUA63","1516910735607","1","45","gold","1000","gold","2000"
"2438","","forage01","16","239620","0.0-8.0-8.0","A1LRVMS6IUA63","1516910735607","1","44","gold","1000","gold","3000"
"2981","","forage01","17","242711","0.0-8.0-9.0","A1LRVMS6IUA63","1516910735607","1","43","gold","1000","gold","4000"
"2062","","forage01","18","244880","0.0-8.0-10.0","A1LRVMS6IUA63","1516910735607","1","42","gold","1000","gold","5000"
"2457","","forage01","19","247446","0.0-8.0-11.0","A1LRVMS6IUA63","1516910735607","1","41","gold","1000","gold","6000"
"1721","","forage01","20","249276","0.0-8.0-12.0","A1LRVMS6IUA63","1516910735607","1","40","gold","1000","gold","7000"
"1811","","forage01","21","251197","0.0-8.0-13.0","A1LRVMS6IUA63","1516910735607","1","39","gold","1000","gold","8000"
"1690","","forage01","22","253013","0.0-8.0-14.0","A1LRVMS6IUA63","1516910735607","1","38","gold","1000","gold","9000"
"1472","","forage01","23","254595","0.0-8.0-15.0","A1LRVMS6IUA63","1516910735607","1","37","gold","1000","gold","10000"
"2002","","forage01","24","256723","0.0-8.0-16.0","A1LRVMS6IUA63","1516910735607","1","36","gold","1000","gold","11000"
"1165","","forage01","25","258000","0.0-8.0-17.0","A1LRVMS6IUA63","1516910735607","1","35","gold","1000","gold","12000"
"1570","","forage01","26","259681","0.0-8.0-18.0","A1LRVMS6IUA63","1516910735607","1","34","gold","1000","gold","13000"
"1204","","forage01","27","260994","0.0-8.0-19.0","A1LRVMS6IUA63","1516910735607","1","33","gold","1000","gold","14000"
"1089","","forage01","28","262203","0.0-8.0-20.0","A1LRVMS6IUA63","1516910735607","1","32","gold","1000","gold","15000"
"965","","forage01","29","263306","0.0-8.0-21.0","A1LRVMS6IUA63","1516910735607","1","31","gold","1000","gold","16000"
"809","","forage01","30","264227","0.0-8.0-22.0","A1LRVMS6IUA63","1516910735607","1","30","gold","1000","gold","17000"
"776","","forage01","31","265114","0.0-8.0-23.0","A1LRVMS6IUA63","1516910735607","1","29","gold","1000","gold","18000"
"1307","","forage01","32","266530","0.0-8.0-24.0","A1LRVMS6IUA63","1516910735607","1","28","gold","1000","gold","19000"
"924","","forage01","33","267563","0.0-8.0-25.0","A1LRVMS6IUA63","1516910735607","1","27","gold","1000","gold","20000"
"767","","forage01","34","268440","0.0-8.0-26.0","A1LRVMS6IUA63","1516910735607","1","26","gold","1000","gold","21000"
"835","","forage01","35","269385","0.0-8.0-27.0","A1LRVMS6IUA63","1516910735607","1","25","gold","1000","gold","22000"
"910","","forage01","36","270406","0.0-8.0-28.0","A1LRVMS6IUA63","1516910735607","1","24","gold","1000","gold","23000"
"858","","forage01","37","271374","0.0-8.0-29.0","A1LRVMS6IUA63","1516910735607","1","23","gold","1000","gold","24000"
"782","","forage01","38","272270","0.0-8.0-30.0","A1LRVMS6IUA63","1516910735607","1","22","gold","1000","gold","25000"
"624","","forage01","39","273003","0.0-8.0-31.0","A1LRVMS6IUA63","1516910735607","1","21","gold","1000","gold","26000"
"584","","forage01","40","273695","0.0-8.0-32.0","A1LRVMS6IUA63","1516910735607","1","20","gold","1000","gold","27000"
"651","","forage01","41","274456","0.0-8.0-33.0","A1LRVMS6IUA63","1516910735607","1","19","gold","1000","gold","28000"
"568","","forage01","42","275132","0.0-8.0-34.0","A1LRVMS6IUA63","1516910735607","1","18","gold","1000","gold","29000"
"597","","forage01","43","275841","0.0-8.0-35.0","A1LRVMS6IUA63","1516910735607","1","17","gold","1000","gold","30000"
"598","","forage01","44","276548","0.0-8.0-36.0","A1LRVMS6IUA63","1516910735607","1","16","gold","1000","gold","31000"
"508","","forage01","45","277170","0.0-8.0-37.0","A1LRVMS6IUA63","1516910735607","1","15","gold","1000","gold","32000"
"464","","forage01","46","277790","0.0-8.0-38.0","A1LRVMS6IUA63","1516910735607","1","14","gold","1000","gold","33000"
"487","","forage01","47","278390","0.0-8.0-39.0","A1LRVMS6IUA63","1516910735607","1","13","gold","1000","gold","34000"
"560","","forage01","48","279056","0.0-8.0-40.0","A1LRVMS6IUA63","1516910735607","1","12","gold","1000","gold","35000"
"582","","forage01","49","279748","0.0-8.0-41.0","A1LRVMS6IUA63","1516910735607","1","11","gold","1000","gold","36000"
"575","","forage01","50","280432","0.0-8.0-42.0","A1LRVMS6IUA63","1516910735607","1","10","gold","1000","gold","37000"
"599","","forage01","51","281140","0.0-8.0-43.0","A1LRVMS6IUA63","1516910735607","1","9","gold","1000","gold","38000"
"614","","forage01","52","281862","0.0-8.0-44.0","A1LRVMS6IUA63","1516910735607","1","8","gold","1000","gold","39000"
"719","","forage01","53","282705","0.0-8.0-45.0","A1LRVMS6IUA63","1516910735607","1","7","gold","1000","gold","40000"
