"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"7952","32","text","0","7961","0.0-0.0","A1SL65Z68BK1UT","1517428213953","","","","","",""
"2418","32","text","1","10483","0.0-1.0","A1SL65Z68BK1UT","1517428213953","","","","","",""
"1078","32","text","2","11662","0.0-2.0","A1SL65Z68BK1UT","1517428213953","","","","","",""
"19059","32","text","3","30823","0.0-3.0","A1SL65Z68BK1UT","1517428213953","","","","","",""
"24346","32","mine-text","4","55496","0.0-4.0","A1SL65Z68BK1UT","1517428213953","","","","","",""
"19714","32","text","5","75311","0.0-5.0","A1SL65Z68BK1UT","1517428213953","","","","","",""
"4416","32","text","6","79830","0.0-6.0","A1SL65Z68BK1UT","1517428213953","","","","","",""
"14595","32","mine-text","7","94790","0.0-7.0","A1SL65Z68BK1UT","1517428213953","","","","","",""
"2908","","forage01","8","97804","0.0-8.0-0.0","A1SL65Z68BK1UT","1517428213953","0","52","dirt","0","no mineshafts yet","0"
"4588","","forage01","9","102496","0.0-8.0-1.0","A1SL65Z68BK1UT","1517428213953","0","51","dirt","0","dirt","0"
"1760","","forage01","10","104361","0.0-8.0-2.0","A1SL65Z68BK1UT","1517428213953","0","50","dirt","0","dirt","0"
"3326","","forage01","11","107793","0.0-8.0-3.0","A1SL65Z68BK1UT","1517428213953","0","49","dirt","0","dirt","0"
"1838","","forage01","12","109737","0.0-8.0-4.0","A1SL65Z68BK1UT","1517428213953","0","48","gold","0","dirt","0"
"1657","","forage01","13","111501","0.0-8.0-5.0","A1SL65Z68BK1UT","1517428213953","1","47","gold","1000","gold","1000"
"821","","forage01","14","112426","0.0-8.0-6.0","A1SL65Z68BK1UT","1517428213953","1","46","gold","1000","gold","2000"
"467","","forage01","15","112998","0.0-8.0-7.0","A1SL65Z68BK1UT","1517428213953","1","45","gold","1000","gold","3000"
"521","","forage01","16","113624","0.0-8.0-8.0","A1SL65Z68BK1UT","1517428213953","1","44","gold","1000","gold","4000"
"546","","forage01","17","114274","0.0-8.0-9.0","A1SL65Z68BK1UT","1517428213953","1","43","gold","1000","gold","5000"
"469","","forage01","18","114847","0.0-8.0-10.0","A1SL65Z68BK1UT","1517428213953","1","42","gold","1000","gold","6000"
"428","","forage01","19","115380","0.0-8.0-11.0","A1SL65Z68BK1UT","1517428213953","1","41","gold","1000","gold","7000"
"474","","forage01","20","115961","0.0-8.0-12.0","A1SL65Z68BK1UT","1517428213953","1","40","gold","1000","gold","8000"
"414","","forage01","21","116478","0.0-8.0-13.0","A1SL65Z68BK1UT","1517428213953","1","39","gold","1000","gold","9000"
"435","","forage01","22","117018","0.0-8.0-14.0","A1SL65Z68BK1UT","1517428213953","1","38","gold","1000","gold","10000"
"410","","forage01","23","117535","0.0-8.0-15.0","A1SL65Z68BK1UT","1517428213953","1","37","gold","1000","gold","11000"
"396","","forage01","24","118035","0.0-8.0-16.0","A1SL65Z68BK1UT","1517428213953","1","36","gold","1000","gold","12000"
"406","","forage01","25","118547","0.0-8.0-17.0","A1SL65Z68BK1UT","1517428213953","1","35","gold","1000","gold","13000"
"326","","forage01","26","118978","0.0-8.0-18.0","A1SL65Z68BK1UT","1517428213953","1","34","gold","1000","gold","14000"
"373","","forage01","27","119455","0.0-8.0-19.0","A1SL65Z68BK1UT","1517428213953","1","33","gold","1000","gold","15000"
"310","","forage01","28","119869","0.0-8.0-20.0","A1SL65Z68BK1UT","1517428213953","1","32","gold","1000","gold","16000"
"287","","forage01","29","120262","0.0-8.0-21.0","A1SL65Z68BK1UT","1517428213953","1","31","gold","1000","gold","17000"
"271","","forage01","30","120638","0.0-8.0-22.0","A1SL65Z68BK1UT","1517428213953","1","30","gold","1000","gold","18000"
"405","","forage01","31","121151","0.0-8.0-23.0","A1SL65Z68BK1UT","1517428213953","1","29","gold","1000","gold","19000"
"235","","forage01","32","121493","0.0-8.0-24.0","A1SL65Z68BK1UT","1517428213953","1","28","gold","1000","gold","20000"
"280","","forage01","33","121876","0.0-8.0-25.0","A1SL65Z68BK1UT","1517428213953","1","27","gold","1000","gold","21000"
"257","","forage01","34","122238","0.0-8.0-26.0","A1SL65Z68BK1UT","1517428213953","1","26","gold","1000","gold","22000"
"278","","forage01","35","122622","0.0-8.0-27.0","A1SL65Z68BK1UT","1517428213953","1","25","gold","1000","gold","23000"
"271","","forage01","36","122998","0.0-8.0-28.0","A1SL65Z68BK1UT","1517428213953","1","24","gold","1000","gold","24000"
"261","","forage01","37","123367","0.0-8.0-29.0","A1SL65Z68BK1UT","1517428213953","1","23","gold","1000","gold","25000"
"340","","forage01","38","123813","0.0-8.0-30.0","A1SL65Z68BK1UT","1517428213953","1","22","gold","1000","gold","26000"
"341","","forage01","39","124260","0.0-8.0-31.0","A1SL65Z68BK1UT","1517428213953","1","21","gold","1000","gold","27000"
"460","","forage01","40","124824","0.0-8.0-32.0","A1SL65Z68BK1UT","1517428213953","1","20","gold","1000","gold","28000"
"241","","forage01","41","125168","0.0-8.0-33.0","A1SL65Z68BK1UT","1517428213953","1","19","gold","1000","gold","29000"
"210","","forage01","42","125483","0.0-8.0-34.0","A1SL65Z68BK1UT","1517428213953","1","18","gold","1000","gold","30000"
"201","","forage01","43","125788","0.0-8.0-35.0","A1SL65Z68BK1UT","1517428213953","1","17","gold","1000","gold","31000"
"308","","forage01","44","126202","0.0-8.0-36.0","A1SL65Z68BK1UT","1517428213953","1","16","gold","1000","gold","32000"
"297","","forage01","45","126603","0.0-8.0-37.0","A1SL65Z68BK1UT","1517428213953","1","15","gold","1000","gold","33000"
"302","","forage01","46","127009","0.0-8.0-38.0","A1SL65Z68BK1UT","1517428213953","1","14","gold","1000","gold","34000"
"233","","forage01","47","127346","0.0-8.0-39.0","A1SL65Z68BK1UT","1517428213953","1","13","gold","1000","gold","35000"
"325","","forage01","48","127786","0.0-8.0-40.0","A1SL65Z68BK1UT","1517428213953","1","12","gold","1000","gold","36000"
"226","","forage01","49","128116","0.0-8.0-41.0","A1SL65Z68BK1UT","1517428213953","1","11","gold","1000","gold","37000"
"285","","forage01","50","128506","0.0-8.0-42.0","A1SL65Z68BK1UT","1517428213953","1","10","gold","1000","gold","38000"
"251","","forage01","51","128860","0.0-8.0-43.0","A1SL65Z68BK1UT","1517428213953","1","9","gold","1000","gold","39000"
"458","","forage01","52","129423","0.0-8.0-44.0","A1SL65Z68BK1UT","1517428213953","1","8","gold","1000","gold","40000"
"400","","forage01","53","129934","0.0-8.0-45.0","A1SL65Z68BK1UT","1517428213953","1","7","gold","1000","gold","41000"
"385","","forage01","54","130425","0.0-8.0-46.0","A1SL65Z68BK1UT","1517428213953","1","6","gold","1000","gold","42000"
