"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"13296","32","text","0","13302","0.0-0.0","A1X1IRFYQZ40LD","1516908594085","","","","","",""
"32701","32","text","1","46107","0.0-1.0","A1X1IRFYQZ40LD","1516908594085","","","","","",""
"3071","32","text","2","49279","0.0-2.0","A1X1IRFYQZ40LD","1516908594085","","","","","",""
"99251","32","text","3","148635","0.0-3.0","A1X1IRFYQZ40LD","1516908594085","","","","","",""
"35267","32","mine-text","4","184238","0.0-4.0","A1X1IRFYQZ40LD","1516908594085","","","","","",""
"23388","32","text","5","207729","0.0-5.0","A1X1IRFYQZ40LD","1516908594085","","","","","",""
"8436","32","text","6","216266","0.0-6.0","A1X1IRFYQZ40LD","1516908594085","","","","","",""
"14534","32","mine-text","7","231154","0.0-7.0","A1X1IRFYQZ40LD","1516908594085","","","","","",""
"6105","","forage01","8","237368","0.0-8.0-0.0","A1X1IRFYQZ40LD","1516908594085","0","52","dirt","0","no mineshafts yet","0"
"9470","","forage01","9","246943","0.0-8.0-1.0","A1X1IRFYQZ40LD","1516908594085","0","51","gold","0","dirt","0"
"8935","","forage01","10","255983","0.0-8.0-2.0","A1X1IRFYQZ40LD","1516908594085","1","50","gold","1000","gold","1000"
"4343","","forage01","11","260430","0.0-8.0-3.0","A1X1IRFYQZ40LD","1516908594085","1","49","gold","1000","gold","2000"
"2381","","forage01","12","262919","0.0-8.0-4.0","A1X1IRFYQZ40LD","1516908594085","1","48","gold","1000","gold","3000"
"1063","","forage01","13","264086","0.0-8.0-5.0","A1X1IRFYQZ40LD","1516908594085","0","47","dirt","0","gold","3000"
"4487","","forage01","14","268678","0.0-8.0-6.0","A1X1IRFYQZ40LD","1516908594085","0","46","gold","0","gold","3000"
"1420","","forage01","15","270206","0.0-8.0-7.0","A1X1IRFYQZ40LD","1516908594085","1","45","gold","1000","gold","4000"
"1439","","forage01","16","271750","0.0-8.0-8.0","A1X1IRFYQZ40LD","1516908594085","1","44","gold","1000","gold","5000"
"1497","","forage01","17","273350","0.0-8.0-9.0","A1X1IRFYQZ40LD","1516908594085","1","43","gold","1000","gold","6000"
"575","","forage01","18","274030","0.0-8.0-10.0","A1X1IRFYQZ40LD","1516908594085","1","42","gold","1000","gold","7000"
"1671","","forage01","19","275806","0.0-8.0-11.0","A1X1IRFYQZ40LD","1516908594085","0","41","dirt","0","gold","7000"
"4683","","forage01","20","280594","0.0-8.0-12.0","A1X1IRFYQZ40LD","1516908594085","0","40","dirt","0","gold","7000"
"1286","","forage01","21","281986","0.0-8.0-13.0","A1X1IRFYQZ40LD","1516908594085","0","39","dirt","0","gold","7000"
"638","","forage01","22","282730","0.0-8.0-14.0","A1X1IRFYQZ40LD","1516908594085","0","38","dirt","0","gold","7000"
"605","","forage01","23","283442","0.0-8.0-15.0","A1X1IRFYQZ40LD","1516908594085","0","37","dirt","0","gold","7000"
"656","","forage01","24","284203","0.0-8.0-16.0","A1X1IRFYQZ40LD","1516908594085","1","36","gold","1000","gold","8000"
"766","","forage01","25","285074","0.0-8.0-17.0","A1X1IRFYQZ40LD","1516908594085","1","35","gold","1000","gold","9000"
"438","","forage01","26","285618","0.0-8.0-18.0","A1X1IRFYQZ40LD","1516908594085","1","34","gold","1000","gold","10000"
"494","","forage01","27","286218","0.0-8.0-19.0","A1X1IRFYQZ40LD","1516908594085","1","33","gold","1000","gold","11000"
"430","","forage01","28","286754","0.0-8.0-20.0","A1X1IRFYQZ40LD","1516908594085","1","32","gold","1000","gold","12000"
"998","","forage01","29","287858","0.0-8.0-21.0","A1X1IRFYQZ40LD","1516908594085","1","31","gold","1000","gold","13000"
"652","","forage01","30","288618","0.0-8.0-22.0","A1X1IRFYQZ40LD","1516908594085","0","30","gold","0","gold","13000"
"1998","","forage01","31","290722","0.0-8.0-23.0","A1X1IRFYQZ40LD","1516908594085","1","29","gold","1000","gold","14000"
"654","","forage01","32","291483","0.0-8.0-24.0","A1X1IRFYQZ40LD","1516908594085","1","28","gold","1000","gold","15000"
"509","","forage01","33","292098","0.0-8.0-25.0","A1X1IRFYQZ40LD","1516908594085","1","27","gold","1000","gold","16000"
"374","","forage01","34","292578","0.0-8.0-26.0","A1X1IRFYQZ40LD","1516908594085","1","26","gold","1000","gold","17000"
