"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"4337","32","text","0","4343","0.0-0.0","A1XQLUUL2K4DC7","1516904487575","","","","","",""
"2049","32","text","1","6497","0.0-1.0","A1XQLUUL2K4DC7","1516904487575","","","","","",""
"500","32","text","2","7099","0.0-2.0","A1XQLUUL2K4DC7","1516904487575","","","","","",""
"2657","32","text","3","9859","0.0-3.0","A1XQLUUL2K4DC7","1516904487575","","","","","",""
"147","32","mine-text","4","10324","0.0-4.0","A1XQLUUL2K4DC7","1516904487575","","","","","",""
"1337","32","text","5","11762","0.0-5.0","A1XQLUUL2K4DC7","1516904487575","","","","","",""
"433","32","text","6","12298","0.0-6.0","A1XQLUUL2K4DC7","1516904487575","","","","","",""
"3839","32","mine-text","7","16495","0.0-7.0","A1XQLUUL2K4DC7","1516904487575","","","","","",""
"3334","","forage01","8","19939","0.0-8.0-0.0","A1XQLUUL2K4DC7","1516904487575","0","52","dirt","0","no mineshafts yet","0"
"2813","","forage01","9","22858","0.0-8.0-1.0","A1XQLUUL2K4DC7","1516904487575","0","51","gold","0","dirt","0"
"686","","forage01","10","23649","0.0-8.0-2.0","A1XQLUUL2K4DC7","1516904487575","0","50","dirt","0","gold","0"
"506","","forage01","11","24262","0.0-8.0-3.0","A1XQLUUL2K4DC7","1516904487575","1","49","gold","1000","gold","1000"
"422","","forage01","12","24789","0.0-8.0-4.0","A1XQLUUL2K4DC7","1516904487575","1","48","gold","1000","gold","2000"
"365","","forage01","13","25260","0.0-8.0-5.0","A1XQLUUL2K4DC7","1516904487575","0","47","dirt","0","gold","2000"
"309","","forage01","14","25675","0.0-8.0-6.0","A1XQLUUL2K4DC7","1516904487575","0","46","dirt","0","gold","2000"
"454","","forage01","15","26236","0.0-8.0-7.0","A1XQLUUL2K4DC7","1516904487575","0","45","dirt","0","gold","2000"
"716","","forage01","16","27058","0.0-8.0-8.0","A1XQLUUL2K4DC7","1516904487575","1","44","gold","1000","gold","3000"
"480","","forage01","17","27645","0.0-8.0-9.0","A1XQLUUL2K4DC7","1516904487575","1","43","gold","1000","gold","4000"
"414","","forage01","18","28165","0.0-8.0-10.0","A1XQLUUL2K4DC7","1516904487575","1","42","gold","1000","gold","5000"
"482","","forage01","19","28755","0.0-8.0-11.0","A1XQLUUL2K4DC7","1516904487575","1","41","gold","1000","gold","6000"
"513","","forage01","20","29377","0.0-8.0-12.0","A1XQLUUL2K4DC7","1516904487575","1","40","gold","1000","gold","7000"
"332","","forage01","21","29815","0.0-8.0-13.0","A1XQLUUL2K4DC7","1516904487575","0","39","dirt","0","gold","7000"
"284","","forage01","22","30206","0.0-8.0-14.0","A1XQLUUL2K4DC7","1516904487575","0","38","dirt","0","gold","7000"
"367","","forage01","23","30680","0.0-8.0-15.0","A1XQLUUL2K4DC7","1516904487575","1","37","gold","1000","gold","8000"
"304","","forage01","24","31091","0.0-8.0-16.0","A1XQLUUL2K4DC7","1516904487575","0","36","gold","0","gold","8000"
"1108","","forage01","25","32307","0.0-8.0-17.0","A1XQLUUL2K4DC7","1516904487575","0","35","gold","0","gold","8000"
"261","","forage01","26","32675","0.0-8.0-18.0","A1XQLUUL2K4DC7","1516904487575","1","34","gold","1000","gold","9000"
"176","","forage01","27","32959","0.0-8.0-19.0","A1XQLUUL2K4DC7","1516904487575","1","33","gold","1000","gold","10000"
"163","","forage01","28","33230","0.0-8.0-20.0","A1XQLUUL2K4DC7","1516904487575","1","32","gold","1000","gold","11000"
"177","","forage01","29","33517","0.0-8.0-21.0","A1XQLUUL2K4DC7","1516904487575","1","31","gold","1000","gold","12000"
"334","","forage01","30","33959","0.0-8.0-22.0","A1XQLUUL2K4DC7","1516904487575","0","30","gold","0","gold","12000"
"233","","forage01","31","34299","0.0-8.0-23.0","A1XQLUUL2K4DC7","1516904487575","0","29","dirt","0","gold","12000"
"84","","forage01","32","34492","0.0-8.0-24.0","A1XQLUUL2K4DC7","1516904487575","0","28","gold","0","gold","12000"
"170","","forage01","33","34775","0.0-8.0-25.0","A1XQLUUL2K4DC7","1516904487575","0","27","dirt","0","gold","12000"
"11169","","forage01","34","46053","0.0-8.0-26.0","A1XQLUUL2K4DC7","1516904487575","1","26","gold","1000","gold","13000"
"601","","forage01","35","46762","0.0-8.0-27.0","A1XQLUUL2K4DC7","1516904487575","1","25","gold","1000","gold","14000"
"789","","forage01","36","47662","0.0-8.0-28.0","A1XQLUUL2K4DC7","1516904487575","0","24","dirt","0","gold","14000"
"369","","forage01","37","48141","0.0-8.0-29.0","A1XQLUUL2K4DC7","1516904487575","0","23","dirt","0","gold","14000"
"333","","forage01","38","48579","0.0-8.0-30.0","A1XQLUUL2K4DC7","1516904487575","1","22","gold","1000","gold","15000"
"111","","forage01","39","48800","0.0-8.0-31.0","A1XQLUUL2K4DC7","1516904487575","1","21","gold","1000","gold","16000"
"185","","forage01","40","49090","0.0-8.0-32.0","A1XQLUUL2K4DC7","1516904487575","1","20","gold","1000","gold","17000"
"84","","forage01","41","49284","0.0-8.0-33.0","A1XQLUUL2K4DC7","1516904487575","1","19","gold","1000","gold","18000"
"134","","forage01","42","49524","0.0-8.0-34.0","A1XQLUUL2K4DC7","1516904487575","1","18","gold","1000","gold","19000"
"82","","forage01","43","49716","0.0-8.0-35.0","A1XQLUUL2K4DC7","1516904487575","1","17","gold","1000","gold","20000"
"78","","forage01","44","49900","0.0-8.0-36.0","A1XQLUUL2K4DC7","1516904487575","1","16","gold","1000","gold","21000"
"64","","forage01","45","50072","0.0-8.0-37.0","A1XQLUUL2K4DC7","1516904487575","1","15","gold","1000","gold","22000"
"71","","forage01","46","50257","0.0-8.0-38.0","A1XQLUUL2K4DC7","1516904487575","1","14","gold","1000","gold","23000"
"73","","forage01","47","50438","0.0-8.0-39.0","A1XQLUUL2K4DC7","1516904487575","1","13","gold","1000","gold","24000"
"799","","forage01","48","51346","0.0-8.0-40.0","A1XQLUUL2K4DC7","1516904487575","1","12","gold","1000","gold","25000"
"61","","forage01","49","51515","0.0-8.0-41.0","A1XQLUUL2K4DC7","1516904487575","1","11","gold","1000","gold","26000"
"83","","forage01","50","51706","0.0-8.0-42.0","A1XQLUUL2K4DC7","1516904487575","1","10","gold","1000","gold","27000"
"74","","forage01","51","51889","0.0-8.0-43.0","A1XQLUUL2K4DC7","1516904487575","1","9","gold","1000","gold","28000"
"82","","forage01","52","52080","0.0-8.0-44.0","A1XQLUUL2K4DC7","1516904487575","1","8","gold","1000","gold","29000"
"73","","forage01","53","52263","0.0-8.0-45.0","A1XQLUUL2K4DC7","1516904487575","1","7","gold","1000","gold","30000"
"87","","forage01","54","52458","0.0-8.0-46.0","A1XQLUUL2K4DC7","1516904487575","1","6","gold","1000","gold","31000"
