"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"2275","32","text","0","2278","0.0-0.0","A1ZD8RU6YB0VEU","1517428234286","","","","","",""
"3336","32","text","1","5717","0.0-1.0","A1ZD8RU6YB0VEU","1517428234286","","","","","",""
"1162","32","text","2","6980","0.0-2.0","A1ZD8RU6YB0VEU","1517428234286","","","","","",""
"12324","32","text","3","19407","0.0-3.0","A1ZD8RU6YB0VEU","1517428234286","","","","","",""
"9624","32","mine-text","4","29291","0.0-4.0","A1ZD8RU6YB0VEU","1517428234286","","","","","",""
"21971","32","text","5","51363","0.0-5.0","A1ZD8RU6YB0VEU","1517428234286","","","","","",""
"9006","32","text","6","60472","0.0-6.0","A1ZD8RU6YB0VEU","1517428234286","","","","","",""
"2773","32","mine-text","7","63530","0.0-7.0","A1ZD8RU6YB0VEU","1517428234286","","","","","",""
"4960","","forage01","8","68594","0.0-8.0-0.0","A1ZD8RU6YB0VEU","1517428234286","0","52","dirt","0","no mineshafts yet","0"
"1368","","forage01","9","70065","0.0-8.0-1.0","A1ZD8RU6YB0VEU","1517428234286","1","51","dirt","0","dirt","0"
"1270","","forage01","10","71439","0.0-8.0-2.0","A1ZD8RU6YB0VEU","1517428234286","1","50","dirt","0","dirt","0"
"1218","","forage01","11","72759","0.0-8.0-3.0","A1ZD8RU6YB0VEU","1517428234286","0","49","dirt","0","dirt","0"
"2101","","forage01","12","74965","0.0-8.0-4.0","A1ZD8RU6YB0VEU","1517428234286","1","48","dirt","0","dirt","0"
"430","","forage01","13","75499","0.0-8.0-5.0","A1ZD8RU6YB0VEU","1517428234286","1","47","dirt","0","dirt","0"
"288","","forage01","14","75890","0.0-8.0-6.0","A1ZD8RU6YB0VEU","1517428234286","1","46","dirt","0","dirt","0"
"230","","forage01","15","76224","0.0-8.0-7.0","A1ZD8RU6YB0VEU","1517428234286","1","45","dirt","0","dirt","0"
"447","","forage01","16","76776","0.0-8.0-8.0","A1ZD8RU6YB0VEU","1517428234286","0","44","dirt","0","dirt","0"
"533","","forage01","17","77412","0.0-8.0-9.0","A1ZD8RU6YB0VEU","1517428234286","1","43","dirt","0","dirt","0"
"306","","forage01","18","77822","0.0-8.0-10.0","A1ZD8RU6YB0VEU","1517428234286","1","42","dirt","0","dirt","0"
