"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"42407","32","text","0","42416","0.0-0.0","A20ASMCESA51U4","1516905179603","","","","","",""
"10533","32","text","1","53056","0.0-1.0","A20ASMCESA51U4","1516905179603","","","","","",""
"5343","32","text","2","58505","0.0-2.0","A20ASMCESA51U4","1516905179603","","","","","",""
"45","32","text","3","58658","0.0-3.0","A20ASMCESA51U4","1516905179603","","","","","",""
"66857","32","mine-text","4","125941","0.0-4.0","A20ASMCESA51U4","1516905179603","","","","","",""
"43099","32","text","5","169145","0.0-5.0","A20ASMCESA51U4","1516905179603","","","","","",""
"19575","32","text","6","188825","0.0-6.0","A20ASMCESA51U4","1516905179603","","","","","",""
"17159","32","mine-text","7","206384","0.0-7.0","A20ASMCESA51U4","1516905179603","","","","","",""
"11608","","forage01","8","218114","0.0-8.0-0.0","A20ASMCESA51U4","1516905179603","0","52","gold","0","no mineshafts yet","0"
"23128","","forage01","9","241357","0.0-8.0-1.0","A20ASMCESA51U4","1516905179603","1","51","gold","1000","gold","1000"
"6214","","forage01","10","247683","0.0-8.0-2.0","A20ASMCESA51U4","1516905179603","1","50","gold","1000","gold","2000"
"3561","","forage01","11","251351","0.0-8.0-3.0","A20ASMCESA51U4","1516905179603","1","49","gold","1000","gold","3000"
"3889","","forage01","12","255350","0.0-8.0-4.0","A20ASMCESA51U4","1516905179603","1","48","gold","1000","gold","4000"
"5384","","forage01","13","260843","0.0-8.0-5.0","A20ASMCESA51U4","1516905179603","1","47","gold","1000","gold","5000"
"1911","","forage01","14","262864","0.0-8.0-6.0","A20ASMCESA51U4","1516905179603","1","46","gold","1000","gold","6000"
"2047","","forage01","15","265018","0.0-8.0-7.0","A20ASMCESA51U4","1516905179603","1","45","gold","1000","gold","7000"
"2105","","forage01","16","267226","0.0-8.0-8.0","A20ASMCESA51U4","1516905179603","1","44","gold","1000","gold","8000"
"1996","","forage01","17","269331","0.0-8.0-9.0","A20ASMCESA51U4","1516905179603","1","43","gold","1000","gold","9000"
"1957","","forage01","18","271398","0.0-8.0-10.0","A20ASMCESA51U4","1516905179603","1","42","gold","1000","gold","10000"
"2059","","forage01","19","273584","0.0-8.0-11.0","A20ASMCESA51U4","1516905179603","1","41","gold","1000","gold","11000"
"1220","","forage01","20","274909","0.0-8.0-12.0","A20ASMCESA51U4","1516905179603","1","40","gold","1000","gold","12000"
"1565","","forage01","21","276584","0.0-8.0-13.0","A20ASMCESA51U4","1516905179603","1","39","gold","1000","gold","13000"
"2072","","forage01","22","278764","0.0-8.0-14.0","A20ASMCESA51U4","1516905179603","1","38","gold","1000","gold","14000"
"1404","","forage01","23","280273","0.0-8.0-15.0","A20ASMCESA51U4","1516905179603","1","37","gold","1000","gold","15000"
"1506","","forage01","24","281888","0.0-8.0-16.0","A20ASMCESA51U4","1516905179603","1","36","gold","1000","gold","16000"
"1535","","forage01","25","283533","0.0-8.0-17.0","A20ASMCESA51U4","1516905179603","1","35","gold","1000","gold","17000"
"1710","","forage01","26","285354","0.0-8.0-18.0","A20ASMCESA51U4","1516905179603","1","34","gold","1000","gold","18000"
"1382","","forage01","27","286844","0.0-8.0-19.0","A20ASMCESA51U4","1516905179603","1","33","gold","1000","gold","19000"
"1018","","forage01","28","287973","0.0-8.0-20.0","A20ASMCESA51U4","1516905179603","1","32","gold","1000","gold","20000"
"2417","","forage01","29","290493","0.0-8.0-21.0","A20ASMCESA51U4","1516905179603","1","31","gold","1000","gold","21000"
"1514","","forage01","30","292125","0.0-8.0-22.0","A20ASMCESA51U4","1516905179603","1","30","gold","1000","gold","22000"
"1224","","forage01","31","293462","0.0-8.0-23.0","A20ASMCESA51U4","1516905179603","1","29","gold","1000","gold","23000"
"1527","","forage01","32","295093","0.0-8.0-24.0","A20ASMCESA51U4","1516905179603","1","28","gold","1000","gold","24000"
"1215","","forage01","33","296418","0.0-8.0-25.0","A20ASMCESA51U4","1516905179603","1","27","gold","1000","gold","25000"
"1229","","forage01","34","297754","0.0-8.0-26.0","A20ASMCESA51U4","1516905179603","1","26","gold","1000","gold","26000"
"1174","","forage01","35","299032","0.0-8.0-27.0","A20ASMCESA51U4","1516905179603","1","25","gold","1000","gold","27000"
"1136","","forage01","36","300282","0.0-8.0-28.0","A20ASMCESA51U4","1516905179603","1","24","gold","1000","gold","28000"
"993","","forage01","37","301384","0.0-8.0-29.0","A20ASMCESA51U4","1516905179603","1","23","gold","1000","gold","29000"
"1136","","forage01","38","302624","0.0-8.0-30.0","A20ASMCESA51U4","1516905179603","1","22","gold","1000","gold","30000"
"1554","","forage01","39","304286","0.0-8.0-31.0","A20ASMCESA51U4","1516905179603","1","21","gold","1000","gold","31000"
"977","","forage01","40","305370","0.0-8.0-32.0","A20ASMCESA51U4","1516905179603","1","20","gold","1000","gold","32000"
"1238","","forage01","41","306715","0.0-8.0-33.0","A20ASMCESA51U4","1516905179603","1","19","gold","1000","gold","33000"
"2222","","forage01","42","309045","0.0-8.0-34.0","A20ASMCESA51U4","1516905179603","1","18","gold","1000","gold","34000"
"1354","","forage01","43","310505","0.0-8.0-35.0","A20ASMCESA51U4","1516905179603","1","17","gold","1000","gold","35000"
"2043","","forage01","44","312653","0.0-8.0-36.0","A20ASMCESA51U4","1516905179603","1","16","gold","1000","gold","36000"
"1121","","forage01","45","313880","0.0-8.0-37.0","A20ASMCESA51U4","1516905179603","1","15","gold","1000","gold","37000"
"1207","","forage01","46","315193","0.0-8.0-38.0","A20ASMCESA51U4","1516905179603","1","14","gold","1000","gold","38000"
"1315","","forage01","47","316614","0.0-8.0-39.0","A20ASMCESA51U4","1516905179603","1","13","gold","1000","gold","39000"
"1424","","forage01","48","318142","0.0-8.0-40.0","A20ASMCESA51U4","1516905179603","1","12","gold","1000","gold","40000"
"1314","","forage01","49","319564","0.0-8.0-41.0","A20ASMCESA51U4","1516905179603","1","11","gold","1000","gold","41000"
"1305","","forage01","50","320974","0.0-8.0-42.0","A20ASMCESA51U4","1516905179603","1","10","gold","1000","gold","42000"
"1086","","forage01","51","322165","0.0-8.0-43.0","A20ASMCESA51U4","1516905179603","1","9","gold","1000","gold","43000"
"2748","","forage01","52","325022","0.0-8.0-44.0","A20ASMCESA51U4","1516905179603","0","8","dirt","0","gold","43000"
"8433","","forage01","53","333565","0.0-8.0-45.0","A20ASMCESA51U4","1516905179603","0","7","dirt","0","gold","43000"
"1933","","forage01","54","335606","0.0-8.0-46.0","A20ASMCESA51U4","1516905179603","0","6","dirt","0","gold","43000"
"1576","","forage01","55","337286","0.0-8.0-47.0","A20ASMCESA51U4","1516905179603","1","5","gold","1000","gold","44000"
"1278","","forage01","56","338672","0.0-8.0-48.0","A20ASMCESA51U4","1516905179603","1","4","gold","1000","gold","45000"
"1834","","forage01","57","340611","0.0-8.0-49.0","A20ASMCESA51U4","1516905179603","0","3","dirt","0","gold","45000"
"2046","","forage01","58","342765","0.0-8.0-50.0","A20ASMCESA51U4","1516905179603","0","2","dirt","0","gold","45000"
"3321","","forage01","59","346190","0.0-8.0-51.0","A20ASMCESA51U4","1516905179603","1","1","gold","1000","gold","46000"
