"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"41958","32","text","0","41964","0.0-0.0","A222XREQ12K58P","1517428745309","","","","","",""
"6906","32","text","1","48973","0.0-1.0","A222XREQ12K58P","1517428745309","","","","","",""
"2002","32","text","2","51078","0.0-2.0","A222XREQ12K58P","1517428745309","","","","","",""
"181741","32","text","3","232923","0.0-3.0","A222XREQ12K58P","1517428745309","","","","","",""
"33684","32","mine-text","4","266868","0.0-4.0","A222XREQ12K58P","1517428745309","","","","","",""
"80433","32","text","5","347403","0.0-5.0","A222XREQ12K58P","1517428745309","","","","","",""
"20329","32","text","6","367834","0.0-6.0","A222XREQ12K58P","1517428745309","","","","","",""
"13008","32","mine-text","7","381112","0.0-7.0","A222XREQ12K58P","1517428745309","","","","","",""
"9220","","forage01","8","390441","0.0-8.0-0.0","A222XREQ12K58P","1517428745309","0","52","gold","0","no mineshafts yet","0"
"4470","","forage01","9","395020","0.0-8.0-1.0","A222XREQ12K58P","1517428745309","1","51","gold","1000","gold","1000"
"756","","forage01","10","395881","0.0-8.0-2.0","A222XREQ12K58P","1517428745309","1","50","gold","1000","gold","2000"
"632","","forage01","11","396619","0.0-8.0-3.0","A222XREQ12K58P","1517428745309","1","49","gold","1000","gold","3000"
"595","","forage01","12","397319","0.0-8.0-4.0","A222XREQ12K58P","1517428745309","1","48","gold","1000","gold","4000"
"551","","forage01","13","397975","0.0-8.0-5.0","A222XREQ12K58P","1517428745309","1","47","gold","1000","gold","5000"
"593","","forage01","14","398673","0.0-8.0-6.0","A222XREQ12K58P","1517428745309","1","46","gold","1000","gold","6000"
"654","","forage01","15","399432","0.0-8.0-7.0","A222XREQ12K58P","1517428745309","1","45","gold","1000","gold","7000"
"637","","forage01","16","400172","0.0-8.0-8.0","A222XREQ12K58P","1517428745309","1","44","gold","1000","gold","8000"
"662","","forage01","17","400937","0.0-8.0-9.0","A222XREQ12K58P","1517428745309","1","43","gold","1000","gold","9000"
"600","","forage01","18","401642","0.0-8.0-10.0","A222XREQ12K58P","1517428745309","1","42","gold","1000","gold","10000"
"3699","","forage01","19","405445","0.0-8.0-11.0","A222XREQ12K58P","1517428745309","1","41","gold","1000","gold","11000"
"332","","forage01","20","405882","0.0-8.0-12.0","A222XREQ12K58P","1517428745309","1","40","gold","1000","gold","12000"
"156","","forage01","21","406147","0.0-8.0-13.0","A222XREQ12K58P","1517428745309","1","39","gold","1000","gold","13000"
"125","","forage01","22","406376","0.0-8.0-14.0","A222XREQ12K58P","1517428745309","1","38","gold","1000","gold","14000"
"78","","forage01","23","406560","0.0-8.0-15.0","A222XREQ12K58P","1517428745309","1","37","gold","1000","gold","15000"
"89","","forage01","24","406756","0.0-8.0-16.0","A222XREQ12K58P","1517428745309","1","36","gold","1000","gold","16000"
"78","","forage01","25","406939","0.0-8.0-17.0","A222XREQ12K58P","1517428745309","1","35","gold","1000","gold","17000"
"70","","forage01","26","407115","0.0-8.0-18.0","A222XREQ12K58P","1517428745309","1","34","gold","1000","gold","18000"
"224","","forage01","27","407446","0.0-8.0-19.0","A222XREQ12K58P","1517428745309","1","33","gold","1000","gold","19000"
"223","","forage01","28","407774","0.0-8.0-20.0","A222XREQ12K58P","1517428745309","1","32","gold","1000","gold","20000"
"234","","forage01","29","408113","0.0-8.0-21.0","A222XREQ12K58P","1517428745309","1","31","gold","1000","gold","21000"
"217","","forage01","30","408436","0.0-8.0-22.0","A222XREQ12K58P","1517428745309","1","30","gold","1000","gold","22000"
"220","","forage01","31","408763","0.0-8.0-23.0","A222XREQ12K58P","1517428745309","1","29","gold","1000","gold","23000"
"280","","forage01","32","409148","0.0-8.0-24.0","A222XREQ12K58P","1517428745309","1","28","gold","1000","gold","24000"
"140","","forage01","33","409394","0.0-8.0-25.0","A222XREQ12K58P","1517428745309","1","27","gold","1000","gold","25000"
"75","","forage01","34","409575","0.0-8.0-26.0","A222XREQ12K58P","1517428745309","1","26","gold","1000","gold","26000"
"83","","forage01","35","409763","0.0-8.0-27.0","A222XREQ12K58P","1517428745309","1","25","gold","1000","gold","27000"
"70","","forage01","36","409939","0.0-8.0-28.0","A222XREQ12K58P","1517428745309","1","24","gold","1000","gold","28000"
"73","","forage01","37","410117","0.0-8.0-29.0","A222XREQ12K58P","1517428745309","1","23","gold","1000","gold","29000"
"53","","forage01","38","410279","0.0-8.0-30.0","A222XREQ12K58P","1517428745309","1","22","gold","1000","gold","30000"
"236","","forage01","39","410621","0.0-8.0-31.0","A222XREQ12K58P","1517428745309","1","21","gold","1000","gold","31000"
"236","","forage01","40","410962","0.0-8.0-32.0","A222XREQ12K58P","1517428745309","1","20","gold","1000","gold","32000"
"244","","forage01","41","411311","0.0-8.0-33.0","A222XREQ12K58P","1517428745309","1","19","gold","1000","gold","33000"
"229","","forage01","42","411644","0.0-8.0-34.0","A222XREQ12K58P","1517428745309","1","18","gold","1000","gold","34000"
"229","","forage01","43","411978","0.0-8.0-35.0","A222XREQ12K58P","1517428745309","1","17","gold","1000","gold","35000"
"238","","forage01","44","412322","0.0-8.0-36.0","A222XREQ12K58P","1517428745309","1","16","gold","1000","gold","36000"
"236","","forage01","45","412660","0.0-8.0-37.0","A222XREQ12K58P","1517428745309","1","15","gold","1000","gold","37000"
"429","","forage01","46","413194","0.0-8.0-38.0","A222XREQ12K58P","1517428745309","1","14","gold","1000","gold","38000"
"243","","forage01","47","413542","0.0-8.0-39.0","A222XREQ12K58P","1517428745309","1","13","gold","1000","gold","39000"
"244","","forage01","48","413892","0.0-8.0-40.0","A222XREQ12K58P","1517428745309","1","12","gold","1000","gold","40000"
"249","","forage01","49","414247","0.0-8.0-41.0","A222XREQ12K58P","1517428745309","1","11","gold","1000","gold","41000"
"247","","forage01","50","414600","0.0-8.0-42.0","A222XREQ12K58P","1517428745309","1","10","gold","1000","gold","42000"
"76","","forage01","51","414781","0.0-8.0-43.0","A222XREQ12K58P","1517428745309","1","9","gold","1000","gold","43000"
"256","","forage01","52","415142","0.0-8.0-44.0","A222XREQ12K58P","1517428745309","1","8","gold","1000","gold","44000"
"72","","forage01","53","415320","0.0-8.0-45.0","A222XREQ12K58P","1517428745309","1","7","gold","1000","gold","45000"
"249","","forage01","54","415674","0.0-8.0-46.0","A222XREQ12K58P","1517428745309","1","6","gold","1000","gold","46000"
"83","","forage01","55","415866","0.0-8.0-47.0","A222XREQ12K58P","1517428745309","1","5","gold","1000","gold","47000"
"71","","forage01","56","416042","0.0-8.0-48.0","A222XREQ12K58P","1517428745309","1","4","gold","1000","gold","48000"
"85","","forage01","57","416232","0.0-8.0-49.0","A222XREQ12K58P","1517428745309","1","3","gold","1000","gold","49000"
"265","","forage01","58","416599","0.0-8.0-50.0","A222XREQ12K58P","1517428745309","1","2","gold","1000","gold","50000"
"405","","forage01","59","417109","0.0-8.0-51.0","A222XREQ12K58P","1517428745309","1","1","gold","1000","gold","51000"
"3615","32","mine-text","60","420981","0.0-9.0","A222XREQ12K58P","1517428745309","","","","","",""
"1631","","forage01","61","422718","0.0-10.0-0.0","A222XREQ12K58P","1517428745309","0","52","dirt","0","no mineshafts yet","0"
"1476","","forage01","62","424299","0.0-10.0-1.0","A222XREQ12K58P","1517428745309","0","51","dirt","0","dirt","0"
"609","","forage01","63","425013","0.0-10.0-2.0","A222XREQ12K58P","1517428745309","0","50","gold","0","dirt","0"
"1385","","forage01","64","426504","0.0-10.0-3.0","A222XREQ12K58P","1517428745309","1","49","gold","1000","gold","1000"
"379","","forage01","65","426989","0.0-10.0-4.0","A222XREQ12K58P","1517428745309","1","48","gold","1000","gold","2000"
"384","","forage01","66","427479","0.0-10.0-5.0","A222XREQ12K58P","1517428745309","1","47","gold","1000","gold","3000"
"398","","forage01","67","427982","0.0-10.0-6.0","A222XREQ12K58P","1517428745309","1","46","gold","1000","gold","4000"
"382","","forage01","68","428470","0.0-10.0-7.0","A222XREQ12K58P","1517428745309","1","45","gold","1000","gold","5000"
"353","","forage01","69","428929","0.0-10.0-8.0","A222XREQ12K58P","1517428745309","1","44","gold","1000","gold","6000"
"352","","forage01","70","429387","0.0-10.0-9.0","A222XREQ12K58P","1517428745309","1","43","gold","1000","gold","7000"
"339","","forage01","71","429832","0.0-10.0-10.0","A222XREQ12K58P","1517428745309","1","42","gold","1000","gold","8000"
"340","","forage01","72","430277","0.0-10.0-11.0","A222XREQ12K58P","1517428745309","1","41","gold","1000","gold","9000"
"358","","forage01","73","430740","0.0-10.0-12.0","A222XREQ12K58P","1517428745309","1","40","gold","1000","gold","10000"
"747","","forage01","74","431594","0.0-10.0-13.0","A222XREQ12K58P","1517428745309","1","39","gold","1000","gold","11000"
"149","","forage01","75","431848","0.0-10.0-14.0","A222XREQ12K58P","1517428745309","1","38","gold","1000","gold","12000"
