"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"5861","32","text","0","5865","0.0-0.0","A22JBMOHQKHTSS","1516904749640","","","","","",""
"3462","32","text","1","9433","0.0-1.0","A22JBMOHQKHTSS","1516904749640","","","","","",""
"4730","32","text","2","14266","0.0-2.0","A22JBMOHQKHTSS","1516904749640","","","","","",""
"40946","32","text","3","55316","0.0-3.0","A22JBMOHQKHTSS","1516904749640","","","","","",""
"30953","32","mine-text","4","86530","0.0-4.0","A22JBMOHQKHTSS","1516904749640","","","","","",""
"42679","32","text","5","129312","0.0-5.0","A22JBMOHQKHTSS","1516904749640","","","","","",""
"15226","32","text","6","144640","0.0-6.0","A22JBMOHQKHTSS","1516904749640","","","","","",""
"9544","32","mine-text","7","154442","0.0-7.0","A22JBMOHQKHTSS","1516904749640","","","","","",""
"6494","","forage01","8","161039","0.0-8.0-0.0","A22JBMOHQKHTSS","1516904749640","0","52","dirt","0","no mineshafts yet","0"
"4650","","forage01","9","165795","0.0-8.0-1.0","A22JBMOHQKHTSS","1516904749640","1","51","dirt","0","dirt","0"
"2286","","forage01","10","168183","0.0-8.0-2.0","A22JBMOHQKHTSS","1516904749640","1","50","dirt","0","dirt","0"
"817","","forage01","11","169105","0.0-8.0-3.0","A22JBMOHQKHTSS","1516904749640","0","49","dirt","0","dirt","0"
"961","","forage01","12","170169","0.0-8.0-4.0","A22JBMOHQKHTSS","1516904749640","0","48","gold","0","dirt","0"
"7200","","forage01","13","177472","0.0-8.0-5.0","A22JBMOHQKHTSS","1516904749640","0","47","gold","0","gold","0"
"1931","","forage01","14","179508","0.0-8.0-6.0","A22JBMOHQKHTSS","1516904749640","0","46","gold","0","gold","0"
"2021","","forage01","15","181634","0.0-8.0-7.0","A22JBMOHQKHTSS","1516904749640","0","45","dirt","0","gold","0"
"599","","forage01","16","182337","0.0-8.0-8.0","A22JBMOHQKHTSS","1516904749640","0","44","dirt","0","gold","0"
"456","","forage01","17","182898","0.0-8.0-9.0","A22JBMOHQKHTSS","1516904749640","0","43","dirt","0","gold","0"
"457","","forage01","18","183460","0.0-8.0-10.0","A22JBMOHQKHTSS","1516904749640","0","42","dirt","0","gold","0"
"477","","forage01","19","184042","0.0-8.0-11.0","A22JBMOHQKHTSS","1516904749640","0","41","gold","0","gold","0"
"1459","","forage01","20","185607","0.0-8.0-12.0","A22JBMOHQKHTSS","1516904749640","1","40","gold","1000","gold","1000"
"2141","","forage01","21","187854","0.0-8.0-13.0","A22JBMOHQKHTSS","1516904749640","0","39","dirt","0","gold","1000"
"555","","forage01","22","188516","0.0-8.0-14.0","A22JBMOHQKHTSS","1516904749640","0","38","dirt","0","gold","1000"
"828","","forage01","23","189450","0.0-8.0-15.0","A22JBMOHQKHTSS","1516904749640","0","37","gold","0","gold","1000"
"636","","forage01","24","190192","0.0-8.0-16.0","A22JBMOHQKHTSS","1516904749640","0","36","gold","0","gold","1000"
"495","","forage01","25","190794","0.0-8.0-17.0","A22JBMOHQKHTSS","1516904749640","0","35","dirt","0","gold","1000"
"544","","forage01","26","191446","0.0-8.0-18.0","A22JBMOHQKHTSS","1516904749640","0","34","dirt","0","gold","1000"
"454","","forage01","27","192008","0.0-8.0-19.0","A22JBMOHQKHTSS","1516904749640","0","33","gold","0","gold","1000"
"1401","","forage01","28","193513","0.0-8.0-20.0","A22JBMOHQKHTSS","1516904749640","0","32","dirt","0","gold","1000"
"518","","forage01","29","194135","0.0-8.0-21.0","A22JBMOHQKHTSS","1516904749640","0","31","dirt","0","gold","1000"
"401","","forage01","30","194647","0.0-8.0-22.0","A22JBMOHQKHTSS","1516904749640","0","30","dirt","0","gold","1000"
"474","","forage01","31","195229","0.0-8.0-23.0","A22JBMOHQKHTSS","1516904749640","0","29","dirt","0","gold","1000"
"452","","forage01","32","195790","0.0-8.0-24.0","A22JBMOHQKHTSS","1516904749640","0","28","dirt","0","gold","1000"
"422","","forage01","33","196322","0.0-8.0-25.0","A22JBMOHQKHTSS","1516904749640","0","27","dirt","0","gold","1000"
"455","","forage01","34","196884","0.0-8.0-26.0","A22JBMOHQKHTSS","1516904749640","0","26","dirt","0","gold","1000"
"993","","forage01","35","197987","0.0-8.0-27.0","A22JBMOHQKHTSS","1516904749640","0","25","dirt","0","gold","1000"
"399","","forage01","36","198489","0.0-8.0-28.0","A22JBMOHQKHTSS","1516904749640","0","24","dirt","0","gold","1000"
"393","","forage01","37","198991","0.0-8.0-29.0","A22JBMOHQKHTSS","1516904749640","0","23","gold","0","gold","1000"
"636","","forage01","38","199733","0.0-8.0-30.0","A22JBMOHQKHTSS","1516904749640","0","22","dirt","0","gold","1000"
"575","","forage01","39","200426","0.0-8.0-31.0","A22JBMOHQKHTSS","1516904749640","0","21","dirt","0","gold","1000"
"843","","forage01","40","201378","0.0-8.0-32.0","A22JBMOHQKHTSS","1516904749640","1","20","gold","1000","gold","2000"
"371","","forage01","41","201861","0.0-8.0-33.0","A22JBMOHQKHTSS","1516904749640","1","19","gold","1000","gold","3000"
"331","","forage01","42","202302","0.0-8.0-34.0","A22JBMOHQKHTSS","1516904749640","1","18","gold","1000","gold","4000"
"309","","forage01","43","202722","0.0-8.0-35.0","A22JBMOHQKHTSS","1516904749640","1","17","gold","1000","gold","5000"
"283","","forage01","44","203114","0.0-8.0-36.0","A22JBMOHQKHTSS","1516904749640","1","16","gold","1000","gold","6000"
"291","","forage01","45","203516","0.0-8.0-37.0","A22JBMOHQKHTSS","1516904749640","1","15","gold","1000","gold","7000"
"270","","forage01","46","203896","0.0-8.0-38.0","A22JBMOHQKHTSS","1516904749640","1","14","gold","1000","gold","8000"
"240","","forage01","47","204247","0.0-8.0-39.0","A22JBMOHQKHTSS","1516904749640","1","13","gold","1000","gold","9000"
"211","","forage01","48","204569","0.0-8.0-40.0","A22JBMOHQKHTSS","1516904749640","1","12","gold","1000","gold","10000"
"173","","forage01","49","204849","0.0-8.0-41.0","A22JBMOHQKHTSS","1516904749640","1","11","gold","1000","gold","11000"
"168","","forage01","50","205130","0.0-8.0-42.0","A22JBMOHQKHTSS","1516904749640","1","10","gold","1000","gold","12000"
"220","","forage01","51","205461","0.0-8.0-43.0","A22JBMOHQKHTSS","1516904749640","1","9","gold","1000","gold","13000"
"170","","forage01","52","205742","0.0-8.0-44.0","A22JBMOHQKHTSS","1516904749640","1","8","gold","1000","gold","14000"
"171","","forage01","53","206023","0.0-8.0-45.0","A22JBMOHQKHTSS","1516904749640","1","7","gold","1000","gold","15000"
"221","","forage01","54","206354","0.0-8.0-46.0","A22JBMOHQKHTSS","1516904749640","1","6","gold","1000","gold","16000"
"511","","forage01","55","206976","0.0-8.0-47.0","A22JBMOHQKHTSS","1516904749640","1","5","gold","1000","gold","17000"
"241","","forage01","56","207328","0.0-8.0-48.0","A22JBMOHQKHTSS","1516904749640","1","4","gold","1000","gold","18000"
"251","","forage01","57","207690","0.0-8.0-49.0","A22JBMOHQKHTSS","1516904749640","1","3","gold","1000","gold","19000"
"299","","forage01","58","208099","0.0-8.0-50.0","A22JBMOHQKHTSS","1516904749640","1","2","gold","1000","gold","20000"
"596","","forage01","59","208802","0.0-8.0-51.0","A22JBMOHQKHTSS","1516904749640","1","1","gold","1000","gold","21000"
"4702","32","mine-text","60","213761","0.0-9.0","A22JBMOHQKHTSS","1516904749640","","","","","",""
