"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"5298","32","text","0","5302","0.0-0.0","A27CNO4K5K6V5R","1517429568922","","","","","",""
"2799","32","text","1","8204","0.0-1.0","A27CNO4K5K6V5R","1517429568922","","","","","",""
"2235","32","text","2","10540","0.0-2.0","A27CNO4K5K6V5R","1517429568922","","","","","",""
"16082","32","text","3","26724","0.0-3.0","A27CNO4K5K6V5R","1517429568922","","","","","",""
"21516","32","mine-text","4","48506","0.0-4.0","A27CNO4K5K6V5R","1517429568922","","","","","",""
"7370","32","text","5","55977","0.0-5.0","A27CNO4K5K6V5R","1517429568922","","","","","",""
"6706","32","text","6","62785","0.0-6.0","A27CNO4K5K6V5R","1517429568922","","","","","",""
"8555","32","mine-text","7","71663","0.0-7.0","A27CNO4K5K6V5R","1517429568922","","","","","",""
"8777","","forage01","8","80544","0.0-8.0-0.0","A27CNO4K5K6V5R","1517429568922","0","52","gold","0","no mineshafts yet","0"
"10008","","forage01","9","90656","0.0-8.0-1.0","A27CNO4K5K6V5R","1517429568922","0","51","dirt","0","gold","0"
"1647","","forage01","10","92406","0.0-8.0-2.0","A27CNO4K5K6V5R","1517429568922","0","50","gold","0","gold","0"
"1303","","forage01","11","93816","0.0-8.0-3.0","A27CNO4K5K6V5R","1517429568922","1","49","gold","1000","gold","1000"
"1943","","forage01","12","95864","0.0-8.0-4.0","A27CNO4K5K6V5R","1517429568922","1","48","gold","1000","gold","2000"
"14039","","forage01","13","110007","0.0-8.0-5.0","A27CNO4K5K6V5R","1517429568922","1","47","gold","1000","gold","3000"
"845","","forage01","14","110958","0.0-8.0-6.0","A27CNO4K5K6V5R","1517429568922","1","46","gold","1000","gold","4000"
"709","","forage01","15","111774","0.0-8.0-7.0","A27CNO4K5K6V5R","1517429568922","1","45","gold","1000","gold","5000"
"519","","forage01","16","112399","0.0-8.0-8.0","A27CNO4K5K6V5R","1517429568922","1","44","gold","1000","gold","6000"
"428","","forage01","17","112933","0.0-8.0-9.0","A27CNO4K5K6V5R","1517429568922","1","43","gold","1000","gold","7000"
"760","","forage01","18","113797","0.0-8.0-10.0","A27CNO4K5K6V5R","1517429568922","1","42","gold","1000","gold","8000"
"783","","forage01","19","114687","0.0-8.0-11.0","A27CNO4K5K6V5R","1517429568922","1","41","gold","1000","gold","9000"
"446","","forage01","20","115237","0.0-8.0-12.0","A27CNO4K5K6V5R","1517429568922","0","40","dirt","0","gold","9000"
"626","","forage01","21","115965","0.0-8.0-13.0","A27CNO4K5K6V5R","1517429568922","0","39","dirt","0","gold","9000"
"393","","forage01","22","116463","0.0-8.0-14.0","A27CNO4K5K6V5R","1517429568922","0","38","dirt","0","gold","9000"
"763","","forage01","23","117332","0.0-8.0-15.0","A27CNO4K5K6V5R","1517429568922","0","37","dirt","0","gold","9000"
"370","","forage01","24","117805","0.0-8.0-16.0","A27CNO4K5K6V5R","1517429568922","0","36","dirt","0","gold","9000"
"529","","forage01","25","118440","0.0-8.0-17.0","A27CNO4K5K6V5R","1517429568922","0","35","dirt","0","gold","9000"
"1073","","forage01","26","119621","0.0-8.0-18.0","A27CNO4K5K6V5R","1517429568922","1","34","gold","1000","gold","10000"
"984","","forage01","27","120709","0.0-8.0-19.0","A27CNO4K5K6V5R","1517429568922","1","33","gold","1000","gold","11000"
"350","","forage01","28","121166","0.0-8.0-20.0","A27CNO4K5K6V5R","1517429568922","0","32","diamond","0","gold","11000"
"384","","forage01","29","121654","0.0-8.0-21.0","A27CNO4K5K6V5R","1517429568922","0","31","dirt","0","diamond","11000"
"136","","forage01","30","121894","0.0-8.0-22.0","A27CNO4K5K6V5R","1517429568922","0","30","dirt","0","diamond","11000"
"70","","forage01","31","122068","0.0-8.0-23.0","A27CNO4K5K6V5R","1517429568922","0","29","dirt","0","diamond","11000"
"420","","forage01","32","122596","0.0-8.0-24.0","A27CNO4K5K6V5R","1517429568922","0","28","gold","0","diamond","11000"
"806","","forage01","33","123507","0.0-8.0-25.0","A27CNO4K5K6V5R","1517429568922","1","27","diamond","100000","diamond","111000"
"2274","","forage01","34","125890","0.0-8.0-26.0","A27CNO4K5K6V5R","1517429568922","1","26","diamond","100000","diamond","211000"
"440","","forage01","35","126434","0.0-8.0-27.0","A27CNO4K5K6V5R","1517429568922","1","25","diamond","100000","diamond","311000"
"1482","","forage01","36","128019","0.0-8.0-28.0","A27CNO4K5K6V5R","1517429568922","1","24","diamond","100000","diamond","411000"
"903","","forage01","37","129029","0.0-8.0-29.0","A27CNO4K5K6V5R","1517429568922","1","23","diamond","100000","diamond","511000"
"553","","forage01","38","129691","0.0-8.0-30.0","A27CNO4K5K6V5R","1517429568922","1","22","diamond","100000","diamond","611000"
"373","","forage01","39","130171","0.0-8.0-31.0","A27CNO4K5K6V5R","1517429568922","1","21","diamond","100000","diamond","711000"
"350","","forage01","40","130628","0.0-8.0-32.0","A27CNO4K5K6V5R","1517429568922","1","20","diamond","100000","diamond","811000"
