"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"36413","32","text","0","36431","0.0-0.0","A27ZE20JZ3VDUP","1516905186148","","","","","",""
"2207","32","text","1","38743","0.0-1.0","A27ZE20JZ3VDUP","1516905186148","","","","","",""
"721","32","text","2","39567","0.0-2.0","A27ZE20JZ3VDUP","1516905186148","","","","","",""
"1347","32","text","3","41018","0.0-3.0","A27ZE20JZ3VDUP","1516905186148","","","","","",""
"5277","32","mine-text","4","47224","0.0-4.0","A27ZE20JZ3VDUP","1516905186148","","","","","",""
"7063","32","text","5","54392","0.0-5.0","A27ZE20JZ3VDUP","1516905186148","","","","","",""
"2505","32","text","6","57000","0.0-6.0","A27ZE20JZ3VDUP","1516905186148","","","","","",""
"17552","32","mine-text","7","75848","0.0-7.0","A27ZE20JZ3VDUP","1516905186148","","","","","",""
"2647","","forage01","8","78608","0.0-8.0-0.0","A27ZE20JZ3VDUP","1516905186148","0","52","dirt","0","no mineshafts yet","0"
"1514","","forage01","9","80232","0.0-8.0-1.0","A27ZE20JZ3VDUP","1516905186148","0","51","gold","0","dirt","0"
"723","","forage01","10","81064","0.0-8.0-2.0","A27ZE20JZ3VDUP","1516905186148","1","50","gold","1000","gold","1000"
"1228","","forage01","11","82399","0.0-8.0-3.0","A27ZE20JZ3VDUP","1516905186148","1","49","gold","1000","gold","2000"
"408","","forage01","12","82918","0.0-8.0-4.0","A27ZE20JZ3VDUP","1516905186148","0","48","dirt","0","gold","2000"
"475","","forage01","13","83502","0.0-8.0-5.0","A27ZE20JZ3VDUP","1516905186148","1","47","gold","1000","gold","3000"
"979","","forage01","14","84589","0.0-8.0-6.0","A27ZE20JZ3VDUP","1516905186148","1","46","gold","1000","gold","4000"
"404","","forage01","15","85103","0.0-8.0-7.0","A27ZE20JZ3VDUP","1516905186148","1","45","gold","1000","gold","5000"
"72","","forage01","16","85283","0.0-8.0-8.0","A27ZE20JZ3VDUP","1516905186148","1","44","gold","1000","gold","6000"
"244","","forage01","17","85634","0.0-8.0-9.0","A27ZE20JZ3VDUP","1516905186148","1","43","gold","1000","gold","7000"
"1377","","forage01","18","87119","0.0-8.0-10.0","A27ZE20JZ3VDUP","1516905186148","0","42","dirt","0","gold","7000"
"362","","forage01","19","87591","0.0-8.0-11.0","A27ZE20JZ3VDUP","1516905186148","1","41","gold","1000","gold","8000"
"464","","forage01","20","88164","0.0-8.0-12.0","A27ZE20JZ3VDUP","1516905186148","0","40","gold","0","gold","8000"
"280","","forage01","21","88555","0.0-8.0-13.0","A27ZE20JZ3VDUP","1516905186148","1","39","gold","1000","gold","9000"
"1045","","forage01","22","89712","0.0-8.0-14.0","A27ZE20JZ3VDUP","1516905186148","1","38","gold","1000","gold","10000"
"251","","forage01","23","90070","0.0-8.0-15.0","A27ZE20JZ3VDUP","1516905186148","0","37","dirt","0","gold","10000"
"330","","forage01","24","90510","0.0-8.0-16.0","A27ZE20JZ3VDUP","1516905186148","1","36","gold","1000","gold","11000"
"348","","forage01","25","90970","0.0-8.0-17.0","A27ZE20JZ3VDUP","1516905186148","1","35","gold","1000","gold","12000"
"633","","forage01","26","91710","0.0-8.0-18.0","A27ZE20JZ3VDUP","1516905186148","0","34","gold","0","gold","12000"
"408","","forage01","27","92229","0.0-8.0-19.0","A27ZE20JZ3VDUP","1516905186148","1","33","gold","1000","gold","13000"
"197","","forage01","28","92534","0.0-8.0-20.0","A27ZE20JZ3VDUP","1516905186148","0","32","dirt","0","gold","13000"
"323","","forage01","29","92967","0.0-8.0-21.0","A27ZE20JZ3VDUP","1516905186148","1","31","gold","1000","gold","14000"
"203","","forage01","30","93279","0.0-8.0-22.0","A27ZE20JZ3VDUP","1516905186148","0","30","gold","0","gold","14000"
"193","","forage01","31","93583","0.0-8.0-23.0","A27ZE20JZ3VDUP","1516905186148","1","29","gold","1000","gold","15000"
"179","","forage01","32","93870","0.0-8.0-24.0","A27ZE20JZ3VDUP","1516905186148","0","28","diamond","0","gold","15000"
"168","","forage01","33","94147","0.0-8.0-25.0","A27ZE20JZ3VDUP","1516905186148","1","27","diamond","100000","diamond","115000"
"134","","forage01","34","94416","0.0-8.0-26.0","A27ZE20JZ3VDUP","1516905186148","0","26","gold","0","diamond","115000"
"180","","forage01","35","94706","0.0-8.0-27.0","A27ZE20JZ3VDUP","1516905186148","1","25","diamond","100000","diamond","215000"
"136","","forage01","36","94963","0.0-8.0-28.0","A27ZE20JZ3VDUP","1516905186148","0","24","dirt","0","diamond","215000"
"191","","forage01","37","95268","0.0-8.0-29.0","A27ZE20JZ3VDUP","1516905186148","1","23","diamond","100000","diamond","315000"
"136","","forage01","38","95515","0.0-8.0-30.0","A27ZE20JZ3VDUP","1516905186148","0","22","gold","0","diamond","315000"
"151","","forage01","39","95775","0.0-8.0-31.0","A27ZE20JZ3VDUP","1516905186148","1","21","diamond","100000","diamond","415000"
"164","","forage01","40","96055","0.0-8.0-32.0","A27ZE20JZ3VDUP","1516905186148","0","20","gold","0","diamond","415000"
"153","","forage01","41","96324","0.0-8.0-33.0","A27ZE20JZ3VDUP","1516905186148","1","19","diamond","100000","diamond","515000"
"151","","forage01","42","96590","0.0-8.0-34.0","A27ZE20JZ3VDUP","1516905186148","0","18","dirt","0","diamond","515000"
"139","","forage01","43","96846","0.0-8.0-35.0","A27ZE20JZ3VDUP","1516905186148","1","17","diamond","100000","diamond","615000"
"3662","","forage01","44","100637","0.0-8.0-36.0","A27ZE20JZ3VDUP","1516905186148","0","16","gold","0","diamond","615000"
"123","","forage01","45","100875","0.0-8.0-37.0","A27ZE20JZ3VDUP","1516905186148","1","15","diamond","100000","diamond","715000"
"445","","forage01","46","101436","0.0-8.0-38.0","A27ZE20JZ3VDUP","1516905186148","0","14","gold","0","diamond","715000"
"240","","forage01","47","101791","0.0-8.0-39.0","A27ZE20JZ3VDUP","1516905186148","1","13","diamond","100000","diamond","815000"
"331","","forage01","48","102238","0.0-8.0-40.0","A27ZE20JZ3VDUP","1516905186148","0","12","dirt","0","diamond","815000"
