"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"293321","32","text","0","293331","0.0-0.0","A2BZY06YRWGEDL","1516914367412","","","","","",""
"2431","32","text","1","295873","0.0-1.0","A2BZY06YRWGEDL","1516914367412","","","","","",""
"1337","32","text","2","297419","0.0-2.0","A2BZY06YRWGEDL","1516914367412","","","","","",""
"26365","32","text","3","323902","0.0-3.0","A2BZY06YRWGEDL","1516914367412","","","","","",""
"34274","32","mine-text","4","367107","0.0-4.0","A2BZY06YRWGEDL","1516914367412","","","","","",""
"48595","32","text","5","415809","0.0-5.0","A2BZY06YRWGEDL","1516914367412","","","","","",""
"11260","32","text","6","427177","0.0-6.0","A2BZY06YRWGEDL","1516914367412","","","","","",""
"14163","32","mine-text","7","447263","0.0-7.0","A2BZY06YRWGEDL","1516914367412","","","","","",""
"6447","","forage01","8","453994","0.0-8.0-0.0","A2BZY06YRWGEDL","1516914367412","0","52","dirt","0","no mineshafts yet","0"
"8275","","forage01","9","462392","0.0-8.0-1.0","A2BZY06YRWGEDL","1516914367412","0","51","gold","0","dirt","0"
"2632","","forage01","10","465156","0.0-8.0-2.0","A2BZY06YRWGEDL","1516914367412","1","50","gold","1000","gold","1000"
"1626","","forage01","11","466901","0.0-8.0-3.0","A2BZY06YRWGEDL","1516914367412","1","49","gold","1000","gold","2000"
"1991","","forage01","12","469004","0.0-8.0-4.0","A2BZY06YRWGEDL","1516914367412","1","48","gold","1000","gold","3000"
"3495","","forage01","13","472618","0.0-8.0-5.0","A2BZY06YRWGEDL","1516914367412","1","47","gold","1000","gold","4000"
"846","","forage01","14","473713","0.0-8.0-6.0","A2BZY06YRWGEDL","1516914367412","1","46","gold","1000","gold","5000"
"510","","forage01","15","474336","0.0-8.0-7.0","A2BZY06YRWGEDL","1516914367412","1","45","gold","1000","gold","6000"
"373","","forage01","16","474824","0.0-8.0-8.0","A2BZY06YRWGEDL","1516914367412","1","44","gold","1000","gold","7000"
"252","","forage01","17","475192","0.0-8.0-9.0","A2BZY06YRWGEDL","1516914367412","1","43","gold","1000","gold","8000"
"265","","forage01","18","475570","0.0-8.0-10.0","A2BZY06YRWGEDL","1516914367412","1","42","gold","1000","gold","9000"
"250","","forage01","19","475947","0.0-8.0-11.0","A2BZY06YRWGEDL","1516914367412","1","41","gold","1000","gold","10000"
"234","","forage01","20","476295","0.0-8.0-12.0","A2BZY06YRWGEDL","1516914367412","1","40","gold","1000","gold","11000"
"275","","forage01","21","476680","0.0-8.0-13.0","A2BZY06YRWGEDL","1516914367412","1","39","gold","1000","gold","12000"
"132","","forage01","22","476923","0.0-8.0-14.0","A2BZY06YRWGEDL","1516914367412","1","38","gold","1000","gold","13000"
"163","","forage01","23","477199","0.0-8.0-15.0","A2BZY06YRWGEDL","1516914367412","1","37","gold","1000","gold","14000"
"137","","forage01","24","477447","0.0-8.0-16.0","A2BZY06YRWGEDL","1516914367412","1","36","gold","1000","gold","15000"
"97","","forage01","25","477657","0.0-8.0-17.0","A2BZY06YRWGEDL","1516914367412","1","35","gold","1000","gold","16000"
"221","","forage01","26","478000","0.0-8.0-18.0","A2BZY06YRWGEDL","1516914367412","1","34","gold","1000","gold","17000"
"297","","forage01","27","478410","0.0-8.0-19.0","A2BZY06YRWGEDL","1516914367412","1","33","gold","1000","gold","18000"
"269","","forage01","28","478792","0.0-8.0-20.0","A2BZY06YRWGEDL","1516914367412","1","32","gold","1000","gold","19000"
"310","","forage01","29","479215","0.0-8.0-21.0","A2BZY06YRWGEDL","1516914367412","1","31","gold","1000","gold","20000"
"265","","forage01","30","479591","0.0-8.0-22.0","A2BZY06YRWGEDL","1516914367412","1","30","gold","1000","gold","21000"
"204","","forage01","31","479911","0.0-8.0-23.0","A2BZY06YRWGEDL","1516914367412","1","29","gold","1000","gold","22000"
"119","","forage01","32","480191","0.0-8.0-24.0","A2BZY06YRWGEDL","1516914367412","1","28","gold","1000","gold","23000"
"217","","forage01","33","480519","0.0-8.0-25.0","A2BZY06YRWGEDL","1516914367412","1","27","gold","1000","gold","24000"
"157","","forage01","34","480792","0.0-8.0-26.0","A2BZY06YRWGEDL","1516914367412","1","26","gold","1000","gold","25000"
