"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","button_pressed","trials_remaining","resource_choice","resource_choice_value","best_resource","total_earnings"
"106856","32","text","0","106860","0.0-0.0","A2CF2BD4Q0ZDJN","1517428930212","","","","","",""
"3369","32","text","1","110331","0.0-1.0","A2CF2BD4Q0ZDJN","1517428930212","","","","","",""
"2562","32","text","2","112995","0.0-2.0","A2CF2BD4Q0ZDJN","1517428930212","","","","","",""
"246096","32","text","3","359195","0.0-3.0","A2CF2BD4Q0ZDJN","1517428930212","","","","","",""
"52822","32","mine-text","4","412323","0.0-4.0","A2CF2BD4Q0ZDJN","1517428930212","","","","","",""
"38115","32","text","5","450540","0.0-5.0","A2CF2BD4Q0ZDJN","1517428930212","","","","","",""
"5052","32","text","6","455694","0.0-6.0","A2CF2BD4Q0ZDJN","1517428930212","","","","","",""
"5900","32","mine-text","7","461906","0.0-7.0","A2CF2BD4Q0ZDJN","1517428930212","","","","","",""
"4962","","forage01","8","466972","0.0-8.0-0.0","A2CF2BD4Q0ZDJN","1517428930212","0","52","dirt","0","no mineshafts yet","0"
"3471","","forage01","9","470547","0.0-8.0-1.0","A2CF2BD4Q0ZDJN","1517428930212","0","51","dirt","0","dirt","0"
"1161","","forage01","10","471811","0.0-8.0-2.0","A2CF2BD4Q0ZDJN","1517428930212","0","50","dirt","0","dirt","0"
"1376","","forage01","11","473291","0.0-8.0-3.0","A2CF2BD4Q0ZDJN","1517428930212","0","49","dirt","0","dirt","0"
"1817","","forage01","12","475211","0.0-8.0-4.0","A2CF2BD4Q0ZDJN","1517428930212","0","48","dirt","0","dirt","0"
"1927","","forage01","13","477244","0.0-8.0-5.0","A2CF2BD4Q0ZDJN","1517428930212","0","47","dirt","0","dirt","0"
"1831","","forage01","14","479179","0.0-8.0-6.0","A2CF2BD4Q0ZDJN","1517428930212","0","46","gold","0","dirt","0"
"7866","","forage01","15","487149","0.0-8.0-7.0","A2CF2BD4Q0ZDJN","1517428930212","0","45","dirt","0","gold","0"
"1060","","forage01","16","488315","0.0-8.0-8.0","A2CF2BD4Q0ZDJN","1517428930212","0","44","gold","0","gold","0"
"2729","","forage01","17","491147","0.0-8.0-9.0","A2CF2BD4Q0ZDJN","1517428930212","0","43","dirt","0","gold","0"
"2135","","forage01","18","493387","0.0-8.0-10.0","A2CF2BD4Q0ZDJN","1517428930212","0","42","dirt","0","gold","0"
"1433","","forage01","19","494923","0.0-8.0-11.0","A2CF2BD4Q0ZDJN","1517428930212","0","41","dirt","0","gold","0"
"881","","forage01","20","495907","0.0-8.0-12.0","A2CF2BD4Q0ZDJN","1517428930212","0","40","dirt","0","gold","0"
"1113","","forage01","21","497123","0.0-8.0-13.0","A2CF2BD4Q0ZDJN","1517428930212","0","39","dirt","0","gold","0"
"2328","","forage01","22","499555","0.0-8.0-14.0","A2CF2BD4Q0ZDJN","1517428930212","0","38","dirt","0","gold","0"
"1920","","forage01","23","501579","0.0-8.0-15.0","A2CF2BD4Q0ZDJN","1517428930212","0","37","gold","0","gold","0"
"4856","","forage01","24","506539","0.0-8.0-16.0","A2CF2BD4Q0ZDJN","1517428930212","0","36","dirt","0","gold","0"
"664","","forage01","25","507307","0.0-8.0-17.0","A2CF2BD4Q0ZDJN","1517428930212","0","35","gold","0","gold","0"
"5525","","forage01","26","512939","0.0-8.0-18.0","A2CF2BD4Q0ZDJN","1517428930212","1","34","gold","1000","gold","1000"
"495","","forage01","27","513539","0.0-8.0-19.0","A2CF2BD4Q0ZDJN","1517428930212","1","33","gold","1000","gold","2000"
"231","","forage01","28","513875","0.0-8.0-20.0","A2CF2BD4Q0ZDJN","1517428930212","1","32","gold","1000","gold","3000"
"168","","forage01","29","514147","0.0-8.0-21.0","A2CF2BD4Q0ZDJN","1517428930212","1","31","gold","1000","gold","4000"
"160","","forage01","30","514411","0.0-8.0-22.0","A2CF2BD4Q0ZDJN","1517428930212","1","30","gold","1000","gold","5000"
"159","","forage01","31","514675","0.0-8.0-23.0","A2CF2BD4Q0ZDJN","1517428930212","1","29","gold","1000","gold","6000"
"383","","forage01","32","515163","0.0-8.0-24.0","A2CF2BD4Q0ZDJN","1517428930212","1","28","gold","1000","gold","7000"
"423","","forage01","33","515691","0.0-8.0-25.0","A2CF2BD4Q0ZDJN","1517428930212","1","27","gold","1000","gold","8000"
"272","","forage01","34","516067","0.0-8.0-26.0","A2CF2BD4Q0ZDJN","1517428930212","1","26","gold","1000","gold","9000"
"231","","forage01","35","516403","0.0-8.0-27.0","A2CF2BD4Q0ZDJN","1517428930212","1","25","gold","1000","gold","10000"
